sep=, 
LeftHandState, LeftHandTrackingConfidence, RightHandState, RightHandTrackingConfidence, TrackingState, TrackingID, Joint0, Joint1, Joint2, Joint3, Joint4, Joint5, Joint6, Joint7, Joint8, Joint9, Joint10, Joint11, Joint12, Joint13, Joint14, Joint15, Joint16, Joint17, Joint18, Joint19, Joint20, Joint21, Joint22, Joint23, Joint24, JointOrientation0, JointOrientation1, JointOrientation2, JointOrientation3, JointOrientation4, JointOrientation5, JointOrientation6, JointOrientation7, JointOrientation8, JointOrientation9, JointOrientation10, JointOrientation11, JointOrientation12, JointOrientation13, JointOrientation14, JointOrientation15, JointOrientation16, JointOrientation17, JointOrientation18, JointOrientation19, JointOrientation20, JointOrientation21, JointOrientation22, JointOrientation23, JointOrientation24
1, 1, 2, 1, 1, 72057594037940164, 0 -0.139560491 0.363369823 2.42602921 2, 1 -0.137158036 0.693231642 2.42461967 2, 2 -0.133909822 1.0100168 2.41255546 2, 3 -0.145287067 1.15012133 2.39089274 2, 4 -0.30135563 0.877448857 2.41074228 2, 5 -0.337569356 0.629271209 2.41592574 2, 6 -0.324688345 0.371896595 2.34419966 2, 7 -0.308944076 0.311493367 2.33997679 2, 8 0.0525595546 0.855620205 2.40496206 2, 9 0.274097592 0.7835747 2.35970664 2, 10 0.18003583 1.00777662 2.26257229 2, 11 0.16431202 1.07344389 2.25040865 2, 12 -0.213475049 0.358023286 2.38204598 2, 13 -0.211129442 0.0424027219 2.42530799 2, 14 -0.216622785 -0.336456507 2.49053478 2, 15 -0.235522896 -0.443346262 2.40450788 2, 16 -0.0612560362 0.357332349 2.39403725 2, 17 -0.0192053095 0.0428064689 2.40404677 2, 18 -0.0139681017 -0.347910225 2.48535752 2, 19 0.0115282591 -0.453938216 2.38801003 2, 20 -0.134845152 0.932669997 2.41758609 2, 21 -0.307237983 0.235113993 2.34231734 2, 22 -0.348527193 0.303058743 2.33185291 2, 23 0.128093496 1.14748561 2.24624085 2, 24 0.199743778 1.06706607 2.22383881 2, 0 0.0392939188 0.00355474581 0.999218762 -0.0022779305, 1 0.0168219246 0.00360505492 0.999849617 -0.00219744537, 2 -0.0064504263 0.00624586409 0.999433756 -0.0324271172, 3 0 0 0 0, 4 -0.00942187943 0.810468793 -0.585355818 0.0202526655, 5 -0.0254978742 0.875990927 -0.0685202181 -0.476754218, 6 0.0579805225 -0.569783628 -0.124702625 0.810206294, 7 -0.0813669413 -0.592857003 -0.103191875 0.794513345, 8 -0.0175788682 0.829989135 0.556714118 -0.0296391584, 9 -0.581815183 0.291321546 0.0984744877 0.752944648, 10 0.605653584 -0.266045481 0.749230146 -0.0325235724, 11 0.623952508 -0.146408528 0.767616689 0.0035292441, 12 -0.179352254 0.701962292 -0.66091758 0.195626095, 13 0.0524350516 0.731914401 -0.0435413495 -0.67797935, 14 -0.0494546555 -0.64286226 0.0696711913 0.761201859, 15 0 0 0 0, 16 -0.131059766 0.71806854 0.66874975 -0.141331777, 17 -0.0379763842 0.67776674 0.0566901006 0.732104123, 18 0.0595313273 0.627965927 0.0835811719 0.771446049, 19 0 0 0 0, 20 -0.00641218154 0.00492213806 0.999859989 -0.0146511495, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940164, 0 -0.13931708 0.363393992 2.42615747 2, 1 -0.137051046 0.693226457 2.42475128 2, 2 -0.133904606 1.00998676 2.41267753 2, 3 -0.145184189 1.15016603 2.39099979 2, 4 -0.301656336 0.876773536 2.41010189 2, 5 -0.337556779 0.629378319 2.4158783 2, 6 -0.324424684 0.371850878 2.34408784 2, 7 -0.309280783 0.309607595 2.33880949 2, 8 0.0541293435 0.856008649 2.4049058 2, 9 0.275040627 0.784254432 2.3594296 2, 10 0.205039293 1.00920701 2.25836444 2, 11 0.192406476 1.07985246 2.24564695 2, 12 -0.213214725 0.358018488 2.3821888 2, 13 -0.211048126 0.0424755812 2.4252882 2, 14 -0.216495395 -0.335825711 2.49050212 2, 15 -0.235426098 -0.443334371 2.40459752 2, 16 -0.0610409267 0.35738036 2.39413643 2, 17 -0.0189662483 0.0424587764 2.40440822 2, 18 -0.0139662866 -0.348046184 2.48531079 2, 19 0.0117730852 -0.453952312 2.38773012 2, 20 -0.134817138 0.932646036 2.41770959 2, 21 -0.310470372 0.228882432 2.34940791 2, 22 -0.34870261 0.302222073 2.33043981 2, 23 0.162190944 1.15589893 2.2417233 2, 24 0.226626113 1.07102048 2.21934605 2, 0 0.0391635634 0.00334892725 0.999224663 -0.00226451945, 1 0.0172514133 0.00339776021 0.999843001 -0.00219056779, 2 -0.00543442275 0.00606629439 0.999440312 -0.0324460827, 3 0 0 0 0, 4 -0.0110038668 0.811269641 -0.58416599 0.0216926504, 5 -0.0243566707 0.875160933 -0.0687137842 -0.478308022, 6 0.058815442 -0.577476978 -0.124438718 0.804721117, 7 -0.069722943 -0.598579288 -0.10465344 0.791131616, 8 -0.0179148559 0.828668058 0.558674335 -0.0295171533, 9 -0.583092213 0.28368631 0.091760993 0.755715251, 10 0.595863879 -0.236235857 0.76400125 -0.073762849, 11 0.609133124 -0.122917123 0.783325493 -0.0157937035, 12 -0.179376557 0.702104092 -0.660778284 0.195565522, 13 0.0520680919 0.731873453 -0.0435911939 -0.67804867, 14 -0.049551215 -0.642745018 0.0697276369 0.761289418, 15 0 0 0 0, 16 -0.131179959 0.717937529 0.668825984 -0.141524807, 17 -0.0376661532 0.677879691 0.0569533035 0.731994987, 18 0.0593861416 0.627129436 0.0831176788 0.772187471, 19 0 0 0 0, 20 -0.00539852493 0.00474289432 0.999866486 -0.0146751171, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940164, 0 -0.139183998 0.363619477 2.42629242 2, 1 -0.137038291 0.693274438 2.42486 2, 2 -0.133994132 1.00992405 2.41281366 2, 3 -0.144866198 1.15019035 2.39195514 2, 4 -0.301671565 0.876743436 2.41001463 2, 5 -0.337649524 0.629541159 2.41594172 2, 6 -0.324409306 0.371758521 2.34423971 2, 7 -0.309564978 0.311753869 2.34024739 2, 8 0.0550709292 0.856690586 2.40548897 2, 9 0.275926828 0.784618199 2.3594296 2, 10 0.22823225 1.0139178 2.25471377 2, 11 0.222584873 1.08687901 2.24179387 2, 12 -0.213076487 0.35819602 2.38226008 2, 13 -0.210979745 0.0424150713 2.4253633 2, 14 -0.216477245 -0.335816413 2.4905622 2, 15 -0.234941855 -0.443206906 2.40534234 2, 16 -0.0609225705 0.357652247 2.39433336 2, 17 -0.0187653173 0.0417429022 2.4048059 2, 18 -0.0140597727 -0.347744972 2.48559356 2, 19 0.0118522001 -0.454003543 2.38777304 2, 20 -0.134872749 0.932616711 2.4178319 2, 21 -0.310671806 0.235260382 2.34483194 2, 22 -0.349546254 0.303559661 2.33218527 2, 23 0.199985459 1.16786098 2.23699355 2, 24 0.255966336 1.07741952 2.22221208 2, 0 0.0395797081 0.00316586043 0.999208748 -0.00229966035, 1 0.0179359354 0.00321490923 0.999831438 -0.00223057484, 2 -0.00445996458 0.00581793673 0.999448776 -0.0323780403, 3 0 0 0 0, 4 -0.0113163954 0.811271012 -0.58413589 0.022284504, 5 -0.0241216496 0.875573218 -0.0690666512 -0.477513731, 6 0.0592976809 -0.582651556 -0.123934135 0.801025152, 7 -0.0759529397 -0.604684532 -0.0993582159 0.786584914, 8 -0.0170141291 0.827304184 0.560767651 -0.0286024678, 9 -0.583854854 0.275032759 0.0834232792 0.759283304, 10 0.655348361 -0.211860403 0.719310224 -0.090699859, 11 0.677125514 -0.0873830691 0.729669571 -0.0380470306, 12 -0.179584071 0.702226698 -0.660519898 0.195807859, 13 0.0519785732 0.732178032 -0.0436202772 -0.677724719, 14 -0.0496169329 -0.644048154 0.0696829408 0.760187089, 15 0 0 0 0, 16 -0.130937427 0.717792928 0.669065595 -0.141350135, 17 -0.0374524295 0.677583814 0.0570798703 0.732270002, 18 0.0596794598 0.626591086 0.0830260962 0.772611618, 19 0 0 0 0, 20 -0.00442319596 0.00458722282 0.999872267 -0.0146567728, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940164, 0 -0.138862699 0.363788277 2.42643523 2, 1 -0.136972696 0.69331485 2.42496824 2, 2 -0.134069696 1.00989735 2.41292858 2, 3 -0.144752741 1.15000641 2.39201713 2, 4 -0.301717281 0.87659663 2.41001678 2, 5 -0.337611854 0.629574597 2.41590691 2, 6 -0.324364305 0.371691644 2.34417009 2, 7 -0.308766782 0.311001509 2.33815145 2, 8 0.0560068041 0.85707134 2.40594101 2, 9 0.277452022 0.784438729 2.36007833 2, 10 0.254752755 1.01403785 2.25064588 2, 11 0.255149841 1.08631372 2.23668671 2, 12 -0.212714598 0.358346969 2.38225341 2, 13 -0.210957319 0.0423774943 2.42541838 2, 14 -0.216292113 -0.335345715 2.49053049 2, 15 -0.23453024 -0.44315353 2.40542579 2, 16 -0.0606157221 0.357856333 2.39464617 2, 17 -0.0182936024 0.041292388 2.40488958 2, 18 -0.0142255742 -0.347940892 2.48565412 2, 19 0.0116545511 -0.453994155 2.38783097 2, 20 -0.134908065 0.93260771 2.41793537 2, 21 -0.310647815 0.234281644 2.34603763 2, 22 -0.348936945 0.302166253 2.33086324 2, 23 0.243142232 1.16839302 2.23396993 2, 24 0.289041162 1.07612693 2.21295285 2, 0 0.040636532 0.00277487887 0.999167323 -0.00234055636, 1 0.0187929869 0.00282536238 0.999816835 -0.00227936078, 2 -0.00379358372 0.00553750666 0.999455154 -0.0323167481, 3 0 0 0 0, 4 -0.0114189861 0.81147027 -0.583843827 0.0226293057, 5 -0.0241365936 0.875499964 -0.0689323097 -0.477666736, 6 0.0580354705 -0.57445699 -0.124544293 0.806919932, 7 -0.0708067939 -0.596406579 -0.113762736 0.791418731, 8 -0.0162818767 0.826352835 0.562223792 -0.0279343855, 9 -0.583857119 0.268265426 0.078831993 0.7621876, 10 0.584425211 -0.168376356 0.77975297 -0.148599982, 11 0.602527559 -0.0554953851 0.792389393 -0.0774588361, 12 -0.180236101 0.702143371 -0.660275817 0.196330234, 13 0.0517060123 0.732945085 -0.0439927131 -0.676891983, 14 -0.0498340689 -0.64471674 0.0695088357 0.759621859, 15 0 0 0 0, 16 -0.130225718 0.717774034 0.669335306 -0.140825734, 17 -0.037871439 0.676773548 0.0568316318 0.733016729, 18 0.0602817349 0.626175106 0.0825826079 0.772949517, 19 0 0 0 0, 20 -0.00375840091 0.00436769426 0.999875724 -0.0146736326, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940164, 0 -0.138762385 0.36386022 2.4264586 2, 1 -0.136834458 0.693291306 2.42505312 2, 2 -0.133881822 1.00970292 2.41309261 2, 3 -0.144731507 1.14999938 2.39217448 2, 4 -0.30184862 0.875842392 2.40977836 2, 5 -0.337638527 0.629752338 2.41596723 2, 6 -0.324272722 0.371216655 2.34422088 2, 7 -0.309811354 0.310359299 2.34036994 2, 8 0.0566412695 0.857407331 2.40626597 2, 9 0.276387244 0.786566794 2.35763812 2, 10 0.281378299 1.01772308 2.24819899 2, 11 0.288682312 1.09150982 2.23579431 2, 12 -0.212582141 0.358441919 2.38219142 2, 13 -0.210941359 0.0422335193 2.42567778 2, 14 -0.216322526 -0.335357785 2.49052286 2, 15 -0.234751344 -0.443374127 2.40514278 2, 16 -0.060521856 0.35792312 2.3947463 2, 17 -0.0182916969 0.0412080251 2.40491676 2, 18 -0.0142098172 -0.347942054 2.4856236 2, 19 0.0117144566 -0.453884333 2.38777256 2, 20 -0.134733886 0.932465255 2.41808033 2, 21 -0.307289481 0.232524544 2.34584522 2, 22 -0.350312978 0.312607884 2.33153343 2, 23 0.291782767 1.17394841 2.23280907 2, 24 0.321338296 1.07400727 2.20758843 2, 0 0.0411756411 0.00283577293 0.999145389 -0.0022518225, 1 0.0194670223 0.00288400799 0.999803901 -0.00218970538, 2 -0.002981978 0.00560315559 0.999460638 -0.0322197154, 3 0 0 0 0, 4 -0.0122136539 0.812239349 -0.58273077 0.0233023912, 5 -0.0235957243 0.875501931 -0.069294624 -0.477637857, 6 0.059337385 -0.58492136 -0.123626918 0.79941386, 7 -0.0731619522 -0.606004298 -0.0954579636 0.786316693, 8 -0.0160659999 0.825537503 0.563453853 -0.0273766425, 9 -0.58809793 0.257611126 0.0634165034 0.76403898, 10 0.581558287 -0.122670598 0.783335924 -0.182007506, 11 0.601136982 -0.011159529 0.793336213 -0.095538117, 12 -0.180638701 0.701958716 -0.66027081 0.1966369, 13 0.0519324057 0.733281553 -0.044404719 -0.676483154, 14 -0.0495387912 -0.64425087 0.0693428293 0.760051489, 15 0 0 0 0, 16 -0.13001743 0.717875957 0.669342399 -0.140464172, 17 -0.0378578827 0.676376998 0.0566040426 0.733400822, 18 0.0602217242 0.626044571 0.0825662687 0.773061574, 19 0 0 0 0, 20 -0.0029449123 0.00443267822 0.999879837 -0.0145587595, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940164, 0 -0.138655424 0.364064276 2.4265554 2, 1 -0.136786968 0.69337666 2.42515063 2, 2 -0.133888468 1.00971103 2.41316533 2, 3 -0.144746304 1.15008307 2.39233088 2, 4 -0.30192247 0.875723004 2.4097929 2, 5 -0.337747842 0.62973541 2.41615891 2, 6 -0.324372917 0.37111491 2.34424543 2, 7 -0.309923917 0.311603636 2.33958125 2, 8 0.0573632941 0.857977509 2.40689421 2, 9 0.276864558 0.787822902 2.3564465 2, 10 0.307925105 1.01726222 2.24800014 2, 11 0.323308945 1.08951259 2.23297286 2, 12 -0.212486669 0.358616769 2.38225031 2, 13 -0.210936919 0.0422309786 2.42570519 2, 14 -0.216343865 -0.335251421 2.4906106 2, 15 -0.234601185 -0.443213642 2.40539241 2, 16 -0.0604157634 0.358139932 2.39486885 2, 17 -0.0182911549 0.0411182456 2.40494347 2, 18 -0.0141937779 -0.348001212 2.48557973 2, 19 0.0118491668 -0.453869641 2.38771534 2, 20 -0.134729788 0.932487428 2.41815972 2, 21 -0.312969178 0.239551082 2.33946943 2, 22 -0.349059105 0.304876983 2.32934189 2, 23 0.335268408 1.17127407 2.23255944 2, 24 0.353126317 1.0643518 2.20761538 2, 0 0.0413809344 0.00274616363 0.999137104 -0.0022483971, 1 0.0199770816 0.00279367785 0.999794066 -0.00218907837, 2 -0.00214819005 0.00550791249 0.999461591 -0.0322734341, 3 0 0 0 0, 4 -0.0121727157 0.812407434 -0.582482994 0.0236529, 5 -0.0233757384 0.875145733 -0.0695379451 -0.478265524, 6 0.0630008504 -0.60752666 -0.122084297 0.782328367, 7 -0.0673505589 -0.629555345 -0.104800649 0.7669034, 8 -0.0149832675 0.824528456 0.565003395 -0.0264486838, 9 -0.590532243 0.246935442 0.0507363938 0.766629279, 10 0.646305263 -0.0978249758 0.728690267 -0.204280034, 11 0.671504915 0.00738833286 0.726844609 -0.14395678, 12 -0.180741534 0.702041924 -0.66012305 0.196741253, 13 0.0517811812 0.733439565 -0.0444404185 -0.67632103, 14 -0.0496276282 -0.644798338 0.0694069788 0.759575546, 15 0 0 0 0, 16 -0.129911065 0.717843294 0.669415891 -0.140379369, 17 -0.0378160439 0.676225901 0.0563214682 0.733564138, 18 0.0601166002 0.625675559 0.0825468525 0.773370564, 19 0 0 0 0, 20 -0.00211245823 0.00433109608 0.999881744 -0.0146043524, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940164, 0 -0.138596669 0.364119202 2.42661953 2, 1 -0.136759549 0.69335866 2.42544174 2, 2 -0.134014592 1.00948942 2.41386557 2, 3 -0.144903079 1.14998138 2.39236331 2, 4 -0.302060068 0.875547647 2.40981054 2, 5 -0.337843895 0.62972486 2.41610169 2, 6 -0.324399889 0.371121019 2.34419322 2, 7 -0.309214175 0.310385823 2.3384726 2, 8 0.0576143265 0.858229637 2.40669107 2, 9 0.277072072 0.788174331 2.35578561 2, 10 0.333018154 1.01046717 2.24554038 2, 11 0.35476464 1.08261657 2.23139429 2, 12 -0.212402344 0.358656764 2.38229299 2, 13 -0.210916519 0.0422091894 2.42573929 2, 14 -0.21653761 -0.333778441 2.49054909 2, 15 -0.234634608 -0.442843854 2.40546703 2, 16 -0.0603861958 0.358208865 2.39495015 2, 17 -0.01820991 0.0405442081 2.40500736 2, 18 -0.0142639931 -0.347497642 2.48547006 2, 19 0.0119347461 -0.453763098 2.38766146 2, 20 -0.134805322 0.932327688 2.41874909 2, 21 -0.311523169 0.233735889 2.34355021 2, 22 -0.348181635 0.313704371 2.32262492 2, 23 0.373362362 1.1618979 2.22442365 2, 24 0.383314669 1.04813027 2.21179962 2, 0 0.0415223427 0.00271322392 0.999132037 -0.00190292089, 1 0.0199869014 0.00275359186 0.999794781 -0.00184402429, 2 -0.00227290299 0.00518781086 0.999485075 -0.0315843895, 3 0 0 0 0, 4 -0.0138483215 0.812371135 -0.582479179 0.0240707956, 5 -0.0234526638 0.875365734 -0.0694501027 -0.477871865, 6 0.0641529486 -0.615562975 -0.121507823 0.77601707, 7 -0.0637200922 -0.637980759 -0.113510273 0.758970141, 8 -0.0168220419 0.823796332 0.565988362 -0.0270884354, 9 -0.591141582 0.241798341 0.0456342325 0.768116355, 10 0.64429009 -0.0642285123 0.722397745 -0.242706731, 11 0.673219264 0.0411043391 0.719224811 -0.166739568, 12 -0.181058586 0.702129006 -0.659967899 0.19665955, 13 0.0517001338 0.733541906 -0.0444889255 -0.676213145, 14 -0.0496100113 -0.645701945 0.0697052479 0.758781254, 15 0 0 0 0, 16 -0.130103692 0.717844009 0.66942966 -0.14013198, 17 -0.0378260948 0.676121116 0.0562373996 0.733666658, 18 0.0602335483 0.625110626 0.0825265199 0.77382046, 19 0 0 0 0, 20 -0.00223706034 0.00411887746 0.999891162 -0.0139895221, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940164, 0 -0.138509154 0.364100844 2.42668319 2, 1 -0.136787534 0.693288863 2.42558599 2, 2 -0.134318948 1.00928891 2.41416407 2, 3 -0.145038754 1.15005147 2.39263105 2, 4 -0.302483082 0.875090361 2.41006446 2, 5 -0.338024318 0.629680693 2.41615081 2, 6 -0.324406117 0.371095747 2.34420514 2, 7 -0.310083389 0.309976399 2.33961868 2, 8 0.0576362759 0.858342409 2.40679359 2, 9 0.277977496 0.791161716 2.3517642 2, 10 0.353678286 0.998350024 2.24529529 2, 11 0.385449857 1.07497275 2.23099875 2, 12 -0.212306976 0.358593136 2.38234282 2, 13 -0.210872501 0.0420005023 2.42581248 2, 14 -0.216562271 -0.333475143 2.49052548 2, 15 -0.233765155 -0.442683339 2.40658998 2, 16 -0.0603040904 0.358230412 2.39502406 2, 17 -0.018188633 0.0397379026 2.40563917 2, 18 -0.0142569616 -0.347492248 2.48544908 2, 19 0.0119783804 -0.453753948 2.38784242 2, 20 -0.135020599 0.932164788 2.41900921 2, 21 -0.311090291 0.234861776 2.34195852 2, 22 -0.348908007 0.30683592 2.32865524 2, 23 0.414209545 1.15574872 2.2339673 2, 24 0.41166535 1.04243207 2.21748137 2, 0 0.0416053459 0.0025433125 0.999129295 -0.00177385623, 1 0.0199395213 0.00258116331 0.999796391 -0.00171831332, 2 -0.0024536422 0.00461896788 0.999494731 -0.0313527435, 3 0 0 0 0, 4 -0.0140055446 0.812727273 -0.581988633 0.0238216892, 5 -0.0235931445 0.875597894 -0.0689549744 -0.477511078, 6 0.0617901385 -0.601811945 -0.122873351 0.78670609, 7 -0.0662236437 -0.622812986 -0.100482099 0.773060024, 8 -0.0171864871 0.823319077 0.56666708 -0.0271806512, 9 -0.59750849 0.237938061 0.0339797698 0.764993131, 10 0.741145313 -0.0721825957 0.611268222 -0.268038183, 11 0.774370849 0.0489619374 0.596244395 -0.206022158, 12 -0.18119964 0.702322245 -0.659731328 0.196633607, 13 0.0516536385 0.733615577 -0.0445469134 -0.676132917, 14 -0.0497739352 -0.648396134 0.0695853159 0.756480575, 15 0 0 0 0, 16 -0.130137801 0.717701614 0.669595599 -0.14003621, 17 -0.0370705947 0.67610395 0.0566662699 0.733687997, 18 0.0598297119 0.624828219 0.08208289 0.774126887, 19 0 0 0 0, 20 -0.00241879118 0.00373059022 0.999895573 -0.0137529159, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940164, 0 -0.138425142 0.364158303 2.42669725 2, 1 -0.136792019 0.693328202 2.42566586 2, 2 -0.134479538 1.00933266 2.41436434 2, 3 -0.145455077 1.1502825 2.39274287 2, 4 -0.302609593 0.87499392 2.41018677 2, 5 -0.338068515 0.629759312 2.41618299 2, 6 -0.324373871 0.370893508 2.34410596 2, 7 -0.310647011 0.309776515 2.34014535 2, 8 0.0574182011 0.858717322 2.40696001 2, 9 0.279978871 0.792680979 2.35002112 2, 10 0.374057561 0.99289149 2.24521089 2, 11 0.415017784 1.06713271 2.2320354 2, 12 -0.212201685 0.358641922 2.38233662 2, 13 -0.210969329 0.0420532897 2.42576742 2, 14 -0.216477871 -0.332771033 2.4907279 2, 15 -0.233765125 -0.442579776 2.40667295 2, 16 -0.0602432899 0.358292431 2.39505005 2, 17 -0.0181241222 0.039527256 2.40577149 2, 18 -0.0143222101 -0.345823199 2.48563266 2, 19 0.0120151965 -0.453732729 2.38780451 2, 20 -0.135131583 0.932206929 2.41917753 2, 21 -0.310574919 0.23237054 2.34484625 2, 22 -0.352616817 0.311077982 2.33789492 2, 23 0.448443562 1.13682365 2.22524261 2, 24 0.440937072 1.03465986 2.21721435 2, 0 0.0417224914 0.00241311151 0.999124944 -0.00166878069, 1 0.0200262815 0.0024487644 0.999795139 -0.00161601009, 2 -0.00239590206 0.00429556007 0.999502718 -0.0311470628, 3 0 0 0 0, 4 -0.0142023023 0.812934995 -0.581696033 0.0237617735, 5 -0.0236823168 0.875667453 -0.0687759072 -0.477404863, 6 0.0567221902 -0.569441915 -0.125417516 0.810425103, 7 -0.0698584542 -0.588581145 -0.0908041224 0.80027914, 8 -0.017302854 0.822948217 0.567207634 -0.0270604007, 9 -0.601017773 0.230477512 0.025387343 0.764861524, 10 0.718035877 -0.0365211032 0.627195597 -0.299526781, 11 0.75456363 0.092124328 0.602687418 -0.242723361, 12 -0.181399837 0.702355206 -0.65963614 0.19665049, 13 0.0514023192 0.73372376 -0.0447319485 -0.67602253, 14 -0.0502233766 -0.648097873 0.06980858 0.756685853, 15 0 0 0 0, 16 -0.130160198 0.717698872 0.669603288 -0.139992639, 17 -0.036937207 0.676023781 0.0567396022 0.73376286, 18 0.0602897517 0.624870837 0.0824102983 0.774022043, 19 0 0 0 0, 20 -0.00236171135 0.00350651378 0.99989903 -0.0135685438, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940164, 0 -0.138418928 0.364160955 2.42669988 2, 1 -0.136889786 0.693300247 2.42570257 2, 2 -0.134957641 1.00919271 2.41442752 2, 3 -0.145771205 1.15029311 2.39275002 2, 4 -0.302866548 0.874122083 2.41043949 2, 5 -0.338464111 0.629583716 2.41645122 2, 6 -0.324459702 0.370318085 2.34395623 2, 7 -0.310609996 0.309729546 2.33965826 2, 8 0.0571650751 0.859047413 2.40710664 2, 9 0.281950563 0.793155074 2.34846973 2, 10 0.398918122 0.986892402 2.24237394 2, 11 0.442893833 1.05327284 2.23143077 2, 12 -0.21218659 0.358634561 2.38233352 2, 13 -0.210979104 0.0420061424 2.42580462 2, 14 -0.216486648 -0.332924604 2.49056458 2, 15 -0.233558983 -0.442614555 2.40664554 2, 16 -0.0602407567 0.358307213 2.39505887 2, 17 -0.0180875249 0.039346844 2.40575767 2, 18 -0.0142490817 -0.344036251 2.48542118 2, 19 0.0120194694 -0.453724295 2.38777947 2, 20 -0.135495082 0.932099342 2.41924286 2, 21 -0.308237314 0.228351653 2.34690976 2, 22 -0.350133032 0.306878269 2.32988882 2, 23 0.487455934 1.12966633 2.23454642 2, 24 0.460368425 1.00728202 2.21555996 2, 0 0.0417648517 0.00225761323 0.999123573 -0.00161069667, 1 0.0199774131 0.00229218439 0.999796569 -0.00156110572, 2 -0.00254188338 0.00355979032 0.999504387 -0.0311754793, 3 0 0 0 0, 4 -0.0138716158 0.814194679 -0.579957545 0.0233213194, 5 -0.0237583853 0.876296341 -0.0692592338 -0.476175785, 6 0.0617881641 -0.602571785 -0.12370339 0.785994172, 7 -0.0653580576 -0.623122573 -0.0972725973 0.773294628, 8 -0.0171150155 0.822336555 0.56810385 -0.0269759912, 9 -0.602691889 0.224300563 0.0179841276 0.765590131, 10 0.661176085 0.018823849 0.671124458 -0.334789187, 11 0.703486264 0.141290843 0.646571219 -0.259016722, 12 -0.181506872 0.702408195 -0.659561574 0.196612582, 13 0.051418189 0.733764291 -0.0447940342 -0.675973058, 14 -0.050102409 -0.648772538 0.0695486143 0.756139457, 15 0 0 0 0, 16 -0.130145624 0.717654705 0.669657826 -0.139972419, 17 -0.0369802676 0.67598778 0.0567130446 0.733796, 18 0.0604480058 0.625319719 0.0826219767 0.77362448, 19 0 0 0 0, 20 -0.00251149992 0.00295336032 0.999901175 -0.0135141555, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
