sep=, 
Hand-Neck Distance (m), Elbow Angle (rad)
0.296382874, 0.987087131
0.296799719, 0.989357531
0.296710908, 0.989088595
0.297725379, 0.99290657
0.296947181, 0.990191698
0.297608912, 0.992047429
0.298044264, 0.994149804
0.298927754, 0.999157786
0.297841042, 0.997597992
0.297968447, 0.997903824
0.298026949, 0.998849392
0.298113436, 0.999923885
0.298179448, 1.00071776
0.298126876, 1.00097954
0.297993928, 1.00040448
0.298544794, 1.00243795
0.298759311, 1.00410616
0.297595292, 1.00158358
0.296995878, 1.00082195
0.297268689, 1.00127506
0.295898527, 0.999123156
0.2959629, 1.00042593
0.295794487, 0.999644339
0.296141684, 1.00062656
0.295384616, 1.00058687
0.294605523, 0.996797621
0.293978602, 0.993617117
0.29338488, 0.99121207
0.292930156, 0.988168836
0.296218723, 0.99712193
0.302027553, 1.01096594
0.315375507, 1.09705412
0.342839122, 1.18591464
0.375581384, 1.28435302
0.411615908, 1.38636768
0.450888902, 1.50711393
0.488573015, 1.62840831
0.528532207, 1.76734281
0.565282166, 1.9205662
0.603144467, 2.03492975
0.63609463, 2.09834099
0.664388955, 2.19337344
0.691960096, 2.29123306
0.710776567, 2.37198782
0.72543323, 2.43488312
0.737586677, 2.48353696
0.728518724, 2.51529598
0.73173219, 2.53061843
0.735644996, 2.54293895
0.736592352, 2.53218794
0.733897388, 2.50781465
0.726195931, 2.46061015
0.730712175, 2.40046525
0.711553395, 2.31780791
0.688798964, 2.22155333
0.667167783, 2.12197566
0.641829789, 2.01470351
0.607577324, 1.97538018
0.579443276, 1.91296232
0.549402714, 1.82112277
0.517533004, 1.72788846
0.485418737, 1.63236761
0.455231041, 1.54276669
0.425099522, 1.45490777
0.393345594, 1.35516119
0.363485307, 1.26394761
0.335923851, 1.18276811
0.310726047, 1.10818672
0.290584624, 1.04342604
0.277676612, 0.959136248
0.269655704, 0.915754557
0.262926102, 0.912667096
0.260150224, 0.909566104
0.260260761, 0.894721985
0.260741442, 0.913436472
0.262298942, 0.930633783
0.262033343, 0.936038077
0.264086962, 0.919917941
0.26598385, 0.916564226
0.266988218, 0.914019823
0.268093109, 0.912074983
0.268584996, 0.910396874
0.268701911, 0.908646107
0.270145237, 0.910295546
0.269286603, 0.907200575
0.26852569, 0.939715385
0.2688815, 0.930869579
0.270591736, 0.924692154
0.270261228, 0.920591116
