sep=, 
LeftHandState, LeftHandTrackingConfidence, RightHandState, RightHandTrackingConfidence, TrackingState, TrackingID, Joint0, Joint1, Joint2, Joint3, Joint4, Joint5, Joint6, Joint7, Joint8, Joint9, Joint10, Joint11, Joint12, Joint13, Joint14, Joint15, Joint16, Joint17, Joint18, Joint19, Joint20, Joint21, Joint22, Joint23, Joint24, JointOrientation0, JointOrientation1, JointOrientation2, JointOrientation3, JointOrientation4, JointOrientation5, JointOrientation6, JointOrientation7, JointOrientation8, JointOrientation9, JointOrientation10, JointOrientation11, JointOrientation12, JointOrientation13, JointOrientation14, JointOrientation15, JointOrientation16, JointOrientation17, JointOrientation18, JointOrientation19, JointOrientation20, JointOrientation21, JointOrientation22, JointOrientation23, JointOrientation24
1, 1, 2, 1, 1, 72057594037940348, 0 -0.16019465 0.370051354 2.37032723 2, 1 -0.159835607 0.694100618 2.37308097 2, 2 -0.15950802 1.00544703 2.36526728 2, 3 -0.174859121 1.14262068 2.34283495 2, 4 -0.320999384 0.8800928 2.35214305 2, 5 -0.362222046 0.62060833 2.35072517 2, 6 -0.343850672 0.370677799 2.28456044 2, 7 -0.327191621 0.318417132 2.28549457 2, 8 0.0307717714 0.855722189 2.36876273 2, 9 0.228783652 0.794888556 2.34650493 2, 10 0.157771677 1.0043155 2.23100448 2, 11 0.119328506 1.06885099 2.22264838 2, 12 -0.232352421 0.363893867 2.32667327 2, 13 -0.237204686 0.0475368984 2.37973452 2, 14 -0.22688368 -0.327722728 2.4566853 2, 15 -0.24358201 -0.447457254 2.3663125 2, 16 -0.0832914263 0.364974946 2.34214854 2, 17 -0.0442540087 0.0404614396 2.35991502 2, 18 -0.0458617918 -0.349785388 2.44569874 2, 19 -0.0230236463 -0.451980054 2.35685253 2, 20 -0.159685791 0.929375231 2.36916232 2, 21 -0.330297559 0.239723265 2.28228641 2, 22 -0.281668842 0.309702814 2.2578733 2, 23 0.0751921609 1.14496326 2.22137976 2, 24 0.0903222412 1.0269748 2.21177649 2, 0 0.0516651161 0.000772758387 0.99865526 0.00421453174, 1 0.038543839 0.000717335904 0.99924773 0.00422431761, 2 0.0250255242 0.000526665419 0.999358952 -0.0255971327, 3 0 0 0 0, 4 -0.0321082994 0.802285135 -0.594658792 0.0410914458, 5 -0.0347773358 0.908991873 -0.0706411898 -0.409309238, 6 -0.124460861 0.792464316 -0.0487415455 0.595091641, 7 -0.0903284028 0.766286254 0.124610454 0.623793542, 8 -0.00165594369 0.824828386 0.565380335 0.000685306208, 9 -0.578098595 0.276149392 0.140729532 0.754810393, 10 -0.62491107 0.044711858 0.727464736 -0.279789418, 11 0.697431505 0.140507698 -0.663714468 0.230932608, 12 -0.185424775 0.70620507 -0.655140102 0.194122612, 13 0.0565367416 0.739943385 -0.061220929 -0.667487442, 14 -0.0752962157 -0.640010655 0.0685583875 0.761588216, 15 0 0 0 0, 16 -0.122599632 0.717992008 0.673823714 -0.124170758, 17 -0.0260885973 0.669188917 0.0602499992 0.740186155, 18 0.06948708 0.625284672 0.0826724693 0.772888064, 19 0 0 0 0, 20 0.0250320248 0.000109805434 0.999651968 -0.00833230931, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940348, 0 -0.160395056 0.370158583 2.37064981 2, 1 -0.160204485 0.694231689 2.37348914 2, 2 -0.159983799 1.0056231 2.36578965 2, 3 -0.174890324 1.14288259 2.34288335 2, 4 -0.320974112 0.880559027 2.35294604 2, 5 -0.362267554 0.621150851 2.35088992 2, 6 -0.344065487 0.370418906 2.28533673 2, 7 -0.327557206 0.316839069 2.28605604 2, 8 0.0306039006 0.855659008 2.36905837 2, 9 0.227795243 0.791752636 2.34917402 2, 10 0.157590017 1.00422978 2.23137641 2, 11 0.119158462 1.06844342 2.2221148 2, 12 -0.232568383 0.364007086 2.3270514 2, 13 -0.237137854 0.0472355969 2.38003373 2, 14 -0.227011144 -0.328260005 2.45670676 2, 15 -0.243525028 -0.447713941 2.36605144 2, 16 -0.0834627599 0.365076303 2.34242272 2, 17 -0.0443753228 0.0404175371 2.36022067 2, 18 -0.0456959233 -0.350336283 2.44565272 2, 19 -0.0230273232 -0.451975554 2.3568604 2, 20 -0.160139129 0.929538548 2.36965466 2, 21 -0.330128342 0.240354389 2.28514671 2, 22 -0.279648483 0.306827247 2.25661922 2, 23 0.0746036768 1.14175522 2.21488476 2, 24 0.089774102 1.02774346 2.21822262 2, 0 0.0513055772 0.000518378336 0.99867332 0.0043597077, 1 0.0380474664 0.000460474112 0.999266326 0.00436620321, 2 0.024396915 0.000400211837 0.999379754 -0.0253921505, 3 0 0 0 0, 4 -0.0317012258 0.802071154 -0.595018685 0.0403685644, 5 -0.0356053673 0.910985351 -0.0704578608 -0.404813051, 6 -0.123557888 0.799611032 -0.0467105843 0.585810304, 7 -0.0871106461 0.776356161 0.120901547 0.612426102, 8 -0.0020320164 0.824977934 0.565161049 0.000387197593, 9 -0.570939541 0.2746692 0.143470809 0.760263741, 10 0.698494613 -0.0776301324 -0.657426119 0.271789998, 11 0.738894105 0.120625697 -0.616293848 0.244267792, 12 -0.185374841 0.706297576 -0.655176044 0.193711847, 13 0.0566497967 0.739727795 -0.0607540533 -0.667759418, 14 -0.0749105215 -0.640935481 0.0683218315 0.760869384, 15 0 0 0 0, 16 -0.122768171 0.717982709 0.673778892 -0.124301262, 17 -0.0260797311 0.669448435 0.060318619 0.739946127, 18 0.068917498 0.625944734 0.0824087486 0.772432745, 19 0 0 0 0, 20 0.0243990961 -5.99669438e-005 0.999669075 -0.00814799313, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940348, 0 -0.16085355 0.370353192 2.37133241 2, 1 -0.160603195 0.694351196 2.37399387 2, 2 -0.160250828 1.00569856 2.36615515 2, 3 -0.174937546 1.14289498 2.34295034 2, 4 -0.321006864 0.880795956 2.35334134 2, 5 -0.36233595 0.622528315 2.35185766 2, 6 -0.344350904 0.370417267 2.28639483 2, 7 -0.326253831 0.317076087 2.28669572 2, 8 0.0305218399 0.855742097 2.36961579 2, 9 0.228636324 0.795348585 2.34674025 2, 10 0.15734157 1.0043236 2.23170185 2, 11 0.119310826 1.06880939 2.2228775 2, 12 -0.232935995 0.364226192 2.32743406 2, 13 -0.23726663 0.0472482517 2.38008547 2, 14 -0.22763738 -0.339266151 2.45861268 2, 15 -0.243560284 -0.447759181 2.36602211 2, 16 -0.0840037614 0.365226001 2.34351921 2, 17 -0.0444470793 0.0402434058 2.3605051 2, 18 -0.0455998704 -0.349667788 2.44561052 2, 19 -0.0230205748 -0.451949984 2.35687399 2, 20 -0.16044037 0.929623306 2.37005305 2, 21 -0.323580146 0.239879444 2.28517628 2, 22 -0.282580674 0.314405769 2.26115417 2, 23 0.074716121 1.14421189 2.22305012 2, 24 0.0880458355 1.0266192 2.22436357 2, 0 0.0537354611 0.000606483663 0.99854666 0.00408042781, 1 0.0393978655 0.000547855161 0.999215066 0.00408871192, 2 0.0246354491 0.000613438489 0.999368072 -0.0256164055, 3 0 0 0 0, 4 -0.0316028297 0.801935613 -0.59518683 0.040659871, 5 -0.0348465107 0.91060394 -0.0712405443 -0.405599564, 6 -0.123786867 0.815616012 -0.0433001257 0.563535631, 7 -0.095567435 0.789117932 0.131840959 0.59226495, 8 -0.00162761414 0.824871063 0.565318465 0.00048612582, 9 -0.579231858 0.276848793 0.139909849 0.753837109, 10 0.742855549 -0.0921868682 -0.60649842 0.268005162, 11 0.77986604 0.104496278 -0.565268874 0.247710541, 12 -0.186397105 0.70577395 -0.655021369 0.195157081, 13 0.0566294342 0.741339147 -0.0599669218 -0.666043103, 14 -0.0741273537 -0.644322515 0.0682752877 0.758084476, 15 0 0 0 0, 16 -0.121088356 0.718468308 0.673818707 -0.122918949, 17 -0.027568737 0.667575777 0.0597488694 0.741628349, 18 0.0686968863 0.626424015 0.082363449 0.77206862, 19 0 0 0 0, 20 0.0246407576 0.000139541429 0.999661267 -0.00838012807, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940348, 0 -0.161327153 0.370590955 2.37258482 2, 1 -0.160887763 0.694428325 2.37474775 2, 2 -0.160344541 1.00569499 2.3665607 2, 3 -0.175068006 1.14300036 2.34298372 2, 4 -0.321039349 0.881058455 2.35384011 2, 5 -0.359146357 0.615401328 2.35282922 2, 6 -0.34473455 0.370142728 2.28776264 2, 7 -0.327438176 0.318288147 2.28881955 2, 8 0.0305247661 0.855909884 2.37007809 2, 9 0.22767742 0.79245007 2.34919715 2, 10 0.157118902 1.00451648 2.2319634 2, 11 0.120097727 1.0684396 2.22287679 2, 12 -0.233231306 0.364496529 2.32879758 2, 13 -0.237488762 0.0471358523 2.38060451 2, 14 -0.227276251 -0.337672442 2.4586556 2, 15 -0.243784741 -0.447671652 2.36610532 2, 16 -0.0846234933 0.365439326 2.34465885 2, 17 -0.0446406417 0.0404867642 2.36060214 2, 18 -0.0458028391 -0.348695815 2.44584203 2, 19 -0.0230569225 -0.452012122 2.35727692 2, 20 -0.160576016 0.929634511 2.37053394 2, 21 -0.328665167 0.239673689 2.29238653 2, 22 -0.282464683 0.30836761 2.26178813 2, 23 0.0764143392 1.14518797 2.22730255 2, 24 0.0894107968 1.02601838 2.21268702 2, 0 0.053114865 0.000854819838 0.998582602 0.00329873106, 1 0.0390591212 0.00080832059 0.9992311 0.00331043196, 2 0.0245800558 0.000878061866 0.999356091 -0.0261217058, 3 0 0 0 0, 4 -0.0312647521 0.801540673 -0.595706344 0.0410963781, 5 -0.0332087055 0.89435029 -0.0629818514 -0.441664934, 6 -0.122780934 0.818587422 -0.0492005497 0.558944285, 7 -0.0877393484 0.792178154 0.13446337 0.588791311, 8 -0.00133326068 0.824600518 0.565713882 -2.3623139e-005, 9 -0.572185099 0.276096612 0.142045408 0.759077072, 10 -0.63200897 0.0499048084 0.721596777 -0.278158665, 11 0.706704736 0.129057437 -0.655748785 0.232176855, 12 -0.185875818 0.705550194 -0.655247331 0.195703909, 13 0.055639483 0.740998447 -0.0589856617 -0.666592956, 14 -0.0744131804 -0.641879916 0.0678720102 0.760162055, 15 0 0 0 0, 16 -0.121284671 0.718399286 0.67364502 -0.12407656, 17 -0.029090222 0.667972565 0.0590212569 0.741271198, 18 0.068879351 0.625893712 0.0826773494 0.772448838, 19 0 0 0 0, 20 0.0245912168 0.000442167046 0.999657214 -0.00897019636, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940348, 0 -0.161476374 0.370928943 2.37324834 2, 1 -0.161097676 0.694636643 2.37525535 2, 2 -0.16053699 1.005808 2.36693811 2, 3 -0.175107852 1.14306986 2.34300566 2, 4 -0.321113467 0.881270468 2.35424304 2, 5 -0.360305339 0.618447304 2.35369515 2, 6 -0.345018834 0.370355666 2.28871346 2, 7 -0.326376885 0.317697257 2.28895736 2, 8 0.0305819158 0.856205583 2.37026477 2, 9 0.228715271 0.796433568 2.34733057 2, 10 0.157045513 1.00453544 2.23199487 2, 11 0.12002515 1.06974399 2.22317004 2, 12 -0.233368412 0.364825398 2.32937074 2, 13 -0.237580568 0.0471482016 2.38073993 2, 14 -0.227309242 -0.336448103 2.45837855 2, 15 -0.243898019 -0.44805336 2.36554527 2, 16 -0.0847710073 0.365778863 2.34540296 2, 17 -0.044822257 0.041571606 2.36076665 2, 18 -0.0457875878 -0.348692238 2.4458313 2, 19 -0.0228430107 -0.451999187 2.35659242 2, 20 -0.160777256 0.929769099 2.37094355 2, 21 -0.324338108 0.238785669 2.28739071 2, 22 -0.281232446 0.309662938 2.26076841 2, 23 0.0733461455 1.14356649 2.21862292 2, 24 0.0859414935 1.0265795 2.2046001 2, 0 0.0536882654 0.000750519626 0.99855274 0.00306410948, 1 0.039222762 0.000706070045 0.999225497 0.00307465647, 2 0.0243273322 0.000937487639 0.999356568 -0.0263412111, 3 0 0 0 0, 4 -0.0312374495 0.801466405 -0.595798254 0.0412344486, 5 -0.03292007 0.899124444 -0.0662223324 -0.431400269, 6 -0.120115012 0.793754518 -0.0523999259 0.593953252, 7 -0.106108204 0.759879649 0.131945714 0.627626002, 8 -0.00160839001 0.824264109 0.566202879 -0.000582319568, 9 -0.580181181 0.277721614 0.140921101 0.752596617, 10 -0.599086463 0.0338844173 0.748221397 -0.283040911, 11 -0.655881882 -0.145209745 0.708274424 -0.216980189, 12 -0.186087385 0.705446541 -0.655158222 0.196174085, 13 0.0551687106 0.741436303 -0.0583964884 -0.666197062, 14 -0.0743540302 -0.641726196 0.067653507 0.760317087, 15 0 0 0 0, 16 -0.1207963 0.718425632 0.6737324 -0.123925529, 17 -0.0297513623 0.6675089 0.058445815 0.7417081, 18 0.0683577135 0.625826895 0.0824556053 0.772572994, 19 0 0 0 0, 20 0.0243374929 0.000457943184 0.999661505 -0.00918157771, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940348, 0 -0.161583945 0.370893031 2.37353587 2, 1 -0.161322162 0.694641113 2.37557745 2, 2 -0.160844758 1.00586581 2.3672924 2, 3 -0.17519021 1.1430521 2.34307718 2, 4 -0.321222842 0.881422997 2.35473132 2, 5 -0.360835701 0.620445371 2.35420489 2, 6 -0.344766706 0.371656626 2.29025936 2, 7 -0.325648367 0.319553077 2.29019022 2, 8 0.0305460319 0.856194437 2.37035656 2, 9 0.229222283 0.798603237 2.34639335 2, 10 0.156925097 1.00460041 2.23221326 2, 11 0.119412601 1.06951356 2.22264957 2, 12 -0.233505547 0.364801079 2.32961321 2, 13 -0.23798196 0.0470348522 2.38210869 2, 14 -0.227310881 -0.336395442 2.45839381 2, 15 -0.243922159 -0.448211312 2.36539555 2, 16 -0.0848373696 0.365735471 2.34573364 2, 17 -0.0448422283 0.0416167229 2.36094213 2, 18 -0.0457688421 -0.348800659 2.44580507 2, 19 -0.0226720236 -0.451947987 2.3565228 2, 20 -0.161067322 0.929812789 2.37129164 2, 21 -0.325002342 0.245576248 2.2833941 2, 22 -0.279880881 0.30891493 2.25691557 2, 23 0.0742156059 1.14040923 2.21660495 2, 24 0.0891648382 1.02691591 2.21261644 2, 0 0.0539562628 0.000573830679 0.998538256 0.00312658027, 1 0.0391095057 0.000527298311 0.999229908 0.0031347638, 2 0.0238285493 0.000835203798 0.99936986 -0.0262924824, 3 0 0 0 0, 4 -0.0310670659 0.801399469 -0.59592247 0.0408664495, 5 -0.0327103548 0.903717279 -0.0677727312 -0.421464056, 6 -0.121874213 0.827335358 -0.0427956171 0.54665482, 7 -0.103224769 0.79699415 0.141233027 0.578098774, 8 -0.00205636956 0.824207962 0.566282511 -0.00102914951, 9 -0.584841073 0.278036326 0.140282154 0.748984456, 10 0.663497746 -0.0569943786 -0.691254795 0.280515909, 11 0.707388043 0.126737073 -0.655007184 0.233464196, 12 -0.186283052 0.705387533 -0.65517056 0.196159437, 13 0.0561777502 0.741534829 -0.0598167032 -0.665876925, 14 -0.0736483335 -0.641316652 0.0661044642 0.760867238, 15 0 0 0 0, 16 -0.120560013 0.718490541 0.673747718 -0.123695947, 17 -0.0299884826 0.667292774 0.0583237819 0.741902649, 18 0.0680851862 0.625335097 0.08230941 0.77301079, 19 0 0 0 0, 20 0.0238354057 0.000324422261 0.999674261 -0.0091212783, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940348, 0 -0.161733076 0.370959431 2.37391496 2, 1 -0.161578089 0.694734156 2.37592649 2, 2 -0.161162391 1.00598931 2.36760926 2, 3 -0.175219432 1.14309764 2.34313464 2, 4 -0.321265459 0.88152045 2.35497093 2, 5 -0.361377269 0.621909976 2.35455537 2, 6 -0.344796866 0.371907681 2.29104829 2, 7 -0.325080276 0.318784505 2.28996634 2, 8 0.0304178167 0.856085896 2.37069869 2, 9 0.228318363 0.795311332 2.34919715 2, 10 0.156758845 1.00468695 2.23263574 2, 11 0.120021924 1.06950355 2.22379446 2, 12 -0.233723253 0.364938021 2.33028698 2, 13 -0.238169894 0.0473850407 2.3821857 2, 14 -0.227149427 -0.33786571 2.45846701 2, 15 -0.243789032 -0.448039621 2.36573005 2, 16 -0.084920384 0.36575675 2.34589529 2, 17 -0.0450420678 0.0421218015 2.3612442 2, 18 -0.0457777381 -0.348832548 2.44579101 2, 19 -0.0226347502 -0.451845169 2.356318 2, 20 -0.16137296 0.929928899 2.37161756 2, 21 -0.325133055 0.240457296 2.28675008 2, 22 -0.281894863 0.319179654 2.26316619 2, 23 0.0733124763 1.14000082 2.21482658 2, 24 0.0929663405 1.02402055 2.21894932 2, 0 0.0522121154 0.00040120323 0.99863112 0.00308960583, 1 0.0383185223 0.00035819551 0.999260724 0.00309488666, 2 0.0240199771 0.000749903265 0.999363899 -0.0263475627, 3 0 0 0 0, 4 -0.0312856697 0.801547229 -0.595694184 0.0411282741, 5 -0.03256879 0.906735361 -0.0693056583 -0.414689094, 6 -0.119317159 0.803565204 -0.0463980548 0.581286132, 7 -0.117862478 0.769085348 0.132054538 0.614148021, 8 -0.0020489716 0.824409306 0.565989614 -0.000965217303, 9 -0.577540338 0.276316375 0.143002644 0.754749358, 10 0.702683508 -0.0767493248 -0.651793599 0.274791867, 11 0.74549216 0.113995992 -0.613351345 0.234619528, 12 -0.185264856 0.70548141 -0.655745625 0.194860518, 13 0.0554663353 0.74046278 -0.059307199 -0.667173862, 14 -0.0735978633 -0.640763819 0.0655642748 0.761384547, 15 0 0 0 0, 16 -0.121215731 0.718490362 0.673465371 -0.124590486, 17 -0.029652331 0.668603897 0.0585037842 0.74072051, 18 0.0675720423 0.625419438 0.0820483342 0.773015261, 19 0 0 0 0, 20 0.0240245461 0.000215848137 0.999669313 -0.0091670407, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940348, 0 -0.161797166 0.371044487 2.37422204 2, 1 -0.161632136 0.694775522 2.37616539 2, 2 -0.161180735 1.00599933 2.36778927 2, 3 -0.175314844 1.14317775 2.34338546 2, 4 -0.321281433 0.881756186 2.35535431 2, 5 -0.358260989 0.612766743 2.35445929 2, 6 -0.344654143 0.372887522 2.29237247 2, 7 -0.325673223 0.318356246 2.29094195 2, 8 0.0302769896 0.856245458 2.37100792 2, 9 0.22712563 0.79205817 2.35241103 2, 10 0.156673133 1.00480044 2.23276663 2, 11 0.11939121 1.0693984 2.22451591 2, 12 -0.23381719 0.365053833 2.33063126 2, 13 -0.23836568 0.0474643409 2.38266635 2, 14 -0.22695227 -0.336672038 2.45852637 2, 15 -0.243994907 -0.448034197 2.3648982 2, 16 -0.0849511623 0.365811974 2.34614778 2, 17 -0.0450361259 0.0419414379 2.36206508 2, 18 -0.0456727333 -0.348944783 2.44587588 2, 19 -0.0225661695 -0.451807141 2.35628271 2, 20 -0.16140084 0.929945767 2.37181187 2, 21 -0.32591176 0.240768388 2.29022145 2, 22 -0.282775611 0.322560161 2.26543999 2, 23 0.0739933029 1.13991296 2.213943 2, 24 0.0909586772 1.02962935 2.23206258 2, 0 0.051887501 0.000410279579 0.998648405 0.00298417872, 1 0.0380823538 0.000369002431 0.999270082 0.00298956363, 2 0.0238764659 0.000814116967 0.999364734 -0.0264450368, 3 0 0 0 0, 4 -0.0308026653 0.801203907 -0.596199572 0.0408616401, 5 -0.031943012 0.892781675 -0.0603432134 -0.445285678, 6 -0.11956197 0.816497862 -0.048823107 0.562718689, 7 -0.11036592 0.787226439 0.125507623 0.593583882, 8 -0.00172922795 0.824281991 0.566176116 -0.000939703838, 9 -0.569259822 0.274819314 0.146832779 0.760826945, 10 0.758761525 -0.106088579 -0.585657477 0.264634341, 11 0.797051907 0.0979512855 -0.543263495 0.244905323, 12 -0.185050383 0.705395103 -0.655946314 0.194701031, 13 0.0554901883 0.7402426 -0.059574727 -0.667392313, 14 -0.0737520605 -0.639594615 0.06513419 0.762388885, 15 0 0 0 0, 16 -0.12129686 0.718557894 0.673330545 -0.124850765, 17 -0.0290638246 0.668874502 0.0591535531 0.740447879, 18 0.0669409409 0.625638366 0.0814309716 0.772958279, 19 0 0 0 0, 20 0.0238816086 0.000270527118 0.999671817 -0.00926402025, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940348, 0 -0.162017316 0.371190727 2.37466168 2, 1 -0.161774069 0.694867432 2.37652898 2, 2 -0.161227152 1.00604975 2.36808372 2, 3 -0.175344735 1.14323962 2.343431 2, 4 -0.321254641 0.8818537 2.35563898 2, 5 -0.360343426 0.620846629 2.35515189 2, 6 -0.344738662 0.373183399 2.29277658 2, 7 -0.325714082 0.319453806 2.29176021 2, 8 0.0302755684 0.856225491 2.37122321 2, 9 0.226651952 0.790965319 2.3533318 2, 10 0.156437844 1.00517988 2.23349166 2, 11 0.119664595 1.07067919 2.22527075 2, 12 -0.234084725 0.365291983 2.33111739 2, 13 -0.238592714 0.0475318208 2.383075 2, 14 -0.226838902 -0.334768176 2.45820928 2, 15 -0.244155228 -0.448201835 2.36425018 2, 16 -0.0851156861 0.365876317 2.34652686 2, 17 -0.0448343754 0.0408510156 2.36299872 2, 18 -0.0456783995 -0.348961353 2.44586349 2, 19 -0.0225581788 -0.451822579 2.35631275 2, 20 -0.161470607 0.930005491 2.372123 2, 21 -0.325114161 0.239981771 2.29241967 2, 22 -0.281954199 0.319973856 2.26378965 2, 23 0.0746782273 1.1445353 2.22133374 2, 24 0.0910870507 1.02701807 2.22420549 2, 0 0.0515007749 0.000523804978 0.99866873 0.00286128931, 1 0.0378537849 0.000484669843 0.999279082 0.0028681776, 2 0.0238064788 0.000966771971 0.999363184 -0.0265612006, 3 0 0 0 0, 4 -0.0308368765 0.801180184 -0.596220255 0.0409969874, 5 -0.032169871 0.904134274 -0.0669363216 -0.420744389, 6 -0.118182048 0.811240196 -0.0455705039 0.570828974, 7 -0.110491082 0.780727267 0.128608659 0.601428688, 8 -0.00185148569 0.824350178 0.566075981 -0.00117211055, 9 -0.566903472 0.273458332 0.146712586 0.763096571, 10 0.722657859 -0.0901915133 -0.630314052 0.268952072, 11 0.764840007 0.109301314 -0.590270221 0.233782008, 12 -0.184795648 0.70507437 -0.656436205 0.194453731, 13 0.0553913042 0.739983559 -0.059439823 -0.667699754, 14 -0.0737598687 -0.638557196 0.0645584762 0.76330632, 15 0 0 0 0, 16 -0.121347845 0.718837321 0.672973335 -0.125118181, 17 -0.0287774615 0.669180572 0.0599533245 0.740118027, 18 0.0665604621 0.625347912 0.0806159824 0.773311555, 19 0 0 0 0, 20 0.0238140598 0.000421924604 0.999672353 -0.00938038155, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 2, 1, 1, 72057594037940348, 0 -0.162056938 0.371239156 2.37500596 2, 1 -0.161905825 0.694947958 2.37684822 2, 2 -0.161421075 1.0061661 2.36838603 2, 3 -0.175384119 1.14327347 2.34340119 2, 4 -0.32128492 0.881917655 2.3558774 2, 5 -0.357842982 0.613411129 2.35482907 2, 6 -0.344682693 0.373375982 2.29342461 2, 7 -0.325924903 0.319457412 2.29225993 2, 8 0.0300280657 0.856418252 2.37179399 2, 9 0.227811113 0.796648443 2.35118246 2, 10 0.156274334 1.005337 2.23373246 2, 11 0.119422004 1.07052636 2.22594476 2, 12 -0.234108508 0.365367502 2.33165598 2, 13 -0.238534123 0.0479423441 2.38324952 2, 14 -0.226823986 -0.334903598 2.45837927 2, 15 -0.244308382 -0.448277622 2.36419201 2, 16 -0.0851555616 0.365902394 2.34670734 2, 17 -0.0448596738 0.0408529118 2.36313915 2, 18 -0.0455845818 -0.34867838 2.4458189 2, 19 -0.0225210879 -0.451810122 2.35628676 2, 20 -0.161651164 0.930112958 2.37242985 2, 21 -0.328308433 0.242313251 2.29019928 2, 22 -0.281840444 0.314216495 2.26325798 2, 23 0.0737447962 1.14151561 2.21776748 2, 24 0.0906832442 1.02652979 2.22160864 2, 0 0.050319761 0.000376296171 0.99872911 0.0028301673, 1 0.0374790207 0.000339889084 0.999293268 0.0028347699, 2 0.0242639575 0.000866021379 0.99935168 -0.0265861023, 3 0 0 0 0, 4 -0.030947974 0.801314056 -0.596016586 0.0412582606, 5 -0.031944491 0.892566502 -0.0596174188 -0.445814371, 6 -0.116890192 0.805099726 -0.0511592925 0.579252839, 7 -0.111343138 0.773883402 0.124346614 0.610938013, 8 -0.00139361678 0.8242746 0.566188037 -0.000705509505, 9 -0.578692496 0.275363386 0.14556852 0.753723979, 10 0.695786953 -0.0755019635 -0.658317149 0.277125448, 11 0.741613448 0.12122535 -0.61882031 0.228856817, 12 -0.184224874 0.705189645 -0.656682551 0.193744406, 13 0.0550531149 0.739246488 -0.0590969957 -0.668574035, 14 -0.0735792294 -0.638188899 0.0645373389 0.76363343, 15 0 0 0 0, 16 -0.121909112 0.718785584 0.672787547 -0.125866324, 17 -0.0287621263 0.670054793 0.0599525161 0.739327431, 18 0.0663786978 0.62565279 0.0805658028 0.773085773, 19 0 0 0 0, 20 0.0242697988 0.000313244935 0.999661207 -0.00940332469, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
