sep=, 
Hand-Neck Distance (m), Elbow Angle (rad)
0.31954658, 1.00771928
0.320170671, 0.996357501
0.320415616, 1.01119304
0.32129398, 1.00234807
0.32167092, 1.0158931
0.32174021, 1.02251852
0.322151184, 1.01114964
0.321352303, 0.995483339
0.321671695, 0.992602527
0.321410328, 1.01215208
0.322186321, 1.02134049
0.322581738, 1.0300703
0.322153032, 1.03442562
0.323075235, 1.03871262
0.322043329, 1.01651442
0.322739959, 1.00739121
0.321828157, 1.02680278
0.323211551, 1.01838648
0.322175384, 1.02549052
0.322192103, 1.01488793
0.322437197, 1.00811386
0.322162807, 1.00542557
0.322260469, 1.02533209
0.322052509, 1.03703427
0.321725518, 1.04274821
0.32135886, 1.04261124
0.321286798, 1.02145028
0.320711523, 1.03808653
0.320429176, 1.04149532
0.320288897, 1.04819202
0.321446806, 1.03106391
0.32034108, 1.0377866
0.319794923, 1.03920341
0.320201159, 1.02099669
0.319719166, 1.01267338
0.319374174, 1.00892913
0.320518494, 1.03445673
0.324324638, 1.05645311
0.33287406, 1.08414543
0.353348911, 1.15096498
0.388362527, 1.26638567
0.432541072, 1.40731776
0.48171252, 1.57382369
0.532459855, 1.73423278
0.579430461, 1.91715717
0.622100592, 2.05559516
0.656007349, 2.16880918
0.681679964, 2.2510488
0.694953799, 2.30575538
0.699855864, 2.32382822
0.698924422, 2.32471681
0.697165906, 2.30808449
0.692170262, 2.27259469
0.684082866, 2.2234633
0.66909951, 2.16291046
0.655190229, 2.1006341
0.635483742, 2.02051044
0.612268031, 1.95236635
0.583776593, 1.88718426
0.555821836, 1.79917753
0.525423944, 1.70118344
0.493364394, 1.60016942
0.46170947, 1.50303233
0.427250326, 1.40976024
0.393651307, 1.31388545
0.359581321, 1.21697974
0.325907737, 1.13115752
0.295982957, 1.05070257
0.274779975, 0.949128687
0.26228112, 0.901063979
0.256814718, 0.863555431
0.256190568, 0.857022285
0.256773591, 0.86022532
0.259472311, 0.86928004
0.259765536, 0.872580945
0.260456979, 0.877002597
0.261373132, 0.880990744
0.262476742, 0.884493709
0.263047278, 0.886256456
0.261768967, 0.885001123
0.261543602, 0.88495487
0.261263043, 0.88479948
0.263088077, 0.890216231
0.263280004, 0.890227914
0.262089759, 0.887713909
0.261670291, 0.887121737
0.262451321, 0.889387488
0.261958957, 0.88911742
0.262409419, 0.890004933
0.262497008, 0.891010344
0.262357146, 0.889825463
0.263270199, 0.893258572
0.262122482, 0.889864028
0.263154209, 0.89218986
0.263169467, 0.892062485
0.261803955, 0.888191581
0.263170451, 0.891830325
0.262619436, 0.890561521
0.263349503, 0.892710268
0.263644367, 0.894061387
0.263220221, 0.892672598
