sep=, 
LeftHandState, LeftHandTrackingConfidence, RightHandState, RightHandTrackingConfidence, TrackingState, TrackingID, Joint0, Joint1, Joint2, Joint3, Joint4, Joint5, Joint6, Joint7, Joint8, Joint9, Joint10, Joint11, Joint12, Joint13, Joint14, Joint15, Joint16, Joint17, Joint18, Joint19, Joint20, Joint21, Joint22, Joint23, Joint24, JointOrientation0, JointOrientation1, JointOrientation2, JointOrientation3, JointOrientation4, JointOrientation5, JointOrientation6, JointOrientation7, JointOrientation8, JointOrientation9, JointOrientation10, JointOrientation11, JointOrientation12, JointOrientation13, JointOrientation14, JointOrientation15, JointOrientation16, JointOrientation17, JointOrientation18, JointOrientation19, JointOrientation20, JointOrientation21, JointOrientation22, JointOrientation23, JointOrientation24
1, 1, 4, 0, 1, 72057594037940400, 0 -0.237957358 0.369493425 2.32181644 2, 1 -0.241913304 0.693304002 2.31893635 2, 2 -0.24475427 1.00367427 2.30503321 2, 3 -0.243496135 1.14791572 2.28949428 2, 4 -0.413490862 0.870512247 2.30373168 2, 5 -0.450520128 0.622949719 2.30903006 2, 6 -0.429419935 0.362030298 2.24226117 2, 7 -0.412061393 0.305675775 2.23885059 2, 8 -0.0481387302 0.870379508 2.32181191 2, 9 0.150027454 0.761851192 2.30114293 2, 10 0.375780582 0.653175175 2.2305541 2, 11 0.450704664 0.598218799 2.20839572 2, 12 -0.311838955 0.362541288 2.27406216 2, 13 -0.303350449 0.0361839905 2.33149028 2, 14 -0.289860129 -0.338504761 2.41539168 2, 15 -0.310824662 -0.442329854 2.33412719 2, 16 -0.156518936 0.364637107 2.29379368 2, 17 -0.128733411 0.0351110324 2.31109118 2, 18 -0.13532047 -0.353450716 2.40466475 2, 19 -0.118983321 -0.448344469 2.32004023 2, 20 -0.244276926 0.927975118 2.31054902 2, 21 -0.410539001 0.224707618 2.24052143 2, 22 -0.453500956 0.294575334 2.22691679 2, 23 0.518127322 0.55893904 2.15771723 2, 24 0.454684705 0.537256956 2.21510649 2, 0 0.0631612465 -0.00637657987 0.997974694 -0.00405213935, 1 0.0438116007 -0.00629686425 0.999011278 -0.00417493796, 2 0.0242339373 -0.00402739737 0.999039948 -0.036272645, 3 0 0 0 0, 4 -0.00168213528 0.812241733 -0.582527161 0.0303748306, 5 -0.0220949408 0.90156287 -0.0715794489 -0.426113397, 6 0.0444276966 -0.602247715 -0.122940645 0.78753382, 7 -0.0965161547 -0.626211166 -0.11677736 0.764792383, 8 0.0281077269 0.800370216 0.598788381 0.00836712681, 9 -0.428931683 0.53905195 0.277207792 0.6697734, 10 -0.438600957 -0.263991326 -0.314452231 0.79941076, 11 -0.376070261 -0.286407769 -0.266295731 0.840016842, 12 -0.191980526 0.704386711 -0.65096283 0.207918644, 13 0.0737043098 0.746850193 -0.0479061753 -0.659156621, 14 -0.0819570422 -0.615904391 0.0752777681 0.77992177, 15 0 0 0 0, 16 -0.109222017 0.716049135 0.678175271 -0.124186911, 17 -0.0142006855 0.660732627 0.0473977514 0.748988748, 18 0.0823940486 0.640703142 0.0847007185 0.758641183, 19 0 0 0 0, 20 0.0241046846 -0.00546257803 0.99953723 -0.0177346133, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 4, 0, 1, 72057594037940400, 0 -0.238010928 0.369520396 2.32186937 2, 1 -0.241998374 0.69333142 2.31899953 2, 2 -0.244872823 1.00370193 2.305125 2, 3 -0.243606046 1.14760661 2.28966761 2, 4 -0.413539767 0.87053901 2.30381727 2, 5 -0.450627178 0.622970462 2.30912852 2, 6 -0.429417849 0.361940622 2.24266124 2, 7 -0.412460268 0.304560512 2.23985481 2, 8 -0.0481261127 0.870449901 2.32181907 2, 9 0.150035158 0.761912286 2.30113864 2, 10 0.37583819 0.653206527 2.2306428 2, 11 0.450580478 0.598794401 2.20854425 2, 12 -0.311879337 0.36256367 2.27408433 2, 13 -0.303377897 0.0361771099 2.33152199 2, 14 -0.290003896 -0.343872637 2.41546941 2, 15 -0.310933471 -0.442393899 2.33412004 2, 16 -0.156584933 0.364661306 2.29392028 2, 17 -0.128657773 0.0353756584 2.31096792 2, 18 -0.13540639 -0.353704005 2.40445971 2, 19 -0.119393736 -0.448222697 2.32051206 2, 20 -0.244385421 0.928002059 2.31063104 2, 21 -0.407704413 0.223320276 2.2396481 2, 22 -0.455128431 0.274237782 2.23276949 2, 23 0.517890036 0.562311947 2.15999174 2, 24 0.455949634 0.537033737 2.21202469 2, 0 0.0635013953 -0.00642548176 0.997952938 -0.00403107191, 1 0.0439335071 -0.00634525577 0.999005675 -0.00415621046, 2 0.0241339915 -0.00408848235 0.999044478 -0.0362069234, 3 0 0 0 0, 4 -0.00171990495 0.81227541 -0.582483113 0.0303175244, 5 -0.0219964683 0.902289331 -0.0717301965 -0.42455259, 6 0.0410476215 -0.583784282 -0.123579822 0.801398158, 7 -0.0985648409 -0.606176972 -0.106360771 0.781998634, 8 0.0279468857 0.800262332 0.598941624 0.00825747941, 9 -0.429037511 0.53880477 0.27700913 0.669986665, 10 -0.447609991 -0.240790293 -0.301436037 0.80672282, 11 -0.385039598 -0.261408925 -0.255988926 0.847277761, 12 -0.192125455 0.70437187 -0.650902152 0.208025202, 13 0.0737377107 0.747075438 -0.0478713773 -0.658900082, 14 -0.0807523876 -0.615919411 0.0744021609 0.780119717, 15 0 0 0 0, 16 -0.108962364 0.716115475 0.678196669 -0.123915136, 17 -0.0146384044 0.660468459 0.0472853519 0.749220431, 18 0.082445167 0.641303778 0.0843222067 0.758170247, 19 0 0 0 0, 20 0.0240044557 -0.00550972484 0.999540031 -0.0176939238, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 4, 1, 1, 72057594037940400, 0 -0.238361925 0.36958769 2.32249546 2, 1 -0.242093861 0.693392754 2.31913567 2, 2 -0.24487792 1.00374711 2.30511332 2, 3 -0.243772671 1.14746201 2.28988838 2, 4 -0.414215535 0.870481312 2.30430007 2, 5 -0.450544178 0.622668743 2.30948782 2, 6 -0.429664493 0.362489223 2.24352622 2, 7 -0.413103163 0.305856556 2.24234509 2, 8 -0.0482990518 0.870529473 2.32183099 2, 9 0.149914384 0.762086332 2.30124927 2, 10 0.375832468 0.653388321 2.23096585 2, 11 0.451583713 0.599079847 2.20928407 2, 12 -0.312132835 0.362617731 2.27456522 2, 13 -0.303260893 0.0361702889 2.33157635 2, 14 -0.290031821 -0.344106197 2.41585875 2, 15 -0.310771734 -0.441755354 2.33387232 2, 16 -0.157030076 0.364721715 2.29478431 2, 17 -0.128628209 0.035848327 2.31121707 2, 18 -0.135358259 -0.353304207 2.40460825 2, 19 -0.120380647 -0.447964609 2.3210783 2, 20 -0.244400665 0.928042233 2.31063843 2, 21 -0.413076997 0.225806803 2.24371862 2, 22 -0.457673728 0.286919653 2.23820972 2, 23 0.520272374 0.559492052 2.15910316 2, 24 0.460801274 0.538329124 2.22003055 2, 0 0.0647978559 -0.00608614832 0.997868299 -0.00480323564, 1 0.0442494228 -0.00598601578 0.998990476 -0.0049274629, 2 0.0234315731 -0.00399878575 0.999056935 -0.0363341719, 3 0 0 0 0, 4 -0.000542761059 0.812119067 -0.582742572 0.0295550041, 5 -0.0217667818 0.901139677 -0.0701420456 -0.427262723, 6 0.0398762971 -0.575615823 -0.12330009 0.807386756, 7 -0.106846973 -0.598033786 -0.093696177 0.788771391, 8 0.0282541532 0.800275207 0.598914742 0.00790123176, 9 -0.429015338 0.53883338 0.277402759 0.669815004, 10 -0.455714941 -0.219466567 -0.289116949 0.812754452, 11 -0.395659596 -0.239925325 -0.244333506 0.852168083, 12 -0.192213684 0.704039872 -0.650817871 0.209327042, 13 0.0736779794 0.747901082 -0.0469334871 -0.658037007, 14 -0.0809478313 -0.617266655 0.0746629313 0.779008865, 15 0 0 0 0, 16 -0.10778641 0.716246903 0.678315222 -0.123535365, 17 -0.0158731192 0.659482479 0.0470993258 0.750075042, 18 0.0827187449 0.644774616 0.0838519782 0.755243063, 19 0 0 0 0, 20 0.0233082063 -0.00533337239 0.999552429 -0.0179772377, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 4, 1, 1, 72057594037940400, 0 -0.23874855 0.36968714 2.32287693 2, 1 -0.242249608 0.693459094 2.31932521 2, 2 -0.244893387 1.00378227 2.30517364 2, 3 -0.243890762 1.14741707 2.29005432 2, 4 -0.414308846 0.870537579 2.30436659 2, 5 -0.450622797 0.622851789 2.31007576 2, 6 -0.429720998 0.362880319 2.24414349 2, 7 -0.413359702 0.304083288 2.24296832 2, 8 -0.0484251603 0.870642364 2.32197213 2, 9 0.149781525 0.762176752 2.30160213 2, 10 0.375926375 0.653410673 2.23103809 2, 11 0.451595247 0.599279284 2.20879388 2, 12 -0.312478513 0.362737536 2.27488852 2, 13 -0.303286582 0.0362049155 2.33160973 2, 14 -0.289911807 -0.345509082 2.41582203 2, 15 -0.310760081 -0.441761643 2.33387423 2, 16 -0.157435954 0.364779741 2.29526448 2, 17 -0.129167646 0.035643138 2.31209707 2, 18 -0.135299638 -0.353376597 2.40467834 2, 19 -0.119873442 -0.447868228 2.3210001 2, 20 -0.244439229 0.928084075 2.31072164 2, 21 -0.407313824 0.220892921 2.24389458 2, 22 -0.457420468 0.285860777 2.23617029 2, 23 0.521319509 0.559245944 2.16008902 2, 24 0.458515018 0.537474513 2.21603847 2, 0 0.0653209984 -0.00575290341 0.997834563 -0.00511956168, 1 0.0445702039 -0.00564526767 0.998976529 -0.00523801148, 2 0.023531625 -0.00385406544 0.999049485 -0.0364908315, 3 0 0 0 0, 4 -0.000427494553 0.812059581 -0.58281374 0.029783763, 5 -0.0209476668 0.900361955 -0.0705587044 -0.42887181, 6 0.0401178263 -0.577418327 -0.123285472 0.806088865, 7 -0.101924896 -0.59852159 -0.0894567221 0.789544642, 8 0.0284989029 0.800210536 0.598990381 0.00783517864, 9 -0.428577691 0.53907913 0.277962357 0.669665456, 10 -0.450899124 -0.23233144 -0.296757579 0.809102535, 11 -0.391075283 -0.251926601 -0.253225237 0.848215878, 12 -0.192216367 0.703789651 -0.650904238 0.209896579, 13 0.0736766905 0.748212516 -0.0462401807 -0.657732248, 14 -0.0806829706 -0.616632342 0.074275203 0.779575467, 15 0 0 0 0, 16 -0.107300624 0.716463029 0.678203225 -0.123319894, 17 -0.0153323039 0.659107804 0.0473744012 0.750398219, 18 0.0814131498 0.643685579 0.0837496594 0.75632447, 19 0 0 0 0, 20 0.0234162882 -0.00509161036 0.999546945 -0.0182106439, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 4, 1, 1, 72057594037940400, 0 -0.238835409 0.369667977 2.32323265 2, 1 -0.242407948 0.693502009 2.31953716 2, 2 -0.245096266 1.00387979 2.30528021 2, 3 -0.24401924 1.14735878 2.29002738 2, 4 -0.414331734 0.870629072 2.30433536 2, 5 -0.451323748 0.624111056 2.31092525 2, 6 -0.429937333 0.36348182 2.24473286 2, 7 -0.412883312 0.305781662 2.24194121 2, 8 -0.0485698096 0.870648503 2.32197452 2, 9 0.149692148 0.762286007 2.30165911 2, 10 0.376052648 0.653434217 2.23111463 2, 11 0.451236665 0.598499238 2.20748663 2, 12 -0.312532723 0.362737477 2.27515507 2, 13 -0.30319038 0.0362591296 2.33156252 2, 14 -0.289788544 -0.345284522 2.41565752 2, 15 -0.311173141 -0.442110151 2.33258724 2, 16 -0.157549024 0.364723116 2.29576063 2, 17 -0.129465654 0.0359491333 2.31221819 2, 18 -0.135326162 -0.353460908 2.404531 2, 19 -0.116410002 -0.449056983 2.31772304 2, 20 -0.244629562 0.928167164 2.31085157 2, 21 -0.41199252 0.222885221 2.2455442 2, 22 -0.45731312 0.286647826 2.23344612 2, 23 0.519171298 0.559627771 2.1572144 2, 24 0.458067894 0.536959589 2.21526623 2, 0 0.0660706386 -0.00588039309 0.997783422 -0.00532840751, 1 0.044985909 -0.00576656265 0.998956084 -0.00545139425, 2 0.0236080661 -0.00394236576 0.999042034 -0.036634963, 3 0 0 0 0, 4 -0.000707399508 0.81211555 -0.582714438 0.0301962886, 5 -0.0198962186 0.90098685 -0.07288941 -0.427216619, 6 0.0396716706 -0.578135014 -0.123840973 0.805511892, 7 -0.0995379537 -0.600224197 -0.105416976 0.786581457, 8 0.028316306 0.800305784 0.598875582 0.00754262321, 9 -0.428400487 0.539659441 0.278632283 0.669032633, 10 -0.449406028 -0.236685157 -0.299030215 0.807833672, 11 -0.38337478 -0.253269166 -0.259040743 0.849574208, 12 -0.192502961 0.703576982 -0.650909483 0.210330456, 13 0.073525019 0.748735964 -0.0457125828 -0.657190144, 14 -0.0805604383 -0.615643263 0.074273549 0.780369639, 15 0 0 0 0, 16 -0.106620103 0.71668601 0.678133249 -0.122998022, 17 -0.0155512635 0.658538103 0.0468060151 0.750929415, 18 0.0797468126 0.633606851 0.0847114921 0.764857352, 19 0 0 0 0, 20 0.0234920476 -0.0051642824 0.999541759 -0.0183799583, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 4, 1, 1, 72057594037940400, 0 -0.239185691 0.369731337 2.32379198 2, 1 -0.242600694 0.693563581 2.3199358 2, 2 -0.245144919 1.00393486 2.30551982 2, 3 -0.244073346 1.14735389 2.29015684 2, 4 -0.414398551 0.870626569 2.30455637 2, 5 -0.4514741 0.623949885 2.31127262 2, 6 -0.430288643 0.363604367 2.24600148 2, 7 -0.414532483 0.306711227 2.24568009 2, 8 -0.0494140163 0.870440006 2.32584 2, 9 0.149061814 0.762699544 2.30189514 2, 10 0.376271486 0.653534889 2.23170662 2, 11 0.451308012 0.600277424 2.21114826 2, 12 -0.312797219 0.362828434 2.27564192 2, 13 -0.303445458 0.0362896323 2.33209968 2, 14 -0.289566636 -0.346375793 2.41594911 2, 15 -0.310798556 -0.441616327 2.33274531 2, 16 -0.157971233 0.364739776 2.29642606 2, 17 -0.129807964 0.0362196416 2.31232834 2, 18 -0.135344625 -0.353369117 2.40451264 2, 19 -0.11942783 -0.447705686 2.32014155 2, 20 -0.244709313 0.928224504 2.31112623 2, 21 -0.412153929 0.223673105 2.25027299 2, 22 -0.458811462 0.289954364 2.24138117 2, 23 0.521040499 0.561196148 2.16196275 2, 24 0.457306892 0.537564993 2.21637774 2, 0 0.0667027235 -0.00565767521 0.997741163 -0.00558846863, 1 0.04758754 -0.00554964086 0.998835385 -0.00569576724, 2 0.0282039065 -0.00391254155 0.998914957 -0.0368533358, 3 0 0 0 0, 4 0.000147093175 0.812157989 -0.58257848 0.0316497087, 5 -0.0195817258 0.901812434 -0.0731388927 -0.425442994, 6 0.0381778888 -0.572575092 -0.12270312 0.809718549, 7 -0.106226988 -0.593229949 -0.082827732 0.793683648, 8 0.0348254479 0.800816834 0.597740889 0.0136176357, 9 -0.435259551 0.537638187 0.270811588 0.669444025, 10 -0.451764435 -0.232319027 -0.295484662 0.809089303, 11 -0.395189852 -0.255150765 -0.247778282 0.846952736, 12 -0.19271417 0.703286052 -0.650955439 0.210966781, 13 0.0736038014 0.749118865 -0.0456995815 -0.656745613, 14 -0.0806360841 -0.61581105 0.0734284818 0.780309498, 15 0 0 0 0, 16 -0.106174007 0.716929376 0.677978158 -0.122820586, 17 -0.0162404813 0.658055902 0.0462802686 0.751369894, 18 0.080313772 0.642770529 0.083855845 0.75720799, 19 0 0 0 0, 20 0.0280986764 -0.00501586264 0.999419034 -0.0186267551, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 4, 1, 1, 72057594037940400, 0 -0.239347428 0.369730234 2.3241744 2, 1 -0.24273105 0.693612754 2.32024622 2, 2 -0.245216206 1.00402093 2.30574059 2, 3 -0.244331375 1.14756751 2.29035568 2, 4 -0.414668709 0.870509088 2.30511642 2, 5 -0.451671511 0.623490691 2.31166506 2, 6 -0.430434406 0.363293171 2.24650764 2, 7 -0.414330602 0.305793047 2.24557471 2, 8 -0.0495482273 0.870600939 2.32549953 2, 9 0.148918912 0.762812078 2.3019371 2, 10 0.376303226 0.653651118 2.23188186 2, 11 0.451545328 0.599811971 2.20964408 2, 12 -0.312960625 0.362842143 2.27598596 2, 13 -0.303420305 0.0361693054 2.33225179 2, 14 -0.289383441 -0.345876038 2.41612434 2, 15 -0.310873985 -0.441706568 2.33280945 2, 16 -0.158114955 0.364714682 2.29686928 2, 17 -0.129994005 0.0360302329 2.31332016 2, 18 -0.135401428 -0.35347712 2.40449262 2, 19 -0.119615011 -0.447778285 2.320292 2, 20 -0.244795918 0.928302944 2.3113687 2, 21 -0.414265305 0.223494291 2.25228405 2, 22 -0.45758906 0.28567645 2.23640394 2, 23 0.521272004 0.561435342 2.16307211 2, 24 0.460075408 0.540157497 2.23075008 2, 0 0.0670077056 -0.00561761344 0.997720361 -0.00570000568, 1 0.0471618995 -0.00550319999 0.998855233 -0.00581054622, 2 0.0270313527 -0.00377179845 0.998942494 -0.0369992964, 3 0 0 0 0, 4 0.000757458853 0.812396407 -0.582282662 0.0309591107, 5 -0.0197511613 0.902106285 -0.0727799386 -0.424873322, 6 0.0391178504 -0.579954684 -0.122307248 0.804464579, 7 -0.103407063 -0.601020157 -0.0888364688 0.787521303, 8 0.0339727663 0.800758064 0.597895145 0.0124033866, 9 -0.434936583 0.536945105 0.271086097 0.670098782, 10 -0.474041998 -0.167433977 -0.258427382 0.82490325, 11 -0.410027146 -0.182336763 -0.221306413 0.865825951, 12 -0.192772001 0.70316273 -0.651009977 0.211156607, 13 0.0735612735 0.749321282 -0.0452573076 -0.656550109, 14 -0.0808515325 -0.614871144 0.0735352039 0.781017959, 15 0 0 0 0, 16 -0.105849087 0.717059076 0.677925766 -0.122633658, 17 -0.0156484414 0.657837272 0.0468337685 0.751539648, 18 0.0794558153 0.643211305 0.0830075368 0.757017672, 19 0 0 0 0, 20 0.0269260053 -0.00490412395 0.999449015 -0.0187773146, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 4, 1, 1, 72057594037940400, 0 -0.23938185 0.369693846 2.32483768 2, 1 -0.242774218 0.69360584 2.32048726 2, 2 -0.24522914 1.00402439 2.30576253 2, 3 -0.244497702 1.14748752 2.29042649 2, 4 -0.414765954 0.870513916 2.30526257 2, 5 -0.452029496 0.623469591 2.31225896 2, 6 -0.430613488 0.363131672 2.24726987 2, 7 -0.413990378 0.306251824 2.24607658 2, 8 -0.0495844446 0.870606005 2.32544446 2, 9 0.148933142 0.762896836 2.30214977 2, 10 0.376472682 0.653664112 2.23205733 2, 11 0.451263487 0.60023576 2.2088964 2, 12 -0.313011914 0.362835974 2.27658701 2, 13 -0.303510666 0.0361812897 2.33237958 2, 14 -0.289140105 -0.346736193 2.41632199 2, 15 -0.310619533 -0.441387266 2.33291745 2, 16 -0.158115253 0.364637613 2.29762363 2, 17 -0.130670741 0.0320812203 2.31571126 2, 18 -0.135430843 -0.353567272 2.4045701 2, 19 -0.117241308 -0.448320806 2.3183465 2, 20 -0.244816765 0.928306282 2.31142306 2, 21 -0.414567679 0.225475267 2.24564624 2, 22 -0.455871791 0.29802838 2.23348022 2, 23 0.519785345 0.556606293 2.15171409 2, 24 0.458109319 0.538607001 2.22309732 2, 0 0.0674709901 -0.00567712169 0.997684896 -0.00634611817, 1 0.0472645126 -0.00554751558 0.998846114 -0.00645971997, 2 0.026765639 -0.00371547206 0.998941839 -0.0372143649, 3 0 0 0 0, 4 0.00114054582 0.812352955 -0.582338333 0.0310402736, 5 -0.0190948788 0.902415216 -0.0736332834 -0.424099416, 6 0.042235747 -0.603475451 -0.12099947 0.78701508, 7 -0.103253171 -0.626427293 -0.097525984 0.766430855, 8 0.0340268388 0.800773025 0.59788239 0.0118883476, 9 -0.434249133 0.53798461 0.272467226 0.669150114, 10 -0.457960933 -0.215873659 -0.285962254 0.813569903, 11 -0.394776046 -0.230356127 -0.249639377 0.85367924, 12 -0.192615986 0.702871501 -0.651203096 0.211672708, 13 0.0730231032 0.749690235 -0.0448044538 -0.656220138, 14 -0.0810416341 -0.61466676 0.0731973499 0.781190872, 15 0 0 0 0, 16 -0.105018817 0.717211843 0.677881539 -0.122697972, 17 -0.0131087536 0.657531798 0.0474615805 0.751816213, 18 0.0770136639 0.636388421 0.0828894004 0.763025582, 19 0 0 0 0, 20 0.0266607665 -0.00486191176 0.999448776 -0.0191759765, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 4, 0, 1, 72057594037940400, 0 -0.239579007 0.369811416 2.32584786 2, 1 -0.24287881 0.693737864 2.32151151 2, 2 -0.245200798 1.00417614 2.30670428 2, 3 -0.244674802 1.14743876 2.29056358 2, 4 -0.414769739 0.870607376 2.30563998 2, 5 -0.452165246 0.62350136 2.31267738 2, 6 -0.43091467 0.362905413 2.24791169 2, 7 -0.415457815 0.306850255 2.24852633 2, 8 -0.0495834015 0.87061578 2.32545209 2, 9 0.148988828 0.763001859 2.30233407 2, 10 0.37583515 0.654598713 2.2324152 2, 11 0.451481849 0.600848794 2.21051288 2, 12 -0.313239634 0.362992883 2.27783394 2, 13 -0.303575575 0.0361510888 2.33272552 2, 14 -0.28918013 -0.344099849 2.41617393 2, 15 -0.310581446 -0.441289097 2.33312249 2, 16 -0.158266395 0.364713281 2.29843712 2, 17 -0.131073684 0.032362245 2.31643605 2, 18 -0.135596633 -0.353128284 2.4047184 2, 19 -0.115775637 -0.449067891 2.31799054 2, 20 -0.244823664 0.928453028 2.31239247 2, 21 -0.412730694 0.22353515 2.252707 2, 22 -0.458062172 0.288523614 2.23577714 2, 23 0.522868276 0.562060535 2.16839457 2, 24 0.461747557 0.538294911 2.21379685 2, 0 0.0660655648 -0.00552395033 0.997779846 -0.00634161849, 1 0.046375908 -0.00539781572 0.998888671 -0.00644932082, 2 0.0264022499 -0.00347431772 0.998945475 -0.0374008715, 3 0 0 0 0, 4 -0.000213789492 0.812388182 -0.582239389 0.0319799706, 5 -0.0190835781 0.902647555 -0.0738963932 -0.423559219, 6 0.0413098559 -0.597725034 -0.120694593 0.791486621, 7 -0.108019784 -0.619432211 -0.0796725675 0.773490608, 8 0.0322395861 0.801011622 0.597690642 0.0103355832, 9 -0.434904903 0.536084473 0.271775723 0.670529008, 10 -0.444277614 -0.25449273 -0.308083087 0.801832676, 11 -0.38586688 -0.275363028 -0.263142735 0.840260565, 12 -0.191804096 0.702997446 -0.651577771 0.210836917, 13 0.072081238 0.74885428 -0.0438117348 -0.657344818, 14 -0.0812397748 -0.614687264 0.0731829852 0.781155586, 15 0 0 0 0, 16 -0.105717041 0.717236221 0.677620649 -0.123395473, 17 -0.012854577 0.658600748 0.0471629724 0.75090307, 18 0.0758052766 0.631295562 0.0830841139 0.7673437, 19 0 0 0 0, 20 0.0262994375 -0.00464981329 0.999457002 -0.0192986261, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 4, 0, 1, 72057594037940400, 0 -0.239699066 0.369928718 2.32687712 2, 1 -0.24307403 0.693934023 2.32219934 2, 2 -0.245410413 1.0044241 2.30709767 2, 3 -0.244883865 1.14735377 2.29070115 2, 4 -0.415032893 0.870859802 2.30639911 2, 5 -0.452602983 0.623116434 2.31354117 2, 6 -0.431539148 0.363012612 2.24948001 2, 7 -0.415510595 0.30608356 2.25056648 2, 8 -0.0496130325 0.87067461 2.32546949 2, 9 0.149002284 0.763134658 2.30250502 2, 10 0.376063347 0.654713333 2.23278904 2, 11 0.451272279 0.600658059 2.20947146 2, 12 -0.313340157 0.363122642 2.27902985 2, 13 -0.303688914 0.0352197327 2.3336494 2, 14 -0.288956285 -0.34492591 2.41664386 2, 15 -0.31050545 -0.441179752 2.33359504 2, 16 -0.158387363 0.364810854 2.29931855 2, 17 -0.131548434 0.033056356 2.3168149 2, 18 -0.135568187 -0.352278203 2.4048965 2, 19 -0.11596036 -0.448996127 2.31788421 2, 20 -0.245033428 0.928690374 2.31285334 2, 21 -0.412920445 0.22036548 2.25127697 2, 22 -0.459343821 0.277916104 2.23976946 2, 23 0.521050215 0.560322046 2.16232538 2, 24 0.458113194 0.538369715 2.21850896 2, 0 0.0650788844 -0.00566627877 0.997840464 -0.00686358986, 1 0.0453816429 -0.00552977715 0.998930097 -0.00697403448, 2 0.0254060011 -0.00344670005 0.998954833 -0.0378415994, 3 0 0 0 0, 4 0.00054838392 0.812357724 -0.582301855 0.0316082872, 5 -0.0188876092 0.903233349 -0.0741350651 -0.422275662, 6 0.0404810905 -0.595110714 -0.119846851 0.793625355, 7 -0.112751454 -0.617257833 -0.077979967 0.774725139, 8 0.0317658931 0.801214993 0.597463608 0.0090955412, 9 -0.434880763 0.535866022 0.272089005 0.670592189, 10 -0.446667373 -0.249240905 -0.304733694 0.803433001, 11 -0.38293165 -0.265913963 -0.265291572 0.843962967, 12 -0.191071257 0.703053057 -0.651810884 0.210595831, 13 0.0714984983 0.748282969 -0.0434878729 -0.658079982, 14 -0.081166409 -0.613769948 0.0725828111 0.781940043, 15 0 0 0 0, 16 -0.105895385 0.717134833 0.677520156 -0.124379024, 17 -0.0129331117 0.659342527 0.0463475958 0.750301301, 18 0.0753350109 0.632692993 0.0831985399 0.766225934, 19 0 0 0 0, 20 0.0252998974 -0.00467274291 0.999473274 -0.019781515, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
