sep=, 
Hand-Neck Distance (m), Elbow Angle (rad)
0.810799658, 2.96821356
0.810514152, 2.9683919
0.811170518, 2.97032285
0.811177015, 2.96713781
0.811650515, 2.96340847
0.81048876, 2.98861694
0.811231196, 2.98319268
0.81088239, 2.97910213
0.810735703, 2.9821198
0.811125517, 2.97815609
0.810325205, 2.97528744
0.810345531, 2.97353029
0.809907675, 2.96976256
0.809445739, 2.97215009
0.808914244, 2.96793985
0.810537636, 2.96406889
0.809620678, 2.9574759
0.808578312, 2.95807171
0.807035625, 2.95567274
0.805100858, 2.95357609
0.803735912, 2.94974947
0.802869916, 2.94497585
0.802525938, 2.94209743
0.801920354, 2.94454336
0.801695526, 2.94473481
0.80192107, 2.94205523
0.802518487, 2.94113755
0.800929487, 2.94254827
0.800060093, 2.94581962
0.799590528, 2.94680738
0.799652219, 2.94491673
0.799589336, 2.94634247
0.799908519, 2.94942832
0.799697042, 2.94764614
0.799664676, 2.95479488
0.799751818, 2.96289492
0.799896896, 2.95860028
0.79931885, 2.962116
0.79993701, 2.96523952
0.800553322, 2.96245337
0.800048769, 2.95934391
0.800274849, 2.95868278
0.799609482, 2.96112633
0.799726903, 2.95933032
0.800535381, 2.95400858
0.800072134, 2.95665431
0.8006531, 2.95909214
0.799482763, 2.95521021
0.799117148, 2.95874333
0.798252285, 2.95649529
0.799788833, 2.95395446
0.797607481, 2.95385385
0.796883702, 2.9533484
0.798336089, 2.95257378
0.797800601, 2.95656967
0.798643351, 2.95385146
0.797866046, 2.95461512
0.798031509, 2.95790315
0.798464954, 2.95352912
0.796634555, 2.95740366
0.796968281, 2.9583478
0.796679139, 2.95113015
0.797511101, 2.95603776
0.798121393, 2.9569881
0.796509922, 2.95900273
0.797375977, 2.95810485
0.797730625, 2.9591608
0.797926009, 2.95669913
0.79821831, 2.9583106
0.797850728, 2.9584012
0.798342109, 2.95808959
0.798229039, 2.95801163
0.798295259, 2.96075559
0.798462749, 2.95551395
0.79853797, 2.9559164
0.798310816, 2.95825911
0.799037874, 2.95994902
0.799610734, 2.95885515
0.798966944, 2.95490336
0.799418032, 2.95850086
0.799783587, 2.95525479
0.800624669, 2.95172024
0.799870133, 2.95225215
0.799498141, 2.95784354
0.799937844, 2.95674777
0.800127327, 2.95213342
0.800773501, 2.95642376
0.799175024, 2.95406508
0.799168646, 2.95452261
0.801215589, 2.95806026
0.801361084, 2.95704246
0.801512063, 2.95375347
0.801813006, 2.95611572
0.801057339, 2.95533609
0.801812291, 2.95534706
0.801274538, 2.95594573
0.801436126, 2.95761299
0.801699877, 2.9581356
0.802149892, 2.95447707
0.800906241, 2.95472646
0.801120043, 2.95625663
0.800815463, 2.9601481
0.801290631, 2.96190906
0.800768018, 2.96249437
0.800738811, 2.95977521
0.801180065, 2.96410656
0.800908506, 2.96176243
0.801015079, 2.96227169
0.801181853, 2.95852327
0.801428199, 2.96157765
0.800412357, 2.96025538
0.79996711, 2.95703459
0.801004648, 2.95681357
0.800620139, 2.95772839
0.799568474, 2.95527339
0.799795032, 2.95280194
0.79917556, 2.955091
0.800115108, 2.95285749
0.799600184, 2.94688821
0.800145149, 2.9496491
0.79985404, 2.94843245
0.800055087, 2.9468677
0.800236225, 2.94546938
0.799243271, 2.94752526
0.799376369, 2.94794512
0.800771177, 2.9499011
0.800496399, 2.95037413
0.799555779, 2.94948554
0.79902935, 2.94734311
0.799034834, 2.94733787
0.799216807, 2.94783759
0.800518751, 2.95094824
