sep=, 
LeftHandState, LeftHandTrackingConfidence, RightHandState, RightHandTrackingConfidence, TrackingState, TrackingID, Joint0, Joint1, Joint2, Joint3, Joint4, Joint5, Joint6, Joint7, Joint8, Joint9, Joint10, Joint11, Joint12, Joint13, Joint14, Joint15, Joint16, Joint17, Joint18, Joint19, Joint20, Joint21, Joint22, Joint23, Joint24, JointOrientation0, JointOrientation1, JointOrientation2, JointOrientation3, JointOrientation4, JointOrientation5, JointOrientation6, JointOrientation7, JointOrientation8, JointOrientation9, JointOrientation10, JointOrientation11, JointOrientation12, JointOrientation13, JointOrientation14, JointOrientation15, JointOrientation16, JointOrientation17, JointOrientation18, JointOrientation19, JointOrientation20, JointOrientation21, JointOrientation22, JointOrientation23, JointOrientation24
1, 1, 0, 0, 1, 72057594037928112, 0 -0.143961489 -0.226169676 1.28537297 2, 1 -0.149478629 0.113839738 1.309816 2, 2 -0.152899384 0.43261832 1.31728697 2, 3 -0.133443326 0.588972926 1.3215977 2, 4 -0.319104135 0.307124972 1.27437747 2, 5 -0.371229708 0.0471268073 1.23743236 2, 6 -0.350467563 -0.194440901 1.11052072 2, 7 -0.343372315 -0.245452151 1.08903861 2, 8 0.012723987 0.298436791 1.34551191 2, 9 0.0621383227 0.0156995077 1.32494736 2, 10 0.138872668 0.229273692 1.27849197 1, 11 0.164632633 0.300486654 1.2670958 1, 12 -0.216920868 -0.217541516 1.23533511 2, 13 -0.340319812 -0.468531966 0.999846995 1, 14 -0.217448145 -0.578017116 1.13188732 2, 15 -0.108290181 -0.61945504 1.08613706 2, 16 -0.0624824427 -0.221360147 1.25904083 2, 17 0.0208668299 -0.474605471 1.00216496 1, 18 -0.138239965 -0.624277115 1.20435762 2, 19 -0.268655658 -0.617759585 1.14753711 2, 20 -0.152328223 0.355654329 1.31772912 2, 21 -0.332710832 -0.322693855 1.0647397 2, 22 -0.306378067 -0.244426817 1.06572735 2, 23 0.163266614 0.297993392 1.25658226 1, 24 0.161484852 0.294741333 1.2428689 1, 0 0.0769984275 -0.00530874683 0.996352792 0.0363889001, 1 0.0898823366 -0.00483751995 0.995273232 0.0364545397, 2 0.103283018 -0.00398727646 0.994640946 -0.00247374177, 3 0 0 0 0, 4 -0.0914347917 0.7930426 -0.596740365 0.0813885182, 5 -0.106083825 0.887402713 -0.0564944372 -0.445051789, 6 -0.214131102 0.773506582 -0.113099247 0.585699558, 7 -0.195505902 0.774847031 -0.0686418489 0.597225189, 8 0.0362496078 0.809043586 0.580472708 0.0847695768, 9 -0.0924335867 0.246150985 -0.0134543478 0.964720011, 10 -0 0.168956146 0.980301619 -0.10228695, 11 -0 0.17121391 0.982317984 -0.0757447705, 12 0.243078172 -0.648148775 0.699604332 -0.177115723, 13 0.312465429 -0.380148947 -0.243158549 0.83589834, 14 0.466919601 0.789063931 0.150123522 -0.369901568, 15 0 0 0 0, 16 -0.135754675 0.681662858 0.71386987 -0.0854180828, 17 -0.281088859 0.417018592 -0.281020194 0.817381322, 18 0.455503941 0.840329766 -0.202726677 0.212753311, 19 0 0 0 0, 20 0.103229403 -0.00416943757 0.994505703 0.0168751795, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037928112, 0 -0.144255698 -0.2264314 1.28561115 2, 1 -0.14965339 0.113702364 1.31003594 2, 2 -0.152992412 0.432567835 1.31749034 2, 3 -0.13402687 0.588654339 1.32270718 2, 4 -0.319249481 0.307079047 1.27459466 2, 5 -0.371413797 0.0468461104 1.23770654 2, 6 -0.350724101 -0.193103194 1.11120379 2, 7 -0.341194212 -0.243991286 1.09576321 2, 8 0.0126463315 0.298231959 1.34581089 2, 9 0.0615374222 0.0155707104 1.32579517 2, 10 0.0773551464 -0.192540303 1.21768665 2, 11 0.0616587996 -0.258924425 1.17846572 2, 12 -0.217190802 -0.217748672 1.23555911 2, 13 -0.341216385 -0.47123158 0.998449326 1, 14 -0.217451438 -0.578019321 1.1319114 2, 15 -0.106468536 -0.618614137 1.08776569 2, 16 -0.0627857968 -0.221666947 1.25928783 2, 17 0.0216434952 -0.477242291 1.00080466 1, 18 -0.135614187 -0.624005616 1.20637405 2, 19 -0.26709789 -0.617616355 1.14844203 2, 20 -0.152438715 0.355585068 1.31793571 2, 21 -0.331562281 -0.325201184 1.07179546 2, 22 -0.304806828 -0.24942638 1.06561446 2, 23 0.0696119443 -0.319260687 1.15266931 2, 24 0.0972927734 -0.257464677 1.16918182 2, 0 0.0771021992 -0.0051304237 0.996347666 0.0363362618, 1 0.0899847075 -0.00465994095 0.995266855 0.0363995954, 2 0.103378899 -0.00387589005 0.99463135 -0.00250527565, 3 0 0 0 0, 4 -0.0913526416 0.792987168 -0.5968225 0.0814186186, 5 -0.105993591 0.886906564 -0.0564381182 -0.446068078, 6 -0.214707091 0.773158133 -0.113512941 0.585868776, 7 -0.169309705 0.774139762 -0.0194042828 0.609643579, 8 0.0364406146 0.80921489 0.580200791 0.0849139392, 9 -0.0807507932 0.775811136 0.0446088798 0.624184608, 10 -0.170379847 0.585049927 -0.168145418 0.774864137, 11 -0.0866311118 0.615373909 -0.265831649 0.736982763, 12 0.24314867 -0.647875309 0.699801683 -0.177239433, 13 0.311505467 -0.37972191 -0.243120268 0.836461663, 14 0.472543746 0.787731111 0.153903931 -0.363999665, 15 0 0 0 0, 16 -0.135711521 0.681853712 0.713697195 -0.0854065195, 17 -0.282493651 0.420707166 -0.278863698 0.815743744, 18 0.46252206 0.83776021 -0.198602393 0.211632371, 19 0 0 0 0, 20 0.103327923 -0.00403738115 0.994496763 0.016829744, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037928112, 0 -0.146044835 -0.22623542 1.28784382 2, 1 -0.150627166 0.113659084 1.3115418 2, 2 -0.153397486 0.4324283 1.31844175 2, 3 -0.135986775 0.588444054 1.3265326 2, 4 -0.319826692 0.307036161 1.27547455 2, 5 -0.372461915 0.0468369648 1.23939443 2, 6 -0.350942492 -0.192751214 1.11228883 2, 7 -0.342126548 -0.244554847 1.09736574 2, 8 0.0120698418 0.298251748 1.34704113 2, 9 0.059624251 0.014915077 1.32906508 2, 10 0.0773258433 -0.19173342 1.21812236 2, 11 0.0592719391 -0.257610559 1.18051982 2, 12 -0.218853891 -0.217603996 1.23760915 2, 13 -0.339237303 -0.478046536 1.00566339 1, 14 -0.218156785 -0.579369724 1.13354516 2, 15 -0.106225222 -0.618554592 1.08747327 2, 16 -0.0646139979 -0.221455276 1.26173341 2, 17 0.022597054 -0.477185607 1.00287402 1, 18 -0.135147721 -0.624164045 1.20716405 2, 19 -0.266980022 -0.617721975 1.14878273 2, 20 -0.152963623 0.355459154 1.31901133 2, 21 -0.328947127 -0.321313381 1.07190061 2, 22 -0.304293931 -0.238785267 1.07767737 2, 23 0.0696666092 -0.314910859 1.15331638 2, 24 0.0961002186 -0.250418127 1.17059135 2, 0 0.0783491656 -0.00397952041 0.99629581 0.0352154449, 1 0.090850085 -0.00353712589 0.995233834 0.0352626294, 2 0.103813596 -0.00318720541 0.994585872 -0.00338737131, 3 0 0 0 0, 4 -0.0911031887 0.792684734 -0.59710145 0.082589671, 5 -0.105034001 0.887064934 -0.0579555295 -0.445785731, 6 -0.213160783 0.755056858 -0.11939159 0.608438373, 7 -0.158656731 0.758281529 -0.0257771648 0.631801248, 8 0.037313845 0.80904597 0.580444217 0.084479019, 9 -0.077311568 0.763106585 0.0433850847 0.640163302, 10 -0.179919541 0.594450235 -0.168373927 0.765446365, 11 -0.075405702 0.6345976 -0.268095225 0.72091943, 12 0.242875829 -0.647579968 0.699692428 -0.179114759, 13 0.300487846 -0.378035337 -0.23822768 0.842640996, 14 0.474452615 0.785705566 0.159833744 -0.363338202, 15 0 0 0 0, 16 -0.134513497 0.68180877 0.714011133 -0.0850351751, 17 -0.28504023 0.418569505 -0.277547508 0.81640619, 18 0.461161703 0.837926209 -0.199768767 0.212842464, 19 0 0 0 0, 20 0.103780679 -0.00320085697 0.994468689 0.015857501, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037928112, 0 -0.152142629 -0.234626815 1.29168284 2, 1 -0.155126125 0.109770246 1.3172766 2, 2 -0.157236293 0.431790531 1.32687402 2, 3 -0.139091864 0.587947845 1.33274066 2, 4 -0.322663546 0.306422204 1.2810452 2, 5 -0.37350744 0.0467986949 1.24160445 2, 6 -0.350995719 -0.192947015 1.11336446 2, 7 -0.341502905 -0.245723665 1.09681082 2, 8 0.00782975275 0.298279732 1.35675216 2, 9 0.0569099337 0.0144041767 1.3345021 2, 10 0.0767089128 -0.190012157 1.2193656 2, 11 0.0589129217 -0.255387127 1.18084872 2, 12 -0.224660859 -0.22592929 1.2410109 2, 13 -0.342432022 -0.483222216 1.00286222 1, 14 -0.224209115 -0.632056177 1.1706605 2, 15 -0.314902365 -0.65690732 1.15978575 1, 16 -0.0706626773 -0.229445726 1.26590574 2, 17 0.0328933336 -0.472806662 0.999513805 1, 18 -0.134870157 -0.62574929 1.20961404 2, 19 -0.274558574 -0.618905067 1.14838994 1, 20 -0.156913981 0.354005575 1.3266151 2, 21 -0.3277013 -0.319935322 1.07430565 2, 22 -0.305873096 -0.23818174 1.07554686 2, 23 0.0666190237 -0.315328658 1.15481341 2, 24 0.0956916511 -0.25138396 1.16595149 2, 0 0.080761537 -0.00131158181 0.996034145 0.0373076573, 1 0.0952257812 -0.000769348349 0.994755507 0.0373227745, 2 0.11014533 -0.00187586842 0.993911922 0.00188240362, 3 0 0 0 0, 4 -0.0971134752 0.791286945 -0.597645819 0.0851666108, 5 -0.10913419 0.888835609 -0.0526700057 -0.441912681, 6 -0.217884332 0.766806364 -0.114632472 0.592784703, 7 -0.170559198 0.769166112 -0.0264825318 0.615298092, 8 0.0395020247 0.805880249 0.583592951 0.0917380303, 9 -0.0847481564 0.75802958 0.0398775898 0.64546001, 10 -0.194417939 0.614457786 -0.167617798 0.746021152, 11 -0.0918762535 0.662237108 -0.268604219 0.693435252, 12 0.24535571 -0.646869421 0.69908601 -0.18066363, 13 0.317675978 -0.435310423 -0.226367101 0.811384439, 14 -0.275655538 -0.0338618457 0.361257017 0.890146434, 15 0 0 0 0, 16 -0.13553907 0.680516422 0.715462446 -0.0814865679, 17 -0.31016767 0.404481709 -0.282217294 0.812738597, 18 0.458614558 0.837206185 -0.206028774 0.215199441, 19 0 0 0 0, 20 0.110132776 -0.00153106847 0.993726432 0.0193936434, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037928112, 0 -0.154309392 -0.235451534 1.29470396 2, 1 -0.15791823 0.108892299 1.32222104 2, 2 -0.15999788 0.431358993 1.33329749 2, 3 -0.142153665 0.587397337 1.33858275 2, 4 -0.32610926 0.306248665 1.28761041 2, 5 -0.375900239 0.0484271683 1.24554968 2, 6 -0.351294219 -0.192898586 1.11540985 2, 7 -0.342074096 -0.245068476 1.09979141 2, 8 0.00514081679 0.297373891 1.36273623 2, 9 0.0543058366 0.0161100812 1.34224868 2, 10 0.0758669898 -0.185168922 1.22224689 2, 11 0.0610495061 -0.250049651 1.18407941 2, 12 -0.226752445 -0.226597935 1.24396467 2, 13 -0.34218502 -0.486025006 1.00653362 1, 14 -0.225303456 -0.63369149 1.17393303 2, 15 -0.320300788 -0.659076989 1.15898371 1, 16 -0.0727771297 -0.230382442 1.26884842 2, 17 0.036915537 -0.472011447 1.00272512 1, 18 -0.135453805 -0.625345528 1.20927835 2, 19 -0.279627442 -0.619046569 1.1472683 1, 20 -0.159744859 0.353450239 1.33277881 2, 21 -0.327063888 -0.316957653 1.07464468 2, 22 -0.305452079 -0.235933527 1.07877135 2, 23 0.0668588281 -0.310799241 1.15614045 2, 24 0.0962286219 -0.243553966 1.16665399 2, 0 0.0808739811 -0.00198414805 0.995913327 0.0401512235, 1 0.0948098823 -0.00142179406 0.994683325 0.0401750728, 2 0.109188095 -0.00125063513 0.994014263 0.0034860936, 3 0 0 0 0, 4 -0.0975499079 0.790750682 -0.598697484 0.0822116956, 5 -0.112903617 0.892589748 -0.0500314981 -0.433627963, 6 -0.220399782 0.761773348 -0.114449352 0.598353267, 7 -0.164685249 0.765788078 -0.0245890953 0.621162474, 8 0.0378344581 0.806225657 0.583016396 0.0930631682, 9 -0.0838477835 0.749253392 0.0412389971 0.655658603, 10 -0.210496143 0.635875702 -0.167428538 0.723409355, 11 -0.112664789 0.681018293 -0.2538912 0.677539587, 12 0.247884214 -0.646636307 0.698824823 -0.179049715, 13 0.313956469 -0.437896699 -0.225793988 0.811600149, 14 -0.278898567 -0.0448332168 0.359433562 0.889389157, 15 0 0 0 0, 16 -0.137395754 0.681170762 0.714634597 -0.0801635757, 17 -0.315144032 0.394925505 -0.281447887 0.815784991, 18 0.454858571 0.836265445 -0.213344246 0.219654173, 19 0 0 0 0, 20 0.109176531 -0.00135405816 0.993781328 0.021848429, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037928112, 0 -0.157017305 -0.238319203 1.29683328 2, 1 -0.160523534 0.106922947 1.32616448 2, 2 -0.162414834 0.430533528 1.33938646 2, 3 -0.145101279 0.58669883 1.34489214 2, 4 -0.329149336 0.305425853 1.2931335 2, 5 -0.377688795 0.0492494516 1.24875712 2, 6 -0.351758003 -0.192485452 1.11714923 2, 7 -0.342387408 -0.244979665 1.10088813 2, 8 0.00307842065 0.297004282 1.36791515 2, 9 0.0524156541 0.0180622693 1.3499887 2, 10 0.0754361451 -0.182108596 1.22424304 2, 11 0.0661210567 -0.240869284 1.1870532 2, 12 -0.229428396 -0.229484767 1.24606931 2, 13 -0.342378944 -0.488310218 1.00814772 1, 14 -0.244670898 -0.623645961 1.18319619 2, 15 -0.318636268 -0.685195863 1.15135908 1, 16 -0.0753525719 -0.233060867 1.27088535 2, 17 0.0418026298 -0.470116138 1.00496972 1, 18 -0.136321396 -0.626642704 1.21168923 2, 19 -0.282107353 -0.619692802 1.14770317 1, 20 -0.16221641 0.35232228 1.33830011 2, 21 -0.325188398 -0.318505585 1.0777241 2, 22 -0.305286169 -0.240821272 1.07529855 2, 23 0.0660756081 -0.308643162 1.15585291 2, 24 0.0989704132 -0.241106853 1.15955007 2, 0 0.0805792809 -0.00163085386 0.995834649 0.0426335298, 1 0.0943091214 -0.00104256975 0.99462831 0.0426519662, 2 0.108455472 -0.000507749559 0.994076252 0.00704108644, 3 0 0 0 0, 4 -0.0991300493 0.79027319 -0.599424839 0.0795701593, 5 -0.11623957 0.894566417 -0.0468329415 -0.429005712, 6 -0.224396318 0.767206907 -0.111559868 0.590418756, 7 -0.168967023 0.771741629 -0.0252138879 0.612559557, 8 0.0355195925 0.804703414 0.585063457 0.094294928, 9 -0.0817896277 0.742767394 0.0439948998 0.663077354, 10 -0.23800008 0.710173368 -0.148184642 0.645794809, 11 -0.162458867 0.721294165 -0.234212831 0.631257653, 12 0.249396175 -0.647022486 0.698214948 -0.177930459, 13 0.320976913 -0.470925301 -0.215665415 0.792900741, 14 -0.330892354 -0.23846066 0.332789779 0.850233972, 15 0 0 0 0, 16 -0.139467075 0.680583835 0.714964569 -0.0786138549, 17 -0.324231505 0.386576235 -0.280727088 0.81647104, 18 0.451190472 0.836094379 -0.218270436 0.223005056, 19 0 0 0 0, 20 0.10844858 -0.000745810219 0.993789077 0.0249312427, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037928112, 0 -0.159328997 -0.240903735 1.29919124 2, 1 -0.162751228 0.105026945 1.33007669 2, 2 -0.164374158 0.429517597 1.34472382 2, 3 -0.148116648 0.585759997 1.35084391 2, 4 -0.331412584 0.304775625 1.29927123 2, 5 -0.379564196 0.0498674847 1.25327766 2, 6 -0.352331311 -0.192576468 1.11896336 2, 7 -0.343284935 -0.244978502 1.10211658 2, 8 0.00134584366 0.296114683 1.37190413 2, 9 0.0514769852 0.0190415252 1.35549748 2, 10 0.0763070583 -0.18348147 1.22427225 2, 11 0.0720021948 -0.238441274 1.1866641 2, 12 -0.231860518 -0.232031375 1.248927 2, 13 -0.344270498 -0.488355726 1.0087961 1, 14 -0.236957833 -0.612989485 1.17421126 2, 15 -0.307909727 -0.677833378 1.16094089 1, 16 -0.0774296895 -0.235545158 1.2726984 2, 17 0.0449407659 -0.469948202 1.00776863 1, 18 -0.137246728 -0.627157032 1.2131691 2, 19 -0.285274208 -0.620216727 1.14776683 1, 20 -0.16425477 0.35108453 1.34331083 2, 21 -0.327592492 -0.317042798 1.08033872 2, 22 -0.306299567 -0.24102287 1.08037746 2, 23 0.0759205297 -0.300495028 1.15436423 2, 24 0.106632501 -0.224551022 1.16339135 2, 0 0.0771243125 -0.00148080545 0.996015429 0.0447546169, 1 0.0910562426 -0.000854308542 0.994838417 0.044770956, 2 0.105386473 0.00019245052 0.994390249 0.00903654005, 3 0 0 0 0, 4 -0.0983751491 0.789738059 -0.600780368 0.0754924491, 5 -0.119081497 0.89536339 -0.0453088768 -0.426721245, 6 -0.228405789 0.766246378 -0.112071231 0.590031624, 7 -0.171342358 0.772091329 -0.0306174178 0.61121136, 8 0.0325621739 0.804204464 0.586083055 0.0932817236, 9 -0.0814920068 0.739110172 0.0466966145 0.667004287, 10 -0.254064649 0.748774052 -0.134316355 0.597283661, 11 -0.213285029 0.756806672 -0.206711248 0.58225733, 12 0.248840794 -0.647593319 0.698639274 -0.174940959, 13 0.316379219 -0.446796864 -0.228860259 0.804922163, 14 -0.341951847 -0.184368163 0.34046492 0.85624814, 15 0 0 0 0, 16 -0.142808959 0.680215776 0.71461314 -0.0789950043, 17 -0.329610169 0.379499912 -0.279718846 0.817981899, 18 0.449297041 0.834917426 -0.222896144 0.226632506, 19 0 0 0 0, 20 0.105387099 -0.000202871175 0.994063675 0.027034916, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037928112, 0 -0.160850108 -0.237361938 1.30176902 2, 1 -0.16441153 0.106352352 1.33385408 2, 2 -0.166415215 0.428604215 1.35040069 2, 3 -0.151240647 0.585055709 1.35680032 2, 4 -0.333383352 0.30324024 1.30529058 2, 5 -0.380989343 0.0492044985 1.25788307 2, 6 -0.35299924 -0.192449063 1.12084579 2, 7 -0.344303548 -0.245387599 1.10272598 2, 8 -0.000139353957 0.295452327 1.37527788 2, 9 0.0512368828 0.0183832273 1.35838652 2, 10 0.0808886811 -0.180911601 1.22656727 2, 11 0.0917099118 -0.230331466 1.18128502 2, 12 -0.23341319 -0.228632838 1.25160599 2, 13 -0.340548158 -0.487798154 1.01292956 1, 14 -0.233110115 -0.630873978 1.1869638 2, 15 -0.322901875 -0.672495425 1.15541255 1, 16 -0.0788261369 -0.232082188 1.27506459 2, 17 0.0431983918 -0.470890582 1.01524174 1, 18 -0.0780226663 -0.637728691 1.27144337 2, 19 -0.219652891 -0.622620761 1.18469369 2, 20 -0.166179538 0.350800663 1.34845471 2, 21 -0.329370111 -0.316869199 1.07974231 2, 22 -0.307032406 -0.237154856 1.08600008 2, 23 0.0888196155 -0.287658364 1.14700413 2, 24 0.107029624 -0.259717673 1.125 2, 0 0.0760797784 -0.00160559558 0.996002495 0.046778664, 1 0.0885839015 -0.00101791357 0.994968355 0.046795141, 2 0.101477146 -0.000237545682 0.994758129 0.0125918211, 3 0 0 0 0, 4 -0.0984373838 0.792283177 -0.597950876 0.0710800886, 5 -0.121520095 0.89416939 -0.043035537 -0.42876789, 6 -0.230764493 0.753791451 -0.118342809 0.603772521, 7 -0.175265327 0.760306895 -0.0428554565 0.624002337, 8 0.0274075344 0.804916322 0.585624099 0.0916676074, 9 -0.0844309106 0.726495028 0.0461802483 0.680399716, 10 -0.287970126 0.874531448 -0.0567183457 0.386071265, 11 -0.362789631 0.85007292 -0.0666870475 0.375915647, 12 0.249548644 -0.648576796 0.697826445 -0.17352742, 13 0.31121254 -0.458547652 -0.226412922 0.801010549, 14 -0.308113992 -0.156247184 0.344178349 0.873037219, 15 0 0 0 0, 16 -0.144707933 0.68066144 0.713866651 -0.0784478337, 17 -0.358056486 0.484430164 -0.228078425 0.764920473, 18 0.48293823 0.849240661 -0.114598081 0.180078298, 19 0 0 0 0, 20 0.101465411 -0.000565297145 0.994385302 0.0300365575, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037928112, 0 -0.162243307 -0.234034508 1.30386591 2, 1 -0.165783271 0.107274055 1.33694482 2, 2 -0.167940468 0.427234232 1.35498679 2, 3 -0.153720796 0.583878934 1.36171758 2, 4 -0.335290849 0.301205188 1.31070459 2, 5 -0.382493049 0.0507505983 1.26534545 2, 6 -0.353518188 -0.192819312 1.12310636 2, 7 -0.345461369 -0.244855642 1.10441041 2, 8 -0.00119183457 0.294770867 1.3778944 2, 9 0.0510756783 0.0177354943 1.36126947 2, 10 0.0872534066 -0.17998682 1.2271198 2, 11 0.108115286 -0.221261442 1.18123329 2, 12 -0.234975666 -0.225306138 1.25470519 2, 13 -0.338509291 -0.488042206 1.01938999 1, 14 -0.241002575 -0.62630558 1.19023645 2, 15 -0.322685987 -0.676434696 1.14726257 1, 16 -0.0800251439 -0.228880852 1.27630973 2, 17 0.0298561286 -0.484607011 1.03016126 1, 18 -0.084979862 -0.586882353 1.21798193 2, 19 -0.228732362 -0.598312438 1.15676558 2, 20 -0.167659685 0.350047618 1.35263777 2, 21 -0.3282772 -0.317671299 1.07928538 2, 22 -0.309417963 -0.236792937 1.08301437 2, 23 0.111070968 -0.273933083 1.14030075 2, 24 0.133661792 -0.215256765 1.13654542 2, 0 0.0701526478 -0.00176325929 0.996353507 0.0485310443, 1 0.0834605917 -0.00111458555 0.995327115 0.0485502817, 2 0.0971891284 -0.000331074843 0.995148003 0.0153158382, 3 0 0 0 0, 4 -0.0972655267 0.794738114 -0.595431387 0.0662738606, 5 -0.119855404 0.889772415 -0.0434322804 -0.438238978, 6 -0.238399327 0.763562977 -0.11686521 0.588625371, 7 -0.179172277 0.772394955 -0.0475797504 0.607486188, 8 0.0231604483 0.804922402 0.586091757 0.0897772759, 9 -0.0863312185 0.708841681 0.0454652458 0.698586643, 10 -0.297442615 0.867541075 -0.0493382514 0.39555794, 11 -0.427874297 0.811589658 -0.0123435222 0.39760977, 12 0.247131228 -0.64959991 0.698852479 -0.168971106, 13 0.30708766 -0.472117722 -0.219820455 0.796543121, 14 -0.32494837 -0.231330991 0.326941252 0.856740355, 15 0 0 0 0, 16 -0.148745954 0.681076586 0.712417722 -0.0804380253, 17 -0.317106396 0.450727522 -0.23520425 0.800604343, 18 0.518140852 0.810898185 -0.144444153 0.230456069, 19 0 0 0 0, 20 0.0971723422 -0.000702828169 0.99473685 0.0324911661, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037928112, 0 -0.162196502 -0.229435474 1.27405167 2, 1 -0.166201115 0.107634023 1.33417284 2, 2 -0.168734863 0.42628336 1.35851085 2, 3 -0.156113654 0.582884014 1.36587262 2, 4 -0.336820871 0.299148053 1.31577218 2, 5 -0.38265416 0.0497822873 1.2696172 2, 6 -0.35388121 -0.193751231 1.12468553 2, 7 -0.346072465 -0.24709034 1.10387897 2, 8 -0.00181009166 0.294126749 1.37947977 2, 9 0.0516142212 0.0184744056 1.36381209 2, 10 0.102001257 -0.17768383 1.22392368 2, 11 0.125814736 -0.214690641 1.17638719 2, 12 -0.234805048 -0.222009778 1.2273618 2, 13 -0.353048623 -0.516378939 1.05317521 1, 14 -0.238281578 -0.629822552 1.19180453 2, 15 -0.327711999 -0.664902687 1.1432339 1, 16 -0.0798049569 -0.222850874 1.24354446 2, 17 0.0353929028 -0.521003246 1.06472802 1, 18 -0.0622964986 -0.621333838 1.26575446 2, 19 -0.202587292 -0.613734424 1.18492556 2, 20 -0.168068349 0.349683732 1.35372078 2, 21 -0.329687148 -0.318222523 1.07804954 2, 22 -0.30812192 -0.239476502 1.07919097 2, 23 0.130463973 -0.262099743 1.13667071 2, 24 0.140003324 -0.239444643 1.11059999 2, 0 0.0519681014 -0.00126440928 0.994734704 0.0883212835, 1 0.0715523958 0.000475596869 0.993517995 0.088329047, 2 0.0920099616 -0.00145169615 0.995259106 0.0314876288, 3 0 0 0 0, 4 -0.0928173736 0.798406005 -0.592589617 0.0526349992, 5 -0.12092112 0.886303842 -0.0395802893 -0.445283145, 6 -0.244904727 0.780999064 -0.112028994 0.563481688, 7 -0.188806772 0.790734887 -0.0530134253 0.57989645, 8 0.0210235864 0.804803431 0.585469663 0.0952614322, 9 -0.0893311948 0.671626151 0.0437772125 0.734181046, 10 -0.318568468 0.89855051 0.00691678608 0.301783442, 11 -0.460000128 0.832416952 0.0525397398 0.304501832, 12 0.261648029 -0.661495209 0.688761532 -0.139900327, 13 0.263940811 -0.411538273 -0.153759658 0.858678877, 14 -0.381389827 -0.189752921 0.296511203 0.854761302, 15 0 0 0 0, 16 -0.18700549 0.676995277 0.70879972 -0.0656445771, 17 -0.275409073 0.501843929 -0.130837202 0.809434474, 18 0.528648674 0.819424689 -0.125568956 0.18249993, 19 0 0 0 0, 20 0.0919461921 -0.000124626575 0.994941473 0.0404639207, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
