sep=, 
Hand-Neck Distance (m), Elbow Angle (rad)
0.320518494, 1.03445673
0.324324638, 1.05645311
0.33287406, 1.08414543
0.353348911, 1.15096498
0.388362527, 1.26638567
0.432541072, 1.40731776
0.48171252, 1.57382369
0.532459855, 1.73423278
0.579430461, 1.91715717
0.622100592, 2.05559516
0.656007349, 2.16880918
0.681679964, 2.2510488
0.694953799, 2.30575538
0.699855864, 2.32382822
0.698924422, 2.32471681
0.697165906, 2.30808449
0.692170262, 2.27259469
0.684082866, 2.2234633
0.66909951, 2.16291046
0.655190229, 2.1006341
0.635483742, 2.02051044
0.612268031, 1.95236635
0.583776593, 1.88718426
0.555821836, 1.79917753
0.525423944, 1.70118344
0.493364394, 1.60016942
0.46170947, 1.50303233
0.427250326, 1.40976024
0.393651307, 1.31388545
0.359581321, 1.21697974
0.325907737, 1.13115752
0.295982957, 1.05070257
0.274779975, 0.949128687
0.26228112, 0.901063979
0.256814718, 0.863555431
0.256190568, 0.857022285
