sep=, 
Hand-Neck Distance (m), Elbow Angle (rad)
0.743580043, 2.82167363
0.743250668, 2.80613971
0.743216813, 2.80938697
0.740317166, 2.79761863
0.740843475, 2.80441165
0.738310456, 2.80384684
0.741041243, 2.88661933
0.736427724, 2.85470748
0.7362836, 2.84887123
0.735480368, 2.81420946
0.735487938, 2.83412385
0.735536277, 2.82204032
0.732658267, 2.82843995
0.730479419, 2.82938933
0.734373868, 2.80390906
0.728656888, 2.81036401
0.730873048, 2.80579352
0.731507957, 2.82884645
0.730357587, 2.81704473
0.727208197, 2.80476809
0.726739705, 2.8052814
0.722943187, 2.80606151
0.718583763, 2.78976226
0.714039505, 2.79176664
0.710700214, 2.79541922
0.709703088, 2.80722523
0.70543921, 2.8041122
0.706362009, 2.80797791
0.710520983, 2.82441235
0.712017596, 2.82947302
0.715811968, 2.8269434
0.716706276, 2.82369208
0.719682693, 2.82313585
0.720834494, 2.82405329
0.72010529, 2.81293607
0.720212877, 2.80762458
0.720941126, 2.79778457
0.722371995, 2.79990196
0.724971354, 2.80052876
0.727791965, 2.79316878
0.72779721, 2.79433036
0.727696955, 2.78230691
0.727261126, 2.77506161
0.725065708, 2.77220774
0.725879312, 2.76222467
0.724325538, 2.74676442
0.725676417, 2.74116564
0.724949658, 2.74276781
0.724948227, 2.7420938
0.72584492, 2.75233293
0.726380944, 2.76423717
0.726695895, 2.77842093
0.724534094, 2.78516507
0.726512313, 2.79733634
0.727595329, 2.80618048
0.727449417, 2.8134203
0.728413641, 2.82083488
0.730376959, 2.82933164
0.730547071, 2.83843827
0.730118334, 2.83472228
0.730693817, 2.84190106
0.730554938, 2.83707809
0.731111407, 2.83616185
0.72867018, 2.83427811
0.727055252, 2.82890749
0.727998793, 2.83246469
0.725972414, 2.83215451
0.725729823, 2.82754064
0.724114299, 2.82169247
0.724126816, 2.82975936
0.722358108, 2.83554149
0.720815122, 2.83460522
0.720530272, 2.84371066
0.719079018, 2.84218574
0.718480885, 2.84532213
0.717949808, 2.84795928
0.717832923, 2.85305095
0.717050135, 2.85324049
0.717749655, 2.85795116
0.718061924, 2.85776043
0.717532516, 2.86270618
0.720986545, 2.86682057
0.720293164, 2.866992
0.723119736, 2.86616182
0.722393572, 2.86442947
0.725109518, 2.86536217
0.72496146, 2.85471606
0.725288332, 2.85305858
0.724831343, 2.84862447
0.724595845, 2.84851289
0.725131333, 2.84873271
0.724311352, 2.84736061
0.726990223, 2.84691095
0.726391077, 2.84447908
0.726819992, 2.84115219
0.728007793, 2.84523153
0.727260888, 2.8434124
0.727239668, 2.84277725
0.726866722, 2.8409512
0.727298737, 2.83981609
0.724932015, 2.84437537
0.724751294, 2.84181476
0.725518465, 2.84550881
0.722545862, 2.84664941
0.721111298, 2.84132528
0.722020447, 2.84483147
0.71952337, 2.84142137
0.719626486, 2.84309745
0.718563557, 2.84014583
0.718560278, 2.83637786
0.718681097, 2.83881426
0.718393683, 2.84077764
0.717404544, 2.84134722
0.718796432, 2.84203792
0.720018983, 2.83666158
0.720805645, 2.8419323
0.722867012, 2.84430885
0.722331047, 2.8463273
0.723738015, 2.84967518
0.723630428, 2.84670687
0.723870277, 2.84899402
0.724441171, 2.84851885
0.724814117, 2.84777403
0.724765837, 2.84790897
0.725916326, 2.8441081
0.724870026, 2.84679866
0.723887026, 2.83650851
0.723587513, 2.83784652
0.723075271, 2.83638334
0.723213613, 2.83662748
0.722620308, 2.83616734
0.721552253, 2.83827186
0.721830726, 2.83708382
0.720140219, 2.83513618
0.718689561, 2.82935762
0.718018591, 2.83220863
0.716456652, 2.82937455
0.716832161, 2.83106518
0.715663612, 2.83352017
0.715393007, 2.83680248
0.714425266, 2.83788538
0.714692593, 2.83822393
0.713636458, 2.84177899
0.713553607, 2.84295821
0.713141799, 2.84693527
0.713541865, 2.84955168
0.713329017, 2.8517673
0.714188516, 2.85031319
0.713974595, 2.85151124
0.714775741, 2.85041475
0.715470493, 2.85287714
0.714881539, 2.85549355
0.712594867, 2.84910631
0.714121997, 2.85375595
0.71538794, 2.85427237
0.71580565, 2.85323119
0.715625882, 2.84915733
0.716025472, 2.8539083
0.716725349, 2.85383821
0.715949476, 2.85397601
0.716671824, 2.85071683
0.716256618, 2.85841727
0.717559218, 2.85463309
0.716718018, 2.8585062
0.717217207, 2.85071993
0.717149019, 2.85174966
0.716313004, 2.84809303
0.71732074, 2.85090971
0.718405485, 2.84913874
0.719055057, 2.84521317
0.719953299, 2.84365058
0.719849408, 2.84157944
0.72223419, 2.84558082
0.722878158, 2.84494662
0.722275257, 2.84072495
0.721737444, 2.8360486
0.723313093, 2.83617473
0.721960068, 2.83731318
0.721697748, 2.83732319
0.720935583, 2.83485436
