sep=, 
LeftHandState, LeftHandTrackingConfidence, RightHandState, RightHandTrackingConfidence, TrackingState, TrackingID, Joint0, Joint1, Joint2, Joint3, Joint4, Joint5, Joint6, Joint7, Joint8, Joint9, Joint10, Joint11, Joint12, Joint13, Joint14, Joint15, Joint16, Joint17, Joint18, Joint19, Joint20, Joint21, Joint22, Joint23, Joint24, JointOrientation0, JointOrientation1, JointOrientation2, JointOrientation3, JointOrientation4, JointOrientation5, JointOrientation6, JointOrientation7, JointOrientation8, JointOrientation9, JointOrientation10, JointOrientation11, JointOrientation12, JointOrientation13, JointOrientation14, JointOrientation15, JointOrientation16, JointOrientation17, JointOrientation18, JointOrientation19, JointOrientation20, JointOrientation21, JointOrientation22, JointOrientation23, JointOrientation24
0, 0, 0, 0, 1, 72057594037935508, 0 0.0303001739 0.123012751 2.45311403 2, 1 0.0271147285 0.464885831 2.47643328 2, 2 0.0226021949 0.79382515 2.48611927 2, 3 0.0332641825 0.953481734 2.47601151 2, 4 -0.148883104 0.643030643 2.48046303 2, 5 -0.175708249 0.400737703 2.41340566 2, 6 -0.118791506 0.210334882 2.3101728 2, 7 -0.0888713375 0.13697736 2.30632806 1, 8 0.205193773 0.641807318 2.47851276 2, 9 0.226254284 0.396677405 2.44502759 2, 10 0.193405867 0.167020023 2.326015 2, 11 0.170913905 0.121284544 2.30962539 2, 12 -0.0429105759 0.120665148 2.41166735 2, 13 -0.0835532174 -0.319415063 2.4158721 2, 14 -0.0955071822 -0.681418121 2.35820055 2, 15 -0.0918399394 -0.750324011 2.22146583 2, 16 0.102546632 0.121156044 2.41217256 2, 17 0.153366581 -0.366116285 2.41922665 2, 18 0.162286773 -0.717685223 2.32435513 2, 19 0.194778934 -0.748691201 2.19615984 2, 20 0.0237923004 0.713404 2.4861095 2, 21 -0.0772479326 0.0558867194 2.30013704 2, 22 -0.0485011712 0.1458911 2.26539993 2, 23 0.163350612 0.0578529797 2.28873825 2, 24 0.209470212 0.0771839023 2.30687499 2, 0 0.00177504483 -0.00459008384 0.999407887 0.0340528935, 1 -0.000237399494 -0.00465864502 0.999409497 0.034043584, 2 -0.00209704228 -0.00739871059 0.999970436 4.52540953e-005, 3 0 0 0 0, 4 -0.0229255818 0.829800427 -0.557545483 -0.00697659934, 5 -0.143664405 0.950026631 -0.0139836073 -0.276793122, 6 -0.27355808 0.85384655 0.00696912548 0.442790627, 7 -0.115381598 0.856297076 0.155755028 0.47873041, 8 -0.0256674998 0.826688588 0.562065244 0.00312585221, 9 -0.079816848 0.868671596 0.00389871211 0.488900602, 10 -0.0659570843 0.500955701 -0.235063538 0.830324173, 11 0.0888617113 0.548139393 -0.254886121 0.791631162, 12 -0.199158028 0.698760092 -0.668123543 0.160254002, 13 -0.0291002933 0.70790416 -0.0359780602 -0.704791009, 14 -0.0684290975 0.722340047 0.042504359 -0.686830163, 15 0 0 0 0, 16 -0.196844906 0.696111858 0.670876622 -0.163110301, 17 -0.0316924416 0.704983473 0.0417671539 0.70728302, 18 -0.0896458253 0.602375507 -0.0968290418 0.787230372, 19 0 0 0 0, 20 -0.00222303346 -0.00672347657 0.9997859 0.019440569, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037935508, 0 0.0303143654 0.123039342 2.45309711 2, 1 0.0270930603 0.46492812 2.47641134 2, 2 0.0225882977 0.793850124 2.48611283 2, 3 0.032942608 0.953493834 2.47552204 2, 4 -0.148941934 0.643111587 2.48046136 2, 5 -0.175786644 0.400744259 2.41346526 2, 6 -0.118773997 0.210409775 2.3101511 2, 7 -0.0919816121 0.166230664 2.3206315 2, 8 0.205179036 0.641842842 2.47850966 2, 9 0.226179942 0.396055192 2.44491529 2, 10 0.192838073 0.163671106 2.32481933 2, 11 0.169816881 0.120107353 2.30861831 2, 12 -0.042903997 0.120678566 2.41165376 2, 13 -0.0834263265 -0.319529146 2.4157989 2, 14 -0.0962448046 -0.683316231 2.35533118 2, 15 -0.0917425677 -0.750408649 2.22142601 2, 16 0.102572009 0.121207654 2.41213512 2, 17 0.153411001 -0.366070926 2.41926861 2, 18 0.162287131 -0.717765689 2.32447577 2, 19 0.194976762 -0.748665929 2.19630814 2, 20 0.0237745158 0.713434637 2.48609853 2, 21 -0.0632322282 0.0893235132 2.29424763 2, 22 -0.0314094536 0.222406209 2.30168414 2, 23 0.162689447 0.0588306114 2.2886858 2, 24 0.208693177 0.0824353099 2.3027668 2, 0 0.0016859679 -0.00464527216 0.999408126 0.034043707, 1 -0.00028276135 -0.00471232552 0.999409497 0.0340344869, 2 -0.00209759758 -0.0073751267 0.999970555 7.34674613e-005, 3 0 0 0 0, 4 -0.0229170714 0.829707503 -0.557683766 -0.00700580003, 5 -0.143528938 0.949918509 -0.0139862001 -0.277233869, 6 -0.273934215 0.839398265 -0.00155175175 0.469433963, 7 -0.0590024814 0.800978184 0.278435022 0.526713073, 8 -0.0256622452 0.826680481 0.562077224 0.0031536778, 9 -0.0797346979 0.869088113 0.00374277215 0.488174349, 10 -0.0749276504 0.53423214 -0.231866017 0.809456646, 11 0.0840976983 0.584848642 -0.270140946 0.760199666, 12 -0.199128702 0.698822141 -0.668074369 0.160224885, 13 -0.029047491 0.707844734 -0.0358216092 -0.704860866, 14 -0.0717990994 0.725249588 0.0437004566 -0.68333602, 15 0 0 0 0, 16 -0.196899682 0.695989192 0.670974672 -0.163164303, 17 -0.0316446126 0.705046296 0.0418404751 0.707218289, 18 -0.0894262418 0.601749003 -0.0968236476 0.787734926, 19 0 0 0 0, 20 -0.00222343626 -0.00671603205 0.999785542 0.0194635224, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037935508, 0 0.0304107219 0.123015128 2.45308471 2, 1 0.0270692129 0.464995325 2.47642922 2, 2 0.0224022511 0.794155538 2.48625875 2, 3 0.0327461138 0.953631341 2.47536349 2, 4 -0.148957655 0.643111587 2.48046088 2, 5 -0.175931558 0.40101257 2.41356683 2, 6 -0.118879013 0.206974566 2.31799531 2, 7 -0.088236019 0.14815332 2.31869864 1, 8 0.205048248 0.64198041 2.47850204 2, 9 0.226191565 0.395778388 2.44484806 2, 10 0.193471342 0.164790884 2.32507443 2, 11 0.170468539 0.118791133 2.30860782 2, 12 -0.0428036079 0.120668769 2.41163564 2, 13 -0.0834006667 -0.32065621 2.41531706 2, 14 -0.0963931978 -0.687913656 2.35198474 2, 15 -0.0919976085 -0.750141144 2.22090173 2, 16 0.102660432 0.121171273 2.41211081 2, 17 0.153343022 -0.366458207 2.41918659 2, 18 0.1627893 -0.717294633 2.32438326 2, 19 0.194799945 -0.749010384 2.19634151 2, 20 0.0236376487 0.713668406 2.48619938 2, 21 -0.0592337623 0.0711242631 2.29759932 2, 22 -0.0259686261 0.194005013 2.2965517 2, 23 0.163060069 0.055706162 2.29070711 2, 24 0.206686795 0.088919118 2.29531431 2, 0 0.00167702755 -0.0048196665 0.999406159 0.0340788513, 1 -0.000291146804 -0.00488677016 0.99940747 0.0340692885, 2 -0.00209923834 -0.00767458137 0.99996829 0.000352650153, 3 0 0 0 0, 4 -0.0232156571 0.830097854 -0.557090461 -0.0069837058, 5 -0.142849401 0.960520923 -0.0202065613 -0.237876609, 6 -0.257465333 0.827417076 -0.0011791595 0.499090344, 7 -0.129367664 0.802773178 0.199632898 0.546777725, 8 -0.0259631425 0.826804042 0.561881959 0.00311669311, 9 -0.0798519179 0.86794585 0.00374227436 0.490183264, 10 -0.100179128 0.616935372 -0.222614706 0.748196304, 11 0.0497524627 0.666872501 -0.267618626 0.693675697, 12 -0.199248627 0.698775291 -0.668102562 0.16016227, 13 -0.0294060372 0.707825482 -0.0354206935 -0.704885602, 14 -0.0740105733 0.724737525 0.0457629561 -0.683508396, 15 0 0 0 0, 16 -0.196905956 0.696016192 0.670918167 -0.163273901, 17 -0.0315515026 0.705051184 0.0416571014 0.707228363, 18 -0.0905318931 0.603869796 -0.0963288769 0.786044478, 19 0 0 0 0, 20 -0.00222855783 -0.00693901163 0.999781072 0.019616399, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037935508, 0 0.030443538 0.12304613 2.45310593 2, 1 0.0270363539 0.46510309 2.47653484 2, 2 0.0223266147 0.79433918 2.48655248 2, 3 0.0325143598 0.953626394 2.47522235 2, 4 -0.148968115 0.643125415 2.48046041 2, 5 -0.175947785 0.4011361 2.41362882 2, 6 -0.118266188 0.20883134 2.3148694 2, 7 -0.0857093111 0.150835961 2.31863165 2, 8 0.204962 0.642110825 2.47861624 2, 9 0.226157308 0.395780027 2.44488287 2, 10 0.19370456 0.165292099 2.32532787 2, 11 0.17103599 0.120022245 2.30895829 2, 12 -0.0427514501 0.120712109 2.41170168 2, 13 -0.0831397921 -0.320802391 2.41526628 2, 14 -0.0960326493 -0.688585162 2.35239744 2, 15 -0.0914764106 -0.750733376 2.21994877 2, 16 0.10268268 0.121198677 2.41209602 2, 17 0.153364182 -0.366399705 2.41923022 2, 18 0.162499592 -0.717007458 2.32470989 2, 19 0.195143193 -0.748786271 2.19693995 2, 20 0.0235692561 0.71383512 2.48643637 2, 21 -0.0575164072 0.0706651434 2.29822516 2, 22 -0.0215867758 0.205809832 2.29745722 2, 23 0.164762065 0.0592695996 2.28901482 2, 24 0.206960186 0.0941921324 2.29358339 2, 0 0.00140739314 -0.00492336694 0.999402165 0.034192726, 1 -0.000349454436 -0.00498346705 0.999403 0.0341840163, 2 -0.00193696946 -0.00771856681 0.999968052 0.000706128019, 3 0 0 0 0, 4 -0.023842141 0.830339074 -0.556706846 -0.00679152692, 5 -0.143104449 0.956595242 -0.0179684125 -0.253226727, 6 -0.265039235 0.8259812 -0.00357628893 0.497490138, 7 -0.120244406 0.794103742 0.224140808 0.551997721, 8 -0.0263899714 0.826858997 0.561780691 0.00318851369, 9 -0.079999961 0.867637873 0.00370412995 0.490704417, 10 -0.101963334 0.621752143 -0.22178039 0.744205117, 11 0.0472274348 0.670763612 -0.269020766 0.689545929, 12 -0.19924517 0.698781908 -0.668153584 0.159924865, 13 -0.0293313172 0.707640707 -0.0351387188 -0.705088377, 14 -0.0733834505 0.72492379 0.0453616232 -0.683405101, 15 0 0 0 0, 16 -0.197081164 0.696001947 0.670851409 -0.163397163, 17 -0.0314994007 0.705239892 0.0417095758 0.707039356, 18 -0.0897327662 0.601541519 -0.0966251045 0.787882864, 19 0 0 0 0, 20 -0.00206706813 -0.00700600911 0.999775708 0.0198762901, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037935508, 0 0.030485861 0.123074427 2.45305967 2, 1 0.0270054713 0.465229183 2.47652769 2, 2 0.0222460609 0.794606745 2.48664618 2, 3 0.0324207135 0.953676641 2.47512674 2, 4 -0.14897196 0.643130481 2.48043966 2, 5 -0.175921991 0.401159376 2.41366386 2, 6 -0.117844954 0.209651142 2.31345105 2, 7 -0.0843509361 0.1528005 2.31758618 1, 8 0.204889014 0.642150998 2.47860742 2, 9 0.226195142 0.395478994 2.4446342 2, 10 0.193996161 0.165679738 2.32543445 2, 11 0.170309395 0.120013185 2.30776429 2, 12 -0.0426943302 0.120757222 2.41164041 2, 13 -0.0828756168 -0.322335273 2.41549873 2, 14 -0.0956764296 -0.686177135 2.35460377 2, 15 -0.0921275318 -0.749687195 2.22074747 2, 16 0.102714069 0.121216655 2.41204286 2, 17 0.153418019 -0.366439879 2.41919637 2, 18 0.162470579 -0.718599081 2.32301283 2, 19 0.197151914 -0.749016285 2.19544291 2, 20 0.0234987698 0.714065909 2.4864974 2, 21 -0.0599587113 0.071855709 2.29786825 2, 22 -0.0221617967 0.203111976 2.29799747 2, 23 0.16315648 0.0591799952 2.28775883 2, 24 0.210222051 0.0854522362 2.30393887 2, 0 0.00144545618 -0.00502732955 0.99939996 0.0342401154, 1 -0.000319782499 -0.00508779939 0.999400973 0.0342311822, 2 -0.00191469805 -0.00777789485 0.999967515 0.000908612506, 3 0 0 0 0, 4 -0.0240757409 0.830687106 -0.556177616 -0.00677190721, 5 -0.143120691 0.954822123 -0.0169447046 -0.259892404, 6 -0.268609673 0.827006578 -0.00351752527 0.493858904, 7 -0.123750202 0.790766299 0.23395744 0.551940739, 8 -0.0265958607 0.827113926 0.561395586 0.00320032449, 9 -0.0804094225 0.867674947 0.00366601767 0.490572184, 10 -0.0734591633 0.522985697 -0.232713491 0.816660285, 11 0.0812445879 0.571923852 -0.271339953 0.769855142, 12 -0.199404851 0.698709249 -0.668180048 0.159932867, 13 -0.0288277827 0.707693815 -0.0350852422 -0.705058515, 14 -0.0719839185 0.722111225 0.0444303975 -0.686585426, 15 0 0 0 0, 16 -0.197107434 0.696031809 0.670796812 -0.163462415, 17 -0.0314996317 0.705209136 0.0417332947 0.707068682, 18 -0.0897493064 0.594730079 -0.0987933651 0.792767882, 19 0 0 0 0, 20 -0.00204577926 -0.00708237756 0.999772668 0.0200046524, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037935508, 0 0.0305085368 0.123071216 2.45306039 2, 1 0.0269454103 0.465288162 2.47654843 2, 2 0.02205218 0.794769049 2.48672915 2, 3 0.0321531929 0.953798056 2.47489619 2, 4 -0.149035782 0.643167794 2.48043919 2, 5 -0.17591323 0.401047558 2.41371822 2, 6 -0.117937423 0.209965929 2.31254244 2, 7 -0.0855459049 0.151168838 2.31791782 1, 8 0.204886153 0.642144263 2.47860479 2, 9 0.226140201 0.395443499 2.44448924 2, 10 0.194136083 0.165946141 2.32551074 2, 11 0.169800386 0.120030709 2.30802274 2, 12 -0.0426486544 0.120756879 2.41163635 2, 13 -0.0822587088 -0.317122817 2.41524434 2, 14 -0.0955971926 -0.685392797 2.35686231 2, 15 -0.0916366279 -0.750356674 2.22074175 2, 16 0.102720208 0.121213466 2.41204119 2, 17 0.153531462 -0.369377375 2.41898465 2, 18 0.162410438 -0.717965126 2.32346034 2, 19 0.196619928 -0.748814762 2.19589043 2, 20 0.0233383588 0.714203 2.48656201 2, 21 -0.0613017194 0.0709022507 2.29781747 2, 22 -0.0206511468 0.197602645 2.29555559 2, 23 0.161161304 0.0536063351 2.29026604 2, 24 0.207696125 0.0881901905 2.29956007 2, 0 0.00145878573 -0.00514656119 0.99939853 0.0342631973, 1 -0.000306976668 -0.00520708971 0.999399543 0.0342540517, 2 -0.00189612631 -0.00798331574 0.999965847 0.00102199567, 3 0 0 0 0, 4 -0.0242595673 0.830878437 -0.555884063 -0.00673699332, 5 -0.142997295 0.953353643 -0.016007863 -0.265353352, 6 -0.270430118 0.820664048 -0.00805750769 0.503302157, 7 -0.109955281 0.789791584 0.226641536 0.559260726, 8 -0.0267629288 0.827221274 0.561229467 0.00318340748, 9 -0.0805950388 0.867491722 0.00340576214 0.490867704, 10 -0.0885178968 0.574670792 -0.22723268 0.78120631, 11 0.0669738948 0.625191033 -0.277135581 0.726530612, 12 -0.19951953 0.698696911 -0.668156445 0.159942463, 13 -0.0289142448 0.707701743 -0.0348419212 -0.705059052, 14 -0.0693053603 0.723432004 0.040980719 -0.685684741, 15 0 0 0 0, 16 -0.197121873 0.696016371 0.670791388 -0.163533226, 17 -0.0315413512 0.705195546 0.041410163 0.707099438, 18 -0.0900766551 0.596048355 -0.0990445912 0.791708708, 19 0 0 0 0, 20 -0.00203069695 -0.00728140445 0.999769688 0.0200859476, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037935508, 0 0.0305085275 0.123070113 2.45305967 2, 1 0.0269103795 0.465322524 2.47656035 2, 2 0.0220149867 0.794835091 2.48677349 2, 3 0.0319596194 0.953837276 2.47471881 2, 4 -0.149083644 0.643190086 2.48043871 2, 5 -0.175967962 0.401195854 2.41377735 2, 6 -0.11805889 0.210239053 2.31229758 2, 7 -0.0845416784 0.152415976 2.31675506 2, 8 0.204836696 0.64216125 2.4785614 2, 9 0.226119295 0.39545089 2.44436908 2, 10 0.19418937 0.166210324 2.32557726 2, 11 0.1704887 0.120284796 2.30815268 2, 12 -0.0426479429 0.120757744 2.41163421 2, 13 -0.0819127783 -0.318720222 2.41513777 2, 14 -0.0956090763 -0.685400009 2.35680366 2, 15 -0.0916346386 -0.750198364 2.2203989 2, 16 0.102717623 0.121206544 2.41203618 2, 17 0.153607532 -0.369482964 2.41895151 2, 18 0.17224972 -0.66272676 2.37197208 2, 19 0.183603778 -0.731920183 2.23228693 2, 20 0.0232983101 0.714262724 2.48659754 2, 21 -0.0554629527 0.0699687749 2.29708576 2, 22 -0.0225218721 0.204461396 2.29735994 2, 23 0.160153389 0.0558135435 2.29066443 2, 24 0.206799641 0.0954572633 2.29255986 2, 0 0.00145259453 -0.00519727217 0.999397814 0.0342780463, 1 -0.000336748722 -0.00525863562 0.999398768 0.034268681, 2 -0.00195051974 -0.00796513632 0.999965787 0.00107625336, 3 0 0 0 0, 4 -0.0243717916 0.830924869 -0.555809736 -0.00673768437, 5 -0.142990395 0.952889383 -0.0158101358 -0.267031103, 6 -0.27103886 0.824584961 -0.00636017602 0.496545225, 7 -0.12079569 0.789796412 0.231918529 0.554836869, 8 -0.0269412473 0.827281892 0.561132193 0.003091953, 9 -0.0807502195 0.867612243 0.00340112788 0.490629017, 10 -0.10314025 0.624386966 -0.220868304 0.742105186, 11 0.043891497 0.674943447 -0.277558923 0.682265282, 12 -0.199552909 0.698693335 -0.668155253 0.159921527, 13 -0.0286193043 0.707709968 -0.0343564525 -0.705086648, 14 -0.0698977187 0.723628879 0.0407369807 -0.685431302, 15 0 0 0 0, 16 -0.197127134 0.696033359 0.670763671 -0.163567945, 17 -0.0316112489 0.705195189 0.0414376594 0.707095027, 18 -0.0773908868 0.686849117 -0.0357214734 0.721784532, 19 0 0 0 0, 20 -0.00208522496 -0.00729190744 0.999768615 0.0201308001, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037935508, 0 0.0305331089 0.123052269 2.45305657 2, 1 0.0268775187 0.465378672 2.47657418 2, 2 0.0219101943 0.795044065 2.48684359 2, 3 0.0318239145 0.953788757 2.4745748 2, 4 -0.149106413 0.643177092 2.48043871 2, 5 -0.175756097 0.401175797 2.41371298 2, 6 -0.117851429 0.210378915 2.31189775 2, 7 -0.0842209235 0.152558073 2.31666875 1, 8 0.204822049 0.642169297 2.4785583 2, 9 0.226064131 0.39533782 2.4442277 2, 10 0.176199436 0.130916595 2.31162667 2, 11 0.16974394 0.0909098312 2.30512786 2, 12 -0.0426196866 0.120754421 2.41162729 2, 13 -0.082324408 -0.3223643 2.41552567 2, 14 -0.0933473259 -0.657278061 2.36937189 2, 15 -0.0918955803 -0.743358612 2.2257266 2, 16 0.102739319 0.121168323 2.41202641 2, 17 0.1536576 -0.369356394 2.41902637 2, 18 0.172162518 -0.662601411 2.37196922 2, 19 0.183530405 -0.732208431 2.23040867 2, 20 0.0232101679 0.714429975 2.48665023 2, 21 -0.0565896332 0.0705750659 2.2953198 2, 22 -0.0223764032 0.203982949 2.29751682 2, 23 0.16368635 0.0351038016 2.31511092 2, 24 0.203961059 0.0655940324 2.302773 2, 0 0.00145392772 -0.00527979853 0.999396741 0.0342953354, 1 -0.000334826909 -0.00534117315 0.999397755 0.0342858285, 2 -0.00194510398 -0.00806445628 0.999964893 0.00118347444, 3 0 0 0 0, 4 -0.0245165229 0.831209421 -0.555377901 -0.00671937922, 5 -0.14301686 0.952373862 -0.015043837 -0.268893778, 6 -0.271712124 0.822576344 -0.00777387945 0.499480039, 7 -0.120446756 0.786636472 0.233192727 0.55885309, 8 -0.0270796772 0.827454209 0.560871482 0.0030758793, 9 -0.0806056783 0.893579423 0.00769320875 0.44154194, 10 -0.0710819662 0.591587305 -0.232843697 0.768606365, 11 0.0133978808 0.611175537 -0.111502916 0.783487082, 12 -0.199626192 0.69863838 -0.668197691 0.159892604, 13 -0.0284171626 0.707724571 -0.0347382575 -0.705061376, 14 -0.0605460405 0.717606544 0.0357551612 -0.692890108, 15 0 0 0 0, 16 -0.197115615 0.696105778 0.670675814 -0.163634449, 17 -0.0315813646 0.705192029 0.0415323377 0.707093954, 18 -0.0773225874 0.687049389 -0.0359538458 0.721589625, 19 0 0 0 0, 20 -0.00208153785 -0.00739960186 0.999766409 0.0201994497, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037935508, 0 0.0305401795 0.12306872 2.4530375 2, 1 0.0268231779 0.465435505 2.47657442 2, 2 0.0218279958 0.795105517 2.48688841 2, 3 0.0317205824 0.953805447 2.47445536 2, 4 -0.149185181 0.643244505 2.48048425 2, 5 -0.176100016 0.401663214 2.41436839 2, 6 -0.118098922 0.211257383 2.31180358 2, 7 -0.0857691988 0.152805299 2.31769848 1, 8 0.204816461 0.642187357 2.4785552 2, 9 0.226036772 0.395315379 2.44412804 2, 10 0.194239631 0.168308079 2.32445431 2, 11 0.171158761 0.122392438 2.3077302 2, 12 -0.042594783 0.120786056 2.41165257 2, 13 -0.0825751796 -0.324410766 2.41534495 2, 14 -0.0971455052 -0.688650489 2.34661794 2, 15 -0.0915417224 -0.750883937 2.21715736 2, 16 0.102722362 0.121192217 2.4118588 2, 17 0.153702319 -0.369280368 2.41908455 2, 18 0.172434524 -0.662437797 2.37137222 2, 19 0.182473451 -0.732576489 2.22828007 2, 20 0.0231319647 0.714493096 2.48668289 2, 21 -0.0609478056 0.0714008212 2.29871488 2, 22 -0.0231193751 0.202834651 2.29768038 2, 23 0.164307728 0.055757612 2.28843999 2, 24 0.208188698 0.0981853008 2.29463148 2, 0 0.000797526096 -0.00539117819 0.999396205 0.0343159065, 1 -0.00069814804 -0.00544252852 0.999396205 0.0343077965, 2 -0.00200289139 -0.00808961503 0.999964476 0.00125839293, 3 0 0 0 0, 4 -0.0245315824 0.831202865 -0.555386245 -0.00680339895, 5 -0.142348826 0.951171219 -0.0152402204 -0.273455471, 6 -0.27340731 0.8218894 -0.00863640755 0.499671578, 7 -0.106105722 0.791481853 0.230002448 0.556234598, 8 -0.0271677449 0.827475071 0.560836613 0.00306021958, 9 -0.0810521543 0.865574062 0.00272586825 0.494170785, 10 -0.101434246 0.611335456 -0.225313902 0.751806915, 11 0.0503162406 0.66197145 -0.26956141 0.697566271, 12 -0.199569434 0.698620081 -0.668277621 0.15970917, 13 -0.0286885928 0.70725137 -0.0346124955 -0.705531418, 14 -0.0816029981 0.729285181 0.0488866083 -0.677564859, 15 0 0 0 0, 16 -0.197656557 0.695921898 0.670555294 -0.164256647, 17 -0.0314390175 0.705657005 0.0417634733 0.70662272, 18 -0.078570351 0.691124201 -0.0360375382 0.717548192, 19 0 0 0 0, 20 -0.00214016694 -0.0074485736 0.999764681 0.0202633552, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037935508, 0 0.0305412915 0.123071767 2.45304441 2, 1 0.0267928261 0.465473503 2.47659731 2, 2 0.0218057483 0.795147061 2.48691845 2, 3 0.0316766575 0.953905106 2.47434235 2, 4 -0.149221912 0.643247902 2.48051238 2, 5 -0.176110849 0.401912987 2.41455078 2, 6 -0.118241854 0.211521938 2.31187201 2, 7 -0.0851751417 0.153108105 2.31821132 2, 8 0.204776719 0.642215729 2.4785502 2, 9 0.225982577 0.395482004 2.44399071 2, 10 0.194238424 0.168306887 2.32443547 2, 11 0.170361593 0.121471204 2.30860305 2, 12 -0.042594254 0.120791957 2.41165757 2, 13 -0.0825668126 -0.324505031 2.4153142 2, 14 -0.0955303088 -0.677036285 2.36146092 2, 15 -0.0916937292 -0.750809193 2.21893454 2, 16 0.102722898 0.121192381 2.41186357 2, 17 0.15393126 -0.368850619 2.41920614 2, 18 0.172749147 -0.661909878 2.37066007 2, 19 0.182329148 -0.733615696 2.22546554 2, 20 0.0231052246 0.71453625 2.48671222 2, 21 -0.0625251681 0.0717391595 2.29913735 2, 22 -0.0226761177 0.20240058 2.29775596 2, 23 0.16432716 0.0584701151 2.29092455 2, 24 0.206051737 0.0895047933 2.29190278 2, 0 0.000799665577 -0.00543638272 0.999395251 0.0343356393, 1 -0.000719554257 -0.00548857171 0.99939537 0.0343273357, 2 -0.00204924308 -0.00806198455 0.999964595 0.00126253709, 3 0 0 0 0, 4 -0.0245468039 0.831251621 -0.555312157 -0.00682741869, 5 -0.142209843 0.950866938 -0.0151236597 -0.274590135, 6 -0.273445249 0.820355892 -0.00986251794 0.502142072, 7 -0.107777938 0.786480308 0.234926328 0.560929835, 8 -0.0272376854 0.827500999 0.560795128 0.00300752115, 9 -0.0813072845 0.865824997 0.00261466671 0.493689448, 10 -0.105917998 0.626690805 -0.222841352 0.739176333, 11 0.0536712296 0.681010127 -0.265685797 0.680261433, 12 -0.199604213 0.698613286 -0.668280125 0.159685239, 13 -0.0287043098 0.707253397 -0.034570381 -0.705530763, 14 -0.0674565956 0.723452628 0.0388550796 -0.685971081, 15 0 0 0 0, 16 -0.197658613 0.695930719 0.670541823 -0.164271638, 17 -0.0315453634 0.705648184 0.0420462415 0.706610024, 18 -0.0797403529 0.692843974 -0.0367485322 0.715722144, 19 0 0 0 0, 20 -0.00218643947 -0.00744213443 0.999764323 0.0202755053, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
