sep=, 
LeftHandState, LeftHandTrackingConfidence, RightHandState, RightHandTrackingConfidence, TrackingState, TrackingID, Joint0, Joint1, Joint2, Joint3, Joint4, Joint5, Joint6, Joint7, Joint8, Joint9, Joint10, Joint11, Joint12, Joint13, Joint14, Joint15, Joint16, Joint17, Joint18, Joint19, Joint20, Joint21, Joint22, Joint23, Joint24, JointOrientation0, JointOrientation1, JointOrientation2, JointOrientation3, JointOrientation4, JointOrientation5, JointOrientation6, JointOrientation7, JointOrientation8, JointOrientation9, JointOrientation10, JointOrientation11, JointOrientation12, JointOrientation13, JointOrientation14, JointOrientation15, JointOrientation16, JointOrientation17, JointOrientation18, JointOrientation19, JointOrientation20, JointOrientation21, JointOrientation22, JointOrientation23, JointOrientation24
0, 0, 0, 0, 1, 72057594037933330, 0 0.145121157 -0.167893708 1.26075029 2, 1 0.136161909 0.0731405765 1.32047141 2, 2 0.125423819 0.302505732 1.36786258 2, 3 0.106007859 0.444745392 1.39372861 2, 4 -0.0180270206 0.157665998 1.39765799 2, 5 -0.0958777368 -0.0479902141 1.39377725 2, 6 -0.220060527 -0.118549325 1.23103857 2, 7 -0.255875856 -0.123508886 1.19314742 2, 8 0.257640898 0.173483387 1.26865184 2, 9 0.323529065 -0.0762130022 1.19719017 2, 10 0.366574615 -0.119346604 0.996144474 2, 11 0.37830314 -0.0731775314 0.825036228 2, 12 0.0720475465 -0.174936265 1.24673426 2, 13 -0.0866805017 -0.155041665 0.896274745 2, 14 0.0382030085 -0.41190964 0.714033544 1, 15 0.00964803807 -0.405481547 0.569834113 1, 16 0.211620182 -0.153308943 1.2169745 2, 17 0.0933463722 -0.152997479 0.850382388 2, 18 0.107844532 -0.476899445 0.764757514 1, 19 0.0594152287 -0.491490781 0.630328596 1, 20 0.128506079 0.246590495 1.35781682 2, 21 -0.299701154 -0.162251443 1.12037969 2, 22 -0.307540506 -0.126210526 1.21180964 2, 23 0.389872283 -0.081284143 0.768965244 2, 24 0.339577377 -0.0674812049 0.801800013 2, 0 -0.115976602 -0.0321891308 0.985676765 0.118129648, 1 -0.156568259 -0.0370382965 0.980048835 0.116700128, 2 -0.199509874 -0.0444197915 0.975496709 0.0814176947, 3 0 0 0 0, 4 0.0150002763 0.843654215 -0.497102767 -0.20226571, 5 0.159854889 -0.496504903 0.0830802172 0.849133134, 6 0.521170795 -0.363405406 -0.255826294 0.728608608, 7 0.624015272 -0.30869478 -0.251511097 0.672350228, 8 -0.222854137 0.830155551 0.489071876 -0.148278102, 9 -0.183488384 0.64705503 -0.0197664667 0.739770949, 10 -0.48416388 0.687138259 0.403639019 -0.36125055, 11 0.651912093 -0.522188485 -0.452747107 0.312009335, 12 -0.145525977 0.739372551 -0.657044411 -0.0210494027, 13 0.459353715 -0.177532583 -0.561083734 0.665327966, 14 0.0109081017 -0.553999186 -0.347565472 0.756415308, 15 0 0 0 0, 16 -0.286388636 0.627456605 0.71279633 -0.127283856, 17 -0.450779855 0.595912516 -0.545162141 0.380110413, 18 -0.118699417 0.819380939 -0.0544775501 0.558173239, 19 0 0 0 0, 20 -0.200102612 -0.0425257348 0.973808467 0.0992346928, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933330, 0 0.14578934 -0.167107865 1.25843263 2, 1 0.136754736 0.0743264332 1.31544256 2, 2 0.126363456 0.304124057 1.36005199 2, 3 0.105713017 0.444840521 1.39334941 2, 4 -0.0245893877 0.159218997 1.39193177 2, 5 -0.0978718996 -0.046735879 1.39387512 2, 6 -0.219625071 -0.118519224 1.23209584 2, 7 -0.255674005 -0.124245517 1.19303524 2, 8 0.259404719 0.176205039 1.25531411 2, 9 0.323980063 -0.0760399625 1.19622123 2, 10 0.366828233 -0.119745336 0.995290995 2, 11 0.376968205 -0.0738497078 0.82954365 2, 12 0.0728894398 -0.174444199 1.24453151 2, 13 -0.0862419978 -0.155220613 0.895254076 2, 14 0.0390186682 -0.413034379 0.713655472 1, 15 0.00929027796 -0.408005893 0.56948781 1, 16 0.212063819 -0.152196392 1.21454906 2, 17 0.0932787508 -0.152895033 0.850283623 2, 18 0.10761077 -0.477559 0.764859915 1, 19 0.0579506904 -0.493282944 0.630880237 1, 20 0.129217178 0.24809885 1.35076416 2, 21 -0.301210105 -0.161972702 1.12073123 2, 22 -0.304869682 -0.123353541 1.20800948 2, 23 0.389562815 -0.0803691894 0.770126939 2, 24 0.340818405 -0.0641333461 0.802441418 2, 0 -0.117084011 -0.0318271033 0.986198127 0.112657472, 1 -0.160303146 -0.036746379 0.980101109 0.111150227, 2 -0.206147701 -0.0416023098 0.974756002 0.0749874264, 3 0 0 0 0, 4 0.0147451721 0.839202225 -0.506036937 -0.198617369, 5 0.144425377 -0.498613089 0.0899536163 0.849961519, 6 0.52319473 -0.384647995 -0.243294582 0.720500469, 7 0.62420994 -0.330791056 -0.238339812 0.666433394, 8 -0.232034713 0.823207915 0.492689133 -0.160455614, 9 -0.166182667 0.648003519 -0.00400049519 0.743275642, 10 -0.491858631 0.695239246 0.392475724 -0.347390711, 11 0.664399803 -0.525088072 -0.437917084 0.301801413, 12 -0.141321182 0.740864813 -0.656384706 -0.0175169595, 13 0.459756434 -0.177099451 -0.560031354 0.666051567, 14 0.00777425338 -0.54979682 -0.346466243 0.760015845, 15 0 0 0 0, 16 -0.284380436 0.625051975 0.71506542 -0.130840257, 17 -0.449292958 0.597264886 -0.545182645 0.37971881, 18 -0.118341506 0.822336435 -0.0537853092 0.553954184, 19 0 0 0 0, 20 -0.206598207 -0.0416556895 0.973065019 0.0934154391, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933330, 0 0.14625074 -0.166953236 1.25517845 2, 1 0.136826798 0.0745730847 1.31348133 2, 2 0.125978962 0.304242194 1.35964084 2, 3 0.105468921 0.444886923 1.39296985 2, 4 -0.0235666409 0.15913476 1.39338934 2, 5 -0.0992986113 -0.047014676 1.39346063 2, 6 -0.219804958 -0.118579969 1.23221576 2, 7 -0.255021632 -0.124318406 1.19466376 2, 8 0.258669794 0.176005363 1.25682664 2, 9 0.327009261 -0.0765270367 1.18378341 2, 10 0.369640589 -0.123162359 0.983409405 2, 11 0.377426535 -0.073584713 0.822877526 2, 12 0.07384184 -0.174552351 1.24093997 2, 13 -0.0860553607 -0.155322164 0.894812763 2, 14 0.0399656892 -0.414109468 0.713561475 1, 15 0.0104253013 -0.409341902 0.569108903 1, 16 0.212041989 -0.151759163 1.2116003 2, 17 0.0929878801 -0.152771145 0.850028872 2, 18 0.106710926 -0.478162289 0.764502883 1, 19 0.0567453317 -0.494369566 0.630519569 1, 20 0.128967002 0.248274952 1.34975612 2, 21 -0.301279187 -0.161611795 1.12465596 2, 22 -0.303336769 -0.121189341 1.20904398 2, 23 0.388090312 -0.0827189311 0.768416703 2, 24 0.340487063 -0.0647184253 0.799274325 2, 0 -0.116256833 -0.0327846594 0.985989153 0.11504288, 1 -0.160247892 -0.037898194 0.979801476 0.113461122, 2 -0.206908032 -0.0439045168 0.97410953 0.0798246935, 3 0 0 0 0, 4 0.0201943684 0.838631213 -0.504651606 -0.204001561, 5 0.150605291 -0.501609743 0.0893636122 0.847183526, 6 0.524012744 -0.39057526 -0.240670875 0.717592537, 7 0.625958383 -0.334653884 -0.229752749 0.665880203, 8 -0.22756274 0.825547218 0.491854817 -0.15737173, 9 -0.186595216 0.649826825 -0.0179243963 0.736604393, 10 -0.497726321 0.708138347 0.375878841 -0.330943674, 11 0.687008977 -0.52140826 -0.418809623 0.284166604, 12 -0.144602835 0.742236435 -0.654120147 -0.0173737146, 13 0.460973889 -0.174925044 -0.55918622 0.666494548, 14 0.00669100601 -0.550440431 -0.34577024 0.759877264, 15 0 0 0 0, 16 -0.286148101 0.623453677 0.7159971 -0.129510373, 17 -0.447986037 0.597822964 -0.545874774 0.379390329, 18 -0.117765881 0.822958291 -0.0543870144 0.55309397, 19 0 0 0 0, 20 -0.207362235 -0.04316945 0.972606182 0.0957838595, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933330, 0 0.137244582 -0.167064831 1.25041127 2, 1 0.133484036 0.074434638 1.31286085 2, 2 0.125371128 0.304115385 1.36109924 2, 3 0.105263732 0.444970518 1.3926816 2, 4 -0.0213584304 0.159191906 1.39522684 2, 5 -0.0999056473 -0.0474653766 1.39323783 2, 6 -0.219408765 -0.118564397 1.23290813 2, 7 -0.25350526 -0.123645715 1.19545841 2, 8 0.257769376 0.175430894 1.2590946 2, 9 0.326022774 -0.0767762586 1.18764281 2, 10 0.368937433 -0.122444756 0.987028301 2, 11 0.376352221 -0.0737012625 0.826125622 2, 12 0.0670465082 -0.173670605 1.23668921 2, 13 -0.0859576836 -0.155431747 0.894509912 2, 14 0.0418568514 -0.416273564 0.713980258 1, 15 0.0134923253 -0.411730498 0.569116116 1, 16 0.200941861 -0.152984485 1.20631409 2, 17 0.0929869935 -0.152749866 0.850032032 2, 18 0.105290122 -0.479610264 0.762485504 1, 19 0.0551455058 -0.49713406 0.628832757 1, 20 0.127945125 0.248158723 1.35071278 2, 21 -0.30316636 -0.161965042 1.12778318 2, 22 -0.299418956 -0.115810797 1.21014881 2, 23 0.388935566 -0.0820120201 0.769177377 2, 24 0.340861857 -0.0655770823 0.80017364 2, 0 -0.123774499 -0.023282215 0.984226525 0.12424168, 1 -0.164783403 -0.0284522008 0.978196502 0.123160571, 2 -0.20780997 -0.0413051583 0.973609805 0.0848108828, 3 0 0 0 0, 4 0.0212438013 0.838498414 -0.50160414 -0.211807474, 5 0.157465965 -0.503721833 0.0885702744 0.844762683, 6 0.531671166 -0.414995134 -0.223206833 0.703763783, 7 0.635442913 -0.359250665 -0.21517013 0.648731887, 8 -0.226785451 0.827678025 0.490384817 -0.151789725, 9 -0.184924081 0.649073899 -0.0160792228 0.737731397, 10 -0.501289904 0.708950937 0.374251753 -0.325626612, 11 0.688046813 -0.524250567 -0.414021581 0.283441305, 12 -0.149002343 0.738574445 -0.657127857 -0.022116093, 13 0.458140999 -0.180359975 -0.560720623 0.665709794, 14 0.00520611694 -0.553989232 -0.344424725 0.757918417, 15 0 0 0 0, 16 -0.300391257 0.627548695 0.706522644 -0.129512683, 17 -0.452902466 0.5906232 -0.543318093 0.388392985, 18 -0.118553236 0.823636174 -0.0573415086 0.55161643, 19 0 0 0 0, 20 -0.20842348 -0.0377499498 0.972039521 0.101359747, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933330, 0 0.140139937 -0.167728648 1.24934268 2, 1 0.133411288 0.0746319667 1.31049156 2, 2 0.125550464 0.304578483 1.35919714 2, 3 0.105064504 0.445031434 1.39231014 2, 4 -0.0238327924 0.15920271 1.39262545 2, 5 -0.100224391 -0.047369048 1.39300489 2, 6 -0.219111085 -0.11852368 1.23330545 2, 7 -0.253013372 -0.123693369 1.1942327 2, 8 0.258394182 0.175999641 1.25544488 2, 9 0.325136065 -0.0756018013 1.18989408 2, 10 0.36826846 -0.121928535 0.989449143 2, 11 0.377400994 -0.0746236518 0.829479575 2, 12 0.0693256631 -0.17471768 1.23554718 2, 13 -0.085960418 -0.155487403 0.894360602 2, 14 0.0420052558 -0.416430384 0.713885844 1, 15 0.0136086773 -0.412166595 0.568937838 1, 16 0.204588041 -0.153068617 1.20540142 2, 17 0.0929465294 -0.15273729 0.849978447 2, 18 0.103855759 -0.479669064 0.761635482 1, 19 0.0535509549 -0.496866077 0.627853692 1, 20 0.127939761 0.24855642 1.34877312 2, 21 -0.301393241 -0.161547229 1.12364817 2, 22 -0.299635261 -0.118740633 1.20712721 2, 23 0.389862567 -0.0827812031 0.7693609 2, 24 0.340519667 -0.0650619864 0.802691698 2, 0 -0.121594995 -0.0285573248 0.98480767 0.120635435, 1 -0.163278848 -0.0336511396 0.978760242 0.119314842, 2 -0.207607538 -0.0397192389 0.973668575 0.0853871033, 3 0 0 0 0, 4 0.0176953413 0.83776629 -0.503520131 -0.210480511, 5 0.150980517 -0.503132582 0.0908028036 0.846059918, 6 0.532193601 -0.419257551 -0.220219836 0.701780796, 7 0.633163333 -0.367493063 -0.222225815 0.643947721, 8 -0.230328396 0.826370299 0.490793377 -0.152259067, 9 -0.176765606 0.648837745 -0.010010439 0.740042746, 10 -0.476275712 0.688812852 0.403689891 -0.36841929, 11 0.658030331 -0.510493994 -0.456695288 0.312764108, 12 -0.147200838 0.740114629 -0.655835748 -0.021014696, 13 0.460125297 -0.177367419 -0.560268521 0.665525913, 14 0.00477269152 -0.553577781 -0.344385803 0.758239567, 15 0 0 0 0, 16 -0.294872761 0.625072002 0.710918128 -0.130116791, 17 -0.449961245 0.59233892 -0.545875072 0.385603338, 18 -0.118314773 0.823522687 -0.0596979968 0.551586986, 19 0 0 0 0, 20 -0.208096579 -0.037729945 0.971996427 0.10244628, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933330, 0 0.138773158 -0.167378977 1.24750423 2, 1 0.132787913 0.0746398419 1.31045055 2, 2 0.124867618 0.304399461 1.36085463 2, 3 0.104863971 0.445115149 1.39195216 2, 4 -0.0216390565 0.158700407 1.39547634 2, 5 -0.100317895 -0.0470209233 1.39307475 2, 6 -0.218784332 -0.118550904 1.23401201 2, 7 -0.253679574 -0.124016084 1.19441497 2, 8 0.257256299 0.175263539 1.25844574 2, 9 0.324419647 -0.0764669403 1.1936202 2, 10 0.368590504 -0.113699608 0.991474271 2, 11 0.376157612 -0.074545525 0.830269694 2, 12 0.0682411492 -0.174338013 1.23370457 2, 13 -0.0855725929 -0.155534595 0.894002974 2, 14 0.0426307693 -0.417487115 0.713971496 1, 15 0.0142989922 -0.413419574 0.568954945 1, 16 0.202928454 -0.152723402 1.20354795 2, 17 0.0928565711 -0.152698562 0.849941134 2, 18 0.103437617 -0.480132788 0.761013508 1, 19 0.0527433716 -0.497706205 0.627440214 1, 20 0.127211094 0.248429745 1.34983611 2, 21 -0.303061426 -0.161828026 1.12690675 2, 22 -0.305441588 -0.119248576 1.21153605 2, 23 0.390360862 -0.0817179456 0.770398974 2, 24 0.341191769 -0.0639157966 0.802964389 2, 0 -0.122550435 -0.0276435129 0.984247744 0.12439277, 1 -0.164426565 -0.0329249091 0.978123844 0.123100266, 2 -0.20892486 -0.0405264385 0.972893 0.0904834718, 3 0 0 0 0, 4 0.0223609414 0.838312507 -0.499830514 -0.216567934, 5 0.158700243 -0.504903555 0.0884970576 0.843833387, 6 0.525527894 -0.402103156 -0.232779354 0.712704182, 7 0.62728256 -0.349895388 -0.23455824 0.655036032, 8 -0.226866424 0.828691304 0.489345342 -0.149477586, 9 -0.176350623 0.643723667 -0.00967751257 0.744598329, 10 -0.537089705 0.717090249 0.350693703 -0.27263552, 11 0.694404304 -0.559057176 -0.368362963 0.263754487, 12 -0.14967145 0.740034342 -0.655293286 -0.0232012663, 13 0.459972411 -0.178787962 -0.560005069 0.665473163, 14 0.00418441417 -0.554101288 -0.343265325 0.758368731, 15 0 0 0 0, 16 -0.298340023 0.625213087 0.70963943 -0.128505647, 17 -0.450151473 0.591853857 -0.545341313 0.386879027, 18 -0.118663631 0.824443281 -0.0602691695 0.550072551, 19 0 0 0 0, 20 -0.209350646 -0.0388059542 0.971374333 0.105348863, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933330, 0 0.14688471 -0.169110581 1.25330043 2, 1 0.134524688 0.0738484263 1.3128885 2, 2 0.124472238 0.304217845 1.36155164 2, 3 0.104294851 0.445362717 1.3912667 2, 4 -0.0205980558 0.158497825 1.3967557 2, 5 -0.100588486 -0.0472330377 1.39297378 2, 6 -0.218850702 -0.118571065 1.23437011 2, 7 -0.252471894 -0.123590529 1.19618237 2, 8 0.256697148 0.174964517 1.25990939 2, 9 0.324147612 -0.0780948326 1.20636678 2, 10 0.364488453 -0.117000759 1.00371742 2, 11 0.376366168 -0.0749402493 0.832513988 2, 12 0.0749367177 -0.17690815 1.23953521 2, 13 -0.0853765756 -0.1555565 0.89376086 2, 14 0.0405052453 -0.415697366 0.713093042 1, 15 0.0101757422 -0.411140621 0.56842643 1, 16 0.212368667 -0.153533205 1.20927632 2, 17 0.0927766562 -0.152694643 0.849845171 2, 18 0.104000673 -0.478977829 0.762834489 1, 19 0.0528234355 -0.495132565 0.628935575 1, 20 0.127054319 0.248168245 1.35066581 2, 21 -0.300573736 -0.160263047 1.1250385 2, 22 -0.307416588 -0.119340196 1.21582615 2, 23 0.389993221 -0.0815131888 0.770153344 2, 24 0.340544641 -0.0648562163 0.80376029 2, 0 -0.119719289 -0.0391374305 0.98523277 0.115982234, 1 -0.162940472 -0.0442012213 0.979013205 0.114148453, 2 -0.209774747 -0.0423603393 0.972790778 0.0887592807, 3 0 0 0 0, 4 0.026843816 0.83979547 -0.498508632 -0.213335842, 5 0.162578017 -0.505352974 0.0873051435 0.842949986, 6 0.52272886 -0.393132746 -0.239065289 0.717669129, 7 0.625817657 -0.340813935 -0.243440509 0.657977819, 8 -0.223119766 0.828400314 0.490205139 -0.153848916, 9 -0.163055763 0.652463019 0.00842894427 0.740022779, 10 -0.508221388 0.691987395 0.386252344 -0.337155014, 11 0.660698652 -0.540276885 -0.427197784 0.298463017, 12 -0.14445807 0.743282139 -0.652845502 -0.0213591252, 13 0.463659585 -0.175235763 -0.559452355 0.664323211, 14 0.00561985327 -0.549290597 -0.343994468 0.761522233, 15 0 0 0 0, 16 -0.287482679 0.620922208 0.71707201 -0.132729396, 17 -0.446719676 0.595918596 -0.549134254 0.379175663, 18 -0.11736121 0.824883938 -0.0581050329 0.549924195, 19 0 0 0 0, 20 -0.20994851 -0.0430505238 0.971674085 0.099587895, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933330, 0 0.142504439 -0.170061558 1.25468194 2, 1 0.133530095 0.0733872801 1.31383753 2, 2 0.124264307 0.304169267 1.36201572 2, 3 0.102834009 0.445704401 1.39051247 2, 4 -0.0201092977 0.158118844 1.39741874 2, 5 -0.100836433 -0.0472936369 1.39290595 2, 6 -0.218901619 -0.118588023 1.23435426 2, 7 -0.252808511 -0.123707123 1.19531572 2, 8 0.256357133 0.174807638 1.26078188 2, 9 0.324172378 -0.0782325044 1.2041899 2, 10 0.365041524 -0.117462151 1.00170124 2, 11 0.374885261 -0.0743865445 0.837302089 2, 12 0.0709785894 -0.177284777 1.2411691 2, 13 -0.0853550807 -0.155575082 0.893702149 2, 14 0.0405004472 -0.415936053 0.713036418 1, 15 0.0100608133 -0.411325127 0.568225026 1, 16 0.207628801 -0.15510878 1.21046901 2, 17 0.0930515155 -0.152697563 0.850117683 2, 18 0.104317047 -0.479134023 0.762793303 1, 19 0.052996777 -0.495363832 0.628790915 1, 20 0.126727015 0.248031586 1.35135567 2, 21 -0.301717311 -0.160479531 1.12670529 2, 22 -0.301558107 -0.11784862 1.21049845 2, 23 0.385913461 -0.0774364099 0.769730628 2, 24 0.34074986 -0.0654450431 0.818090975 2, 0 -0.121751375 -0.0324689597 0.985254884 0.115737267, 1 -0.164411023 -0.0374630317 0.979040205 0.114218518, 2 -0.21014668 -0.0409085676 0.972936213 0.0869486034, 3 0 0 0 0, 4 0.0272117518 0.840504467 -0.497016937 -0.213976353, 5 0.164869055 -0.506150603 0.0869617909 0.8420614, 6 0.525417745 -0.401818067 -0.233033895 0.712863028, 7 0.627555609 -0.350326747 -0.238567203 0.653093219, 8 -0.222682774 0.828523815 0.490226775 -0.153747872, 9 -0.167072132 0.651571929 0.00443612272 0.739946783, 10 -0.552786171 0.730440855 0.318026274 -0.244423628, 11 0.714797854 -0.566589594 -0.339975178 0.229035333, 12 -0.142808914 0.740914047 -0.655920744 -0.0204954408, 13 0.461810291 -0.180236861 -0.561403871 0.662624776, 14 0.00562322978 -0.549281061 -0.343780994 0.761625469, 15 0 0 0 0, 16 -0.290136576 0.623680413 0.713535726 -0.133079827, 17 -0.45050022 0.591568589 -0.547939658 0.383221, 18 -0.117737353 0.825088739 -0.0582234785 0.54952383, 19 0 0 0 0, 20 -0.210383758 -0.0410406403 0.971715808 0.0991099477, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933330, 0 0.14674145 -0.170823321 1.25841022 2, 1 0.134418085 0.0730792806 1.31521523 2, 2 0.123991668 0.304206163 1.36239266 2, 3 0.100523606 0.446234226 1.39104986 2, 4 -0.0197228137 0.158118919 1.39874268 2, 5 -0.100954369 -0.0473661646 1.39271533 2, 6 -0.219004676 -0.118603028 1.23428464 2, 7 -0.252358675 -0.123674937 1.19555449 2, 8 0.256033093 0.174835011 1.26166964 2, 9 0.324588895 -0.0780503303 1.2026546 2, 10 0.365839809 -0.118665226 1.00050271 2, 11 0.375402898 -0.0753444806 0.839453578 2, 12 0.07437177 -0.178579792 1.2453084 2, 13 -0.0853480101 -0.155596554 0.893677652 2, 14 0.0392571464 -0.414600194 0.712631583 1, 15 0.0075642895 -0.409758538 0.5679878 1, 16 0.212578505 -0.155240923 1.21384847 2, 17 0.0930206999 -0.152700514 0.850099027 2, 18 0.104541302 -0.478512406 0.763808429 1, 19 0.05277263 -0.494075507 0.629664063 1, 20 0.126624122 0.24801296 1.35187936 2, 21 -0.303109527 -0.16112113 1.12851405 2, 22 -0.299581528 -0.113728598 1.212394 2, 23 0.387551069 -0.0804761127 0.770247519 2, 24 0.343349427 -0.0654510632 0.821027637 2, 0 -0.122557536 -0.0386293977 0.98557508 0.110132113, 1 -0.165162921 -0.0433668569 0.979336441 0.108354181, 2 -0.211257547 -0.0421597473 0.972791016 0.0852667391, 3 0 0 0 0, 4 0.0306729488 0.840865254 -0.496578097 -0.213108167, 5 0.167484969 -0.506025672 0.0844755322 0.841873348, 6 0.533064902 -0.425580472 -0.215060607 0.698907673, 7 0.634847939 -0.373955667 -0.218164191 0.63994503, 8 -0.220499158 0.828226507 0.490888745 -0.156362385, 9 -0.170905754 0.651512802 0.00200397521 0.739133477, 10 -0.56192404 0.741518021 0.296085924 -0.216161162, 11 0.728852928 -0.572241306 -0.313750148 0.207060918, 12 -0.137446374 0.742976189 -0.654726923 -0.0206781141, 13 0.46322298 -0.178648144 -0.561361849 0.662104368, 14 0.0061918525 -0.54602766 -0.344561428 0.763605177, 15 0 0 0 0, 16 -0.284860939 0.620549321 0.717653513 -0.136916593, 17 -0.4485268 0.593782485 -0.549673498 0.379611671, 18 -0.116995178 0.825707138 -0.0570842028 0.54887259, 19 0 0 0 0, 20 -0.211401165 -0.0433087312 0.971705794 0.096030049, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933330, 0 0.145310298 -0.168775558 1.25117254 2, 1 0.134119645 0.0734841973 1.31382298 2, 2 0.123843499 0.304217458 1.3624711 2, 3 0.0969784483 0.445742488 1.39266777 2, 4 -0.0196935199 0.158044204 1.39952242 2, 5 -0.101173446 -0.0478998534 1.39221931 2, 6 -0.265332788 -0.128946766 1.18333459 2, 7 -0.281247079 -0.146082848 1.13940585 1, 8 0.255821615 0.175112799 1.26231086 2, 9 0.325978965 -0.0749515817 1.19341576 2, 10 0.368013769 -0.120852016 0.992564559 2, 11 0.375571698 -0.0750766322 0.837071836 2, 12 0.0737196803 -0.176866621 1.23716962 2, 13 -0.0853342116 -0.155622423 0.893571794 2, 14 0.0406897962 -0.417071134 0.713144243 1, 15 0.0102942735 -0.412753433 0.568159163 1, 16 0.210373119 -0.152875856 1.20733976 2, 17 0.0930372998 -0.152721554 0.850122809 2, 18 0.104547895 -0.479758471 0.762420297 1, 19 0.052955661 -0.496439606 0.628457725 1, 20 0.126514927 0.248041332 1.35186231 2, 21 -0.2502698 -0.146763697 1.04468381 2, 22 -0.303928405 -0.157286525 1.12599993 2, 23 0.387352675 -0.079536289 0.769530654 2, 24 0.341917336 -0.065140225 0.818689704 2, 0 -0.120198764 -0.0376408957 0.984450996 0.122440323, 1 -0.164118424 -0.0430806503 0.97808826 0.120633863, 2 -0.211406782 -0.042688407 0.972670197 0.0860092267, 3 0 0 0 0, 4 0.0309896544 0.839927316 -0.496480793 -0.216952801, 5 0.170942724 -0.486217111 0.0780849457 0.853389919, 6 0.504303038 -0.271898717 -0.315885782 0.756284177, 7 0.41746214 -0.37089783 -0.391865402 0.731164634, 8 -0.220786467 0.828730881 0.490847081 -0.153387025, 9 -0.185991734 0.652223408 -0.00937899854 0.734795034, 10 -0.550523937 0.748463213 0.29627499 -0.22124064, 11 0.735906065 -0.56148237 -0.315423667 0.209016129, 12 -0.149280116 0.744668961 -0.650073171 -0.024258012, 13 0.464184672 -0.176227137 -0.559055328 0.664028406, 14 0.00522468891 -0.549612343 -0.342718124 0.761868238, 15 0 0 0 0, 16 -0.293006927 0.619780421 0.716563821 -0.128668472, 17 -0.44746232 0.595793188 -0.547706723 0.380559117, 18 -0.118251055 0.825767219 -0.0579624176 0.548421025, 19 0 0 0 0, 20 -0.21164383 -0.0436840877 0.97123605 0.0999954715, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
