sep=, 
Hand-Neck Distance (m), Elbow Angle (rad)
0.585275233, 1.81323195
0.58625561, 1.81954396
0.586358666, 1.7999233
0.584532261, 1.76077855
0.583796978, 1.75510097
0.588588655, 1.7497412
0.592406988, 1.77411103
0.587464392, 1.75572658
0.588885128, 1.75444007
0.591277063, 1.75689864
0.591594517, 1.75269628
0.592850983, 1.75029254
0.589333713, 1.74431074
0.591682076, 1.74696553
0.590031028, 1.7659508
0.590185225, 1.767398
0.590529144, 1.78925669
0.588525951, 1.78000641
0.586782753, 1.80768085
0.585893393, 1.79760218
0.58662951, 1.81325173
0.581553221, 1.81168318
0.585417986, 1.8245182
0.583922148, 1.82099962
0.586136997, 1.83187985
0.585282266, 1.82801199
0.586846113, 1.81413078
0.588163316, 1.81175208
0.591015697, 1.81822431
0.588372588, 1.80437315
0.589963257, 1.81773973
0.587680042, 1.83170724
0.587442756, 1.83674777
0.587186933, 1.83620012
0.583068013, 1.81478918
0.585957587, 1.81651688
0.584845483, 1.81223416
0.584472299, 1.80310524
0.579588294, 1.79347062
0.585420966, 1.79924917
