sep=, 
LeftHandState, LeftHandTrackingConfidence, RightHandState, RightHandTrackingConfidence, TrackingState, TrackingID, Joint0, Joint1, Joint2, Joint3, Joint4, Joint5, Joint6, Joint7, Joint8, Joint9, Joint10, Joint11, Joint12, Joint13, Joint14, Joint15, Joint16, Joint17, Joint18, Joint19, Joint20, Joint21, Joint22, Joint23, Joint24, JointOrientation0, JointOrientation1, JointOrientation2, JointOrientation3, JointOrientation4, JointOrientation5, JointOrientation6, JointOrientation7, JointOrientation8, JointOrientation9, JointOrientation10, JointOrientation11, JointOrientation12, JointOrientation13, JointOrientation14, JointOrientation15, JointOrientation16, JointOrientation17, JointOrientation18, JointOrientation19, JointOrientation20, JointOrientation21, JointOrientation22, JointOrientation23, JointOrientation24
0, 0, 0, 0, 1, 72057594037933093, 0 0.0204418357 -0.218211383 1.28829062 2, 1 0.015198837 0.0288969185 1.3420347 2, 2 0.0103035038 0.264567316 1.38387489 2, 3 0.00986985955 0.421215475 1.3941586 2, 4 -0.162151933 0.136197537 1.32915533 2, 5 -0.211318746 -0.0663658753 1.22345424 2, 6 -0.195005074 -0.083145529 0.992510438 2, 7 -0.238216519 -0.0485439114 0.954427302 2, 8 0.187751397 0.123960577 1.40214789 2, 9 0.225460246 -0.0993942693 1.36248779 2, 10 0.358884394 -0.110260144 1.17409694 2, 11 0.384684414 -0.119079754 1.14142323 2, 12 -0.0650144592 -0.210108653 1.23972571 2, 13 -0.0316800661 -0.162349612 0.902899683 2, 14 -0.143515751 -0.422844112 1.22340679 2, 15 -0.171903878 -0.490400434 1.28673458 2, 16 0.104755193 -0.215939716 1.2772907 2, 17 0.22236605 -0.195991442 0.907647073 2, 18 0.108962432 -0.4137685 1.25893092 2, 19 0.0761328861 -0.467278868 1.33289933 2, 20 0.0114873219 0.207122877 1.37526166 2, 21 -0.232321694 -0.0298243444 0.923529923 2, 22 -0.1726356 -0.115729943 0.903878331 2, 23 0.41430226 -0.0990240723 1.06352079 2, 24 0.427157074 -0.0778808817 1.11440003 2, 0 0.110187523 0.00148254994 0.988094985 0.10735365, 1 0.105021402 0.000921409403 0.988657415 0.107359931, 2 0.100147754 -0.00269957189 0.99213922 0.0749857053, 3 0 0 0 0, 4 -0.125949115 0.82633251 -0.548210561 0.0278689973, 5 -0.24864985 0.734213293 0.0693902522 -0.627924442, 6 -0.181569964 0.144993097 -0.656421363 0.71771878, 7 0.081068702 -0.398178756 0.866550207 -0.289779663, 8 -0.00703847362 0.83203274 0.537217915 0.138090134, 9 -0.113371015 0.458664298 -0.0388792753 0.880489886, 10 0.667918205 -0.465736806 0.174290374 -0.553712428, 11 -0.597209215 0.425990522 -0.19929187 0.649735391, 12 0.256718725 -0.668754637 0.689328492 -0.108115256, 13 -0.557675481 0.525688469 0.508780003 -0.392163992, 14 0.239198178 0.70652318 -0.372007608 -0.552466869, 15 0 0 0 0, 16 -0.120963685 0.697044909 0.70620203 0.0278334338, 17 0.5792135 -0.398692191 0.436108589 -0.561574101, 18 0.41093871 0.535430074 0.277607381 0.683650494, 19 0 0 0 0, 20 0.0998937115 -0.000994999427 0.990681171 0.0925798714, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933093, 0 0.0203978401 -0.218174994 1.28822088 2, 1 0.0153436838 0.0288762338 1.34204268 2, 2 0.0109907864 0.264394224 1.38407373 2, 3 0.0100144269 0.421284378 1.39396453 2, 4 -0.161927789 0.13617821 1.32908702 2, 5 -0.213307843 -0.0566007867 1.20605087 2, 6 -0.222076669 -0.0442035496 0.974421084 2, 7 -0.240187615 -0.0482341163 0.959162712 2, 8 0.187762022 0.123983368 1.4021399 2, 9 0.225583553 -0.0993487313 1.36245477 2, 10 0.359621048 -0.112497054 1.17466986 2, 11 0.385888427 -0.118476279 1.14109027 2, 12 -0.0650511682 -0.210064769 1.23966026 2, 13 -0.0318173803 -0.16232194 0.902873218 2, 14 -0.143572018 -0.422780871 1.22343707 2, 15 -0.171930701 -0.490311891 1.28679943 2, 16 0.104719177 -0.215936199 1.27725732 2, 17 0.22237654 -0.195761293 0.907695472 2, 18 0.109141298 -0.413842469 1.25885248 2, 19 0.0763576627 -0.467439473 1.3327843 2, 20 0.0120156696 0.206990406 1.37540448 2, 21 -0.233133301 -0.0260219406 0.924033105 2, 22 -0.200035632 -0.0673789084 0.937357128 2, 23 0.413501322 -0.0986015871 1.06304443 2, 24 0.403214991 -0.0574064702 1.11357141 2, 0 0.110256076 0.00188081304 0.988072336 0.107485399, 1 0.105121166 0.0013223592 0.988631845 0.107493721, 2 0.100172266 -0.00128501689 0.992110014 0.0753762946, 3 0 0 0 0, 4 -0.126394451 0.825990975 -0.548619211 0.0279331207, 5 0.276531488 -0.680579603 -0.110930249 0.669355035, 6 0.219036564 -0.23229824 0.691900671 -0.64756006, 7 0.0374367982 -0.611966491 0.643976927 -0.457590818, 8 -0.00732189557 0.832129538 0.537030876 0.138219714, 9 -0.113551483 0.457151592 -0.0390083045 0.881247282, 10 0.686607063 -0.584805846 0.0110528143 -0.431799442, 11 0.656150818 -0.597612381 -0.00459754886 -0.460764945, 12 0.256703705 -0.668720841 0.689363956 -0.108133547, 13 -0.557817578 0.525699675 0.508610904 -0.392165959, 14 0.239192337 0.706303895 -0.372066796 -0.552709758, 15 0 0 0 0, 16 -0.120951936 0.697170973 0.706067026 0.028153941, 17 0.579281569 -0.398346335 0.436356574 -0.561556637, 18 0.410679489 0.535863698 0.277358562 0.683567643, 19 0 0 0 0, 20 0.0999580845 0.000105460247 0.990645707 0.0928949043, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933093, 0 0.0204324983 -0.218137741 1.28804159 2, 1 0.0153035717 0.0289351735 1.34176052 2, 2 0.0105988123 0.264566571 1.38347864 2, 3 0.0101003405 0.421294183 1.39379013 2, 4 -0.161741197 0.136158958 1.32903421 2, 5 -0.220308632 -0.0552644953 1.26590037 2, 6 -0.222471505 -0.046107579 1.03397298 2, 7 -0.240985319 -0.0472227149 0.958297968 2, 8 0.187769607 0.12401244 1.40211976 2, 9 0.225761175 -0.0992245674 1.36188209 2, 10 0.359052181 -0.110331357 1.17340875 2, 11 0.385344714 -0.118417844 1.14057064 2, 12 -0.0649998635 -0.210038066 1.23949051 2, 13 -0.0318455882 -0.162350476 0.90287739 2, 14 -0.143637896 -0.422918081 1.22335339 2, 15 -0.172004879 -0.490510285 1.28665972 2, 16 0.104738228 -0.215927422 1.27712262 2, 17 0.22245039 -0.195624739 0.907577693 2, 18 0.10882698 -0.413633555 1.25867665 2, 19 0.075937815 -0.467221975 1.33258116 2, 20 0.0117579168 0.207113236 1.37492228 2, 21 -0.230095148 -0.0280887559 0.923287868 2, 22 -0.197553515 -0.0381426215 0.92406249 2, 23 0.413881779 -0.0984824151 1.06311476 2, 24 0.410171747 -0.0539778173 1.12300003 2, 0 0.110400438 0.00172573759 0.988077104 0.107295729, 1 0.105217427 0.00116305286 0.988642514 0.107303306, 2 0.100317381 -0.00252411398 0.992161095 0.0744736642, 3 0 0 0 0, 4 -0.125368789 0.826474071 -0.548129916 0.0278726891, 5 0.209737837 -0.699894249 -0.00526459934 0.68273741, 6 -0.561489582 0.543789268 -0.45216608 0.429614484, 7 -0.487556458 0.602181077 -0.505106509 0.380176395, 8 -0.00620930549 0.83201766 0.537164271 0.138428986, 9 -0.114521533 0.458905518 -0.0396747887 0.880179763, 10 0.687565207 -0.623431146 -0.0567889474 -0.367916793, 11 0.6325652 -0.653733194 -0.0739937872 -0.408679575, 12 0.256619781 -0.668742418 0.689362466 -0.108209461, 13 -0.558054388 0.525852561 0.508309305 -0.392015517, 14 0.239141971 0.706495404 -0.371938288 -0.552573383, 15 0 0 0 0, 16 -0.12060643 0.69728744 0.706009984 0.0281826761, 17 0.579396486 -0.398225963 0.436392039 -0.561496019, 18 0.41091612 0.535499513 0.277179748 0.683783293, 19 0 0 0 0, 20 0.100050896 -0.000541826244 0.990683973 0.0923842639, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
3, 1, 0, 0, 1, 72057594037933093, 0 0.0205026027 -0.218082204 1.28796625 2, 1 0.0156089338 0.0289262161 1.34180188 2, 2 0.0114151901 0.264418721 1.38380814 2, 3 0.0101027591 0.421311557 1.39370787 2, 4 -0.161623523 0.136115342 1.32901096 2, 5 -0.211492628 -0.0718664452 1.23621452 2, 6 -0.201883718 -0.0888332874 1.00491178 2, 7 -0.241759613 -0.0535733029 0.964092791 2, 8 0.187763035 0.124037594 1.40210474 2, 9 0.225794673 -0.0991988033 1.36191952 2, 10 0.359004676 -0.110353321 1.17338991 2, 11 0.385837793 -0.118576415 1.14093339 2, 12 -0.0649490878 -0.210001901 1.23942757 2, 13 -0.0320066065 -0.162340567 0.902865827 2, 14 -0.144430667 -0.422501057 1.22346771 2, 15 -0.172974482 -0.4899382 1.28684843 2, 16 0.104823001 -0.215880617 1.27707863 2, 17 0.222490996 -0.195445463 0.907613516 2, 18 0.109018192 -0.414951771 1.25788224 2, 19 0.0761644542 -0.468971461 1.33152592 2, 20 0.0124254376 0.207002446 1.37516534 2, 21 -0.234130546 -0.0242565759 0.924697399 2, 22 -0.171816289 -0.115468398 0.911949635 2, 23 0.41464299 -0.099180229 1.06326592 2, 24 0.402961493 -0.0577345863 1.11716676 2, 0 0.110371277 0.00221396727 0.988057733 0.107495144, 1 0.105222397 0.00165393169 0.988619328 0.107505225, 2 0.100262634 -0.00117533829 0.992120147 0.0751243904, 3 0 0 0 0, 4 -0.125926897 0.826066434 -0.548622191 0.0277576186, 5 -0.225868657 0.72563076 0.0542182401 -0.647691131, 6 -0.275457352 0.268325627 -0.62255615 0.681577921, 7 0.203816473 -0.412215561 0.849284768 -0.259331048, 8 -0.00673099188 0.832237542 0.536780775 0.138570309, 9 -0.114557356 0.459126472 -0.0395041853 0.880067587, 10 0.679363251 -0.654800475 -0.119722009 -0.308818102, 11 0.620674074 -0.687275529 -0.137624085 -0.351391137, 12 0.256521255 -0.668827355 0.689325154 -0.108155273, 13 -0.558715761 0.526147246 0.507559419 -0.391649425, 14 0.2387968 0.706234574 -0.372810096 -0.552468359, 15 0 0 0 0, 16 -0.120690651 0.697310686 0.705958128 0.0285439938, 17 0.579358041 -0.398003668 0.436644852 -0.561496854, 18 0.409706354 0.53647387 0.275864869 0.684277058, 19 0 0 0 0, 20 0.100033462 0.000511483522 0.990639389 0.092879422, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
3, 1, 0, 0, 1, 72057594037933093, 0 0.0205264371 -0.218040437 1.28794265 2, 1 0.0158171989 0.0289456397 1.34185672 2, 2 0.0119014233 0.264375776 1.38401961 2, 3 0.0100019984 0.421303153 1.39354265 2, 4 -0.161560297 0.136127859 1.32900774 2, 5 -0.220195308 -0.055267401 1.26296937 2, 6 -0.204218462 -0.0798640475 1.03271115 2, 7 -0.240293428 -0.0506199747 0.960746527 2, 8 0.187742814 0.124099955 1.40208352 2, 9 0.225825414 -0.0991313308 1.36192596 2, 10 0.359007835 -0.110361636 1.17338097 2, 11 0.386076719 -0.11867512 1.1416806 2, 12 -0.0649342984 -0.209980637 1.23942459 2, 13 -0.0327065177 -0.162108287 0.903132439 2, 14 -0.145069599 -0.422199756 1.22381496 2, 15 -0.173585325 -0.489606082 1.28723431 2, 16 0.104851305 -0.21583879 1.27705324 2, 17 0.222537756 -0.195434466 0.907661259 2, 18 0.109279297 -0.414972305 1.2579819 2, 19 0.0764831603 -0.468995363 1.33164406 2, 20 0.0128417341 0.206974342 1.3753376 2, 21 -0.232502535 -0.0271628983 0.923899949 2, 22 -0.159695178 -0.11328195 0.916571498 2, 23 0.413179785 -0.0987190753 1.06368661 2, 24 0.406820208 -0.0558563583 1.12380004 2, 0 0.11024873 0.00258278707 0.988057494 0.107614949, 1 0.10515479 0.00202810322 0.988612592 0.107626826, 2 0.100215055 -0.000544043898 0.992103398 0.0754151642, 3 0 0 0 0, 4 -0.12628594 0.82580781 -0.548931718 0.0276994035, 5 -0.214441463 0.741538346 -0.00372748892 -0.635705829, 6 -0.255462855 0.235882893 -0.617863953 0.705224931, 7 0.174254343 -0.360410541 0.800224066 -0.446521133, 8 -0.00710606715 0.832391202 0.536531389 0.138594732, 9 -0.114633374 0.459212035 -0.0393878669 0.880018294, 10 0.689677954 -0.595589519 -0.00693850592 -0.411788017, 11 0.633076727 -0.616786301 -0.0377055705 -0.466226131, 12 0.256395578 -0.668910623 0.689297736 -0.108113237, 13 -0.559735298 0.525772512 0.506801307 -0.391678363, 14 0.23877947 0.705961347 -0.372931719 -0.552743018, 15 0 0 0 0, 16 -0.120842487 0.697305143 0.705931842 0.0286841784, 17 0.579269826 -0.397872508 0.436721355 -0.56162113, 18 0.409661889 0.536858976 0.275866419 0.684001088, 19 0 0 0 0, 20 0.0999971107 0.00111482514 0.990616024 0.0931625143, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
3, 1, 0, 0, 1, 72057594037933093, 0 0.0205441117 -0.217986047 1.28792727 2, 1 0.016006289 0.0289613865 1.34192109 2, 2 0.0123363687 0.26430732 1.38422918 2, 3 0.00935543329 0.421084344 1.39269483 2, 4 -0.161511377 0.136147872 1.32899368 2, 5 -0.215950862 -0.0590583794 1.21168864 2, 6 -0.198383287 -0.0808418021 0.981253743 2, 7 -0.239598662 -0.0482593589 0.954664707 2, 8 0.187756509 0.124160975 1.4021014 2, 9 0.225922838 -0.0989947692 1.36143541 2, 10 0.360241979 -0.112667993 1.17389774 2, 11 0.386029422 -0.1180453 1.14094079 2, 12 -0.0649134293 -0.209944889 1.23940825 2, 13 -0.0332133509 -0.161947489 0.903347194 2, 14 -0.145357639 -0.422251254 1.22395313 2, 15 -0.173801646 -0.489718437 1.28734708 2, 16 0.104863308 -0.215785742 1.27706122 2, 17 0.222556591 -0.195280805 0.907700241 2, 18 0.109450385 -0.41502893 1.25795436 2, 19 0.0766956285 -0.469109267 1.33159661 2, 20 0.0132161155 0.206927091 1.37551165 2, 21 -0.233341962 -0.0258949623 0.923849404 2, 22 -0.17189382 -0.115147106 0.903166711 2, 23 0.413187385 -0.0991447717 1.06309891 2, 24 0.399418384 -0.0621873364 1.11692786 2, 0 0.110270895 0.00294215418 0.988039613 0.107746534, 1 0.105187401 0.00238791388 0.988593817 0.107760251, 2 0.100227907 8.31874058e-006 0.992081225 0.0756910294, 3 0 0 0 0, 4 -0.126682118 0.825524926 -0.549266696 0.0276829842, 5 -0.279077113 0.738829553 0.072723262 -0.609063447, 6 -0.171106428 0.133078799 -0.651000321 0.727469027, 7 0.0773506016 -0.418067843 0.877886236 -0.220344886, 8 -0.0074436944 0.832467616 0.536390007 0.13866502, 9 -0.115176171 0.456260085 -0.0406690054 0.881423473, 10 0.685867369 -0.59215337 -0.000844728958 -0.423012525, 11 0.660330355 -0.601958156 -0.0154238259 -0.448745281, 12 0.256365925 -0.668974459 0.689241409 -0.108147994, 13 -0.560637355 0.525651395 0.506037414 -0.39153862, 14 0.238672659 0.705827415 -0.372680992 -0.553129196, 15 0 0 0 0, 16 -0.120904036 0.697299778 0.705916703 0.0289300401, 17 0.579239964 -0.397663176 0.436911166 -0.56165278, 18 0.409487247 0.537236035 0.275695264 0.683878481, 19 0 0 0 0, 20 0.100018717 0.00165909913 0.990587115 0.0934388265, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933093, 0 0.0205895137 -0.217940018 1.28789413 2, 1 0.0160626564 0.0290430915 1.34187531 2, 2 0.0121542942 0.264543325 1.3840344 2, 3 0.00838358607 0.420785069 1.39171875 2, 4 -0.161487579 0.136160374 1.32898438 2, 5 -0.213073909 -0.0670223162 1.22593999 2, 6 -0.197355673 -0.0813814476 0.994791567 2, 7 -0.238205671 -0.0500774272 0.954540968 2, 8 0.18777971 0.124215446 1.40210414 2, 9 0.225622982 -0.0990069434 1.36150563 2, 10 0.359061569 -0.110531501 1.17316544 2, 11 0.385347873 -0.118610196 1.1415596 2, 12 -0.0648519099 -0.209914431 1.23937821 2, 13 -0.0333513543 -0.161940396 0.903329432 2, 14 -0.146025598 -0.42182374 1.22409785 2, 15 -0.174618587 -0.489163488 1.28755164 2, 16 0.104893543 -0.215745524 1.27704537 2, 17 0.222595751 -0.195382014 0.907642901 2, 18 0.110765226 -0.415295362 1.25817573 2, 19 0.0783552527 -0.469422847 1.33190346 2, 20 0.0131270597 0.207106307 1.37537563 2, 21 -0.233003184 -0.027354084 0.923591733 2, 22 -0.169307321 -0.115217522 0.908716202 2, 23 0.414220631 -0.0989214182 1.06357718 2, 24 0.40009284 -0.0623238608 1.11925697 2, 0 0.110321075 0.00296607218 0.98803854 0.1077049, 1 0.105203666 0.00240835035 0.988596499 0.107718818, 2 0.100285493 -0.00083738449 0.992112398 0.0752006918, 3 0 0 0 0, 4 -0.12628381 0.825824201 -0.548906684 0.0277164876, 5 -0.247420236 0.733106852 0.0621533655 -0.630455911, 6 -0.195996314 0.160672396 -0.656243801 0.710713625, 7 0.093153663 -0.400175214 0.854917943 -0.316697747, 8 -0.00706593134 0.832547665 0.536271989 0.138660789, 9 -0.11456991 0.458418131 -0.0405839719 0.880386055, 10 0.687715054 -0.617809892 -0.0459847152 -0.378476322, 11 0.631438613 -0.644407511 -0.0697749928 -0.425623834, 12 0.256334126 -0.669018865 0.689200878 -0.1082066, 13 -0.561051607 0.525770009 0.505551159 -0.391414195, 14 0.238599926 0.705782056 -0.373391181 -0.552739382, 15 0 0 0 0, 16 -0.120814644 0.69732064 0.705909669 0.0289710816, 17 0.579383194 -0.398061335 0.436509848 -0.561534882, 18 0.408577591 0.537900329 0.276669592 0.683506787, 19 0 0 0 0, 20 0.100039609 0.00123395608 0.990609348 0.0931862369, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933093, 0 0.020582905 -0.217899263 1.28787541 2, 1 0.0161820855 0.0290235728 1.34191024 2, 2 0.0125138219 0.264371008 1.38416517 2, 3 0.00662734266 0.420210242 1.39052439 2, 4 -0.161483109 0.136167675 1.32898331 2, 5 -0.213777691 -0.0600512065 1.21242571 2, 6 -0.196965933 -0.0805717409 0.981818378 2, 7 -0.238406822 -0.048235409 0.953929186 2, 8 0.187815756 0.124281682 1.40212238 2, 9 0.225436449 -0.0989976674 1.36166322 2, 10 0.358345777 -0.104784839 1.17265415 2, 11 0.385537148 -0.11900498 1.14369631 2, 12 -0.0648383051 -0.209888354 1.23935151 2, 13 -0.0333623476 -0.161945015 0.903300166 2, 14 -0.146138996 -0.421809554 1.22406983 2, 15 -0.17476061 -0.489132911 1.28753054 2, 16 0.10486947 -0.2156993 1.27705491 2, 17 0.222616285 -0.19545342 0.90761584 2, 18 0.110467076 -0.415423483 1.25804269 2, 19 0.07797084 -0.469562173 1.33173752 2, 20 0.0134151094 0.206979662 1.3754791 2, 21 -0.234321237 -0.0253739785 0.924624979 2, 22 -0.170079619 -0.115043424 0.907053113 2, 23 0.413304925 -0.100357004 1.06351614 2, 24 0.388219535 -0.0698230267 1.13558829 2, 0 0.110401884 0.00323668541 0.988017738 0.107805282, 1 0.105252802 0.0026749752 0.988579512 0.10782069, 2 0.100260265 -0.000201814197 0.992097914 0.0754291639, 3 0 0 0 0, 4 -0.12652269 0.825486243 -0.549363494 0.0276429113, 5 -0.274034381 0.736453354 0.0767296404 -0.61372155, 6 -0.171217099 0.134706289 -0.653057277 0.725296557, 7 0.0754667521 -0.417839885 0.875224411 -0.231725663, 8 -0.00725648971 0.832449138 0.536406636 0.138721719, 9 -0.114046544 0.459644943 -0.0403817929 0.879823387, 10 0.694293439 -0.625828743 -0.0737389252 -0.347645611, 11 -0.552619338 0.7291345 0.161535308 0.369974464, 12 0.256363124 -0.669057131 0.689140558 -0.108286068, 13 -0.56124866 0.525937796 0.505288661 -0.391245186, 14 0.23846297 0.705690622 -0.373523712 -0.55282557, 15 0 0 0 0, 16 -0.120830178 0.697286069 0.705931962 0.0291929115, 17 0.579176724 -0.397924364 0.436607152 -0.561769426, 18 0.408788174 0.537920535 0.276266485 0.683528006, 19 0 0 0 0, 20 0.100032754 0.00171843939 0.990591168 0.0933791175, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933093, 0 0.0205801763 -0.217879683 1.28787196 2, 1 0.0160879754 0.0290284287 1.34185863 2, 2 0.0119434167 0.26432693 1.38388503 2, 3 0.00567870308 0.419865221 1.39014447 2, 4 -0.161469236 0.136166602 1.32898128 2, 5 -0.213803783 -0.0632674024 1.21855855 2, 6 -0.232346207 -0.0941173956 1.00982523 2, 7 -0.238192528 -0.0466657281 0.952477634 2, 8 0.187868059 0.124335937 1.40213871 2, 9 0.22537744 -0.0989799947 1.36181736 2, 10 0.358778507 -0.110727295 1.17346382 2, 11 0.385752678 -0.118061543 1.14127386 2, 12 -0.0648318231 -0.209871128 1.23933399 2, 13 -0.0334181339 -0.161924794 0.903277457 2, 14 -0.145695925 -0.422065943 1.22401917 2, 15 -0.174173832 -0.489485592 1.28745162 2, 16 0.104854256 -0.215676993 1.27707624 2, 17 0.222600043 -0.195468053 0.907654166 2, 18 0.111046933 -0.412467331 1.26003945 2, 19 0.0787230134 -0.465737134 1.33435035 2, 20 0.0130059794 0.206947058 1.37528026 2, 21 -0.228130862 -0.0261876713 0.922239006 2, 22 -0.178317741 -0.116105169 0.903111696 2, 23 0.413755596 -0.0984370857 1.06471086 2, 24 0.398741931 -0.0624538064 1.1257031 2, 0 0.110538229 0.00306040142 0.988010347 0.107738823, 1 0.105319619 0.00249145715 0.988580167 0.107753485, 2 0.100376286 -0.00165045704 0.992125392 0.0748945624, 3 0 0 0 0, 4 -0.126192346 0.825685918 -0.549137831 0.0276742298, 5 0.255825847 -0.682108164 -0.0906499401 0.679017007, 6 -0.19977431 0.294194818 -0.622307718 0.697332561, 7 0.236802548 -0.152990818 0.872752011 -0.39852497, 8 -0.0068721422 0.832050562 0.537029862 0.138721272, 9 -0.113635719 0.458509088 -0.0403759815 0.880469263, 10 0.688834488 -0.585637867 0.00958379079 -0.427133977, 11 0.64314723 -0.600716949 -0.0186030474 -0.474504828, 12 0.256424814 -0.669057012 0.689109266 -0.108339138, 13 -0.561088741 0.525737107 0.505470574 -0.391509145, 14 0.238756195 0.705792189 -0.372918487 -0.552978039, 15 0 0 0 0, 16 -0.120663293 0.697272003 0.705973625 0.0292141847, 17 0.579120338 -0.397898078 0.436628729 -0.56182915, 18 0.410861075 0.536905885 0.279376566 0.681816638, 19 0 0 0 0, 20 0.100095294 0.000814211497 0.990613401 0.0930883065, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933093, 0 0.0205662046 -0.217854649 1.287853 2, 1 0.0160025898 0.0289924741 1.3418082 2, 2 0.0117351301 0.264090508 1.3838228 2, 3 0.00455466192 0.419405162 1.38956726 2, 4 -0.161464199 0.136161491 1.32897854 2, 5 -0.213971943 -0.0607976988 1.2138952 2, 6 -0.196500093 -0.0812297687 0.983329237 2, 7 -0.238076687 -0.0492539853 0.953249633 2, 8 0.187902465 0.124360673 1.40211844 2, 9 0.225333825 -0.098974295 1.36183882 2, 10 0.358715117 -0.110691346 1.17346859 2, 11 0.38505739 -0.118558317 1.14183021 2, 12 -0.0648350045 -0.209864289 1.23933649 2, 13 -0.0334555097 -0.161897212 0.903267086 2, 14 -0.145709574 -0.421961218 1.22409546 2, 15 -0.174180612 -0.489347458 1.28756344 2, 16 0.104825363 -0.21563749 1.27703023 2, 17 0.22262235 -0.195380732 0.907666445 2, 18 0.110753022 -0.41347912 1.25933003 2, 19 0.0783394799 -0.467068791 1.33341205 2, 20 0.012821055 0.206771463 1.37521529 2, 21 -0.233296201 -0.0266091134 0.92297864 2, 22 -0.172780275 -0.115423128 0.910660028 2, 23 0.412987649 -0.0968948826 1.06342971 2, 24 0.397747338 -0.06192635 1.12025273 2, 0 0.110419139 0.0028999655 0.988026083 0.107720166, 1 0.105250239 0.00233654701 0.988590062 0.107733883, 2 0.10037224 -0.00185104681 0.992116213 0.0750158057, 3 0 0 0 0, 4 -0.126261905 0.825564265 -0.54930979 0.0275748335, 5 -0.271695197 0.737622082 0.073995471 -0.613693774, 6 -0.170578167 0.131858617 -0.653370321 0.725688457, 7 0.0713962689 -0.415159523 0.87139225 -0.251437396, 8 -0.00691477163 0.831658483 0.537625313 0.138764098, 9 -0.113441661 0.458552331 -0.0403689705 0.880472064, 10 0.688721597 -0.580584228 0.0176888779 -0.43390283, 11 0.637217522 -0.600155294 -0.0103648137 -0.483383805, 12 0.256391227 -0.669130385 0.689061224 -0.108271599, 13 -0.560970247 0.52557683 0.505629599 -0.391688734, 14 0.238892689 0.705779374 -0.37296319 -0.552905321, 15 0 0 0 0, 16 -0.120749369 0.69721657 0.706020355 0.0290506426, 17 0.579290211 -0.397947997 0.436476827 -0.561736822, 18 0.410109669 0.53711158 0.278234035 0.682573855, 19 0 0 0 0, 20 0.10009183 0.000535609899 0.990608394 0.0931475312, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
