sep=, 
Hand-Neck Distance (m), Elbow Angle (rad)
0.588327289, 1.88090837
0.588369787, 1.87911892
0.588316083, 1.88182831
0.588103473, 1.88248444
0.587761283, 1.88332212
0.587391973, 1.88349271
0.587259829, 1.88459551
0.586471498, 1.88552392
0.587209046, 1.8806169
0.58681345, 1.88228595
0.586945534, 1.87926066
0.586810529, 1.8802532
0.586551964, 1.87942863
0.586739004, 1.87865067
0.586933136, 1.87557197
0.586198568, 1.87461376
0.586204946, 1.87562585
0.585924923, 1.87700963
0.585563779, 1.87571216
0.585416317, 1.87788272
0.584781051, 1.87594688
0.584759235, 1.87333703
0.583760202, 1.87442172
0.583037734, 1.8772186
0.583224893, 1.87778485
0.582561135, 1.88120556
0.582330585, 1.88171744
0.581976473, 1.87587357
0.582022309, 1.87750936
0.580935478, 1.87319899
0.580467403, 1.87302017
0.580791056, 1.87159038
0.581157565, 1.87264061
0.581081152, 1.87042511
0.580888033, 1.87080204
0.580999911, 1.87300098
0.58037138, 1.87041652
0.580455244, 1.86907446
0.580209553, 1.86885202
0.580087781, 1.86983263
0.580265403, 1.87125671
0.58028239, 1.87004292
0.579734445, 1.86940765
0.580145478, 1.87066138
0.580368817, 1.87539017
0.580077767, 1.87598729
0.580243647, 1.87668467
0.580438614, 1.88098872
0.580366254, 1.87991118
0.580886304, 1.87970483
0.580551863, 1.87857902
0.580679595, 1.87909973
0.580455184, 1.88338852
0.579710662, 1.8806659
