sep=, 
Hand-Neck Distance (m), Elbow Angle (rad)
0.790775955, 2.99532986
0.790166318, 2.99506593
0.791095614, 2.99660563
0.790982902, 2.99414372
0.791002572, 2.99410152
0.790828109, 2.99458694
0.789710641, 2.99719024
0.791120708, 2.99841785
0.791893303, 2.99619794
0.791958034, 2.99368191
0.792063355, 2.99269104
0.79202342, 2.99450541
0.791977942, 2.99349737
0.791757107, 2.99149489
0.791731656, 2.99452972
0.790899277, 2.99420023
0.790602982, 2.99696541
0.792393863, 2.99488044
0.792142212, 2.99443936
0.791463554, 2.99909949
0.792999506, 3.0001328
0.793150067, 2.99950743
0.793425322, 3.00294614
0.793533146, 3.00129461
0.793354392, 3.00178123
0.793588936, 3.00230241
0.793617487, 3.00073338
0.793941915, 3.00073886
0.792611241, 3.00022745
0.793886244, 3.00255466
0.79177016, 2.99997211
0.79335916, 2.99950552
0.792413116, 2.99838257
0.793077528, 2.99775124
0.792538166, 3.00160098
0.791940689, 2.99655747
0.791460395, 3.00140619
0.790381968, 2.99999619
0.791186333, 2.9992187
0.791037977, 2.99902177
0.791593194, 2.99862623
0.791287303, 2.99789286
0.791073322, 2.99922705
0.791542172, 2.99939609
0.790492296, 2.99744511
0.791074872, 3.00268722
0.79164964, 2.99858451
0.791102707, 2.99949312
0.791371465, 2.9995892
0.791427255, 2.99700356
0.791941226, 2.99478912
0.790895462, 2.99989653
0.791270554, 2.99541616
0.791577756, 2.99735856
0.791888535, 2.99799323
0.791919351, 2.99645805
0.792667925, 2.99580145
0.793018281, 2.99799395
0.792172134, 2.99977088
0.792321444, 3.00103307
0.791540205, 2.9993372
0.790737092, 3.00599217
0.792017698, 3.00221729
0.791810811, 3.00204372
0.791526794, 3.00094461
0.791647971, 3.00211191
0.791815042, 2.99959564
0.791618228, 3.00042248
0.789642453, 2.99653935
0.789508462, 2.99814653
0.790215075, 2.99724293
0.790683568, 2.99709129
0.790893555, 2.99655056
0.790006936, 2.99635792
0.790350676, 2.99757099
0.790495813, 2.9972403
0.788662136, 2.997329
0.786266267, 2.99700522
0.786661267, 2.99810028
0.78685993, 3.00127196
0.78698498, 3.00209999
0.78627789, 3.00190401
0.785852075, 3.00351
0.786193192, 3.00649452
0.7872895, 3.00745559
0.786104441, 3.00555778
0.785496235, 3.00603938
0.786462128, 3.00563526
0.787721515, 3.00351167
0.787110865, 3.00511718
0.788142264, 3.00610662
0.788506269, 3.0067718
0.790142953, 3.0010488
0.789897203, 2.99874687
0.791359305, 2.99976492
0.789949358, 2.99612021
