sep=, 
Hand-Neck Distance (m), Elbow Angle (rad)
0.790775955, 2.99532986
0.790166318, 2.99506593
0.791095614, 2.99660563
0.790982902, 2.99414372
0.791002572, 2.99410152
0.790828109, 2.99458694
0.789710641, 2.99719024
0.791120708, 2.99841785
0.791893303, 2.99619794
0.791958034, 2.99368191
0.792063355, 2.99269104
0.79202342, 2.99450541
0.791977942, 2.99349737
0.791757107, 2.99149489
0.791731656, 2.99452972
0.790899277, 2.99420023
0.790602982, 2.99696541
0.792393863, 2.99488044
0.792142212, 2.99443936
0.791463554, 2.99909949
0.792999506, 3.0001328
0.793150067, 2.99950743
0.793425322, 3.00294614
0.793533146, 3.00129461
0.793354392, 3.00178123
0.793588936, 3.00230241
0.793617487, 3.00073338
0.793941915, 3.00073886
0.792611241, 3.00022745
0.793886244, 3.00255466
0.79177016, 2.99997211
0.79335916, 2.99950552
0.792413116, 2.99838257
0.793077528, 2.99775124
0.792538166, 3.00160098
