sep=, 
LeftHandState, LeftHandTrackingConfidence, RightHandState, RightHandTrackingConfidence, TrackingState, TrackingID, Joint0, Joint1, Joint2, Joint3, Joint4, Joint5, Joint6, Joint7, Joint8, Joint9, Joint10, Joint11, Joint12, Joint13, Joint14, Joint15, Joint16, Joint17, Joint18, Joint19, Joint20, Joint21, Joint22, Joint23, Joint24, JointOrientation0, JointOrientation1, JointOrientation2, JointOrientation3, JointOrientation4, JointOrientation5, JointOrientation6, JointOrientation7, JointOrientation8, JointOrientation9, JointOrientation10, JointOrientation11, JointOrientation12, JointOrientation13, JointOrientation14, JointOrientation15, JointOrientation16, JointOrientation17, JointOrientation18, JointOrientation19, JointOrientation20, JointOrientation21, JointOrientation22, JointOrientation23, JointOrientation24
4, 0, 1, 1, 1, 72057594037928153, 0 -0.109863892 0.0801768154 1.64389753 2, 1 -0.116804272 0.395409465 1.59148657 2, 2 -0.122419186 0.693750918 1.52726483 2, 3 -0.112184845 0.814174294 1.50324464 2, 4 -0.288032889 0.543248653 1.53179967 2, 5 -0.349598348 0.299655735 1.55421448 2, 6 -0.338810205 0.07099884 1.48818529 2, 7 -0.332679331 0.011506388 1.47060442 2, 8 0.0473505184 0.542952597 1.53845 2, 9 0.130217686 0.319863558 1.58808148 2, 10 0.143603563 0.088419117 1.52284253 2, 11 0.138459221 0.0291315392 1.50581372 2, 12 -0.184604064 0.0784666464 1.6085161 2, 13 -0.371390581 -0.271547884 1.55500937 2, 14 -0.365056038 -0.581384957 1.57507348 2, 15 -0.308165431 -0.483891577 1.55913067 2, 16 -0.0301331375 0.0782728121 1.60517597 2, 17 0.232013777 -0.089575313 1.42317796 1, 18 0.155247763 -0.394847125 1.41851473 1, 19 0.0307818055 -0.428676575 1.42659223 1, 20 -0.121217124 0.62150526 1.54523313 2, 21 -0.322935849 -0.0572710559 1.46059525 2, 22 -0.304488391 0.020015046 1.44447744 2, 23 0.143626705 -0.037603192 1.49238288 2, 24 0.160269752 0.0230745878 1.47819376 2, 0 -0.0116232196 -0.00993401278 0.99648279 -0.0823908225, 1 -0.00198104791 -0.0107307313 0.996548653 -0.0822908506, 2 0.00877365377 -0.00920714997 0.992510855 -0.121492475, 3 0 0 0 0, 4 0.0174046345 0.838317811 -0.536567748 0.094949156, 5 -0.0144502623 0.888463914 -0.130198255 -0.439853966, 6 -0.132826835 0.858806133 -0.049773708 0.49227187, 7 -0.14837788 0.855507672 -0.0284173843 0.495260686, 8 0.0288321041 0.83952719 0.536762655 -0.0790483132, 9 0.00294021936 0.847259045 0.20286575 0.490906209, 10 -0.130176425 0.832311153 -0.0505106002 0.536433637, 11 -0.0946709663 0.834365785 -0.110136643 0.531734109, 12 0.105285183 -0.684324265 0.691792309 -0.205033422, 13 0.245721593 -0.445487052 0.0496082157 0.859477341, 14 0.0335050635 0.896554887 -0.00512861274 -0.44163391, 15 0 0 0 0, 16 -0.102564499 0.681687891 0.691912115 -0.214568689, 17 -0.479592621 0.190393329 -0.192984194 0.834564805, 18 -0.0122559415 0.991638958 -0.122473136 -0.0387600139, 19 0 0 0 0, 20 0.00844322611 -0.010462706 0.994833589 -0.100625008, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
4, 0, 1, 1, 1, 72057594037928153, 0 -0.12082497 0.0802265704 1.6195817 2, 1 -0.119877689 0.39540118 1.5860604 2, 2 -0.122642204 0.693695605 1.52743232 2, 3 -0.115309261 0.815498829 1.50497079 2, 4 -0.288408667 0.543351233 1.53208625 2, 5 -0.349991858 0.303162217 1.5557791 2, 6 -0.339543313 0.0711206123 1.48885 2, 7 -0.336320132 0.0112831742 1.47367191 2, 8 0.0470826887 0.54310894 1.53864896 2, 9 0.130080298 0.320037931 1.58855546 2, 10 0.143466279 0.0893303081 1.52356124 2, 11 0.13775681 0.0290070791 1.50928283 2, 12 -0.195200175 0.0783635452 1.58487892 2, 13 -0.17708382 -0.274565279 1.57046425 2, 14 -0.366002738 -0.499441236 1.5668323 2, 15 -0.349201918 -0.584314167 1.54786336 2, 16 -0.0408858508 0.0784287453 1.58030486 2, 17 0.241015479 -0.129722118 1.48420453 1, 18 0.138101429 -0.398528218 1.50382316 1, 19 0.014415592 -0.339386404 1.48488295 1, 20 -0.121594489 0.62145251 1.54500365 2, 21 -0.326608956 -0.0568528213 1.46217239 2, 22 -0.307613194 0.0173759144 1.44642973 2, 23 0.141486213 -0.0372013897 1.49562144 2, 24 0.159123465 0.0309186541 1.48402882 2, 0 -0.0146106398 0.00227108621 0.998488843 -0.0529272333, 1 -0.00284668757 0.00164740649 0.998591721 -0.0529503189, 2 0.00866932701 -0.00813463517 0.992830515 -0.11893791, 3 0 0 0 0, 4 0.013560826 0.839069307 -0.536959291 0.0863334611, 5 -0.0127330665 0.886827171 -0.133041784 -0.442352057, 6 -0.130025253 0.838178813 -0.0559226759 0.52670902, 7 -0.118732803 0.839411318 -0.0437061749 0.52856493, 8 0.0248523578 0.83994782 0.537480295 -0.0706049576, 9 0.00325422734 0.847057462 0.203343511 0.491054565, 10 -0.129650429 0.826891899 -0.0516978726 0.544764042, 11 -0.0715955719 0.831260264 -0.101827964 0.54176712, 12 -0.118037231 0.689767241 -0.688999534 0.188594937, 13 -0.0200452451 0.999374866 0.0258939378 -0.0133228721, 14 -0.0509577431 0.931625724 -0.338525534 -0.121972837, 15 0 0 0 0, 16 -0.12628375 0.687316537 0.688448906 -0.194129929, 17 -0.453789055 0.122109979 -0.0874657407 0.878358901, 18 0.0453666262 0.981033146 -0.179095685 0.058656957, 19 0 0 0 0, 20 0.00898481067 -0.00456044311 0.9959203 -0.0896734744, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
4, 0, 1, 1, 1, 72057594037928153, 0 -0.11887008 0.077800639 1.61680329 2, 1 -0.120326705 0.395052522 1.58430648 2, 2 -0.123709038 0.694404602 1.52828479 2, 3 -0.128363132 0.826540887 1.52111518 2, 4 -0.29035151 0.548000336 1.53306055 2, 5 -0.351851195 0.318816364 1.56754839 2, 6 -0.346526653 0.0824293494 1.49916875 2, 7 -0.340996981 0.0127305258 1.48024321 2, 8 0.0450272933 0.549925625 1.54077506 2, 9 0.123577915 0.332046777 1.59349763 2, 10 0.141397908 0.0987740457 1.53086853 2, 11 0.136559889 0.0308637694 1.51483941 2, 12 -0.193052471 0.0754170567 1.58074224 2, 13 -0.20290041 -0.279837728 1.58348036 2, 14 -0.366108179 -0.508916676 1.5663799 2, 15 -0.343432456 -0.601512432 1.561939 2, 16 -0.0391911566 0.0765399262 1.57853103 2, 17 0.0142102102 -0.278521329 1.53674507 1, 18 0.321771324 -0.292535812 1.50060189 1, 19 0.168242872 -0.279717386 1.47969973 1, 20 -0.122300714 0.621792018 1.54509139 2, 21 -0.326895475 -0.0582743809 1.47218716 2, 22 -0.313813061 0.0236140341 1.45572543 2, 23 0.140750393 -0.0392650329 1.50511003 2, 24 0.159186855 0.0301283654 1.49046874 2, 0 -0.0068834722 -0.00193502556 0.998671472 -0.0510300882, 1 0.00174347369 -0.00237575965 0.998693705 -0.0510114618, 2 0.0101368539 -0.0106651159 0.9934448 -0.113362148, 3 0 0 0 0, 4 0.015557427 0.832841814 -0.546958029 0.0834825411, 5 0.001271307 0.866625488 -0.148673952 -0.47629258, 6 -0.125596046 0.846260488 -0.0634803697 0.513847232, 7 -0.132571876 0.844284952 -0.0361241363 0.517979324, 8 0.0288933869 0.832462192 0.549456894 -0.0653378293, 9 0.00849352311 0.835033298 0.203213587 0.511225343, 10 -0.128321171 0.813113987 -0.044089213 0.566070259, 11 -0.0752371997 0.817177474 -0.0942161232 0.563634336, 12 -0.125692621 0.691050053 -0.68538928 0.19207485, 13 0.0019568163 0.990838706 -0.014247953 -0.134282812, 14 -0.0302940477 0.952073932 -0.30432412 0.00492971158, 15 0 0 0 0, 16 -0.123521402 0.686155379 0.691094756 -0.190581545, 17 -0.0541056991 0.99419564 0.0771241263 -0.0519566871, 18 -0.682074606 0.197924107 0.110317037 0.695291638, 19 0 0 0 0, 20 0.0106303999 -0.00521724764 0.996270239 -0.0854712278, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
4, 0, 1, 1, 1, 72057594037928153, 0 -0.118932404 0.077286616 1.61687076 2, 1 -0.122044683 0.395463943 1.58457863 2, 2 -0.13046445 0.698596358 1.53496039 2, 3 -0.126455978 0.825983226 1.51936173 2, 4 -0.299007863 0.5655725 1.540941 2, 5 -0.353220224 0.323514044 1.57288206 2, 6 -0.350116014 0.0864464045 1.50437331 2, 7 -0.345297515 0.0140068661 1.48710537 2, 8 0.0363118835 0.574087799 1.55193985 2, 9 0.121881485 0.33584547 1.59612036 2, 10 0.140833244 0.101905011 1.53489316 2, 11 0.136410132 0.0323479995 1.51992905 2, 12 -0.193188533 0.07455194 1.5802803 2, 13 -0.20528844 -0.283155769 1.58558059 2, 14 -0.366250753 -0.509920239 1.56637847 2, 15 -0.341639459 -0.605344415 1.56592655 2, 16 -0.0391967967 0.0762761608 1.57876647 2, 17 0.0139117697 -0.281781971 1.53781259 1, 18 0.242488772 -0.213279992 1.73311627 1, 19 0.0995915979 -0.228687495 1.63553441 1, 20 -0.127678201 0.624661684 1.54900002 2, 21 -0.331700146 -0.0591569394 1.47707343 2, 22 -0.317639679 0.0229394324 1.46307147 2, 23 0.139850229 -0.0393918231 1.50953555 2, 24 0.16026552 0.0389979109 1.50088882 2, 0 -0.0045648627 -0.00464075431 0.998699248 -0.050570704, 1 0.00573973218 -0.00516228471 0.998693228 -0.050520137, 2 0.015437467 -0.020034058 0.995312631 -0.0933437198, 3 0 0 0 0, 4 0.0258380827 0.810754478 -0.580063224 0.0744061545, 5 -0.000465850724 0.852765203 -0.126815751 -0.506664753, 6 -0.121242672 0.831976473 -0.0706633031 0.536770046, 7 -0.115413949 0.831751347 -0.0363648087 0.541799664, 8 0.0463223644 0.803111911 0.592052221 -0.0483706594, 9 -0.00906059798 0.84985733 0.19067505 0.491226435, 10 -0.120379403 0.729050219 -0.0572679527 0.671353161, 11 -0.0569606274 0.734153867 -0.094240576 0.669994295, 12 -0.128418639 0.692246318 -0.683374226 0.193140894, 13 0.00473026466 0.988048851 -0.0178386793 -0.153032646, 14 -0.0249142163 0.951584399 -0.304338664 0.0352754407, 15 0 0 0 0, 16 -0.12250527 0.685249031 0.692297518 -0.190132633, 17 -0.0773772076 0.940405786 0.0505875796 0.327246964, 18 0.355571806 0.606519163 0.69616437 0.14511545, 19 0 0 0 0, 20 0.0158546474 -0.013399112 0.996837735 -0.0767044723, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 1, 1, 1, 72057594037928153, 0 -0.11907097 0.0773359686 1.61722898 2, 1 -0.124161191 0.396399617 1.5857594 2, 2 -0.13396804 0.700343847 1.53946996 2, 3 -0.129163072 0.827384412 1.52302682 2, 4 -0.301512688 0.568599224 1.54388583 2, 5 -0.354908854 0.326553494 1.57752943 2, 6 -0.353233784 0.0889686793 1.50946701 2, 7 -0.34897694 0.0148516791 1.49585152 2, 8 0.0347068124 0.575879574 1.55428016 2, 9 0.121112056 0.338299751 1.59841633 2, 10 0.14075312 0.105561331 1.5400064 2, 11 0.137055054 0.0348752514 1.52382088 2, 12 -0.193332791 0.0745770857 1.58050954 2, 13 -0.209409341 -0.284615487 1.58766186 2, 14 -0.366314054 -0.511564791 1.56617391 2, 15 -0.339968503 -0.607653975 1.56982601 2, 16 -0.0393336304 0.0763717741 1.57917511 2, 17 0.0118622649 -0.283940136 1.53971374 1, 18 0.250631809 -0.213605776 1.73275852 1, 19 0.104118884 -0.229448318 1.63551736 1, 20 -0.131260142 0.626421869 1.55272627 2, 21 -0.335152894 -0.0591975488 1.4842428 2, 22 -0.321381718 0.0255227331 1.47089648 2, 23 0.14048633 -0.0387079306 1.51463783 2, 24 0.160867393 0.0409969501 1.50370371 2, 0 -0.00412475085 -0.00774416607 0.998752177 -0.0491645001, 1 0.00535702333 -0.00821055658 0.998746276 -0.0490887612, 2 0.0147010442 -0.0193960108 0.995797932 -0.0882848501, 3 0 0 0 0, 4 0.0208523646 0.809650719 -0.582207382 0.0711723343, 5 0.00195435598 0.847217679 -0.127170771 -0.515796423, 6 -0.119100876 0.835124254 -0.0718395561 0.532185555, 7 -0.0915391222 0.837504864 -0.0251456648 0.538120747, 8 0.0401847623 0.80216676 0.593910336 -0.0467356369, 9 -0.00881714653 0.85251826 0.192444995 0.485900968, 10 -0.117007695 0.718807101 -0.0544526614 0.683125436, 11 -0.0640423447 0.722699881 -0.0956289172 0.681512058, 12 -0.130700126 0.692720652 -0.682843804 0.191780895, 13 0.00373137835 0.964666724 -0.0241853464 -0.262334287, 14 -0.0203104187 0.951731503 -0.299251735 0.0651386082, 15 0 0 0 0, 16 -0.12232849 0.685114682 0.692516804 -0.18993187, 17 -0.0735588521 0.944803894 0.0494554341 0.315418422, 18 0.348264754 0.608382285 0.700252831 0.135013506, 19 0 0 0 0, 20 0.0147130666 -0.0163570233 0.997233808 -0.0709976405, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 1, 1, 1, 72057594037928153, 0 -0.120233908 0.077316612 1.61837769 2, 1 -0.127510697 0.397211105 1.5883137 2, 2 -0.137696102 0.70152837 1.54470611 2, 3 -0.132603526 0.827919483 1.52704597 2, 4 -0.304508477 0.571909845 1.54871142 2, 5 -0.35673812 0.329346478 1.58333981 2, 6 -0.356198519 0.0903765485 1.51651752 2, 7 -0.351444662 0.0138052274 1.50521362 2, 8 0.0327768289 0.578399003 1.55876136 2, 9 0.120638408 0.341772586 1.60242772 2, 10 0.141585648 0.107482992 1.54271507 2, 11 0.139395699 0.036767628 1.52894092 2, 12 -0.194425523 0.0745126605 1.58123612 2, 13 -0.215309173 -0.284861833 1.59424567 2, 14 -0.366491258 -0.512076199 1.56587696 2, 15 -0.338490695 -0.60774219 1.57359529 2, 16 -0.040562842 0.076437667 1.580827 2, 17 0.00799366552 -0.28568089 1.54181492 1, 18 0.255843014 -0.212802142 1.73027468 1, 19 0.106697321 -0.228921086 1.63438892 1, 20 -0.135166764 0.627635539 1.55739176 2, 21 -0.338105798 -0.0624349266 1.49695373 2, 22 -0.323570788 0.0209968127 1.47925031 2, 23 0.138179556 -0.0388705023 1.5210371 2, 24 0.164406955 0.0201059375 1.50171423 2, 0 -0.00126770209 -0.0112746526 0.998837948 -0.0468410552, 1 0.0064738635 -0.0116373561 0.998817742 -0.0467522554, 2 0.0144879399 -0.0181544796 0.996142924 -0.0846158043, 3 0 0 0 0, 4 0.018888155 0.807186604 -0.586120069 0.0674995333, 5 0.00390311237 0.843381166 -0.126014173 -0.522315383, 6 -0.115849726 0.840258837 -0.0710723773 0.524873853, 7 -0.0782488883 0.843315661 -0.0129731204 0.531533182, 8 0.0377259366 0.799211025 0.598260045 -0.0438575968, 9 -0.0110743996 0.852095544 0.194953591 0.485596091, 10 -0.126287952 0.806614041 -0.0367183909 0.576261103, 11 -0.0694877058 0.811885595 -0.0679816678 0.575666308, 12 -0.134899393 0.693128347 -0.681846201 0.19094786, 13 0.00589986984 0.926779509 -0.033659067 -0.374048203, 14 -0.0225951262 0.950450063 -0.292312533 0.103380896, 15 0 0 0 0, 16 -0.121118382 0.685365081 0.693066299 -0.187787309, 17 -0.0708602667 0.949590802 0.0470666327 0.301729918, 18 0.342931807 0.609296024 0.70452112 0.121680081, 19 0 0 0 0, 20 0.0142602064 -0.0174459629 0.997539997 -0.0663801506, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 1, 1, 1, 72057594037928153, 0 -0.123933882 0.0777823329 1.62006521 2, 1 -0.13141118 0.398337126 1.5911845 2, 2 -0.140169531 0.702702641 1.54939425 2, 3 -0.135285676 0.829057872 1.53144801 2, 4 -0.303326815 0.569367766 1.54839575 2, 5 -0.357987911 0.330575913 1.58813584 2, 6 -0.358779043 0.0901059732 1.52390742 2, 7 -0.35393548 0.0143288597 1.51437759 2, 8 0.0317395069 0.579678655 1.56181276 2, 9 0.120639861 0.345912844 1.60617757 2, 10 0.145180613 0.113749467 1.54750311 2, 11 0.142029971 0.0379466936 1.53080356 2, 12 -0.197975785 0.0738336965 1.58231902 2, 13 -0.21910432 -0.28622964 1.59735179 2, 14 -0.366605848 -0.512378633 1.56555188 2, 15 -0.337421954 -0.606562495 1.57571459 1, 16 -0.0445660129 0.0782908201 1.58331144 2, 17 0.00384240551 -0.285007328 1.54279315 1, 18 0.25755024 -0.210396722 1.72860181 1, 19 0.108099386 -0.227002904 1.63419354 1, 20 -0.138077378 0.628853321 1.56164646 2, 21 -0.342287004 -0.0633492321 1.50760412 2, 22 -0.325794101 0.011985261 1.48673213 2, 23 0.14030908 -0.0388328061 1.52375674 2, 24 0.16692093 0.0280498099 1.51133323 2, 0 0.00399663951 -0.0118049458 0.998915732 -0.0448556393, 1 0.0120765138 -0.0121673876 0.998850703 -0.0447586849, 2 0.0206219014 -0.0157129541 0.996313035 -0.0817810372, 3 0 0 0 0, 4 0.00626821257 0.814467072 -0.575405598 0.0742462501, 5 0.0103534255 0.842746735 -0.137071595 -0.520463347, 6 -0.109665982 0.842018425 -0.0700710192 0.523515522, 7 -0.0697315708 0.844918549 -0.00631092768 0.530292749, 8 0.0322740451 0.798308134 0.599903822 -0.0421639495, 9 -0.0127073824 0.847131252 0.199189872 0.492473811, 10 -0.121055953 0.670307219 -0.0557928234 0.730014205, 11 -0.0594150797 0.682424426 -0.092630446 0.72262466, 12 -0.137797743 0.697389483 -0.676226676 0.193331569, 13 0.00772247091 0.919752836 -0.0350991674 -0.390849292, 14 -0.0237119664 0.948902249 -0.288995296 0.124514535, 15 0 0 0 0, 16 -0.120788716 0.680893183 0.69879669 -0.182969153, 17 -0.0720692202 0.952324927 0.0467724316 0.29273814, 18 0.343042433 0.610172331 0.705511272 0.11074964, 19 0 0 0 0, 20 0.0203786176 -0.0156638119 0.99766022 -0.0633526295, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 0, 0, 1, 72057594037928153, 0 -0.128294259 0.078088291 1.62212634 2, 1 -0.134782091 0.399046898 1.59420252 2, 2 -0.141915441 0.703442872 1.55395365 2, 3 -0.137775615 0.830619335 1.53701842 2, 4 -0.307725042 0.575916052 1.55754972 2, 5 -0.35942626 0.333210588 1.59338856 2, 6 -0.360619843 0.0895986855 1.53145194 2, 7 -0.355408251 0.0133888759 1.52517569 2, 8 0.0305167027 0.580823123 1.56773269 2, 9 0.121728875 0.348475695 1.61044776 2, 10 0.148507103 0.117637791 1.550892 2, 11 0.148223534 0.0399389602 1.53452373 2, 12 -0.202551916 0.0748081505 1.58428538 2, 13 -0.219421521 -0.286744565 1.59733093 2, 14 -0.366605818 -0.513533592 1.56565583 2, 15 -0.336375177 -0.605920613 1.57824934 2, 16 -0.0483747274 0.077924028 1.58534002 2, 17 -0.00128914288 -0.286386847 1.54450572 1, 18 0.256371588 -0.210535154 1.72888088 1, 19 0.107515201 -0.22702013 1.63453829 1, 20 -0.140264049 0.629615843 1.56581151 2, 21 -0.342059344 -0.064208746 1.51516247 2, 22 -0.326485932 0.0239069629 1.49971735 2, 23 0.143898979 -0.0369151197 1.52769876 2, 24 0.173195168 0.027950516 1.50857902 2, 0 0.00384131214 -0.0102435704 0.999000788 -0.0433321148, 1 0.00926165655 -0.010478531 0.998965263 -0.0432759002, 2 0.0150953876 -0.0122788828 0.996656656 -0.0793527886, 3 0 0 0 0, 4 0.0170487929 0.805310369 -0.589236915 0.063121222, 5 0.00668292306 0.843977094 -0.126290932 -0.521256626, 6 -0.103902929 0.840520322 -0.0680149794 0.527355433, 7 -0.0528544933 0.843718112 0.00683493726 0.534134269, 8 0.0362297446 0.797384441 0.601115227 -0.0390625037, 9 -0.01779701 0.846939743 0.202312782 0.491371512, 10 -0.132656679 0.766370833 -0.0357975289 0.627532184, 11 -0.0792794675 0.77179724 -0.0667568892 0.627365351, 12 -0.138778269 0.694819868 -0.679026723 0.192063972, 13 0.00882175006 0.937563121 -0.0281007458 -0.346565783, 14 -0.0195906758 0.94745189 -0.288184792 0.137479678, 15 0 0 0 0, 16 -0.120945029 0.68410027 0.696016312 -0.181494802, 17 -0.0715271533 0.954032481 0.0452108644 0.287509799, 18 0.344306827 0.610714257 0.705596268 0.103028327, 19 0 0 0 0, 20 0.0148561969 -0.0127282627 0.997944534 -0.0610251166, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 0, 0, 1, 72057594037928153, 0 -0.131486684 0.0780402571 1.62350726 2, 1 -0.137040839 0.399357826 1.59658825 2, 2 -0.142910048 0.703902662 1.55798018 2, 3 -0.139116034 0.831709146 1.54186904 2, 4 -0.309219271 0.577974856 1.56229961 2, 5 -0.360534489 0.333358914 1.59847867 2, 6 -0.362514764 0.0898389667 1.53997302 2, 7 -0.357998103 0.0125294412 1.53612471 2, 8 0.0301537029 0.581306159 1.57223713 2, 9 0.123339213 0.350560308 1.61449993 2, 10 0.152473614 0.118778422 1.5534693 2, 11 0.153905094 0.041008696 1.53667367 2, 12 -0.205833688 0.0751415119 1.58570361 2, 13 -0.224515542 -0.287055761 1.59828043 2, 14 -0.366560698 -0.515128076 1.56557941 2, 15 -0.335637778 -0.605160713 1.58000386 2, 16 -0.0512432195 0.0774846897 1.58659971 2, 17 -0.0246874671 -0.28941828 1.55085528 1, 18 0.23642762 -0.212328166 1.73384714 1, 19 0.0910913497 -0.228717655 1.63611865 1, 20 -0.141616032 0.630054832 1.56939459 2, 21 -0.346774906 -0.0652695671 1.52938974 2, 22 -0.327389687 0.0151323713 1.50941193 2, 23 0.151532382 -0.0339740068 1.53114462 2, 24 0.17994383 0.034924686 1.51688886 2, 0 0.00315745291 -0.00875115301 0.999084949 -0.0417466313, 1 0.00868711341 -0.00898207724 0.999052107 -0.041697558, 2 0.0146243516 -0.00980562065 0.996917367 -0.0764571875, 3 0 0 0 0, 4 0.0185413845 0.802960277 -0.592797041 0.059184093, 5 0.00772505766 0.844557226 -0.125056908 -0.520599782, 6 -0.0977946222 0.843445003 -0.0654625595 0.524167359, 7 -0.0365068689 0.847400606 0.0115563814 0.529571354, 8 0.0370543711 0.796999216 0.601775825 -0.0358495228, 9 -0.0211120564 0.845139146 0.20610176 0.492763907, 10 -0.131357208 0.671156347 -0.0525280163 0.72769171, 11 -0.0792431086 0.6805861 -0.0711850375 0.724883318, 12 -0.139309898 0.693508506 -0.68060708 0.190821469, 13 0.00308067212 0.880435348 -0.0308909882 -0.473148853, 14 -0.0187250804 0.947668612 -0.279895216 0.152421296, 15 0 0 0 0, 16 -0.12201149 0.686008751 0.694239318 -0.180380106, 17 -0.0567379035 0.956156373 0.0205677934 0.286570728, 18 0.345685482 0.610976458 0.705693126 0.0959504768, 19 0 0 0 0, 20 0.0143901641 -0.0107074715 0.998127639 -0.058476869, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 0, 0, 1, 72057594037928153, 0 -0.133857533 0.079970032 1.62459075 2, 1 -0.1386704 0.400466591 1.59895909 2, 2 -0.143530443 0.704069257 1.56242502 2, 3 -0.14011617 0.831909001 1.54634154 2, 4 -0.309595376 0.58008033 1.56599998 2, 5 -0.360999405 0.33270815 1.60281456 2, 6 -0.362078607 0.0887625515 1.54781711 2, 7 -0.358168632 0.0117820762 1.54596579 2, 8 0.0299914423 0.582237661 1.57544506 2, 9 0.125322014 0.3525576 1.61768281 2, 10 0.156118259 0.120141119 1.55543387 2, 11 0.160175964 0.0431336313 1.53800857 2, 12 -0.207436562 0.0766084269 1.58683038 2, 13 -0.228988439 -0.285963148 1.59883046 2, 14 -0.366564989 -0.515302062 1.56562543 2, 15 -0.335300088 -0.604300737 1.58069861 2, 16 -0.0543358587 0.0798006952 1.58755589 2, 17 -0.0231605656 -0.287278354 1.55164635 1, 18 0.297584832 -0.239643604 1.63511896 1, 19 0.139319584 -0.244657069 1.57505989 1, 20 -0.142530218 0.630502045 1.57326818 2, 21 -0.345159739 -0.0693056434 1.54110968 2, 22 -0.326973885 0.0155814579 1.51840472 2, 23 0.15726541 -0.0341138542 1.53247523 2, 24 0.181676477 0.0260769576 1.50494301 2, 0 0.00289109023 -0.00760527281 0.999171853 -0.0398667231, 1 0.00821395125 -0.00781754684 0.999142289 -0.0398256369, 2 0.0139348684 -0.00776368007 0.997204602 -0.0729971901, 3 0 0 0 0, 4 0.0165197887 0.800677001 -0.5961411 0.0570901074, 5 0.00981237274 0.849575937 -0.124406539 -0.512491405, 6 -0.0940662026 0.854898512 -0.0582942776 0.506854713, 7 -0.0232804585 0.859418392 0.0156747419 0.510501981, 8 0.0341287963 0.795911968 0.603438556 -0.0349467918, 9 -0.0234133825 0.844271958 0.210167795 0.492428869, 10 -0.143974185 0.839391351 -0.0142388558 0.523918748, 11 -0.107874602 0.844177127 -0.0365383029 0.523825288, 12 -0.141000137 0.695356429 -0.678094625 0.191796899, 13 -0.00359193329 0.816866398 -0.0337680429 -0.575826406, 14 -0.0191390291 0.948701978 -0.272272378 0.159580454, 15 0 0 0 0, 16 -0.125479475 0.684493244 0.69519043 -0.180094883, 17 -0.0533362292 0.99066323 0.0360387526 0.120177738, 18 0.264644027 0.651398361 0.707880914 -0.0674424693, 19 0 0 0 0, 20 0.0137011353 -0.0091116922 0.998325527 -0.0554564781, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
