sep=, 
Hand-Neck Distance (m), Elbow Angle (rad)
0.7143085, 2.56148219
0.714106381, 2.56719041
0.712886512, 2.57636595
0.717868328, 2.62982011
0.718711913, 2.63414693
0.720371604, 2.64049315
0.722414434, 2.63425732
0.7244277, 2.64165068
0.726623416, 2.64054084
0.727784038, 2.6384542
0.729614854, 2.64309239
0.73065263, 2.64296722
0.731679499, 2.64644456
0.732821763, 2.65344906
0.732291996, 2.65452647
0.732117414, 2.65420675
0.731446385, 2.65174103
0.734262109, 2.64630461
0.736191094, 2.64720058
0.735243976, 2.64813948
0.736433089, 2.64676952
0.736451626, 2.649786
0.736523092, 2.65262175
0.73705256, 2.6511879
0.736725152, 2.6488142
0.738169551, 2.65119958
0.738655984, 2.65170741
0.740440965, 2.64950299
0.741586506, 2.65205407
0.741468608, 2.65119314
0.742914975, 2.65328622
0.743789792, 2.64951038
0.744983315, 2.64591742
0.744902074, 2.64852118
0.743920863, 2.65233159
0.744533896, 2.65675759
0.744611919, 2.65664506
0.744998336, 2.651366
0.744996488, 2.6505363
0.746384561, 2.65229678
0.745491683, 2.65720725
0.745940804, 2.65476751
0.746119916, 2.65374064
0.743902683, 2.65412951
0.743356645, 2.65077877
0.743249118, 2.64540267
0.743390739, 2.64305925
0.743622899, 2.63759995
0.74508816, 2.62781858
0.745336235, 2.62345695
0.745250106, 2.61852503
0.745561123, 2.61343575
0.745336592, 2.61697698
0.74671936, 2.61593652
0.747251809, 2.6148777
0.748900115, 2.6189208
0.750144482, 2.61825156
0.750919819, 2.62026381
0.751621544, 2.61770177
0.75138998, 2.61296773
0.752475679, 2.61281109
0.75055629, 2.60749078
0.749670625, 2.6014154
0.747503936, 2.59449553
0.745851338, 2.58630252
0.743176341, 2.5796299
0.742177725, 2.57491589
0.741868377, 2.57248425
0.740758955, 2.56715751
0.740439296, 2.5651052
0.741937101, 2.56246638
0.74255091, 2.55719686
0.743453801, 2.55592775
0.745816648, 2.556036
0.74571985, 2.54703426
0.745677471, 2.54267478
0.745584309, 2.53904581
0.744822502, 2.54184437
0.744791985, 2.54502058
0.745864809, 2.54885435
0.74571842, 2.55158854
0.74607718, 2.55588388
0.746792793, 2.56263757
0.74646908, 2.56579185
0.74651897, 2.57335448
0.7458058, 2.57290316
