sep=, 
LeftHandState, LeftHandTrackingConfidence, RightHandState, RightHandTrackingConfidence, TrackingState, TrackingID, Joint0, Joint1, Joint2, Joint3, Joint4, Joint5, Joint6, Joint7, Joint8, Joint9, Joint10, Joint11, Joint12, Joint13, Joint14, Joint15, Joint16, Joint17, Joint18, Joint19, Joint20, Joint21, Joint22, Joint23, Joint24, JointOrientation0, JointOrientation1, JointOrientation2, JointOrientation3, JointOrientation4, JointOrientation5, JointOrientation6, JointOrientation7, JointOrientation8, JointOrientation9, JointOrientation10, JointOrientation11, JointOrientation12, JointOrientation13, JointOrientation14, JointOrientation15, JointOrientation16, JointOrientation17, JointOrientation18, JointOrientation19, JointOrientation20, JointOrientation21, JointOrientation22, JointOrientation23, JointOrientation24
1, 1, 1, 1, 1, 72057594037928580, 0 -0.0219294056 -0.243014306 1.34130919 2, 1 -0.019588165 0.0896966457 1.38792372 2, 2 -0.0171798915 0.402627826 1.41773951 2, 3 -0.0148191154 0.566088557 1.41813397 2, 4 -0.191773593 0.282453299 1.41633058 2, 5 -0.240988135 0.0307187811 1.43465006 2, 6 -0.228589997 -0.154758915 1.24803162 2, 7 -0.219311535 -0.204977185 1.21480429 2, 8 0.15552862 0.265313536 1.40585673 2, 9 0.20368892 0.0103083029 1.3957206 2, 10 0.219848529 -0.205789179 1.2889818 2, 11 0.212928891 -0.27055192 1.24902606 2, 12 -0.1020981 -0.232117563 1.29914391 2, 13 -0.0356188826 -0.606191814 1.24331093 1, 14 -0.122546576 -0.881807745 1.4377135 1, 15 -0.142530441 -0.755833685 1.36465967 2, 16 0.0594582632 -0.240064889 1.30705786 2, 17 -0.0125933988 -0.670811653 1.15832281 1, 18 0.163208842 -0.271457791 1.18781507 1, 19 0.0786918476 -0.398686528 1.15410304 1, 20 -0.0177942887 0.326880515 1.41266203 2, 21 -0.206654936 -0.27718246 1.17949009 2, 22 -0.163000494 -0.18455714 1.21708322 2, 23 0.206745848 -0.325278431 1.21224427 2, 24 0.236716732 -0.270719528 1.22756517 2, 0 0.0273119602 0.00539543387 0.997198939 0.0694204122, 1 0.00768819544 0.00402864115 0.997543275 0.0695131123, 2 -0.0125380997 0.00362859108 0.99935323 0.0335069448, 3 0 0 0 0, 4 -0.023923235 0.788311243 -0.612979352 -0.0474275015, 5 -0.0317737758 0.779027581 -0.0976062268 -0.618530214, 6 -0.30124554 0.683374405 -0.239110738 0.620545387, 7 -0.259659231 0.681802273 -0.143018484 0.668781281, 8 -0.0405075401 0.816459179 0.575422466 0.0253483281, 9 -0.072759591 0.784750998 0.0613656193 0.612459064, 10 -0.183203995 0.680111408 -0.138366237 0.696232438, 11 -0.162205666 0.689139724 -0.223399356 0.669976532, 12 0.222454965 -0.652543187 0.71430552 -0.120286509, 13 -0.0193151701 0.858216524 0.11212261 -0.500519514, 14 0.132677063 0.707088649 -0.294513255 -0.629034519, 15 0 0 0 0, 16 -0.188017279 0.688999653 0.693787456 -0.0926710665, 17 -0.0571835339 0.684798896 -0.172947422 0.705598772, 18 0.70661521 0.166992977 0.676220417 -0.124636039, 19 0 0 0 0, 20 -0.0124595324 0.00311792362 0.998565435 0.0519806519, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 1, 1, 1, 72057594037928580, 0 -0.0227512829 -0.243531436 1.34546554 2, 1 -0.0211168211 0.089255482 1.39233887 2, 2 -0.0194578469 0.402332038 1.42250872 2, 3 -0.0167276543 0.565434813 1.42232919 2, 4 -0.193428665 0.281512618 1.42045248 2, 5 -0.242305994 0.0309325289 1.43724608 2, 6 -0.230111659 -0.155447885 1.25159097 2, 7 -0.22277391 -0.208123103 1.22446251 2, 8 0.153759301 0.263981134 1.41060102 2, 9 0.20229809 0.010083274 1.39969409 2, 10 0.218915567 -0.205758393 1.29107714 2, 11 0.209133297 -0.271357387 1.25351286 2, 12 -0.102828652 -0.232544467 1.30274272 2, 13 -0.0309178699 -0.605441749 1.23871326 1, 14 -0.188656494 -0.742140472 1.5082531 2, 15 -0.145505503 -0.75804925 1.37603116 2, 16 0.0585834011 -0.240689665 1.31178546 2, 17 0.00524357893 -0.676886439 1.17746735 1, 18 0.150582358 -0.264173597 1.17900872 1, 19 0.0752071962 -0.388061881 1.14948905 1, 20 -0.0198820028 0.326539576 1.41733754 2, 21 -0.209440634 -0.272977948 1.18760669 2, 22 -0.168356001 -0.183531806 1.23885727 2, 23 0.204310849 -0.327413231 1.21623659 2, 24 0.23353833 -0.268193245 1.23162484 2, 0 0.0309478808 0.00460528536 0.997070313 0.0697982162, 1 0.0100101195 0.00313903554 0.997500241 0.0698795095, 2 -0.0115228519 0.00240042037 0.999349654 0.0340842456, 3 0 0 0 0, 4 -0.0251683928 0.789536417 -0.611405909 -0.0467067733, 5 -0.0337631479 0.779788554 -0.0957445651 -0.617756367, 6 -0.271809965 0.613019705 -0.268807262 0.691425323, 7 -0.19949837 0.625938356 -0.138051465 0.741176903, 8 -0.0405944809 0.817729175 0.573577404 0.0260782391, 9 -0.07475885 0.783840418 0.0611682758 0.613403499, 10 -0.191964507 0.70745492 -0.132537484 0.667151511, 11 -0.14292632 0.70970583 -0.221955404 0.653165698, 12 0.225066423 -0.651984811 0.713745892 -0.121769339, 13 -0.0272771735 0.866131604 0.123021536 -0.48367095, 14 0.191881955 0.649161279 -0.512533426 -0.528280735, 15 0 0 0 0, 16 -0.185967565 0.689667881 0.693936706 -0.0906977877, 17 -0.0597811639 0.682083368 -0.147644714 0.713715374, 18 0.718905151 0.116575912 0.674376726 -0.121661499, 19 0 0 0 0, 20 -0.0114682009 0.00198859745 0.998553872 0.0524847358, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 1, 1, 1, 72057594037928580, 0 -0.026753746 -0.245975852 1.3558445 2, 1 -0.0260462668 0.0869678855 1.40415442 2, 2 -0.0252490938 0.400415659 1.43580604 2, 3 -0.0216302741 0.562511265 1.43316936 2, 4 -0.197821394 0.279972494 1.43046045 2, 5 -0.246440709 0.0278965831 1.44560444 2, 6 -0.232840046 -0.157503277 1.25939691 2, 7 -0.226905093 -0.209258512 1.23425245 2, 8 0.1496021 0.261651695 1.42544305 2, 9 0.197407529 0.00765498308 1.41087317 2, 10 0.21673964 -0.20495382 1.29528415 2, 11 0.206928343 -0.267967463 1.25827658 2, 12 -0.106788181 -0.234932899 1.31355751 2, 13 -0.028139079 -0.606084108 1.23970211 1, 14 -0.166602135 -0.752377987 1.48613608 2, 15 -0.14502354 -0.773192346 1.34416139 1, 16 0.0547658354 -0.243138418 1.3216579 2, 17 0.0112496382 -0.677527666 1.1738342 1, 18 0.223451182 -0.308071584 1.26368845 1, 19 0.117503949 -0.418619454 1.20375085 1, 20 -0.0254701283 0.324504137 1.43026996 2, 21 -0.213713735 -0.275109112 1.19717479 2, 22 -0.168035835 -0.183059201 1.24772739 2, 23 0.210255906 -0.324589491 1.21964896 2, 24 0.223716497 -0.280510098 1.21750021 2, 0 0.0282588918 0.00309325173 0.997004807 0.0719256625, 1 0.0120908096 0.00192671968 0.997331917 0.071966365, 2 -0.00450746855 0.001288814 0.999326348 0.036397621, 3 0 0 0 0, 4 -0.0319469385 0.789497614 -0.611472428 -0.0421230793, 5 -0.0355466343 0.781612635 -0.0929353833 -0.615776777, 6 -0.289401054 0.649132669 -0.252852798 0.656459749, 7 -0.192280173 0.671899557 -0.125175223 0.704209149, 8 -0.0388041995 0.817205191 0.574111879 0.0326429307, 9 -0.0806327388 0.770290792 0.0538955703 0.630274236, 10 -0.238326699 0.866626382 -0.0729277357 0.432250649, 11 -0.205719769 0.869740963 -0.174267545 0.413353205, 12 0.225594148 -0.652200043 0.713902175 -0.118684389, 13 -0.0333796404 0.861635268 0.136967316 -0.487555504, 14 0.127353147 0.588192523 -0.503947794 -0.619554222, 15 0 0 0 0, 16 -0.188384205 0.689643085 0.693218887 -0.0913861617, 17 -0.0781265423 0.682468712 -0.150558576 0.710960388, 18 0.680733562 0.254967928 0.678853989 -0.103684977, 19 0 0 0 0, 20 -0.00447639124 0.000961933343 0.998490751 0.0547291823, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 1, 1, 1, 72057594037928580, 0 -0.0315101855 -0.246956989 1.36783314 2, 1 -0.0312668495 0.0850912184 1.41656554 2, 2 -0.0307928082 0.397846669 1.44860554 2, 3 -0.0283885114 0.56024164 1.44753778 2, 4 -0.20462364 0.276691049 1.44549763 2, 5 -0.252771676 0.0263925381 1.45779657 2, 6 -0.238995194 -0.158676758 1.27116418 2, 7 -0.231569856 -0.211727157 1.24465835 2, 8 0.144693226 0.260524005 1.43924069 2, 9 0.191447496 0.00505084824 1.42371893 2, 10 0.212831825 -0.203624696 1.3015548 2, 11 0.202021912 -0.269006759 1.26110184 2, 12 -0.111309841 -0.236294582 1.32516086 2, 13 -0.0283221453 -0.606454015 1.24859703 1, 14 -0.181258574 -0.749315977 1.50667942 2, 15 -0.145195246 -0.766592741 1.36069036 2, 16 0.0500244088 -0.243797928 1.33403134 2, 17 0.013590645 -0.676107287 1.17468512 1, 18 0.228885069 -0.313248664 1.28054965 1, 19 0.117373176 -0.42938447 1.22317946 1, 20 -0.0309495535 0.322082192 1.44298589 2, 21 -0.21838659 -0.277442902 1.21004879 2, 22 -0.177162245 -0.189053804 1.26535308 2, 23 0.207084149 -0.324873358 1.22066855 2, 24 0.227478445 -0.272913218 1.23843753 2, 0 0.0304147638 0.00258331909 0.996882856 0.0727519542, 1 0.0121815167 0.00125260593 0.997272372 0.0727870166, 2 -0.00651484774 0.000790994964 0.999293149 0.0370159224, 3 0 0 0 0, 4 -0.0274684913 0.790070176 -0.610594511 -0.0469993465, 5 -0.0395170301 0.782607377 -0.0895028859 -0.614779115, 6 -0.251601458 0.549591899 -0.291746169 0.741302609, 7 -0.183562532 0.558638096 -0.149970904 0.794818938, 8 -0.0366523042 0.814962208 0.57733506 0.0343144052, 9 -0.0814478621 0.75638181 0.0491002984 0.64718008, 10 -0.224548936 0.716869175 -0.140568182 0.644916236, 11 -0.157290712 0.724346101 -0.232820541 0.62958473, 12 0.227588728 -0.653521597 0.711836874 -0.120004766, 13 -0.0350572839 0.86551857 0.143267602 -0.478667974, 14 0.145095691 0.612541914 -0.513780832 -0.582897007, 15 0 0 0 0, 16 -0.187716991 0.688567162 0.694727659 -0.0893932357, 17 -0.0920506343 0.679388225 -0.15440616 0.711419046, 18 0.675236285 0.272834271 0.679068744 -0.0921031311, 19 0 0 0 0, 20 -0.00648847455 0.000305758003 0.998438299 0.0554866716, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 1, 1, 1, 72057594037928580, 0 -0.0356986001 -0.248523325 1.37944317 2, 1 -0.036672432 0.082617864 1.42844713 2, 2 -0.0373709239 0.394674212 1.46087551 2, 3 -0.0346706174 0.557363451 1.45957279 2, 4 -0.210454091 0.273296535 1.45726264 2, 5 -0.260268182 0.0234450959 1.46927595 2, 6 -0.242310584 -0.160970256 1.279109 2, 7 -0.237739548 -0.213151962 1.25403392 2, 8 0.137823701 0.257993132 1.45272756 2, 9 0.186824515 0.00298319478 1.4359895 2, 10 0.208616763 -0.203350589 1.30655265 2, 11 0.196847335 -0.268782616 1.26371849 2, 12 -0.115515918 -0.238145992 1.3372333 2, 13 -0.0414700061 -0.610471964 1.26766968 1, 14 -0.138616398 -0.872643888 1.47503471 1, 15 -0.155909866 -0.745760739 1.38897729 2, 16 0.0460737795 -0.245128766 1.34520733 2, 17 0.018413147 -0.610972166 1.20013165 1, 18 0.384928674 -0.621598363 1.2002809 1, 19 0.209966585 -0.612449825 1.17872787 1, 20 -0.0372433886 0.319059044 1.45515907 2, 21 -0.223542199 -0.27314651 1.21609521 2, 22 -0.180495441 -0.191048667 1.27230763 2, 23 0.196702465 -0.328286767 1.22616041 2, 24 0.215761706 -0.27507636 1.22650015 2, 0 0.0275647081 0.000570584321 0.996921003 0.0734053925, 1 0.0118950168 -0.000583027839 0.997231066 0.0734052882, 2 -0.00411336217 -0.000996771269 0.999279618 0.0377150439, 3 0 0 0 0, 4 -0.0283532143 0.7909199 -0.609496951 -0.0464244373, 5 -0.0410729721 0.788647473 -0.0922390521 -0.606498182, 6 -0.288291037 0.617630422 -0.263821274 0.682509482, 7 -0.177131116 0.645872355 -0.139122754 0.729464412, 8 -0.0346300639 0.814407706 0.578047156 0.0374476314, 9 -0.0860555395 0.756349027 0.0509310402 0.646480262, 10 -0.265767604 0.85087955 -0.0865757093 0.444832802, 11 -0.219550371 0.857041478 -0.1952499 0.423267066, 12 0.226759195 -0.655028105 0.711105049 -0.117677338, 13 -0.0299503226 0.856809616 0.129377708 -0.498238444, 14 0.142375022 0.706708074 -0.321171254 -0.614118993, 15 0 0 0 0, 16 -0.188979208 0.687495112 0.695283175 -0.0906564742, 17 -0.187336832 0.98165375 -0.0354913548 -0.00114768161, 18 -0.682078063 0.146308184 0.14240557 0.702199459, 19 0 0 0 0, 20 -0.00412105676 -0.00143370195 0.998409212 0.0562137812, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 1, 1, 1, 72057594037928580, 0 -0.0405962206 -0.251938432 1.39153528 2, 1 -0.0425195284 0.0790890306 1.4408797 2, 2 -0.0440195128 0.391307592 1.47361076 2, 3 -0.0413097776 0.553733051 1.47170389 2, 4 -0.216731578 0.269921094 1.46996164 2, 5 -0.266737521 0.0221184175 1.48124969 2, 6 -0.248758271 -0.162857845 1.29347849 2, 7 -0.242456764 -0.214306027 1.26465964 2, 8 0.132363856 0.256165564 1.46593738 2, 9 0.182200566 0.000119387856 1.4487741 2, 10 0.204637557 -0.202924907 1.31094563 2, 11 0.190883026 -0.269069701 1.26583004 2, 12 -0.120126992 -0.241748914 1.34846807 2, 13 -0.0415683165 -0.612520635 1.2704339 2, 14 -0.134720415 -0.881383181 1.47129965 1, 15 -0.154556766 -0.75218308 1.39204764 2, 16 0.041135788 -0.248275787 1.35822392 2, 17 0.0194051657 -0.612945497 1.20825088 1, 18 0.38465488 -0.640509844 1.20655596 1, 19 0.210125923 -0.624382138 1.18385088 1, 20 -0.0437108949 0.315621316 1.46783149 2, 21 -0.227685243 -0.277163476 1.22666872 2, 22 -0.185570791 -0.192729712 1.28353858 2, 23 0.189552203 -0.328443468 1.22887766 2, 24 0.212743402 -0.271698743 1.23282337 2, 0 0.0329655819 -0.000436104019 0.996715069 0.0739738718, 1 0.0148683218 -0.0017787657 0.997149229 0.0739537627, 2 -0.00356938969 -0.00217040838 0.999265671 0.0380881764, 3 0 0 0 0, 4 -0.028520504 0.790879428 -0.60951525 -0.0467707999, 5 -0.0424805284 0.790511131 -0.0925369859 -0.603924334, 6 -0.286601335 0.620262265 -0.260347158 0.682168365, 7 -0.207505122 0.638955474 -0.152271301 0.724907637, 8 -0.0341073088 0.811449409 0.582135677 0.0387892127, 9 -0.087739177 0.751134872 0.0507053584 0.652324438, 10 -0.272351027 0.804369926 -0.117690951 0.514745235, 11 -0.203190863 0.814356565 -0.227183461 0.493887156, 12 0.230612114 -0.65536052 0.709080398 -0.120521709, 13 -0.0364987142 0.855300128 0.139914885 -0.497547358, 14 0.138381466 0.711144209 -0.30803284 -0.616636276, 15 0 0 0 0, 16 -0.186125681 0.686792254 0.697200537 -0.0870916247, 17 -0.193434879 0.980651498 -0.0293592345 0.00660317112, 18 -0.62821728 0.283743232 0.260224611 0.676103473, 19 0 0 0 0, 20 -0.00359672564 -0.00271045486 0.998381793 0.0566877313, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 1, 1, 1, 72057594037928580, 0 -0.0448283702 -0.254756391 1.4025929 2, 1 -0.0479335748 0.0759918019 1.45230317 2, 2 -0.0505441055 0.388144493 1.48545897 2, 3 -0.0481246971 0.550532579 1.48445988 2, 4 -0.221394762 0.266309708 1.47912455 2, 5 -0.273445606 0.0200482514 1.49232686 2, 6 -0.2526007 -0.165123463 1.30098021 2, 7 -0.246971205 -0.216483891 1.27292645 2, 8 0.125880748 0.252282083 1.478441 2, 9 0.178165823 -0.00207641372 1.46124566 2, 10 0.200542882 -0.203684509 1.31563592 2, 11 0.185089067 -0.268461645 1.26929867 2, 12 -0.124303207 -0.244646072 1.35943413 2, 13 -0.0440785065 -0.614310205 1.27598786 1, 14 -0.135035262 -0.887090921 1.47246349 1, 15 -0.158337459 -0.758445978 1.39515781 1, 16 0.037068624 -0.250978231 1.36936176 2, 17 0.021269355 -0.615145445 1.21793115 1, 18 0.381206095 -0.672172844 1.231354 1, 19 0.207868904 -0.644590914 1.20163965 1, 20 -0.049969323 0.312449634 1.47957671 2, 21 -0.232400239 -0.275602311 1.23436522 2, 22 -0.189371079 -0.210823104 1.28900003 2, 23 0.182196513 -0.326755464 1.23444426 2, 24 0.208870158 -0.268348515 1.24022233 2, 0 0.0335298106 -0.00214665593 0.996644914 0.0746327415, 1 0.0175161101 -0.00334522454 0.997054935 0.0745886266, 2 0.00126216654 -0.0037390918 0.999240279 0.038771376, 3 0 0 0 0, 4 -0.0338208638 0.792581141 -0.607374847 -0.0420371033, 5 -0.0414522439 0.794104815 -0.0987985507 -0.598262608, 6 -0.288641095 0.606878579 -0.26464799 0.691625714, 7 -0.197892174 0.629491985 -0.155071542 0.735208392, 8 -0.0335543789 0.812479019 0.580528498 0.0416981913, 9 -0.0911443904 0.752934992 0.054799106 0.649444938, 10 -0.2858724 0.809423923 -0.120714545 0.498535722, 11 -0.210235879 0.820524633 -0.237868831 0.475351244, 12 0.231887907 -0.655764282 0.708363354 -0.120093994, 13 -0.0414357446 0.85419631 0.145360276 -0.497495949, 14 0.134959713 0.713126898 -0.300253749 -0.618937552, 15 0 0 0 0, 16 -0.185648173 0.686406493 0.69777447 -0.0865537003, 17 -0.194579586 0.979543924 -0.0288587119 0.0424236394, 18 -0.49294436 0.473233789 0.422866702 0.595180213, 19 0 0 0 0, 20 0.00120273791 -0.00421412801 0.998342216 0.0573893078, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 1, 1, 1, 72057594037928580, 0 -0.0494710989 -0.257300317 1.41343963 2, 1 -0.0531233028 0.0735720396 1.46383643 2, 2 -0.0561585426 0.386057615 1.49767172 2, 3 -0.0548555478 0.548125565 1.49636102 2, 4 -0.229022488 0.262911916 1.49278855 2, 5 -0.278235555 0.0167820398 1.50196218 2, 6 -0.258079946 -0.166061118 1.31199324 2, 7 -0.25159356 -0.218088239 1.28140628 2, 8 0.119130343 0.250224262 1.48862088 2, 9 0.173806965 -0.00154154061 1.47299695 2, 10 0.195174024 -0.202705204 1.3224982 2, 11 0.18025066 -0.265470088 1.2716161 2, 12 -0.128917009 -0.247395009 1.37069619 2, 13 -0.0553059727 -0.61820668 1.29263067 2, 14 -0.140516475 -0.894059539 1.48669386 1, 15 -0.163038656 -0.76156199 1.39918935 1, 16 0.0326308236 -0.25330019 1.37980676 2, 17 0.0241620168 -0.617301583 1.22910964 1, 18 0.381809622 -0.68679136 1.23216283 1, 19 0.208991751 -0.656461179 1.20723546 1, 20 -0.0554928444 0.310255438 1.49162734 2, 21 -0.235456824 -0.277394742 1.2417661 2, 22 -0.194864243 -0.205720752 1.30011106 2, 23 0.174611732 -0.323357582 1.23631763 2, 24 0.205775991 -0.256622285 1.25550008 2, 0 0.030908877 -0.00312849483 0.99665153 0.0756346062, 1 0.0137993908 -0.00442610495 0.997035146 0.0755697638, 2 -0.00357349636 -0.00452268682 0.999192715 0.0397577472, 3 0 0 0 0, 4 -0.031424202 0.793374121 -0.606145084 -0.0464558415, 5 -0.044899445 0.792602539 -0.0895314962 -0.601456046, 6 -0.291555911 0.613805175 -0.26319465 0.684811592, 7 -0.213580504 0.633081794 -0.160692051 0.726476967, 8 -0.0372716375 0.813060522 0.579725564 0.0382325277, 9 -0.0921840295 0.757694721 0.0615446791 0.643127561, 10 -0.264653623 0.707530856 -0.176186323 0.631123543, 11 -0.188819528 0.716041386 -0.287061155 0.60764122, 12 0.231285512 -0.656883657 0.707868397 -0.118039124, 13 -0.0385024734 0.850790918 0.134984225 -0.506410539, 14 0.13629742 0.712075174 -0.291442752 -0.624045849, 15 0 0 0 0, 16 -0.187358916 0.685468614 0.698152184 -0.087253429, 17 -0.194396839 0.980013072 -0.0184978582 0.0379758812, 18 -0.504998207 0.463939428 0.386801213 0.616540194, 19 0 0 0 0, 20 -0.00364004541 -0.00519281672 0.998273849 0.0583874583, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037928580, 0 -0.0535612926 -0.25869453 1.4227246 2, 1 -0.0581933595 0.0717129111 1.47324967 2, 2 -0.062149737 0.383881986 1.50727618 2, 3 -0.0601960793 0.545252979 1.50594115 2, 4 -0.233535931 0.260543704 1.50075603 2, 5 -0.283816189 0.0131877828 1.50991595 2, 6 -0.262713492 -0.167953387 1.32036328 2, 7 -0.254806191 -0.218092859 1.29043436 2, 8 0.113314815 0.248236328 1.49821043 2, 9 0.170487612 -0.00188715255 1.48123538 2, 10 0.189625069 -0.204950288 1.32648373 2, 11 0.174834281 -0.263371468 1.27560532 2, 12 -0.132708907 -0.248874143 1.3791908 2, 13 -0.0590898395 -0.619013429 1.29734039 2, 14 -0.141212523 -0.897723436 1.4883095 1, 15 -0.168437332 -0.76414454 1.40431917 1, 16 0.0284385122 -0.25461629 1.38992047 2, 17 0.0298740994 -0.618539929 1.24013805 1, 18 0.383582324 -0.702525377 1.2441175 1, 19 0.214635149 -0.690353751 1.23696399 1, 20 -0.0612633824 0.308140814 1.50118554 2, 21 -0.242525548 -0.280561239 1.2518214 2, 22 -0.195412755 -0.188171253 1.30807686 2, 23 0.170328304 -0.3191486 1.24092209 2, 24 0.197769135 -0.26085794 1.24294448 2, 0 0.0359584503 -0.00421073474 0.996450782 0.0759940445, 1 0.0174663235 -0.00561983464 0.996946394 0.0759028569, 2 -0.00127066986 -0.0058877808 0.999177516 0.0401003435, 3 0 0 0 0, 4 -0.0347473398 0.794511557 -0.604679346 -0.0436687395, 5 -0.0456838831 0.794309914 -0.0908602327 -0.598940015, 6 -0.302178264 0.63405025 -0.253692478 0.665062845, 7 -0.229847461 0.650299013 -0.147388101 0.708913326, 8 -0.037835408 0.812852025 0.579921007 0.0391364917, 9 -0.0967880338 0.766913533 0.0653210655 0.631037891, 10 -0.291794211 0.803736925 -0.135231793 0.500575185, 11 -0.248125076 0.806082368 -0.260899007 0.469677389, 12 0.234930292 -0.656802416 0.706291437 -0.120709635, 13 -0.0422034524 0.848286927 0.137720704 -0.509569526, 14 0.136332899 0.715400517 -0.283933073 -0.623696566, 15 0 0 0 0, 16 -0.184571475 0.685431123 0.699283302 -0.0843823403, 17 -0.193829983 0.979746401 -0.00795806665 0.0496352836, 18 -0.488690376 0.475924075 0.381678879 0.623697937, 19 0 0 0 0, 20 -0.00136372226 -0.00653870124 0.998249829 0.0587599389, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037928580, 0 -0.0585369691 -0.261383832 1.43148696 2, 1 -0.0636908635 0.0691674799 1.48287237 2, 2 -0.0680618286 0.381659746 1.51776743 2, 3 -0.0657865033 0.542725861 1.51696205 2, 4 -0.23883827 0.258287907 1.51024079 2, 5 -0.288785368 0.0111866249 1.5193783 2, 6 -0.26587379 -0.168529779 1.32845521 2, 7 -0.241046488 -0.234719217 1.31660914 2, 8 0.108304083 0.246303782 1.50846589 2, 9 0.166953549 -0.00263201562 1.49074852 2, 10 0.184151158 -0.205035552 1.33168626 2, 11 0.170176059 -0.259867251 1.28009236 2, 12 -0.137528896 -0.253368348 1.38738513 2, 13 -0.129556358 -0.630352497 1.32602572 2, 14 -0.162123635 -0.917764604 1.51795733 1, 15 -0.168190151 -0.763534725 1.4016372 1, 16 0.0234153979 -0.255497128 1.39950323 2, 17 0.0355840959 -0.617926776 1.24662566 1, 18 0.383234799 -0.716362894 1.26850116 1, 19 0.21527043 -0.699364483 1.25276732 1, 20 -0.0670858845 0.305816531 1.5114646 2, 21 -0.243775502 -0.289440751 1.26581359 2, 22 -0.20950079 -0.277347386 1.34059203 2, 23 0.164915353 -0.312434733 1.24228358 2, 24 0.191657618 -0.259944171 1.24419045 2, 0 0.0386136696 -0.00473663351 0.996251106 0.0772677809, 1 0.0193449799 -0.00622963952 0.99681145 0.0771617666, 2 -0.00017238142 -0.00642412296 0.999120295 0.0414409377, 3 0 0 0 0, 4 -0.0371245258 0.794662535 -0.604378104 -0.0431317836, 5 -0.045178201 0.795652866 -0.0905106589 -0.597246289, 6 -0.130676344 0.19560653 -0.376188666 0.896182954, 7 -0.188244998 0.164739564 -0.053398665 0.966733336, 8 -0.038887348 0.811793864 0.581246495 0.0403859951, 9 -0.0995386019 0.771731973 0.067678608 0.62445277, 10 -0.291436195 0.787092626 -0.151027501 0.522245944, 11 -0.256793439 0.786557198 -0.275738269 0.489237607, 12 0.235966384 -0.663837731 0.698889434 -0.123259477, 13 -0.054585278 0.759132683 0.0601846389 -0.645845115, 14 0.180960968 0.707399011 -0.230820462 -0.643087626, 15 0 0 0 0, 16 -0.184225231 0.678416491 0.706713498 -0.0797998458, 17 -0.198810771 0.976329803 -0.00150560145 0.0851586908, 18 -0.424765229 0.529983044 0.42849192 0.595891893, 19 0 0 0 0, 20 -0.000273180747 -0.00715011172 0.99816817 0.0600764714, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
