sep=, 
Hand-Neck Distance (m), Elbow Angle (rad)
0.762528658, 2.65541768
0.759880245, 2.66511846
0.761851668, 2.66947103
0.762095153, 2.65958095
0.762123883, 2.65990615
0.766939044, 2.64765453
0.763340414, 2.65178967
0.764050543, 2.66142774
0.762771487, 2.65699887
0.763662755, 2.65629983
0.762894034, 2.65833402
0.763320446, 2.65580177
0.764005363, 2.65615082
0.765428126, 2.65331912
0.763748586, 2.65409899
0.7662642, 2.65461516
0.765069842, 2.647259
0.765900671, 2.6485343
0.76559782, 2.64644241
0.766913056, 2.64682055
0.765761018, 2.6452229
0.765101612, 2.6388042
0.765713811, 2.63620901
0.766020119, 2.62912226
0.767364264, 2.62419963
0.766473949, 2.62098813
0.766938329, 2.61641526
0.765989065, 2.60971165
0.761372089, 2.60842109
0.761310875, 2.60598278
0.761000931, 2.60360265
0.761123776, 2.60246372
0.760291159, 2.60714197
0.760783613, 2.61074901
0.763034105, 2.60860252
0.767130971, 2.61300802
0.769443274, 2.61671662
0.780826092, 2.62388515
0.782796502, 2.61732984
0.782010376, 2.57382417
0.786499202, 2.509027
0.773519337, 2.44235754
0.762120008, 2.35009313
0.752120852, 2.27374697
0.740101278, 2.1500051
0.730639935, 2.10216546
0.715916395, 2.01042604
0.701491058, 1.97890532
0.683484197, 1.89442456
0.673719049, 1.92396545
0.66414541, 1.9238807
0.642414868, 1.85587418
0.616781116, 1.7565006
0.589433968, 1.66648126
0.562254012, 1.62529325
0.532527745, 1.54708707
0.494422406, 1.43713057
0.422097564, 1.22275889
0.388706177, 1.12900639
0.347390234, 1.05224276
0.318907499, 0.975331903
0.30256325, 0.919127703
0.29170996, 0.883043885
0.290165931, 0.87537086
0.296298683, 0.886664271
0.320883393, 0.93067342
0.3684057, 1.06026506
0.424458683, 1.23748612
0.483003646, 1.43618202
0.538946986, 1.63678885
0.582896709, 1.82209742
0.610085428, 1.95725024
0.629941285, 2.04164553
0.653146744, 2.13393998
0.665580511, 2.18124199
0.666456759, 2.18993187
0.666137815, 2.17541718
0.664485931, 2.14022326
0.638659656, 2.03560066
0.593340755, 1.86051309
0.553613424, 1.68595266
0.498869538, 1.47124827
0.438318342, 1.25472939
0.379912525, 1.06162882
0.31133908, 0.887165844
0.254848838, 0.740915656
0.236901596, 0.668093026
0.235911906, 0.658591568
0.248680353, 0.713935137
0.292004704, 0.833132684
0.347650707, 0.980462551
0.408063293, 1.15764189
0.472103328, 1.3790518
0.535003781, 1.60890734
0.586606085, 1.80949497
0.630814672, 2.00930452
0.666438997, 2.19351864
0.690671802, 2.32525492
0.701447785, 2.4060297
0.704852462, 2.41633654
0.706401885, 2.40191746
0.698262811, 2.31687617
0.683949232, 2.22899842
0.645874679, 2.0448246
0.617116749, 1.89787793
0.570715666, 1.70886111
0.523556113, 1.52489483
0.469609022, 1.33270848
0.419075161, 1.15986025
0.367113024, 1.00683749
0.314283997, 0.870007753
0.271207362, 0.758291125
0.237324864, 0.671273172
0.223664328, 0.593170106
0.222122207, 0.596134782
0.232945234, 0.626744628
0.246840596, 0.711394608
0.265134037, 0.769940019
0.288127989, 0.83874172
0.315994322, 0.923109412
0.356858075, 1.04402232
0.402895182, 1.17518556
0.45219934, 1.33668721
0.506577671, 1.52377272
0.56487602, 1.73621631
0.62280184, 1.94114208
0.682919264, 2.18839407
0.734867334, 2.40974975
0.772995114, 2.59507179
0.789946854, 2.78209448
0.795457304, 2.72487926
0.802552104, 2.82194543
0.809905112, 2.85861206
0.812712431, 2.82192349
0.814648211, 2.80497146
0.81914705, 2.8064487
0.821216345, 2.80248284
0.822676241, 2.80485249
0.827460587, 2.83403468
0.828388453, 2.83941054
0.83049947, 2.83156991
