sep=, 
LeftHandState, LeftHandTrackingConfidence, RightHandState, RightHandTrackingConfidence, TrackingState, TrackingID, Joint0, Joint1, Joint2, Joint3, Joint4, Joint5, Joint6, Joint7, Joint8, Joint9, Joint10, Joint11, Joint12, Joint13, Joint14, Joint15, Joint16, Joint17, Joint18, Joint19, Joint20, Joint21, Joint22, Joint23, Joint24, JointOrientation0, JointOrientation1, JointOrientation2, JointOrientation3, JointOrientation4, JointOrientation5, JointOrientation6, JointOrientation7, JointOrientation8, JointOrientation9, JointOrientation10, JointOrientation11, JointOrientation12, JointOrientation13, JointOrientation14, JointOrientation15, JointOrientation16, JointOrientation17, JointOrientation18, JointOrientation19, JointOrientation20, JointOrientation21, JointOrientation22, JointOrientation23, JointOrientation24
0, 0, 1, 1, 1, 72057594037939050, 0 -0.030633321 0.281939596 2.29268765 2, 1 -0.0525348224 0.621239185 2.2881186 2, 2 -0.0730135888 0.944671273 2.27221346 2, 3 -0.0333871022 1.08214521 2.27050209 2, 4 -0.244307011 0.824772239 2.22801852 2, 5 -0.367334634 0.618340969 2.31116843 2, 6 -0.398961276 0.403971314 2.24898696 2, 7 -0.403589547 0.328777164 2.24084949 2, 8 0.108975701 0.817205966 2.25801063 2, 9 0.186283723 0.593069494 2.33027959 2, 10 0.213765711 0.385072291 2.26254725 2, 11 0.198047265 0.321592569 2.26009893 2, 12 -0.140506864 0.272136152 2.23635745 2, 13 -0.165324971 -0.0894615352 2.25078726 2, 14 -0.143156707 -0.328242987 2.37279248 2, 15 -0.155317187 -0.420875579 2.29586363 2, 16 0.0795397386 0.280960649 2.26884198 2, 17 0.0281946454 -0.0743114799 2.30201554 2, 18 0.000923350744 -0.319380701 2.36474013 2, 19 0.00860172883 -0.424686968 2.2875514 2, 20 -0.0681374148 0.865974605 2.27844596 2, 21 -0.403856933 0.254782468 2.25411725 2, 22 -0.362883866 0.322951555 2.22931838 2, 23 0.185478345 0.245131269 2.25523424 2, 24 0.145789668 0.324818999 2.30760002 2, 0 0.0731789917 -0.0326277986 0.996775448 -0.00434481725, 1 0.0563331731 -0.0325497612 0.997869313 -0.00489527592, 2 0.0400463901 -0.0324210599 0.997941613 -0.0381797999, 3 0 0 0 0, 4 -0.0928812623 0.774278939 -0.617808342 0.100885898, 5 0.0171491615 0.817132294 -0.306282699 -0.488048792, 6 -0.0541825406 0.724585056 -0.146994397 0.671143413, 7 -0.0184223801 0.729315639 -0.0590858012 0.681372225, 8 -0.0416813567 0.794090569 0.605260193 -0.0366458967, 9 0.0225322526 0.777655125 0.217614427 0.589396834, 10 -0.0127100777 -0.300523311 -0.167687789 0.938831747, 11 0.120774455 -0.312933773 0.0202671569 0.941846669, 12 -0.164981082 0.715523899 -0.65818435 0.166132823, 13 -0.00747802714 0.753442764 -0.0388903767 -0.656319797, 14 -0.183317244 -0.628446996 0.150539279 0.740801632, 15 0 0 0 0, 16 -0.0655947849 0.705076575 0.700967371 -0.0849066004, 17 0.0843635872 0.645520985 -0.0111293914 0.758987188, 18 0.121369049 0.636358023 0.0606139675 0.759370804, 19 0 0 0 0, 20 0.0394538045 -0.0325632021 0.998520255 -0.0184486229, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 1, 1, 1, 72057594037939050, 0 -0.0311960019 0.281687558 2.29300857 2, 1 -0.0529173724 0.620945692 2.28820705 2, 2 -0.0733589157 0.944323838 2.27201533 2, 3 -0.0329932421 1.08186424 2.27097678 2, 4 -0.244424269 0.824581385 2.22663498 2, 5 -0.369289994 0.618123651 2.30860186 2, 6 -0.397824973 0.404013038 2.24750733 2, 7 -0.397322625 0.327924162 2.23641086 2, 8 0.10404598 0.81613183 2.26627398 2, 9 0.184083119 0.593567431 2.33233833 2, 10 0.21211724 0.386087686 2.26303577 2, 11 0.192380562 0.323355734 2.25322819 2, 12 -0.141018018 0.271882743 2.23573637 2, 13 -0.165408 -0.0897793695 2.25003219 2, 14 -0.143363401 -0.328409314 2.37263751 2, 15 -0.155372426 -0.420660853 2.29593253 2, 16 0.0787355155 0.280653328 2.26991773 2, 17 0.0275588967 -0.0746166408 2.30317163 2, 18 0.000370032358 -0.316884995 2.36437535 2, 19 0.00833262596 -0.422461748 2.28794742 2, 20 -0.0684690326 0.865651429 2.27832699 2, 21 -0.398466051 0.253789812 2.25153971 2, 22 -0.356114268 0.3152017 2.22833347 2, 23 0.173979327 0.253108799 2.25059605 2, 24 0.144903019 0.335168511 2.30299997 2, 0 0.0770368949 -0.0324110501 0.996490777 -0.00458055036, 1 0.06455639 -0.0323511697 0.997377098 -0.00498592667, 2 0.0527224019 -0.0330245495 0.997328997 -0.0382696092, 3 0 0 0 0, 4 -0.0938942805 0.773458123 -0.617993891 0.105023667, 5 0.0179896653 0.824450016 -0.307532519 -0.474744469, 6 -0.0594439693 0.735252559 -0.139848232 0.660539627, 7 -0.0553938746 0.733085692 -0.0466449894 0.676270008, 8 -0.02666164 0.798266232 0.601371229 -0.0203181747, 9 0.0115626575 0.785060465 0.216125593 0.58037585, 10 -0.0223965347 -0.247392073 -0.17059271 0.953516543, 11 0.164735049 -0.253471702 -0.0335871316 0.952620745, 12 -0.167157233 0.714829564 -0.657724261 0.16874817, 13 -0.00716048852 0.754627883 -0.0383323729 -0.654993296, 14 -0.183959454 -0.628867209 0.151389986 0.740112245, 15 0 0 0 0, 16 -0.063363947 0.70550704 0.700986207 -0.0828444511, 17 0.0843024105 0.642579854 -0.0105658276 0.761493564, 18 0.120576687 0.634268939 0.0594611578 0.761333466, 19 0 0 0 0, 20 0.0521542951 -0.0327171125 0.997932136 -0.0184625033, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 1, 1, 1, 72057594037939050, 0 -0.0315951481 0.281552941 2.2931397 2, 1 -0.053319782 0.620730042 2.28832912 2, 2 -0.0737793595 0.944070876 2.27203512 2, 3 -0.0327547081 1.08160889 2.27149558 2, 4 -0.244832262 0.824317217 2.22500658 2, 5 -0.369652241 0.618022561 2.30740643 2, 6 -0.393939376 0.401929528 2.24331951 2, 7 -0.391722649 0.329446822 2.2317431 2, 8 0.101696692 0.816320539 2.27095962 2, 9 0.182136282 0.594715416 2.33584499 2, 10 0.208219051 0.388561666 2.26120138 2, 11 0.182325527 0.332228392 2.24425912 2, 12 -0.141466901 0.271670341 2.23462319 2, 13 -0.16568549 -0.0901480541 2.24817491 2, 14 -0.143673524 -0.326922029 2.37195587 2, 15 -0.155311242 -0.421430737 2.29554272 2, 16 0.077984795 0.280494869 2.27092361 2, 17 0.0266264211 -0.0750092193 2.30306745 2, 18 8.60870277e-005 -0.316836834 2.3644259 2, 19 0.00846847519 -0.422342956 2.28787112 2, 20 -0.0688728392 0.86540693 2.27837133 2, 21 -0.386877567 0.255649269 2.24513221 2, 22 -0.352094769 0.324235469 2.21345448 2, 23 0.163006157 0.266601801 2.23963666 2, 24 0.140254602 0.319756031 2.30200005 2, 0 0.081827879 -0.0324462764 0.996108294 -0.00443858607, 1 0.0711993128 -0.0323970951 0.9969244 -0.00478438754, 2 0.0612563007 -0.0334681943 0.996831536 -0.0381372571, 3 0 0 0 0, 4 -0.0962391794 0.77278477 -0.617813885 0.108847357, 5 0.0208348446 0.827411532 -0.307834715 -0.469248325, 6 -0.0791153684 0.777703345 -0.130906269 0.609739065, 7 -0.0710909143 0.776383877 -0.0377976783 0.625096381, 8 -0.0180339105 0.798775315 0.601263285 -0.0107370429, 9 0.00959417783 0.786311388 0.216246828 0.578670681, 10 -0.0247958321 -0.194939613 -0.180403173 0.963762641, 11 0.229991749 -0.183704436 -0.0941591412 0.951047122, 12 -0.170164466 0.714211226 -0.656866729 0.171675324, 13 -0.00794517156 0.751716673 -0.0374329276 -0.658374965, 14 -0.186542585 -0.629518449 0.1536071 0.738453209, 15 0 0 0 0, 16 -0.0610315949 0.705897868 0.70110184 -0.0802473798, 17 0.0835134313 0.639029682 -0.0115118334 0.764548302, 18 0.119951881 0.633749127 0.0607251041 0.761765182, 19 0 0 0 0, 20 0.0607038103 -0.0328901261 0.997445166 -0.0183414444, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 1, 1, 1, 72057594037939050, 0 -0.0323694646 0.281336308 2.29319215 2, 1 -0.0540559851 0.620512843 2.28853846 2, 2 -0.0745008513 0.943903089 2.27229953 2, 3 -0.0324685164 1.08141947 2.27250767 2, 4 -0.245532483 0.824120939 2.2237978 2, 5 -0.370795459 0.619223893 2.30555391 2, 6 -0.389922351 0.40301311 2.23840976 2, 7 -0.38534075 0.330500603 2.22879744 2, 8 0.0999249145 0.816295385 2.27334356 2, 9 0.177344382 0.599358141 2.34002447 2, 10 0.196891874 0.398329884 2.24889946 2, 11 0.163886398 0.337104619 2.23356152 2, 12 -0.142087325 0.271575242 2.23372579 2, 13 -0.16593191 -0.090339601 2.24695253 2, 14 -0.143939033 -0.32660079 2.37185097 2, 15 -0.155320436 -0.42190516 2.29590106 2, 16 0.0769382641 0.280157179 2.27148938 2, 17 0.0262962226 -0.0753285289 2.30410957 2, 18 -0.000388572196 -0.317147374 2.36428237 2, 19 0.00715080742 -0.422702432 2.28770876 2, 20 -0.0695853457 0.865222931 2.27861881 2, 21 -0.381468922 0.255764425 2.24306583 2, 22 -0.342832357 0.33466354 2.21531987 2, 23 0.150124282 0.286807835 2.21682763 2, 24 0.131414726 0.315127999 2.27954531 2, 0 0.0852125064 -0.0323859826 0.995827854 -0.00410308596, 1 0.0753124952 -0.0323436111 0.996625483 -0.00442471169, 2 0.0661062673 -0.0336964056 0.996524692 -0.0378557816, 3 0 0 0 0, 4 -0.0987201631 0.772258162 -0.617587149 0.111614592, 5 0.022475725 0.831703484 -0.309286892 -0.460549504, 6 -0.0846370757 0.744035482 -0.130488336 0.649784982, 7 -0.0697883666 0.739718616 -0.0208582412 0.668962479, 8 -0.0142887942 0.799101651 0.600997567 -0.00586538296, 9 0.0147683984 0.780810952 0.217816189 0.585382164, 10 -0.011811791 -0.152142167 -0.215031192 0.964611232, 11 0.254195213 -0.143119976 -0.0747610182 0.953578711, 12 -0.172934979 0.713266015 -0.656585693 0.173897386, 13 -0.00801323727 0.750439405 -0.0367271043 -0.659869313, 14 -0.188127041 -0.629914284 0.155124396 0.737395942, 15 0 0 0 0, 16 -0.0598373488 0.706476986 0.70080626 -0.078614898, 17 0.0832232088 0.636425078 -0.0100800348 0.766769409, 18 0.118946344 0.636450112 0.058360748 0.759853363, 19 0 0 0 0, 20 0.0655664653 -0.0329216979 0.997140646 -0.0181041397, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 1, 1, 1, 72057594037939050, 0 -0.0346651226 0.281033963 2.29225731 2, 1 -0.0552056506 0.620215833 2.28840971 2, 2 -0.0750467107 0.943660021 2.27250791 2, 3 -0.0325427726 1.08125079 2.27326059 2, 4 -0.246274039 0.823811352 2.22285628 2, 5 -0.371463984 0.619743466 2.30394983 2, 6 -0.38708806 0.403340518 2.23601556 2, 7 -0.376578897 0.330981761 2.22975731 2, 8 0.100269817 0.816240847 2.27280116 2, 9 0.175186336 0.600380242 2.34057546 2, 10 0.190319136 0.407410622 2.23112178 2, 11 0.15178068 0.356243998 2.20600057 2, 12 -0.144528523 0.271694571 2.23043966 2, 13 -0.16512543 -0.0902333632 2.24504948 2, 14 -0.144642457 -0.324763805 2.37125301 2, 15 -0.155407235 -0.422047377 2.29568434 2, 16 0.0747192651 0.279626071 2.27151299 2, 17 0.0253454372 -0.075631611 2.30577254 2, 18 -0.000634991738 -0.317728639 2.36390233 2, 19 0.00738591515 -0.423330784 2.2876153 2, 20 -0.0702359304 0.864967406 2.27875853 2, 21 -0.375384092 0.256951123 2.24061227 2, 22 -0.323922783 0.340839744 2.2650435 2, 23 0.136927187 0.319918811 2.1786859 2, 24 0.11143738 0.340450466 2.23913622 2, 0 0.0924038291 -0.0306306425 0.995246291 -0.00284427963, 1 0.079178974 -0.030590171 0.996385694 -0.00325079868, 2 0.0665197372 -0.0330201313 0.996535122 -0.0374506749, 3 0 0 0 0, 4 -0.101054378 0.772009254 -0.617286325 0.112904236, 5 0.0240908284 0.83555609 -0.309443921 -0.453332126, 6 -0.0241437014 0.368512243 -0.153293237 0.916578948, 7 -0.0825951323 0.369265586 -0.0131166382 0.925553322, 8 -0.0159937572 0.798289537 0.602024376 -0.00667768344, 9 0.0164056402 0.771294296 0.216499209 0.598300934, 10 0.0201055612 -0.206807807 -0.2563079 0.943998158, 11 0.331434131 -0.176172495 -0.135407478 0.916940272, 12 -0.178990602 0.710638881 -0.656521499 0.178701699, 13 -0.00332169002 0.756278157 -0.0346635506 -0.653322875, 14 -0.189146206 -0.6327191 0.158808887 0.733941495, 15 0 0 0 0, 16 -0.0579829067 0.707659066 0.700225413 -0.0744373798, 17 0.0834285393 0.63088423 -0.00660047447 0.771350205, 18 0.115166582 0.635190606 0.0563965887 0.761635721, 19 0 0 0 0, 20 0.0660114363 -0.0318768993 0.997154057 -0.0176098626, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 1, 1, 1, 72057594037939050, 0 -0.0361501649 0.280566543 2.29107857 2, 1 -0.0564556122 0.619757712 2.2880733 2, 2 -0.0762140006 0.943194389 2.27277327 2, 3 -0.032737229 1.08062077 2.2740252 2, 4 -0.247363284 0.823252678 2.2209506 2, 5 -0.373115599 0.619681776 2.30125284 2, 6 -0.384210289 0.403381556 2.23306179 2, 7 -0.368124396 0.331005156 2.22808003 2, 8 0.0984170809 0.814645767 2.27717876 2, 9 0.172395438 0.600652575 2.34057903 2, 10 0.163449541 0.43176356 2.19400835 2, 11 0.136509895 0.399321169 2.17475772 2, 12 -0.145761982 0.27133736 2.22727752 2, 13 -0.165431499 -0.0907949209 2.24105597 2, 14 -0.144960105 -0.324187398 2.3712039 2, 15 -0.155629292 -0.422299355 2.29543614 2, 16 0.0731791109 0.279101938 2.27124596 2, 17 0.0240762662 -0.0758586526 2.30674291 2, 18 -0.000852144731 -0.317679673 2.36384749 2, 19 0.00711506791 -0.423282802 2.28754926 2, 20 -0.0714010745 0.864505768 2.27887082 2, 21 -0.368094534 0.25638783 2.23641515 2, 22 -0.319277972 0.334809095 2.25497437 2, 23 0.126004934 0.370636106 2.13025451 2, 24 0.0953807905 0.37208271 2.21791649 2, 0 0.0988629311 -0.0301821474 0.994642198 -0.00144580903, 1 0.0867529288 -0.0301623214 0.995771527 -0.00181295467, 2 0.0752102733 -0.0332914591 0.995954156 -0.0362000056, 3 0 0 0 0, 4 -0.10473571 0.771447003 -0.616723716 0.116412431, 5 0.0260910746 0.841109633 -0.309904426 -0.442507595, 6 -0.0405719094 0.410054028 -0.14852564 0.898971498, 7 -0.113165557 0.409682542 0.0141886026 0.905070364, 8 -0.00880983099 0.800523162 0.599224985 0.00379241188, 9 0.0142101143 0.783004045 0.211524248 0.5847736, 10 0.0927722529 -0.192606851 -0.337745756 0.916637182, 11 0.346283942 -0.14287509 -0.173659861 0.910777867, 12 -0.184776917 0.709126353 -0.655414939 0.182834551, 13 -0.00370007101 0.749369621 -0.0328962542 -0.661323965, 14 -0.194039851 -0.632455587 0.164109141 0.73172164, 15 0 0 0 0, 16 -0.0562332757 0.708244443 0.700177014 -0.0705680549, 17 0.0843134746 0.625692487 -0.00446938304 0.775487065, 18 0.112556346 0.636762202 0.056085024 0.760736108, 19 0 0 0 0, 20 0.0747248158 -0.0317913666 0.996561825 -0.0164326429, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037939050, 0 -0.0370560363 0.279717028 2.29045796 2, 1 -0.0571780764 0.619233549 2.2879169 2, 2 -0.0767544061 0.942920566 2.27292871 2, 3 -0.0329934955 1.08039224 2.27453494 2, 4 -0.2483688 0.823236704 2.22012782 2, 5 -0.374673277 0.620376706 2.29707694 2, 6 -0.380336434 0.402852863 2.22938371 2, 7 -0.365420103 0.332195312 2.22232628 2, 8 0.0965741053 0.814041138 2.27950644 2, 9 0.166458786 0.611686707 2.34054399 2, 10 0.157043144 0.485696226 2.15442896 2, 11 0.129354715 0.455303192 2.12711406 2, 12 -0.146272808 0.270713359 2.22699094 2, 13 -0.166131943 -0.0917838365 2.23846364 2, 14 -0.145081267 -0.324007452 2.37117815 2, 15 -0.155984581 -0.423051596 2.29479575 2, 16 0.0721829087 0.278182268 2.2701757 2, 17 0.0232502576 -0.0763422847 2.3073957 2, 18 -0.000948798668 -0.317584306 2.3636651 2, 19 0.0072144405 -0.423242062 2.28757954 2, 20 -0.0719781294 0.864176095 2.27895498 2, 21 -0.361560911 0.259211272 2.22591496 2, 22 -0.31756717 0.332877487 2.24954534 2, 23 0.113186494 0.43149969 2.09226012 2, 24 0.0781915709 0.435884178 2.17853355 2, 0 0.0973604769 -0.0298171062 0.994802058 -0.00083686522, 1 0.0880841389 -0.0298080109 0.995666325 -0.00111474062, 2 0.0794307888 -0.0331563838 0.995652378 -0.0356047153, 3 0 0 0 0, 4 -0.106091514 0.770474076 -0.617440701 0.117818959, 5 0.0260704271 0.850727081 -0.308702856 -0.424601465, 6 -0.0466243364 0.383021623 -0.143377662 0.911352575, 7 -0.114328392 0.380603462 -0.00557811512 0.917626739, 8 -0.00490823947 0.801538944 0.597851694 0.00920315925, 9 0.00545735098 0.7520383 0.213243946 0.623646975, 10 0.170535102 -0.279169112 -0.436889827 0.837919831, 11 0.376591653 -0.214886248 -0.2243049 0.872748554, 12 -0.18496877 0.708779097 -0.655925274 0.182155639, 13 -0.00686519081 0.736106217 -0.03083211 -0.676128566, 14 -0.198044732 -0.630923688 0.167353794 0.7312361, 15 0 0 0 0, 16 -0.0580901019 0.708362341 0.699799597 -0.0716161579, 17 0.0857093334 0.626646698 -0.00256729801 0.774571598, 18 0.110675007 0.636757433 0.0559303574 0.761027455, 19 0 0 0 0, 20 0.0789584965 -0.0315033272 0.996254444 -0.0158202462, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 0, 0, 1, 72057594037939050, 0 -0.0374237858 0.279670238 2.29051614 2, 1 -0.0578082316 0.619141817 2.28801727 2, 2 -0.0775788128 0.942829788 2.2730875 2, 3 -0.0331080519 1.0801208 2.27493978 2, 4 -0.249234855 0.82306236 2.21910095 2, 5 -0.375772417 0.620661199 2.29414344 2, 6 -0.378200561 0.40310052 2.2262063 2, 7 -0.362575114 0.333744019 2.22117448 2, 8 0.0940092728 0.81432122 2.28128743 2, 9 0.163823977 0.617252767 2.33380437 2, 10 0.128445625 0.526639402 2.10260177 2, 11 0.0993957296 0.51727587 2.09666085 1, 12 -0.146341577 0.270669103 2.22685719 2, 13 -0.166148826 -0.092285566 2.23561144 2, 14 -0.14552775 -0.323577851 2.37135768 2, 15 -0.155957058 -0.423238039 2.29553509 2, 16 0.0713496506 0.27818048 2.27065563 2, 17 0.0230621621 -0.076479882 2.30765891 2, 18 -0.00109224475 -0.317988098 2.36361098 2, 19 0.0078958869 -0.423472077 2.28720236 2, 20 -0.0727601126 0.864078045 2.27909541 2, 21 -0.360591769 0.260813743 2.22438455 2, 22 -0.318220556 0.337119609 2.25011873 2, 23 0.0967348665 0.511568666 2.05297518 2, 24 0.0395927317 0.480056942 2.11568165 2, 0 0.0990383029 -0.0301993154 0.994624972 -0.000686606159, 1 0.0908195972 -0.0301926155 0.995409071 -0.000936020748, 2 0.0832564458 -0.0335473269 0.995336294 -0.0353352651, 3 0 0 0 0, 4 -0.108016759 0.770117223 -0.617153883 0.119887069, 5 0.0256547183 0.85543561 -0.308047354 -0.41554606, 6 -0.0494888648 0.357462376 -0.142500415 0.921664298, 7 -0.115777522 0.354496807 0.00618959218 0.927841187, 8 -0.00195418485 0.801727533 0.597541511 0.0131604401, 9 -0.00689597242 0.761798918 0.207012266 0.613808334, 10 0.1716014 -0.128731236 -0.538449466 0.814894676, 11 0.583358705 -0.03177182 -0.0955339894 0.805950582, 12 -0.185991362 0.708631754 -0.655609071 0.182824939, 13 -0.0100543378 0.724242985 -0.0280447863 -0.688900948, 14 -0.20150736 -0.63196969 0.171598434 0.728397667, 15 0 0 0 0, 16 -0.0571093038 0.708354771 0.700001776 -0.0704947636, 17 0.0848108232 0.625425458 -0.00209703296 0.77565825, 18 0.109894931 0.633969128 0.055860728 0.763469517, 19 0 0 0 0, 20 0.0827823654 -0.0318654291 0.995936036 -0.0155922519, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 0, 0, 1, 72057594037939050, 0 -0.0381090604 0.279135346 2.29052114 2, 1 -0.0584073216 0.618747652 2.28819466 2, 2 -0.0780546665 0.942592263 2.27342629 2, 3 -0.03341363 1.08004463 2.27578807 2, 4 -0.250196576 0.822920322 2.21826577 2, 5 -0.376370251 0.621315479 2.29241443 2, 6 -0.376914084 0.402929813 2.22200465 2, 7 -0.361441106 0.334032178 2.21612239 2, 8 0.0927739441 0.814538717 2.28151941 2, 9 0.1606365 0.5878824 2.28394532 2, 10 0.117517531 0.610769689 2.06128597 2, 11 0.100660533 0.597168624 2.06283236 1, 12 -0.146878138 0.2701011 2.2275176 2, 13 -0.166601673 -0.0934410989 2.23246408 2, 14 -0.145650953 -0.323407263 2.37132239 2, 15 -0.155972779 -0.42331478 2.29511929 2, 16 0.0704868212 0.277532101 2.26981926 2, 17 0.0224712845 -0.0767522678 2.30840468 2, 18 -0.00120249228 -0.318068773 2.36345029 2, 19 0.00821133237 -0.42342326 2.28675508 2, 20 -0.0732652992 0.863800287 2.27939177 2, 21 -0.359394491 0.262779832 2.21823788 2, 22 -0.321742952 0.333381563 2.25384426 2, 23 0.0806248263 0.595204175 2.03181529 2, 24 0.0277804881 0.567732692 2.08237505 2, 0 0.0958881229 -0.0300344899 0.994938672 -0.00054182153, 1 0.0897945091 -0.0300306119 0.995507121 -0.000725707039, 2 0.0844007209 -0.0333649367 0.995256901 -0.0350287668, 3 0 0 0 0, 4 -0.109978102 0.769392312 -0.617435634 0.12129952, 5 0.0247357823 0.855968416 -0.307829857 -0.414664924, 6 -0.0454420857 0.296313435 -0.148520559 0.942377329, 7 -0.117383473 0.293001413 -0.00749719376 0.94884932, 8 -0.00237059454 0.801264346 0.598154724 0.0134437382, 9 -0.0903913975 0.75122565 0.113416784 0.64391464, 10 0.0307797696 -0.154721648 0.741117775 -0.652578175, 11 0.430752724 0.156398296 -0.0357648358 0.888094962, 12 -0.184688687 0.709167302 -0.655779243 0.181453437, 13 0.0143841188 -0.705947995 0.0239461362 0.707712591, 14 -0.206057042 -0.631476939 0.1755362 0.726611555, 15 0 0 0 0, 16 -0.0598407947 0.708438933 0.699406028 -0.0732431039, 17 0.0859655365 0.627691746 -0.000399768935 0.773700655, 18 0.108068533 0.633144677 0.0552920997 0.764455259, 19 0 0 0 0, 20 0.0839326009 -0.03165837 0.995850503 -0.0153232012, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 0, 0, 1, 72057594037939050, 0 -0.0398465283 0.276458979 2.29141116 2, 1 -0.0598243624 0.617404997 2.28901672 2, 2 -0.0791706666 0.942188919 2.27420664 2, 3 -0.0339708701 1.07930005 2.27640557 2, 4 -0.251469433 0.822961986 2.21750975 2, 5 -0.377626926 0.621127009 2.28975606 2, 6 -0.376163572 0.403013468 2.21906877 2, 7 -0.362172544 0.33492893 2.21556854 2, 8 0.0705612227 0.802626669 2.25168848 2, 9 0.150368482 0.605018556 2.29155612 2, 10 0.109839484 0.677456796 2.06105113 2, 11 0.0977953002 0.678385854 2.05880499 1, 12 -0.149548069 0.266239077 2.23075438 2, 13 -0.166508034 -0.098021619 2.23101687 2, 14 -0.145817906 -0.323305756 2.3716023 2, 15 -0.155862793 -0.423465669 2.29510713 2, 16 0.0696642175 0.275730461 2.26921844 2, 17 0.0201344155 -0.0777806416 2.30977535 2, 18 -0.00123561407 -0.31900087 2.36339903 2, 19 0.00922106206 -0.424117237 2.28631067 2, 20 -0.0744435936 0.863192797 2.28017211 2, 21 -0.361768037 0.262397736 2.21874428 2, 22 -0.321066856 0.336916208 2.25456333 2, 23 0.0783750787 0.689904928 2.02336216 2, 24 0.0742968172 0.650640607 2.04316664 2, 0 0.0866747871 -0.0294533521 0.995800674 -0.000956516189, 1 0.0619966574 -0.0294206459 0.997641206 -0.00168535637, 2 0.0370856561 -0.0311926026 0.998158216 -0.0364943705, 3 0 0 0 0, 4 -0.120351844 0.769196153 -0.617069721 0.114357404, 5 0.0232626796 0.859311879 -0.306181997 -0.40901643, 6 -0.0529810637 0.315958679 -0.146825984 0.935844719, 7 -0.103899024 0.311764121 0.00767129241 0.944430649, 8 -0.0769347474 0.829156995 0.551781952 -0.0460041836, 9 -0.0652853698 0.695876002 0.20006375 0.686635852, 10 -0.173035845 0.0252881199 0.786062896 -0.592894793, 11 0.6239326 0.245163545 -0.385375977 0.634104431, 12 -0.176648065 0.713953376 -0.654344082 0.175783694, 13 0.0166517925 -0.68697989 0.0162457787 0.726303995, 14 -0.211063221 -0.631570697 0.18041949 0.723891973, 15 0 0 0 0, 16 -0.0639195964 0.705188155 0.701893389 -0.0772631764, 17 0.0894520357 0.634358108 -0.000390251313 0.767846286, 18 0.10278596 0.632758677 0.0562558137 0.765432417, 19 0 0 0 0, 20 0.036583595 -0.0303233452 0.998728096 -0.0168611668, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
