sep=, 
LeftHandState, LeftHandTrackingConfidence, RightHandState, RightHandTrackingConfidence, TrackingState, TrackingID, Joint0, Joint1, Joint2, Joint3, Joint4, Joint5, Joint6, Joint7, Joint8, Joint9, Joint10, Joint11, Joint12, Joint13, Joint14, Joint15, Joint16, Joint17, Joint18, Joint19, Joint20, Joint21, Joint22, Joint23, Joint24, JointOrientation0, JointOrientation1, JointOrientation2, JointOrientation3, JointOrientation4, JointOrientation5, JointOrientation6, JointOrientation7, JointOrientation8, JointOrientation9, JointOrientation10, JointOrientation11, JointOrientation12, JointOrientation13, JointOrientation14, JointOrientation15, JointOrientation16, JointOrientation17, JointOrientation18, JointOrientation19, JointOrientation20, JointOrientation21, JointOrientation22, JointOrientation23, JointOrientation24
0, 0, 0, 0, 1, 72057594037933661, 0 -0.0135571826 -0.376709282 1.23315132 2, 1 0.0075176633 -0.0628760383 1.28892565 2, 2 0.0276368912 0.235929936 1.32819438 2, 3 0.0240396988 0.392236412 1.34236777 2, 4 -0.14955008 0.11575482 1.32640219 2, 5 -0.189062342 -0.0982912332 1.2854594 2, 6 -0.220350921 -0.117754161 1.02129269 2, 7 -0.229816303 -0.155596986 0.918229222 2, 8 0.200273916 0.118909426 1.31589985 2, 9 0.273271859 -0.126665071 1.27585614 2, 10 0.191253945 -0.160462171 1.00737691 2, 11 0.125080436 -0.206423119 0.816164255 2, 12 -0.0880352333 -0.36330837 1.20345044 2, 13 -0.191815317 -0.200686827 0.882129788 2, 14 -0.174517289 -0.583811641 0.882803023 1, 15 -0.168758154 -0.62143153 0.750221431 1, 16 0.0616593361 -0.370026976 1.19715631 2, 17 0.129841119 -0.226397097 0.814545035 2, 18 0.010493556 -0.548933089 0.614673734 1, 19 -0.00399558339 -0.530745208 0.471689135 1, 20 0.0227701571 0.163252145 1.32071304 2, 21 -0.239932299 -0.187407628 0.825084448 2, 22 -0.186010808 -0.158813417 0.870144069 2, 23 0.118624285 -0.225811467 0.741674364 2, 24 0.0827222392 -0.194291115 0.838999987 2, 0 -0.0195681956 0.0314025357 0.99540484 0.088318646, 1 -0.0183389913 0.031511575 0.995428205 0.0882798135, 2 -0.0183183458 0.0323491506 0.99796617 0.0517833568, 3 0 0 0 0, 4 -0.0303497519 0.792738557 -0.605213821 -0.0660351366, 5 0.129291773 -0.669144154 -0.00808370207 0.731754303, 6 -0.456832677 0.55194366 -0.50479573 0.481501043, 7 -0.390551239 0.611144483 -0.41924575 0.546081603, 8 -0.0496513247 0.786990881 0.613509834 0.042258352, 9 -0.146062702 0.807182968 0.0717014223 0.567433059, 10 0.541754782 -0.45803687 -0.383063793 0.591579437, 11 0.516815007 -0.468598515 -0.349499017 0.625434279, 12 0.195291206 -0.641502023 0.737756014 -0.0777981877, 13 0.672579944 -0.302808791 -0.514383018 0.437439322, 14 0.0163349099 0.717663109 0.0155817084 -0.696024358, 15 0 0 0 0, 16 -0.228747994 0.672572911 0.698294401 -0.0877783746, 17 0.512693048 -0.273279786 0.640682101 -0.501986504, 18 -0.0835123733 0.691361845 -0.295967102 0.653794944, 19 0 0 0 0, 20 -0.017711319 0.0321799517 0.996853769 0.0702380985, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933661, 0 -0.0136173675 -0.376678497 1.23315334 2, 1 0.00750574376 -0.0628429055 1.28897953 2, 2 0.0277075414 0.235920221 1.32834721 2, 3 0.0241215415 0.392210305 1.34240592 2, 4 -0.149550408 0.115753911 1.32641149 2, 5 -0.189049304 -0.0980081111 1.28555632 2, 6 -0.219841316 -0.117776588 1.01902628 2, 7 -0.230094925 -0.155126482 0.917569518 2, 8 0.200250283 0.118911333 1.3159281 2, 9 0.273159385 -0.126494676 1.27570426 2, 10 0.191158503 -0.160478652 1.00727558 2, 11 0.127648667 -0.202937067 0.82161057 2, 12 -0.0880945399 -0.363269359 1.2034409 2, 13 -0.191768646 -0.200689644 0.88216567 2, 14 -0.173807934 -0.583588302 0.885760844 1, 15 -0.167881519 -0.622268617 0.753670096 1, 16 0.0615997277 -0.370005518 1.19716966 2, 17 0.129826009 -0.22639738 0.814561248 2, 18 0.0103761209 -0.548970044 0.614581764 1, 19 -0.0041128844 -0.530751169 0.471581429 1, 20 0.0228139497 0.163257316 1.32083619 2, 21 -0.240417048 -0.187679693 0.825430334 2, 22 -0.187870651 -0.157368705 0.867666662 2, 23 0.117196098 -0.218815967 0.750591934 2, 24 0.0847469568 -0.177325189 0.84100008 2, 0 -0.0194881186 0.0314827561 0.995396972 0.0883959308, 1 -0.0182882063 0.0315892883 0.995419741 0.088357918, 2 -0.0183032174 0.032534875 0.997949302 0.0519972369, 3 0 0 0 0, 4 -0.0306951925 0.792736888 -0.605207264 -0.0659564957, 5 0.129317939 -0.670259118 -0.00777030364 0.730731905, 6 -0.536461532 0.625373304 -0.41888988 0.381639153, 7 -0.456066281 0.699292064 -0.34646827 0.427731067, 8 -0.0499544181 0.787024558 0.613444448 0.0422244295, 9 -0.14632915 0.807270169 0.0714281499 0.56727469, 10 0.570570171 -0.504254401 -0.338154942 0.553017557, 11 0.545336664 -0.514709771 -0.311235934 0.583792627, 12 0.1953765 -0.641464293 0.737764418 -0.0778149739, 13 0.672657192 -0.302992374 -0.514276445 0.437318712, 14 0.0196774807 0.717853665 0.0135620246 -0.695783734, 15 0 0 0 0, 16 -0.228765935 0.672626555 0.698250294 -0.0876708627, 17 0.512632966 -0.273193449 0.640710652 -0.502058387, 18 -0.0835006386 0.691330671 -0.296090215 0.653773785, 19 0 0 0 0, 20 -0.0176924784 0.0323031396 0.996838868 0.0703968704, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933661, 0 -0.0137307402 -0.376644492 1.23321128 2, 1 0.00747434841 -0.0628244802 1.28905952 2, 2 0.0277666803 0.23586753 1.32847381 2, 3 0.0243845843 0.392199308 1.34253621 2, 4 -0.149540976 0.115767255 1.32643807 2, 5 -0.189167276 -0.0961518213 1.28549707 2, 6 -0.219897896 -0.11721693 1.01991558 2, 7 -0.23016724 -0.156113282 0.917850614 2, 8 0.200223207 0.118917227 1.31594431 2, 9 0.273166031 -0.12648955 1.27567983 2, 10 0.190851688 -0.160411686 1.00737715 2, 11 0.125853598 -0.204915836 0.818782985 2, 12 -0.0882144645 -0.363221645 1.20352578 2, 13 -0.191897541 -0.200670853 0.882075548 2, 14 -0.216596216 -0.582572341 0.806292295 1, 15 -0.216729015 -0.597696424 0.666081488 1, 16 0.0614967793 -0.369986624 1.19720614 2, 17 0.129796535 -0.226388216 0.814599752 2, 18 0.0101777874 -0.548871517 0.614578187 1, 19 -0.0043231491 -0.530629396 0.471560061 1, 20 0.0228450932 0.16322726 1.32095134 2, 21 -0.239341065 -0.187379256 0.824988723 2, 22 -0.187388003 -0.159304321 0.871896029 2, 23 0.116039649 -0.222903967 0.747367859 2, 24 0.0819498599 -0.183595389 0.83858341 2, 0 -0.0196378399 0.0315984525 0.995386481 0.088440232, 1 -0.0183737334 0.0317107402 0.995410562 0.0884000212, 2 -0.0183303151 0.0327325873 0.997937202 0.0520943478, 3 0 0 0 0, 4 -0.0309608094 0.792663515 -0.605297983 -0.0658807531, 5 0.130722195 -0.67057693 -0.00770177692 0.730191112, 6 -0.456582844 0.553157032 -0.502253115 0.483002216, 7 -0.385678232 0.616398931 -0.417107493 0.545276165, 8 -0.0502327308 0.786993444 0.613468051 0.042128928, 9 -0.14638482 0.807576597 0.0715150833 0.566813171, 10 0.560562372 -0.487237811 -0.354641646 0.567977607, 11 0.534974277 -0.49936226 -0.323927611 0.599592149, 12 0.19527027 -0.641412258 0.737850785 -0.077692233, 13 0.684585035 -0.313383073 -0.49816823 0.430072933, 14 -0.0918365791 0.707786024 0.0459634215 -0.698922276, 15 0 0 0 0, 16 -0.228869036 0.672698617 0.698145866 -0.0876806229, 17 0.512503922 -0.273008913 0.640802503 -0.502173364, 18 -0.0833938867 0.691289902 -0.296308875 0.653731465, 19 0 0 0 0, 20 -0.0177141652 0.0324431174 0.996827364 0.0704898089, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933661, 0 -0.0137447668 -0.376630813 1.23322618 2, 1 0.00742755458 -0.0628061667 1.28903615 2, 2 0.027595995 0.235871986 1.32827699 2, 3 0.0251907576 0.392269611 1.34263158 2, 4 -0.14952378 0.11577335 1.3264513 2, 5 -0.189209417 -0.0959071964 1.28553081 2, 6 -0.219090149 -0.116590373 1.02000988 2, 7 -0.229779631 -0.154095188 0.919077277 2, 8 0.200208053 0.118936725 1.31598246 2, 9 0.273228168 -0.126479313 1.27582276 2, 10 0.190952629 -0.160374478 1.00754321 2, 11 0.125799969 -0.204903752 0.818778038 2, 12 -0.0882276744 -0.363200575 1.20354807 2, 13 -0.191713229 -0.200701252 0.882175684 2, 14 -0.21657382 -0.582536042 0.80631119 1, 15 -0.216719717 -0.597682834 0.666089118 1, 16 0.0614781603 -0.369979769 1.19721746 2, 17 0.129789367 -0.226382524 0.814609051 2, 18 0.0101122009 -0.548847437 0.614592075 1, 19 -0.00438443758 -0.530631721 0.471556872 1, 20 0.0227149427 0.163236812 1.32081628 2, 21 -0.237080112 -0.185932353 0.826666951 2, 22 -0.188743114 -0.156539962 0.866687477 2, 23 0.115260445 -0.224056691 0.74690032 2, 24 0.0822169557 -0.18419151 0.841416717 2, 0 -0.0196626466 0.0315461494 0.995392978 0.0883804113, 1 -0.0183711164 0.0316607989 0.995417655 0.0883394107, 2 -0.0182938445 0.0324701555 0.997968376 0.0516738668, 3 0 0 0 0, 4 -0.030467242 0.792727768 -0.605231404 -0.0659495518, 5 0.130939022 -0.671679914 -0.00738165295 0.729140997, 6 -0.54403168 0.633228123 -0.406744391 0.370959222, 7 -0.460867703 0.709059298 -0.338077068 0.412964493, 8 -0.0497179292 0.786926448 0.613588512 0.042238947, 9 -0.146303236 0.807519794 0.0717390552 0.566886902, 10 0.560606837 -0.487312138 -0.354627758 0.567878664, 11 0.53512615 -0.49928543 -0.323756486 0.59961313, 12 0.195224881 -0.641376376 0.737895131 -0.0776816979, 13 0.684581399 -0.31357494 -0.49818787 0.429916263, 14 -0.0920688733 0.70777756 0.0458933823 -0.698904932, 15 0 0 0 0, 16 -0.22882925 0.672717869 0.698130786 -0.0877567008, 17 0.512458026 -0.272960901 0.640836895 -0.502202213, 18 -0.0833178088 0.691237569 -0.296369821 0.653768778, 19 0 0 0 0, 20 -0.0176798534 0.0322707072 0.996850669 0.0702482015, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933661, 0 -0.0137628801 -0.376632988 1.23324442 2, 1 0.00741203502 -0.0628924817 1.28903913 2, 2 0.0275540203 0.235487193 1.32814622 2, 3 0.0269255191 0.392151833 1.34245396 2, 4 -0.149469048 0.115777858 1.32648599 2, 5 -0.189289048 -0.0941629708 1.28557348 2, 6 -0.208329767 -0.118258156 1.07436633 2, 7 -0.220585853 -0.126363307 1.01394033 2, 8 0.20020555 0.118937537 1.3160044 2, 9 0.273406059 -0.126556709 1.27580535 2, 10 0.191038862 -0.160371885 1.00758684 2, 11 0.125887841 -0.205013216 0.81881547 2, 12 -0.0882343203 -0.363191187 1.20356345 2, 13 -0.191545591 -0.200725734 0.882290781 2, 14 -0.174745202 -0.583943605 0.884502769 1, 15 -0.169056937 -0.622197449 0.752155542 1, 16 0.0614446402 -0.370000631 1.19724667 2, 17 0.12977694 -0.226378411 0.814619899 2, 18 0.0100687277 -0.549010932 0.614458621 1, 19 -0.00442614965 -0.530790567 0.471411496 1, 20 0.0226809178 0.162945747 1.32073343 2, 21 -0.236619338 -0.136623293 0.926785231 2, 22 -0.179961383 -0.140231684 0.937111139 2, 23 0.117567815 -0.222996235 0.74448818 2, 24 0.084520556 -0.176196992 0.838615358 2, 0 -0.0196038783 0.03156434 0.995393693 0.0883782357, 1 -0.0183529761 0.0316753797 0.995417535 0.0883384943, 2 -0.0183246303 0.0324634127 0.997981429 0.051414337, 3 0 0 0 0, 4 -0.0301875956 0.792271376 -0.605830431 -0.0660621971, 5 0.132266611 -0.682311594 -0.00525263092 0.71897763, 6 -0.459380388 0.560947955 -0.482204974 0.491716743, 7 -0.4232997 0.587540627 -0.505618155 0.469002873, 8 -0.0494891517 0.786432803 0.614233673 0.042322915, 9 -0.146489114 0.807580292 0.0719755813 0.566722631, 10 0.582778156 -0.523298204 -0.317085683 0.534776032, 11 0.554184973 -0.536012888 -0.289480835 0.567247748, 12 0.195261613 -0.641311646 0.737938821 -0.0777091458, 13 0.672905028 -0.303709686 -0.513889253 0.436894715, 14 0.0173217282 0.717578769 0.0137136634 -0.696126819, 15 0 0 0 0, 16 -0.22879836 0.672794819 0.698067784 -0.087749213, 17 0.512495935 -0.272955 0.640820742 -0.50218761, 18 -0.0833811685 0.691229284 -0.296370775 0.653769076, 19 0 0 0 0, 20 -0.0177062582 0.032261733 0.996859074 0.0701256245, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933661, 0 -0.0137573835 -0.376636803 1.23325205 2, 1 0.00749142095 -0.0631184503 1.28903711 2, 2 0.0277739316 0.234679967 1.32803535 2, 3 0.0303865243 0.391895533 1.34124184 2, 4 -0.149397105 0.115781903 1.32649577 2, 5 -0.189549237 -0.0940834582 1.28566813 2, 6 -0.208310887 -0.118333623 1.07440782 2, 7 -0.22050558 -0.125692636 1.01419628 2, 8 0.200223431 0.118954487 1.31604803 2, 9 0.273491591 -0.126662776 1.27564406 2, 10 0.191215411 -0.160222337 1.00740778 2, 11 0.126266807 -0.204929501 0.81954807 2, 12 -0.0882272273 -0.363189965 1.20356512 2, 13 -0.191360071 -0.200737789 0.882398486 2, 14 -0.174682811 -0.58408612 0.884731948 1, 15 -0.169004142 -0.622431397 0.752409637 1, 16 0.061449293 -0.370016903 1.19727075 2, 17 0.129739538 -0.226390764 0.814634562 2, 18 0.00999423489 -0.549179614 0.614319384 1, 19 -0.00448997505 -0.530938447 0.4712556 1, 20 0.0228604786 0.16230455 1.32065737 2, 21 -0.23800838 -0.136908501 0.9269979 2, 22 -0.179894537 -0.137824818 0.939249992 2, 23 0.116092034 -0.22404629 0.746776819 2, 24 0.0827439204 -0.176742077 0.840090871 2, 0 -0.0195318796 0.0317088142 0.995386541 0.0884233564, 1 -0.018294381 0.0318187177 0.995410025 0.0883838609, 2 -0.0183070339 0.032819774 0.997976124 0.0512968227, 3 0 0 0 0, 4 -0.0301144253 0.791151404 -0.6072855 -0.0661580637, 5 0.13271834 -0.682933807 -0.0044585471 0.718308628, 6 -0.450804025 0.55187577 -0.489874214 0.502227128, 7 -0.416842848 0.575947583 -0.516501248 0.477234572, 8 -0.0493870936 0.785409033 0.615537047 0.0425165929, 9 -0.146819502 0.807423949 0.0717767477 0.566885173, 10 0.581696451 -0.520953894 -0.319760412 0.536646605, 11 0.553032756 -0.534619331 -0.290579289 0.569122553, 12 0.195283726 -0.641284883 0.737952828 -0.0777404904, 13 0.672947288 -0.303860992 -0.513899088 0.43671301, 14 0.0173178669 0.717582285 0.0134837348 -0.696127713, 15 0 0 0 0, 16 -0.228794008 0.672862709 0.698018789 -0.087628901, 17 0.512492716 -0.273005694 0.640825927 -0.502156615, 18 -0.0834426209 0.691201985 -0.296391815 0.65378058, 19 0 0 0 0, 20 -0.0176768433 0.0325455815 0.996852636 0.0700935572, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933661, 0 -0.0137515096 -0.376641989 1.2332747 2, 1 0.00751081016 -0.0632791445 1.2890327 2, 2 0.0277652573 0.234171584 1.32783628 2, 3 0.0350891463 0.3911753 1.34055328 2, 4 -0.149238691 0.115777723 1.32652628 2, 5 -0.189922497 -0.093711935 1.28598392 2, 6 -0.208412826 -0.118753187 1.07423759 2, 7 -0.22049062 -0.127258003 1.01515746 2, 8 0.200280055 0.11892391 1.31609154 2, 9 0.273564965 -0.126754493 1.27550972 2, 10 0.191387519 -0.160145327 1.00726461 2, 11 0.126074299 -0.20489195 0.818985045 1, 12 -0.088205263 -0.363172412 1.20354211 2, 13 -0.19130908 -0.200717002 0.88248378 2, 14 -0.216165036 -0.583084345 0.807694197 1, 15 -0.21632567 -0.59859848 0.667517841 1, 16 0.0614455268 -0.370082408 1.19741821 2, 17 0.129675329 -0.226391286 0.814702094 2, 18 0.0099571459 -0.549243152 0.614293337 1, 19 -0.00451078825 -0.530999839 0.471218348 1, 20 0.0228644777 0.161886334 1.32052147 2, 21 -0.237192258 -0.137684733 0.92898941 2, 22 -0.182072103 -0.133787766 0.96540004 2, 23 0.115594916 -0.223214835 0.74749583 2, 24 0.0870748982 -0.216181979 0.834823549 2, 0 -0.0189325605 0.0317997634 0.995396793 0.0884055719, 1 -0.0179860145 0.0318838172 0.995414376 0.0883752927, 2 -0.0183036979 0.0327837057 0.99799633 0.0509276688, 3 0 0 0 0, 4 -0.0296857189 0.790522575 -0.608111084 -0.066285193, 5 0.133365408 -0.683854103 -0.00295300712 0.717320383, 6 -0.472404689 0.575030506 -0.467260301 0.477327406, 7 -0.434293121 0.603011787 -0.491489679 0.454097182, 8 -0.0489751808 0.784743249 0.616407931 0.042670738, 9 -0.147088945 0.807293653 0.0715519711 0.567029238, 10 0.471146762 -0.352943212 -0.467897713 0.659183979, 11 0.452332675 -0.357412815 -0.431109339 0.694115281, 12 0.195490018 -0.641154289 0.737989068 -0.0779551417, 13 0.684719861 -0.313871086 -0.498167574 0.429502904, 14 -0.0909914896 0.707862794 0.0448841006 -0.699025154, 15 0 0 0 0, 16 -0.228290424 0.673162639 0.69794786 -0.0872025341, 17 0.51251471 -0.273087591 0.640841365 -0.50207001, 18 -0.0835211352 0.691158712 -0.296390682 0.653816819, 19 0 0 0 0, 20 -0.0176703911 0.0325559489 0.996866941 0.0698866099, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933661, 0 -0.0137094688 -0.376652539 1.23328757 2, 1 0.00770554505 -0.0637261122 1.28899968 2, 2 0.0281459596 0.232895494 1.32768047 2, 3 0.0398691744 0.390111595 1.34062636 2, 4 -0.149040475 0.115764789 1.32651603 2, 5 -0.186038032 -0.103304639 1.28847528 2, 6 -0.213143021 -0.0893902555 1.07904649 2, 7 -0.220253095 -0.124812663 1.01327991 2, 8 0.200549051 0.11866311 1.31618118 2, 9 0.273918897 -0.1275004 1.27511299 2, 10 0.191329554 -0.160115898 1.00690055 2, 11 0.126013547 -0.20486404 0.818790853 2, 12 -0.0881424472 -0.363146067 1.20349824 2, 13 -0.191298962 -0.200597867 0.882558763 2, 14 -0.216547877 -0.583025634 0.807663202 1, 15 -0.216703236 -0.598518729 0.66748178 1, 16 0.0615043752 -0.370142877 1.19750428 2, 17 0.129639849 -0.226382062 0.814715862 2, 18 0.00992545765 -0.549329519 0.61425662 1, 19 -0.00449035875 -0.531062245 0.47117728 1, 20 0.0231977478 0.160827726 1.32039642 2, 21 -0.240703389 -0.135586128 0.930378258 2, 22 -0.17735225 -0.135719717 0.929250002 2, 23 0.117365427 -0.22281307 0.746121347 2, 24 0.0826575011 -0.180940121 0.84191668 2, 0 -0.0184815917 0.0321248844 0.995391548 0.0884428471, 1 -0.0176725909 0.0321967527 0.99540621 0.0884167179, 2 -0.0181564484 0.0332200937 0.997987509 0.0508685298, 3 0 0 0 0, 4 -0.0296159424 0.788715422 -0.610443771 -0.0664023235, 5 0.118203327 -0.657082915 -0.00901861396 0.744438469, 6 0.444705099 -0.482491046 0.57888788 -0.48407501, 7 -0.365892351 0.672176123 -0.360679477 0.533115804, 8 -0.0487345085 0.783430636 0.618066549 0.0430723615, 9 -0.147622332 0.807476223 0.0710487142 0.566693783, 10 0.563389659 -0.48786217 -0.35337165 0.565430105, 11 0.53593564 -0.501037359 -0.321163416 0.598822653, 12 0.195721835 -0.640947878 0.738075912 -0.0782481432, 13 0.685067177 -0.31391409 -0.497841835 0.429295301, 14 -0.0914275944 0.707931221 0.0445978008 -0.698917329, 15 0 0 0 0, 16 -0.228042662 0.673427224 0.697821677 -0.086817272, 17 0.512519717 -0.2731902 0.64087832 -0.501961827, 18 -0.0835042819 0.691062212 -0.296367556 0.65393132, 19 0 0 0 0, 20 -0.0175123941 0.0329637155 0.996857405 0.0698715001, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933661, 0 -0.0136786383 -0.376664758 1.23330367 2, 1 0.00794432405 -0.0641998053 1.28891718 2, 2 0.0286589898 0.231716603 1.32735038 2, 3 0.0438457504 0.389090717 1.34060574 2, 4 -0.148758307 0.115760513 1.32647693 2, 5 -0.188332438 -0.0995690972 1.28750658 2, 6 -0.221645758 -0.12325342 1.00793731 2, 7 -0.232454628 -0.145287231 0.945058465 2, 8 0.200893834 0.118395202 1.31620312 2, 9 0.274001539 -0.127632424 1.27495551 2, 10 0.191312626 -0.160071269 1.0067749 2, 11 0.12591669 -0.204637632 0.819539487 1, 12 -0.0880907327 -0.363120973 1.20344925 2, 13 -0.191500306 -0.200489506 0.882483304 2, 14 -0.216575861 -0.582978845 0.807656169 1, 15 -0.216664627 -0.598469079 0.667468965 1, 16 0.0615541786 -0.370229125 1.19763398 2, 17 0.129597291 -0.226354823 0.814731777 2, 18 0.0099384468 -0.549320102 0.614309251 1, 19 -0.00443043187 -0.531054318 0.471223176 1, 20 0.0236398429 0.15982081 1.32013249 2, 21 -0.224902973 -0.164192244 0.86009115 2, 22 -0.190140575 -0.157788977 0.884000003 2, 23 0.117320627 -0.222637445 0.745582998 2, 24 0.0828121006 -0.186208367 0.840504348 2, 0 -0.0178662483 0.0325570963 0.995392442 0.0884010494, 1 -0.0172968153 0.0326076634 0.995402455 0.0883824006, 2 -0.0180645995 0.0338027477 0.997986495 0.0505381115, 3 0 0 0 0, 4 -0.0291781481 0.786955595 -0.612715423 -0.066553086, 5 0.125796214 -0.669592619 -0.00463119568 0.731983423, 6 -0.510315239 0.608364105 -0.444595724 0.414494991, 7 -0.42712912 0.684129 -0.392866492 0.441796362, 8 -0.0481909327 0.782224715 0.619609952 0.043423228, 9 -0.147701144 0.807567894 0.0704928711 0.566612065, 10 0.561239898 -0.483772963 -0.357207894 0.56866163, 11 0.534068167 -0.496455401 -0.324267089 0.602622628, 12 0.19590795 -0.640729249 0.738174319 -0.0786428526, 13 0.685126007 -0.313633025 -0.497797608 0.429458082, 14 -0.0912068635 0.708078563 0.0446721688 -0.698792219, 15 0 0 0 0, 16 -0.227590829 0.673808396 0.697663963 -0.086310558, 17 0.512553275 -0.27330029 0.640916049 -0.501819491, 18 -0.083475627 0.690976918 -0.296302408 0.654054761, 19 0 0 0 0, 20 -0.0174049623 0.0335061811 0.996857345 0.0696404353, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933661, 0 -0.0136290146 -0.376674473 1.23332357 2, 1 0.00809095521 -0.0644269809 1.28878725 2, 2 0.0288255662 0.231311291 1.32683575 2, 3 0.0475302711 0.388100207 1.34160733 2, 4 -0.148431033 0.115786798 1.32643819 2, 5 -0.189328253 -0.0977535099 1.28706276 2, 6 -0.222122669 -0.123238102 1.00761604 2, 7 -0.233126029 -0.145656303 0.942832947 2, 8 0.201295242 0.118116915 1.31622303 2, 9 0.274057388 -0.127706528 1.27488971 2, 10 0.192143649 -0.15962036 1.00643706 2, 11 0.123155318 -0.201943964 0.831249893 2, 12 -0.0880108401 -0.36307475 1.20338464 2, 13 -0.191453665 -0.200394318 0.882517934 2, 14 -0.216599688 -0.582856953 0.807658434 1, 15 -0.216646492 -0.598372161 0.667473674 1, 16 0.061624065 -0.370315552 1.19777203 2, 17 0.129586428 -0.22635071 0.814733326 2, 18 0.00993494783 -0.549321175 0.614362597 1, 19 -0.00438219588 -0.531104922 0.471271187 1, 20 0.0238127895 0.159439385 1.31973004 2, 21 -0.21912612 -0.161085531 0.858640492 2, 22 -0.177370906 -0.139167428 0.92463547 2, 23 0.111442693 -0.217445374 0.759698808 2, 24 0.0762946233 -0.177826345 0.845499992 2, 0 -0.0171466395 0.0328019559 0.995414197 0.0882074162, 1 -0.0168697909 0.0328264832 0.995418906 0.0881982893, 2 -0.0179475751 0.0337937512 0.998026967 0.0497799702, 3 0 0 0 0, 4 -0.0280833337 0.786316335 -0.613567233 -0.0667327121, 5 0.129523754 -0.67095679 -0.00300884154 0.730090082, 6 -0.523838401 0.623726249 -0.424841702 0.395055056, 7 -0.44184956 0.697488248 -0.378581494 0.418276459, 8 -0.0469959714 0.78194952 0.620025814 0.0437525772, 9 -0.147718146 0.806650519 0.0696650371 0.568014979, 10 0.564732254 -0.489652902 -0.352971494 0.5627864, 11 0.543100893 -0.490107894 -0.308841944 0.607825875, 12 0.196154267 -0.640406966 0.738333046 -0.0791627392, 13 0.68524617 -0.313563824 -0.49772957 0.429395586, 14 -0.0913126543 0.708201289 0.0446222425 -0.698657095, 15 0 0 0 0, 16 -0.226964951 0.67418474 0.697551131 -0.085931614, 17 0.512536287 -0.273385316 0.640967786 -0.501724482, 18 -0.0833673701 0.69083643 -0.296280593 0.65422672, 19 0 0 0 0, 20 -0.0172849391 0.0336099453 0.99689436 0.0690895766, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
