sep=, 
Hand-Neck Distance (m), Elbow Angle (rad)
0.640735507, 2.44915509
0.640837252, 2.44922137
0.640785575, 2.44921041
0.640422046, 2.45247149
0.640901625, 2.44938707
0.640471399, 2.45009565
0.640651405, 2.45102406
0.640720069, 2.45177102
0.640012264, 2.45316601
0.640150845, 2.4566493
0.639728963, 2.45469308
0.638960958, 2.45308065
0.639026165, 2.45407271
0.638824403, 2.45577884
0.639538407, 2.45708108
0.637978017, 2.45606828
0.637538552, 2.45170999
0.637919247, 2.45634627
0.637301564, 2.45421004
0.637717128, 2.45288944
0.638416469, 2.45374894
0.637551308, 2.45172858
0.637817383, 2.4534893
0.638124883, 2.45257473
0.638284683, 2.45221853
0.639838994, 2.45291328
0.640140831, 2.45502162
0.6400069, 2.45515156
0.640409172, 2.4476552
0.63989079, 2.44997096
0.64126718, 2.45320964
0.641134501, 2.45301247
0.641416967, 2.45203924
0.641247749, 2.45193624
0.641403258, 2.45278382
0.641398966, 2.45667958
0.641127825, 2.44989538
0.6424191, 2.45275164
0.641752481, 2.45406938
0.642428041, 2.45244312
