sep=, 
Hand-Neck Distance (m), Elbow Angle (rad)
0.554080904, 2.03361177
0.554013968, 2.03432655
0.553785264, 2.0356431
0.554176748, 2.03639531
0.552278519, 2.03617787
0.552154601, 2.03765821
0.553772449, 2.04083586
0.552571416, 2.03857756
0.552912414, 2.03816485
0.54813695, 2.03851175
0.547581613, 2.03794312
0.547795355, 2.03955913
0.547898233, 2.04126716
0.548190117, 2.04255891
0.547127306, 2.03999209
0.549452245, 2.04145026
0.552681267, 2.03597736
0.55176127, 2.03875017
0.550383627, 2.03972125
0.5540663, 2.03568006
0.554541051, 2.03512692
0.554068744, 2.03502369
0.552402496, 2.03729033
0.555132329, 2.03189874
0.551932991, 2.03670502
0.553410172, 2.03539443
0.552750826, 2.03335404
0.552346289, 2.03339148
0.548710823, 2.03155041
0.547994852, 2.03093719
0.549763262, 2.02385855
0.548957288, 2.02282
0.548811913, 2.02028275
0.548000515, 2.02169824
0.549901009, 2.02225733
0.551348746, 2.02206397
0.551656425, 2.02019167
0.552657247, 2.02157307
0.551116228, 2.02413654
0.552011967, 2.02463222
0.555258155, 2.02036762
0.555228889, 2.02051878
0.552606583, 2.02021122
0.551463664, 2.01803637
0.550586164, 2.01635432
0.549524665, 2.01721907
0.547627151, 2.01610065
0.546440661, 2.01337838
