sep=, 
LeftHandState, LeftHandTrackingConfidence, RightHandState, RightHandTrackingConfidence, TrackingState, TrackingID, Joint0, Joint1, Joint2, Joint3, Joint4, Joint5, Joint6, Joint7, Joint8, Joint9, Joint10, Joint11, Joint12, Joint13, Joint14, Joint15, Joint16, Joint17, Joint18, Joint19, Joint20, Joint21, Joint22, Joint23, Joint24, JointOrientation0, JointOrientation1, JointOrientation2, JointOrientation3, JointOrientation4, JointOrientation5, JointOrientation6, JointOrientation7, JointOrientation8, JointOrientation9, JointOrientation10, JointOrientation11, JointOrientation12, JointOrientation13, JointOrientation14, JointOrientation15, JointOrientation16, JointOrientation17, JointOrientation18, JointOrientation19, JointOrientation20, JointOrientation21, JointOrientation22, JointOrientation23, JointOrientation24
0, 0, 0, 0, 1, 72057594037933578, 0 0.0517770648 -0.436823159 1.13904512 2, 1 0.0634153113 -0.173022866 1.17443967 2, 2 0.0725183636 0.0810541511 1.19383395 2, 3 0.0736215338 0.229195818 1.20656693 2, 4 -0.0962250531 -0.0331565589 1.20966244 2, 5 -0.173759326 -0.258739591 1.19259858 2, 6 -0.213806644 -0.338451952 0.932705998 2, 7 -0.060971871 -0.310417712 0.760360479 2, 8 0.226053387 -0.0528433062 1.17175233 2, 9 0.303805739 -0.301002264 1.11484528 2, 10 0.25622502 -0.319533527 0.860397637 2, 11 0.249307632 -0.317724228 0.843947411 2, 12 -0.0245189629 -0.42141813 1.1169709 2, 13 -0.198586851 -0.339603215 0.891789258 2, 14 -0.441291898 -0.237284794 0.609009922 1, 15 -0.451206118 -0.201234981 0.474467427 1, 16 0.125364259 -0.430369586 1.10467064 2, 17 0.211842641 -0.330319285 0.821751416 2, 18 0.0697984397 -0.678459108 0.605206788 1, 19 0.0795481503 -0.671843648 0.451308727 1, 20 0.0704780221 0.0189171508 1.19127345 2, 21 -0.0205544569 -0.292479068 0.723096073 2, 22 -0.0999140143 -0.290378422 0.732961833 2, 23 0.218640596 -0.322410673 0.764662862 2, 24 0.252728701 -0.359318465 0.825954556 2, 0 -0.0379052125 0.0193497371 0.996819675 0.0673743263, 1 -0.045741491 0.0188194141 0.996490836 0.0675243735, 2 -0.0545873828 0.0152526349 0.998162091 0.0214471146, 3 0 0 0 0, 4 0.00870788563 0.801503479 -0.593010187 -0.0765203163, 5 0.14346011 -0.684589446 0.0881746486 0.709212005, 6 -0.566424608 0.716754198 0.184698567 -0.362371325, 7 -0.407592535 0.639075041 0.627912283 -0.176571593, 8 -0.0578253083 0.841343403 0.537194788 -0.0148044089, 9 -0.177376211 0.771953821 0.0493757762 0.608429849, 10 -0.0386327021 0.175107509 -0.680297434 0.710661888, 11 -0.0265765749 -0.237595424 0.741436958 -0.626987576, 12 0.152077943 -0.634034276 0.756357312 -0.0528817065, 13 0.69040364 -0.22626473 -0.401842654 0.557377517, 14 0.774707556 -0.537340283 0.179478899 0.280857325, 15 0 0 0 0, 16 -0.208649904 0.671006918 0.70432198 -0.100725427, 17 -0.519632339 0.22552824 -0.624631643 0.537544847, 18 -0.0403960086 0.618361831 -0.31175831 0.72028023, 19 0 0 0 0, 20 -0.0542330407 0.0159362741 0.997402906 0.0446348675, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933578, 0 0.0518781021 -0.436988235 1.13918042 2, 1 0.0633640885 -0.173082232 1.17444253 2, 2 0.0723979324 0.0810171068 1.19377089 2, 3 0.0732707083 0.229100838 1.20661819 2, 4 -0.0944355652 -0.0332581587 1.20896447 2, 5 -0.173826873 -0.258748502 1.19234467 2, 6 -0.213965088 -0.338395059 0.932443261 2, 7 -0.0592008531 -0.307354003 0.755824625 2, 8 0.2259247 -0.0528136827 1.17172825 2, 9 0.304389238 -0.302572489 1.11400449 2, 10 0.255107492 -0.318790913 0.860411406 2, 11 0.216202378 -0.32633087 0.784736872 1, 12 -0.0244203713 -0.421728253 1.117028 2, 13 -0.197033256 -0.339165479 0.890538156 2, 14 -0.437428415 -0.235959709 0.606335819 1, 15 -0.447072744 -0.199899375 0.471652538 1, 16 0.125502005 -0.430449307 1.10487413 2, 17 0.212336689 -0.330777407 0.821640074 2, 18 0.0705580637 -0.679439247 0.605607748 1, 19 0.0804985091 -0.672616959 0.451679111 1, 20 0.0703714341 0.0188737083 1.19122374 2, 21 -0.020364657 -0.293459922 0.722034037 2, 22 -0.104084574 -0.291948646 0.737056613 2, 23 0.166809931 -0.291887581 0.702342749 2, 24 0.213527709 -0.354823261 0.766153872 2, 0 -0.037515875 0.0190929919 0.996858895 0.0670850649, 1 -0.045247566 0.018572025 0.996537864 0.0672311559, 2 -0.0539807864 0.0151589774 0.998199165 0.0213227272, 3 0 0 0 0, 4 0.00789487641 0.802679956 -0.591548562 -0.0755836144, 5 0.145330235 -0.684944153 0.0916116312 0.708052218, 6 -0.573888958 0.731386185 0.160383791 -0.331666648, 7 -0.469522178 0.648857236 0.587427437 -0.116026722, 8 -0.0578383878 0.841257811 0.537330806 -0.0146835865, 9 -0.178111285 0.773122251 0.0495144874 0.606717944, 10 -0.0019517336 0.14109242 -0.684593201 0.715137184, 11 -0.0990996733 -0.237331629 0.667866886 -0.698431611, 12 0.152158305 -0.634696305 0.755751193 -0.0533714145, 13 0.689669669 -0.227902666 -0.40445888 0.555724025, 14 0.77888155 -0.532828093 0.1641123 0.287236691, 15 0 0 0 0, 16 -0.208156347 0.670640111 0.704835653 -0.100595325, 17 -0.519852698 0.225763202 -0.623855352 0.538134396, 18 -0.0402046517 0.618516088 -0.310931444 0.720515788, 19 0 0 0 0, 20 -0.053629376 0.0158262085 0.997444272 0.0444786772, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933578, 0 0.0520311072 -0.437150776 1.13940656 2, 1 0.0633456558 -0.173129261 1.17452431 2, 2 0.0723607093 0.0810001567 1.19384158 2, 3 0.0731221661 0.228990749 1.20700836 2, 4 -0.094752863 -0.0337376595 1.2097441 2, 5 -0.173829928 -0.258852005 1.19230127 2, 6 -0.214146093 -0.338771671 0.932383657 2, 7 -0.0617732331 -0.307730705 0.756875634 2, 8 0.225849003 -0.0528900325 1.17192566 2, 9 0.294090211 -0.28306663 1.1240046 2, 10 0.296363354 -0.350153983 0.930107832 2, 11 0.253996432 -0.325721174 0.847376466 2, 12 -0.0242953058 -0.421982318 1.11713934 2, 13 -0.198387474 -0.339949727 0.891383648 2, 14 -0.44047904 -0.237607554 0.60853982 1, 15 -0.450434417 -0.201603293 0.473936856 1, 16 0.125715002 -0.430525392 1.10524094 2, 17 0.213153958 -0.33110249 0.821448445 2, 18 0.0713582188 -0.680118024 0.605980217 1, 19 0.0813988596 -0.67313391 0.452037394 1, 20 0.0703364909 0.0188522227 1.19129097 2, 21 -0.0159782786 -0.295836508 0.718819082 2, 22 -0.0841014907 -0.289211005 0.731599987 2, 23 0.220542416 -0.321852505 0.764663517 2, 24 0.265112609 -0.372139007 0.821249962 2, 0 -0.0367330424 0.0188267939 0.996914685 0.0667629912, 1 -0.0452597961 0.0182549842 0.996564031 0.0669216067, 2 -0.0548160113 0.0151201962 0.998153389 0.0213605706, 3 0 0 0 0, 4 0.00937036891 0.803116798 -0.590764582 -0.0768947303, 5 0.146309569 -0.684928954 0.0900429785 0.708066463, 6 -0.575811625 0.736172676 0.151918933 -0.321576506, 7 -0.489884406 0.651551545 0.571141303 -0.0963921025, 8 -0.0573115163 0.841370583 0.537207007 -0.0148145193, 9 -0.168157741 0.738135874 0.0402556323 0.652117968, 10 -0.0939934701 0.122547403 -0.572439432 0.805270374, 11 -0.0143245496 -0.26846087 0.791775465 -0.548466146, 12 0.152384549 -0.635127902 0.755300164 -0.0539739579, 13 0.68992281 -0.226110607 -0.402827621 0.55732435, 14 0.77574861 -0.536105514 0.175336674 0.28295216, 15 0 0 0 0, 16 -0.207315475 0.67030865 0.70545882 -0.10017208, 17 -0.519962192 0.225577429 -0.623202324 0.538862705, 18 -0.0397676453 0.618732274 -0.310345888 0.720606923, 19 0 0 0 0, 20 -0.0544665083 0.0157461688 0.997401595 0.0444463529, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933578, 0 0.0522152744 -0.437293947 1.13967347 2, 1 0.0634214059 -0.173224941 1.17486119 2, 2 0.0725182146 0.0809355825 1.19454455 2, 3 0.0731036216 0.228757665 1.20765424 2, 4 -0.0944809765 -0.0340962783 1.21010327 2, 5 -0.173834339 -0.258947074 1.19233549 2, 6 -0.214147121 -0.338948011 0.932440579 2, 7 -0.0605081655 -0.3080585 0.756789923 2, 8 0.225869134 -0.0531337485 1.17243242 2, 9 0.303088933 -0.300704926 1.1168952 2, 10 0.281289726 -0.331903458 0.914934576 2, 11 0.251067847 -0.321086824 0.846488714 2, 12 -0.02414787 -0.422186285 1.11726725 2, 13 -0.196502298 -0.339433551 0.889831662 2, 14 -0.435721129 -0.236320138 0.605271697 1, 15 -0.445459962 -0.200187296 0.470585525 1, 16 0.125960901 -0.430596352 1.10567248 2, 17 0.213663474 -0.331307918 0.821240723 2, 18 0.072136879 -0.680791438 0.606385887 1, 19 0.0823130831 -0.673701704 0.45244503 1, 20 0.0704596862 0.0187793225 1.19187009 2, 21 -0.02016191 -0.295392066 0.719365954 2, 22 -0.108646609 -0.295773178 0.741285741 2, 23 0.218401253 -0.32164973 0.764854968 2, 24 0.256621867 -0.363158345 0.828571439 2, 0 -0.035758581 0.0186800603 0.996946633 0.0668560043, 1 -0.0446658917 0.0180818886 0.996587336 0.0670202598, 2 -0.0546150729 0.0153421983 0.998139143 0.0223618913, 3 0 0 0 0, 4 0.00860822387 0.803659916 -0.59002465 -0.0769904405, 5 0.147273555 -0.685142934 0.0900841579 0.707654238, 6 -0.563116729 0.7109074 0.193367496 -0.374325067, 7 -0.391775608 0.628820121 0.641968131 -0.197418615, 8 -0.0578015223 0.84168154 0.536677718 -0.0144268759, 9 -0.176457852 0.757209063 0.0460990369 0.627193749, 10 -0.0439467132 0.132169411 -0.649742723 0.747284591, 11 -0.0453634597 -0.227987915 0.754640102 -0.613581181, 12 0.152997524 -0.635441065 0.754880548 -0.0544227138, 13 0.688932836 -0.228380635 -0.405745268 0.555504084, 14 0.781324923 -0.529243708 0.152221218 0.293702543, 15 0 0 0 0, 16 -0.206665188 0.670094073 0.705966055 -0.0993753299, 17 -0.520153403 0.225979283 -0.622622728 0.539179564, 18 -0.0395206846 0.618923843 -0.309484601 0.720826387, 19 0 0 0 0, 20 -0.0542660579 0.0158405602 0.997383118 0.0450684093, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933578, 0 0.0524697863 -0.437424332 1.13999033 2, 1 0.0636648089 -0.173460051 1.17578602 2, 2 0.072922051 0.080498822 1.19667327 2, 3 0.0732422099 0.228051975 1.20926058 2, 4 -0.0930975452 -0.0342065617 1.2100575 2, 5 -0.173808083 -0.259223133 1.19232535 2, 6 -0.214197382 -0.339131832 0.932412207 2, 7 -0.0593993887 -0.307591826 0.757645786 2, 8 0.226087287 -0.0535544716 1.17373669 2, 9 0.303932756 -0.302997887 1.11675262 2, 10 0.276704341 -0.325838476 0.914286017 2, 11 0.250232369 -0.31815058 0.845991671 2, 12 -0.0239909366 -0.422313213 1.11743677 2, 13 -0.197879106 -0.340125114 0.890554965 2, 14 -0.438679427 -0.237990841 0.607308507 1, 15 -0.44814834 -0.201522291 0.472646594 1, 16 0.126317248 -0.430720866 1.10612416 2, 17 0.213982821 -0.331383139 0.821010768 2, 18 0.0725268424 -0.681265712 0.60661149 1, 19 0.0827582255 -0.674169004 0.452649117 1, 20 0.070809491 0.0184018631 1.1936413 2, 21 -0.023991596 -0.297601849 0.726314545 2, 22 -0.0976541042 -0.292729974 0.737457097 2, 23 0.218477845 -0.322002947 0.766551852 2, 24 0.256468862 -0.362096131 0.828243792 2, 0 -0.0347384736 0.0186906774 0.996905863 0.0679894462, 1 -0.0432171412 0.0181116667 0.996574283 0.0681459755, 2 -0.0527057573 0.0156784244 0.998167872 0.0252426602, 3 0 0 0 0, 4 0.00375438761 0.804012001 -0.589806318 -0.0753602833, 5 0.14890714 -0.685388684 0.0920640826 0.706819177, 6 -0.565282881 0.714667201 0.18739076 -0.366865993, 7 -0.399567395 0.631244242 0.638189197 -0.185986832, 8 -0.0604206026 0.841815472 0.536218703 -0.0128690777, 9 -0.177618757 0.760888338 0.0459758937 0.62240392, 10 -0.0573959202 0.162573114 -0.66419071 0.727410674, 11 -0.0118847257 -0.231842816 0.743002295 -0.627738178, 12 0.154321298 -0.635563135 0.754523456 -0.0542105474, 13 0.68920207 -0.226878405 -0.403933346 0.557103753, 14 0.776485741 -0.535829365 0.171826571 0.283606142, 15 0 0 0 0, 16 -0.206704423 0.670286775 0.705967009 -0.0979776531, 17 -0.520117164 0.22653313 -0.62246412 0.539165437, 18 -0.0392225683 0.619085968 -0.308889031 0.720958889, 19 0 0 0 0, 20 -0.0523582697 0.0160938986 0.997379303 0.0472661071, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933578, 0 0.0526239835 -0.437461436 1.14015937 2, 1 0.0639834628 -0.173879325 1.17711771 2, 2 0.073559843 0.0793183073 1.20011377 2, 3 0.0733569413 0.22756283 1.21000755 2, 4 -0.0922582299 -0.0342740566 1.21024525 2, 5 -0.17375128 -0.259471476 1.19231737 2, 6 -0.213994727 -0.339223802 0.932331443 2, 7 -0.0592750274 -0.309960455 0.755237401 2, 8 0.226516098 -0.0540421531 1.17623794 2, 9 0.304388672 -0.304180592 1.11719537 2, 10 0.286627471 -0.336139143 0.914972007 2, 11 0.253965944 -0.321184188 0.849761486 2, 12 -0.0239093844 -0.422351211 1.11752129 2, 13 -0.198668361 -0.340551883 0.89088881 2, 14 -0.440352708 -0.239070132 0.608310759 1, 15 -0.449167639 -0.201946422 0.473657697 1, 16 0.126549572 -0.430754393 1.10636103 2, 17 0.214503214 -0.331412733 0.820323169 2, 18 0.0731536448 -0.681611717 0.606222093 1, 19 0.0836158395 -0.674111664 0.452226281 1, 20 0.0713544339 0.0174369421 1.19649303 2, 21 -0.0163555369 -0.294359952 0.718030274 2, 22 -0.0911204368 -0.290925473 0.726999998 2, 23 0.2213168 -0.321138531 0.76777643 2, 24 0.26028958 -0.36575985 0.824183345 2, 0 -0.0341279469 0.018984355 0.996765316 0.0702406168, 1 -0.0411691107 0.0184876416 0.99649936 0.0703729838, 2 -0.0491399318 0.0163309369 0.998206377 0.0300434958, 3 0 0 0 0, 4 -0.00407237513 0.803032458 -0.591424704 -0.0730694383, 5 0.15007177 -0.685759425 0.0928871781 0.706105113, 6 -0.574949384 0.733760774 0.156137198 -0.326572418, 7 -0.474917889 0.652858138 0.579824746 -0.10969279, 8 -0.0641365424 0.84122926 0.53678292 -0.00915997289, 9 -0.180599779 0.751674414 0.0407954194 0.633012593, 10 -0.0773984939 0.156219527 -0.645176053 0.743876874, 11 -0.0190472361 -0.269100368 0.774643838 -0.571969509, 12 0.156140238 -0.635739446 0.754075766 -0.0531547479, 13 0.689408779 -0.226319134 -0.402647763 0.558005333, 14 0.772310376 -0.541305304 0.187569857 0.274486691, 15 0 0 0 0, 16 -0.207854703 0.670557141 0.705629349 -0.0961078778, 17 -0.520119548 0.226835057 -0.622096717 0.539460063, 18 -0.0390652381 0.619171917 -0.308428884 0.721090615, 19 0 0 0 0, 20 -0.0487884246 0.0166934691 0.997351527 0.0512925312, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933578, 0 0.0528737381 -0.437342793 1.14072371 2, 1 0.0642153546 -0.174625978 1.17912793 2, 2 0.0737889633 0.0771540999 1.20381379 2, 3 0.07333377 0.226734772 1.21044195 2, 4 -0.095024012 -0.0356731154 1.2160126 2, 5 -0.173608422 -0.259649307 1.19251108 2, 6 -0.213584289 -0.339072466 0.932381511 2, 7 -0.0570373759 -0.307991505 0.754596889 2, 8 0.226818174 -0.0546638891 1.18010211 2, 9 0.304483503 -0.304638535 1.11770356 2, 10 0.290788412 -0.334193915 0.91479671 2, 11 0.256460518 -0.321566224 0.850720584 2, 12 -0.0236866511 -0.422355682 1.11798298 2, 13 -0.199359581 -0.34122476 0.891372025 2, 14 -0.441756189 -0.24086459 0.60940057 1, 15 -0.451080799 -0.20309566 0.475039303 1, 16 0.126809776 -0.430520177 1.10700536 2, 17 0.215817377 -0.331587553 0.819361448 2, 18 0.073965542 -0.681753993 0.605531633 1, 19 0.0845950097 -0.67367214 0.451509029 1, 20 0.0715855807 0.0156505462 1.19977939 2, 21 -0.0166497361 -0.296746552 0.724491358 2, 22 -0.0855391473 -0.291459918 0.730833411 2, 23 0.222117141 -0.3218382 0.766852856 2, 24 0.265525311 -0.366384745 0.819558263 2, 0 -0.0335074663 0.018952867 0.996578336 0.0731413364, 1 -0.0419569761 0.0183319654 0.996258318 0.0732994229, 2 -0.0513643213 0.0161693189 0.997983396 0.0336051658, 3 0 0 0 0, 4 -0.00138181448 0.800118923 -0.594503284 -0.0798354745, 5 0.154858142 -0.686138153 0.0806984305 0.706201911, 6 -0.577128828 0.737333179 0.149891198 -0.317481816, 7 -0.488304377 0.652893543 0.571493566 -0.0931874216, 8 -0.0642878339 0.839584827 0.539374888 -0.00626144884, 9 -0.185340598 0.744227707 0.0343250036 0.640777469, 10 -0.100090146 0.165752217 -0.646585464 0.737858593, 11 -0.00866531115 -0.297560692 0.765180051 -0.570860744, 12 0.158544615 -0.636474013 0.753047287 -0.0518102013, 13 0.689263821 -0.22604084 -0.401307166 0.55926156, 14 0.773194313 -0.53900671 0.180165306 0.281394362, 15 0 0 0 0, 16 -0.209550798 0.670333862 0.705634952 -0.0939172506, 17 -0.519522429 0.226334587 -0.621427894 0.541014314, 18 -0.0384650528 0.619333565 -0.308570892 0.720923245, 19 0 0 0 0, 20 -0.0510106348 0.0164872818 0.997050941 0.054913152, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933578, 0 0.0530491434 -0.437116772 1.14127636 2, 1 0.0643554628 -0.175564706 1.1812557 2, 2 0.073940821 0.0743629038 1.20780063 2, 3 0.0727490038 0.22514379 1.21018529 2, 4 -0.0965925753 -0.0373658426 1.22019184 2, 5 -0.173317865 -0.260181576 1.19292092 2, 6 -0.213409528 -0.338900328 0.932515085 2, 7 -0.066501148 -0.307621151 0.756143689 2, 8 0.226976454 -0.0552445948 1.18362474 2, 9 0.294834673 -0.283382028 1.13042808 2, 10 0.256419659 -0.320958167 0.869707763 2, 11 0.231351554 -0.326696098 0.813929498 1, 12 -0.0235514902 -0.422257572 1.11848891 2, 13 -0.197921917 -0.341113865 0.890875995 2, 14 -0.438675255 -0.240690887 0.607415557 1, 15 -0.448024422 -0.20215416 0.473245919 1, 16 0.127015173 -0.430190027 1.10756087 2, 17 0.216207981 -0.331581622 0.818759561 2, 18 0.0740188211 -0.681034088 0.604075074 1, 19 0.0853531435 -0.671173394 0.449994743 1, 20 0.071731694 0.0133483913 1.20330274 2, 21 -0.0199407712 -0.293535113 0.721240342 2, 22 -0.0837491229 -0.288696736 0.729142904 2, 23 0.186590433 -0.294386178 0.710659504 2, 24 0.202660531 -0.351706177 0.783210516 2, 0 -0.0333027393 0.0188713223 0.996343076 0.0763885528, 1 -0.0421873406 0.018189298 0.996006489 0.0765538216, 2 -0.0520215593 0.0161189567 0.997805536 0.0376566276, 3 0 0 0 0, 4 -0.00272930413 0.797851205 -0.597003937 -0.0837396607, 5 0.158506379 -0.685747027 0.0724773183 0.706663847, 6 -0.57838726 0.736886799 0.14944528 -0.316436619, 7 -0.50999397 0.651863933 0.554451585 -0.0869662538, 8 -0.0666235089 0.837088645 0.542985022 -0.00334326876, 9 -0.174925521 0.767994702 0.0411272869 0.614730716, 10 0.104686402 -0.0106887827 -0.646886468 0.755290926, 11 0.208689928 0.0791252404 -0.640108407 0.735152364, 12 0.160939068 -0.637260258 0.751995504 -0.0500069745, 13 0.688427985 -0.228060111 -0.402764618 0.558422744, 14 0.778165758 -0.532269597 0.157486424 0.293845385, 15 0 0 0 0, 16 -0.211710751 0.67016536 0.705429733 -0.0917928144, 17 -0.518473804 0.226391524 -0.621497571 0.541915536, 18 -0.038794823 0.618935585 -0.309794843 0.720722437, 19 0 0 0 0, 20 -0.0516641997 0.016383592 0.996788383 0.0589512102, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933578, 0 0.0532363541 -0.436834931 1.14182484 2, 1 0.0644501299 -0.176274836 1.18280923 2, 2 0.0739653483 0.0725225508 1.21018994 2, 3 0.0716872737 0.223136067 1.20921922 2, 4 -0.0975019336 -0.0386141203 1.22346377 2, 5 -0.172804564 -0.260780931 1.19350386 2, 6 -0.213250995 -0.338746816 0.932840765 2, 7 -0.0562166534 -0.308412522 0.757640958 2, 8 0.227082178 -0.0558072701 1.18657184 2, 9 0.293550283 -0.280776262 1.13204682 2, 10 0.245931953 -0.315889984 0.863385499 2, 11 0.221538782 -0.327649653 0.796737492 1, 12 -0.0233828127 -0.422105104 1.11901224 2, 13 -0.198348403 -0.341462493 0.891254067 2, 14 -0.439355195 -0.241934776 0.608206928 1, 15 -0.448814631 -0.203001961 0.474214673 1, 16 0.127213657 -0.429812819 1.10809922 2, 17 0.216225043 -0.331528068 0.818608582 2, 18 0.0735728964 -0.679737449 0.602382123 1, 19 0.0854537115 -0.668279827 0.448281944 1, 20 0.0717736557 0.0117756948 1.20550895 2, 21 -0.0140414778 -0.292263418 0.718641758 2, 22 -0.105350293 -0.297238022 0.742777824 2, 23 0.171478629 -0.290298164 0.704850674 2, 24 0.219156802 -0.352350622 0.757611156 2, 0 -0.0332614928 0.0186970066 0.996180236 0.078543283, 1 -0.0422999598 0.0179834943 0.995837331 0.0787097141, 2 -0.0522933081 0.0159549918 0.997730076 0.0393135399, 3 0 0 0 0, 4 -0.00173042004 0.796483219 -0.598393857 -0.0868117511, 5 0.160908893 -0.684872985 0.0662234724 0.707581699, 6 -0.576492488 0.729369879 0.161036968 -0.331274986, 7 -0.458357811 0.649264812 0.594848037 -0.120494932, 8 -0.0660118908 0.83562547 0.545318186 -0.000724779326, 9 -0.177064836 0.77548337 0.0398721509 0.60471797, 10 -0.057566423 0.194991991 -0.657925487 0.725119531, 11 0.00787125062 0.25341031 -0.646687627 0.71938616, 12 0.162502021 -0.637979686 0.751129091 -0.0487867817, 13 0.688213468 -0.228066444 -0.401904374 0.55930382, 14 0.777842999 -0.532052159 0.155785382 0.295992762, 15 0 0 0 0, 16 -0.213205069 0.669919312 0.705385447 -0.0904602334, 17 -0.517096639 0.226362646 -0.62204963 0.542609751, 18 -0.0395612866 0.618324935 -0.311880022 0.720305502, 19 0 0 0 0, 20 -0.0519320592 0.0162078645 0.996658921 0.0609208941, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 0, 0, 1, 72057594037933578, 0 0.0536322147 -0.436676204 1.14255655 2, 1 0.0647992939 -0.177006841 1.18421602 2, 2 0.0742858276 0.0710979998 1.21198606 2, 3 0.0704445615 0.220780343 1.20665109 2, 4 -0.0979670733 -0.0393560231 1.22607934 2, 5 -0.172308147 -0.260786623 1.19467187 2, 6 -0.21274215 -0.338293701 0.933852255 2, 7 -0.0628370494 -0.306752026 0.758153498 2, 8 0.22741951 -0.0560465269 1.189484 2, 9 0.292848438 -0.279238373 1.13317525 2, 10 0.285131276 -0.323299289 0.932540596 2, 11 0.257855415 -0.320467085 0.854018271 2, 12 -0.0229428913 -0.422107518 1.11980557 2, 13 -0.198613301 -0.341727883 0.891506851 2, 14 -0.439403653 -0.243006766 0.609019458 1, 15 -0.448810965 -0.203828663 0.475099713 1, 16 0.127553463 -0.429536551 1.10875487 2, 17 0.216672122 -0.331419736 0.818473458 2, 18 0.0737677962 -0.679147542 0.601792753 1, 19 0.0857285187 -0.667306125 0.447708666 1, 20 0.0721031725 0.01050092 1.20722246 2, 21 -0.0222028997 -0.296102941 0.725178719 2, 22 -0.0960505158 -0.293697506 0.737493515 2, 23 0.233157873 -0.316162705 0.779524148 2, 24 0.220109046 -0.326061577 0.857000053 2, 0 -0.0338099338 0.0185780153 0.996041834 0.0800773352, 1 -0.0422822647 0.0178961065 0.995718181 0.0802324861, 2 -0.0516986512 0.0159069952 0.997731566 0.0400726907, 3 0 0 0 0, 4 -0.000405053608 0.794986069 -0.600109398 -0.08868891, 5 0.162161484 -0.684614718 0.0627042428 0.707866192, 6 -0.565270483 0.705503464 0.19896853 -0.378346205, 7 -0.397210717 0.626357615 0.640218735 -0.200049177, 8 -0.0639971644 0.834168494 0.547779739 0.00215797941, 9 -0.18155022 0.74219811 0.0265212785 0.644575834, 10 0.311146587 -0.360546023 -0.544072866 0.690781534, 11 0.46043092 -0.245215312 -0.552294612 0.650264144, 12 0.163292497 -0.638762891 0.750361979 -0.0476907343, 13 0.688082278 -0.228271574 -0.401156574 0.559918046, 14 0.777224004 -0.532706022 0.156319857 0.296160728, 15 0 0 0 0, 16 -0.21471335 0.669459581 0.705441892 -0.0898539871, 17 -0.516403675 0.22639358 -0.622142673 0.543149829, 18 -0.0397178903 0.618186653 -0.312635273 0.720088124, 19 0 0 0 0, 20 -0.0513349362 0.0161944721 0.996630669 0.0618857369, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
