sep=, 
LeftHandState, LeftHandTrackingConfidence, RightHandState, RightHandTrackingConfidence, TrackingState, TrackingID, Joint0, Joint1, Joint2, Joint3, Joint4, Joint5, Joint6, Joint7, Joint8, Joint9, Joint10, Joint11, Joint12, Joint13, Joint14, Joint15, Joint16, Joint17, Joint18, Joint19, Joint20, Joint21, Joint22, Joint23, Joint24, JointOrientation0, JointOrientation1, JointOrientation2, JointOrientation3, JointOrientation4, JointOrientation5, JointOrientation6, JointOrientation7, JointOrientation8, JointOrientation9, JointOrientation10, JointOrientation11, JointOrientation12, JointOrientation13, JointOrientation14, JointOrientation15, JointOrientation16, JointOrientation17, JointOrientation18, JointOrientation19, JointOrientation20, JointOrientation21, JointOrientation22, JointOrientation23, JointOrientation24
2, 1, 2, 1, 1, 72057594037933001, 0 0.0910399109 -0.161950082 1.18581784 2, 1 0.0943738073 0.0780199766 1.24965477 2, 2 0.0963962153 0.305424809 1.30183399 2, 3 0.102778748 0.464801282 1.32016814 2, 4 -0.0770867318 0.173218504 1.27148056 2, 5 -0.185063541 -0.0256340839 1.17253137 2, 6 -0.236800671 0.153122813 1.09391761 2, 7 -0.24892959 0.232965693 1.08978534 2, 8 0.26565361 0.170419335 1.27586746 2, 9 0.368394852 -0.0356440693 1.1908381 2, 10 0.441836357 0.124198511 1.08975375 2, 11 0.453986079 0.184317142 1.07880652 2, 12 0.0106053473 -0.157781646 1.15784478 2, 13 -0.00404046522 -0.192697451 0.76131767 2, 14 0.0293217078 -0.49537003 0.527824998 1, 15 0.0330340266 -0.471102417 0.394698381 1, 16 0.166878656 -0.158173248 1.15497422 2, 17 0.202831686 -0.194841847 0.765402138 2, 18 0.142131388 -0.492776632 0.525392175 1, 19 0.132508487 -0.468235552 0.392634302 1, 20 0.0961100087 0.25009647 1.29060805 2, 21 -0.26708594 0.305426121 1.07711112 2, 22 -0.180023834 0.237764865 1.0860002 2, 23 0.485397398 0.251500726 1.06660569 2, 24 0.405744314 0.191113383 1.06642032 2, 0 -0.0093503315 0.00554700335 0.991495907 0.129682899, 1 -0.00179678004 0.00653477525 0.991538405 0.129636854, 2 0.00641372101 0.00319155678 0.994971395 0.0999031663, 3 0 0 0 0, 4 -0.0963210613 0.835852861 -0.537489891 -0.056363944, 5 0.297496468 -0.400045425 -0.094366774 0.861715972, 6 0.75007093 -0.238596752 0.616298556 -0.0253247973, 7 0.767727852 -0.0677278265 0.635827839 0.0415929481, 8 -0.0888147652 0.84113735 0.52924943 0.0670445338, 9 -0.273452252 0.397459298 -0.0739249215 0.872802973, 10 -0.673512876 0.32204631 0.663557827 -0.0485533327, 11 0.740636826 -0.131604597 -0.658729196 -0.0145992795, 12 0.205461055 -0.688842654 0.694428265 -0.032417547, 13 0.45030123 -0.47104314 -0.503389597 0.56740278, 14 -0.196994066 0.673904359 0.258462518 -0.663508415, 15 0 0 0 0, 16 -0.224806845 0.688921511 0.687388718 -0.0484340601, 17 -0.426300645 0.413551539 -0.52116102 0.612890065, 18 -0.18138504 0.681766212 -0.287292749 0.647886693, 19 0 0 0 0, 20 0.00625735149 0.00567551469 0.99315232 0.116520748, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
2, 1, 2, 1, 1, 72057594037933001, 0 0.0910556167 -0.162072152 1.18579352 2, 1 0.0943354145 0.077982232 1.24965918 2, 2 0.0963462815 0.30541876 1.30184925 2, 3 0.102685094 0.464838594 1.32045949 2, 4 -0.0770800859 0.173208907 1.27149141 2, 5 -0.185039476 -0.0256616492 1.172562 2, 6 -0.237634897 0.157014549 1.09430683 2, 7 -0.24854134 0.23239845 1.08971369 2, 8 0.265631646 0.170411229 1.27588248 2, 9 0.368368417 -0.0357294492 1.19106412 2, 10 0.441774696 0.124149896 1.08992326 2, 11 0.453974277 0.184308842 1.07879019 2, 12 0.0106728412 -0.157950982 1.15790367 2, 13 -0.0039711576 -0.1926893 0.761328697 2, 14 0.029535437 -0.495303631 0.527788103 1, 15 0.033253625 -0.471027136 0.394662708 1, 16 0.166858807 -0.158250198 1.1549021 2, 17 0.20309189 -0.194804415 0.7654351 2, 18 0.141871676 -0.492861122 0.525587261 1, 19 0.132206082 -0.468350023 0.392826974 1, 20 0.0960606709 0.250083208 1.29061842 2, 21 -0.267255187 0.305714309 1.0780828 2, 22 -0.180239633 0.238070786 1.08700871 2, 23 0.484989434 0.251282513 1.06562102 2, 24 0.405666769 0.191020191 1.06576312 2, 0 -0.00981775951 0.0053735394 0.991490543 0.129696816, 1 -0.00202842592 0.00639225543 0.991537035 0.129650578, 2 0.00642024493 0.0031867444 0.994968295 0.0999327376, 3 0 0 0 0, 4 -0.0963251591 0.835880816 -0.53744638 -0.0563564897, 5 0.297136903 -0.397296727 -0.095293045 0.863008797, 6 0.75952518 -0.235203803 0.606159031 -0.0192853268, 7 0.777263701 -0.0684252903 0.624348998 0.0369795337, 8 -0.0888065025 0.841113508 0.529287338 0.0670547038, 9 -0.273240596 0.397467554 -0.0735262185 0.872899175, 10 -0.67429781 0.322072864 0.662763655 -0.0483310074, 11 0.740753531 -0.132839292 -0.658364594 -0.0139318202, 12 0.205219418 -0.689041734 0.694316149 -0.0321178026, 13 0.450291812 -0.470813721 -0.50362283 0.56739378, 14 -0.196908876 0.673870623 0.25866583 -0.663488805, 15 0 0 0 0, 16 -0.225065544 0.688699901 0.687506855 -0.0487060472, 17 -0.426026702 0.412651449 -0.521514356 0.613386393, 18 -0.180703685 0.681831956 -0.287577927 0.647881389, 19 0 0 0 0, 20 0.00626564538 0.00564464414 0.99315238 0.116521314, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
2, 1, 2, 1, 1, 72057594037933001, 0 0.0916766152 -0.162172988 1.18543112 2, 1 0.0944168568 0.077932857 1.2495743 2, 2 0.0963044316 0.305400759 1.30185115 2, 3 0.102568328 0.464880407 1.32071567 2, 4 -0.0770908371 0.173191816 1.2714864 2, 5 -0.185085237 -0.0256786831 1.17260087 2, 6 -0.237968072 0.158085749 1.09404802 2, 7 -0.249439418 0.232517615 1.08921945 2, 8 0.265615344 0.170402184 1.27588916 2, 9 0.36849615 -0.0355891436 1.19086087 2, 10 0.441795081 0.124568902 1.09015226 2, 11 0.45412302 0.184498966 1.07885206 2, 12 0.0112990178 -0.158149779 1.1577493 2, 13 -0.00394333852 -0.192699507 0.761316895 2, 14 0.0332678072 -0.493728518 0.526065409 1, 15 0.037178643 -0.469122559 0.392950714 1, 16 0.167461216 -0.158275962 1.15425301 2, 17 0.203217775 -0.194808364 0.765456498 2, 18 0.141740799 -0.493432522 0.525580168 1, 19 0.132038102 -0.468959004 0.392804801 1, 20 0.0960309803 0.250064135 1.29061151 2, 21 -0.267116725 0.305438489 1.07716477 2, 22 -0.180582032 0.237812042 1.08639812 2, 23 0.485098004 0.251342535 1.06587076 2, 24 0.404643893 0.189911157 1.06442678 2, 0 -0.01133506 0.00407174788 0.99141413 0.130203456, 1 -0.00274593337 0.00519955903 0.991475165 0.130163297, 2 0.00645366032 0.00308227469 0.994960964 0.100007705, 3 0 0 0 0, 4 -0.0964125842 0.835879862 -0.537417591 -0.0564957, 5 0.297134817 -0.396998882 -0.0952804536 0.863147974, 6 0.756665707 -0.234803006 0.609849393 -0.0202072412, 7 0.773490429 -0.0730050951 0.628383338 0.0389519222, 8 -0.0888727233 0.841079772 0.529308677 0.0672225356, 9 -0.273700982 0.396908373 -0.0739695504 0.872971952, 10 -0.671182215 0.320743799 0.666483641 -0.0493696369, 11 0.736636817 -0.13501443 -0.66254586 -0.013052091, 12 0.204987332 -0.689508736 0.693986058 -0.0306792296, 13 0.44694224 -0.465955228 -0.506816804 0.571196258, 14 -0.195154861 0.672980726 0.264204413 -0.662727356, 15 0 0 0 0, 16 -0.226245746 0.688302815 0.687432647 -0.0498842932, 17 -0.425852448 0.413146764 -0.521602511 0.6130988, 18 -0.180267543 0.681998909 -0.287433296 0.647891402, 19 0 0 0 0, 20 0.00631410442 0.00533423293 0.993130863 0.116716735, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
2, 1, 2, 1, 1, 72057594037933001, 0 0.0916238427 -0.162265763 1.18552148 2, 1 0.0943622515 0.0778899565 1.24961329 2, 2 0.0962464437 0.30539149 1.30187762 2, 3 0.102416255 0.464930475 1.32094157 2, 4 -0.0771259964 0.17310074 1.27151608 2, 5 -0.185037687 -0.0258749649 1.17276704 2, 6 -0.238167897 0.158828452 1.09408891 2, 7 -0.249526903 0.232161582 1.0890696 2, 8 0.265598655 0.170393497 1.27590239 2, 9 0.368473381 -0.0356359296 1.19097281 2, 10 0.441757381 0.124559194 1.09024382 2, 11 0.454046071 0.18433845 1.07896531 2, 12 0.0112921493 -0.1582174 1.15775847 2, 13 -0.00391666964 -0.192702457 0.761317432 2, 14 0.0324997306 -0.494260788 0.526613176 1, 15 0.0363603309 -0.469762504 0.393471003 1, 16 0.16732952 -0.158402219 1.15453851 2, 17 0.203435764 -0.19481492 0.765579104 2, 18 0.141705185 -0.493302822 0.525781214 1, 19 0.131970629 -0.468828738 0.392982662 1, 20 0.0959686637 0.250046104 1.29064071 2, 21 -0.267934889 0.304838419 1.07486391 2, 22 -0.180354401 0.237833232 1.08629429 2, 23 0.484910578 0.251245707 1.06545389 2, 24 0.405628622 0.190982908 1.06558788 2, 0 -0.0104474621 0.00418506144 0.991440237 0.130075023, 1 -0.00231557991 0.00525176153 0.991492629 0.130036339, 2 0.00640118495 0.00311490637 0.994965196 0.0999685749, 3 0 0 0 0, 4 -0.0963772759 0.835992396 -0.537250102 -0.0564832427, 5 0.296775788 -0.396612793 -0.0952299982 0.863454461, 6 0.753700912 -0.234228477 0.613702536 -0.0210019313, 7 0.770282626 -0.0747894272 0.632175565 0.0377533659, 8 -0.0888785943 0.841044784 0.529372156 0.0671527982, 9 -0.27359274 0.396900237 -0.0737903491 0.873024762, 10 -0.675546467 0.321012944 0.662078738 -0.0473223105, 11 0.741144419 -0.134919405 -0.657501936 -0.0138872694, 12 0.205273792 -0.689376652 0.694011033 -0.0311631821, 13 0.447784722 -0.466873586 -0.506152987 0.570374608, 14 -0.195304438 0.673227549 0.262793571 -0.66299355, 15 0 0 0 0, 16 -0.225553766 0.688463211 0.687542677 -0.049284704, 17 -0.425764084 0.412357688 -0.521841586 0.613487899, 18 -0.18002452 0.682008922 -0.287695795 0.647831857, 19 0 0 0 0, 20 0.00626714621 0.00530591421 0.993136287 0.116674297, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
2, 1, 2, 1, 1, 72057594037933001, 0 0.0918807909 -0.162314206 1.18534184 2, 1 0.0943816304 0.0778626502 1.24956727 2, 2 0.0961725786 0.305361062 1.30187893 2, 3 0.102251552 0.46502623 1.32110655 2, 4 -0.0771302953 0.173075765 1.27151978 2, 5 -0.184982717 -0.0260204785 1.1729691 2, 6 -0.238353536 0.159032851 1.09359431 2, 7 -0.248851001 0.230070099 1.0887078 2, 8 0.265583903 0.170391947 1.27591407 2, 9 0.368469983 -0.0356433317 1.19101787 2, 10 0.44177112 0.124566101 1.09027123 2, 11 0.454107553 0.184691697 1.0788027 2, 12 0.0115609756 -0.158310384 1.15765405 2, 13 -0.00385512528 -0.192707494 0.761326909 2, 14 0.0334922411 -0.494021982 0.526296079 1, 15 0.0374019854 -0.469456434 0.39315021 1, 16 0.167587563 -0.15839842 1.15425944 2, 17 0.204672217 -0.194828928 0.765759706 2, 18 0.141487092 -0.493329942 0.525936306 1, 19 0.131610036 -0.468849361 0.393126935 1, 20 0.095920749 0.250019372 1.29063237 2, 21 -0.266925961 0.302302867 1.07636154 2, 22 -0.180708289 0.237935483 1.0868156 2, 23 0.484310091 0.250923663 1.06412053 2, 24 0.405356348 0.190736875 1.06431568 2, 0 -0.0110004032 0.0036268793 0.991404414 0.130319566, 1 -0.00257386779 0.00473435922 0.991462052 0.130284041, 2 0.00643246993 0.00288782595 0.994956434 0.100059971, 3 0 0 0 0, 4 -0.0964037478 0.836010158 -0.537208617 -0.0565704219, 5 0.296504289 -0.397145599 -0.0947246552 0.863358498, 6 0.750591993 -0.235181674 0.617079377 -0.0226782877, 7 0.767913878 -0.0728821456 0.635449111 0.034654595, 8 -0.0888905674 0.840984583 0.529452205 0.0672591478, 9 -0.273581684 0.396862298 -0.0737286881 0.87305063, 10 -0.673467457 0.320888817 0.664181471 -0.0483202748, 11 0.73762095 -0.135584801 -0.661346614 -0.012360191, 12 0.205252349 -0.689584255 0.693836331 -0.0305982102, 13 0.446997106 -0.465585291 -0.506945431 0.571340799, 14 -0.194717199 0.67306143 0.26402092 -0.662847281, 15 0 0 0 0, 16 -0.226003125 0.688213587 0.687618315 -0.0496555753, 17 -0.424634784 0.409489125 -0.522698104 0.615459681, 18 -0.178649768 0.682069063 -0.288968712 0.647582471, 19 0 0 0 0, 20 0.00629151287 0.00511785271 0.993124902 0.11677812, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
2, 1, 2, 1, 1, 72057594037933001, 0 0.0921760052 -0.162255138 1.18517172 2, 1 0.0943976417 0.0778341889 1.2495414 2, 2 0.0961070657 0.305309653 1.30189431 2, 3 0.102097116 0.4650051 1.32112956 2, 4 -0.0771435127 0.173052043 1.27152956 2, 5 -0.184877321 -0.0261462629 1.1730634 2, 6 -0.238425061 0.159531355 1.09373236 2, 7 -0.248305216 0.230149254 1.08855546 2, 8 0.265564829 0.170379698 1.27593982 2, 9 0.3685188 -0.0356430039 1.19110751 2, 10 0.441747367 0.124617808 1.09033275 2, 11 0.454178572 0.185147643 1.07877088 2, 12 0.0119714392 -0.158336222 1.15734589 2, 13 -0.00383283175 -0.19269143 0.761340439 2, 14 0.0343717337 -0.493751943 0.525735855 1, 15 0.0383308195 -0.469101369 0.392595291 1, 16 0.167775616 -0.158255726 1.15422618 2, 17 0.204285592 -0.194870263 0.76569432 2, 18 0.141575262 -0.493539006 0.525934756 1, 19 0.131740704 -0.46904844 0.393119872 1, 20 0.0958729684 0.249980688 1.29063761 2, 21 -0.266378641 0.301672369 1.07412338 2, 22 -0.180553302 0.237909138 1.08680928 2, 23 0.484607637 0.252238393 1.06776488 2, 24 0.404579699 0.189473122 1.06344318 2, 0 -0.0102356607 0.00315879914 0.991372705 0.130634919, 1 -0.0021463139 0.00422459608 0.99142319 0.130604774, 2 0.00647112774 0.00273505971 0.994945467 0.100170791, 3 0 0 0 0, 4 -0.0964428112 0.836006403 -0.537200749 -0.0566349104, 5 0.29612124 -0.396760643 -0.0948047489 0.863658071, 6 0.757103264 -0.234906107 0.609281301 -0.0197523944, 7 0.775110126 -0.0718250498 0.626961946 0.0310495198, 8 -0.088900663 0.840925634 0.529530883 0.0673634186, 9 -0.273668081 0.396903932 -0.0735331476 0.873021126, 10 -0.663525224 0.319992661 0.674167097 -0.0532702841, 11 0.727880359 -0.135902211 -0.672021985 -0.0103618009, 12 0.206121892 -0.689913809 0.693231761 -0.0310204849, 13 0.446237534 -0.464132428 -0.50763303 0.572504938, 14 -0.194394693 0.672847033 0.265339017 -0.6626333, 15 0 0 0 0, 16 -0.225726202 0.687836468 0.68811208 -0.0492996871, 17 -0.424859643 0.41087842 -0.52229017 0.614724517, 18 -0.178996488 0.682122231 -0.288401306 0.64768368, 19 0 0 0 0, 20 0.00632921932 0.00494154962 0.99311471 0.116870917, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
2, 1, 2, 1, 1, 72057594037933001, 0 0.0924491435 -0.162206814 1.18505156 2, 1 0.0944301262 0.0777895376 1.24952602 2, 2 0.0960589945 0.305208147 1.30194557 2, 3 0.101844795 0.464663625 1.32090032 2, 4 -0.0771467239 0.173039719 1.27153897 2, 5 -0.184776589 -0.0262935888 1.1732496 2, 6 -0.238456786 0.159830466 1.0938307 2, 7 -0.249001548 0.230293348 1.08932674 2, 8 0.265547335 0.170366779 1.27599955 2, 9 0.368552655 -0.0356261507 1.19115961 2, 10 0.4417198 0.12466044 1.0903908 2, 11 0.453751415 0.184728786 1.07839096 2, 12 0.0122028142 -0.158398032 1.15720749 2, 13 -0.00378771429 -0.192686394 0.761331022 2, 14 0.0354632661 -0.493235976 0.525066197 1, 15 0.039487429 -0.468459815 0.391934365 1, 16 0.168100968 -0.158066481 1.15412819 2, 17 0.205128148 -0.194948271 0.765740037 2, 18 0.141533703 -0.493501186 0.52597332 1, 19 0.131624788 -0.468971491 0.393155545 1, 20 0.0958423764 0.249901965 1.29066479 2, 21 -0.266523838 0.301860511 1.07478964 2, 22 -0.181083649 0.237913668 1.08721983 2, 23 0.483715415 0.251858801 1.06585443 2, 24 0.404014707 0.189666748 1.06172991 2, 0 -0.0102493372 0.00266731367 0.991341531 0.130880639, 1 -0.00209655706 0.00374353817 0.991392314 0.130854279, 2 0.00656059757 0.00259080552 0.994920194 0.10041967, 3 0 0 0 0, 4 -0.0965616181 0.835930347 -0.537292421 -0.0566850491, 5 0.295699418 -0.39659521 -0.0946206972 0.863898695, 6 0.755742311 -0.234702215 0.611034751 -0.0201255362, 7 0.772895575 -0.0713271126 0.629397213 0.0374699906, 8 -0.0889325514 0.840820253 0.529670954 0.0675346553, 9 -0.273788184 0.396943063 -0.0734890848 0.872969449, 10 -0.639250457 0.31777066 0.697279453 -0.064669013, 11 -0.681460321 0.137363657 0.718839943 -0.00348507264, 12 0.206282869 -0.690401733 0.692708731 -0.0307809059, 13 0.445268571 -0.462694257 -0.508552253 0.573606551, 14 -0.194065139 0.672566772 0.267040461 -0.662330747, 15 0 0 0 0, 16 -0.225786135 0.68723917 0.68870759 -0.0490388982, 17 -0.423940212 0.409285545 -0.522702813 0.616069615, 18 -0.178193361 0.682108879 -0.289257646 0.647537291, 19 0 0 0 0, 20 0.00641710591 0.00477398047 0.993098497 0.117010221, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
2, 1, 2, 1, 1, 72057594037933001, 0 0.0923648551 -0.162263632 1.18505466 2, 1 0.0943600908 0.0776866078 1.2495532 2, 2 0.0959523246 0.305012614 1.30206263 2, 3 0.10159374 0.464095145 1.32059109 2, 4 -0.0772583261 0.173016533 1.27176881 2, 5 -0.184764236 -0.0263462886 1.17339873 2, 6 -0.237761736 0.152497366 1.09456563 2, 7 -0.250184238 0.230430797 1.09018981 2, 8 0.265559524 0.170320839 1.27613676 2, 9 0.368558317 -0.0356600359 1.19125748 2, 10 0.44167012 0.124696411 1.09049523 2, 11 0.453886688 0.184774116 1.07907534 2, 12 0.0121743446 -0.158409461 1.15722752 2, 13 -0.00376213668 -0.192685038 0.761341453 2, 14 0.0346371159 -0.493699878 0.525533199 1, 15 0.0385973006 -0.468983859 0.392393589 1, 16 0.167922392 -0.158187807 1.15409541 2, 17 0.204553381 -0.194947362 0.76567167 2, 18 0.141677052 -0.493640125 0.525860012 1, 19 0.131807268 -0.469098568 0.393046916 1, 20 0.0957378894 0.24972713 1.2907567 2, 21 -0.269741654 0.302596271 1.07621622 2, 22 -0.183808655 0.232505992 1.08701181 2, 23 0.48348254 0.251726329 1.0653156 2, 24 0.4044047 0.18964532 1.06050348 2, 0 -0.0103339655 0.0026849804 0.991331339 0.13095136, 1 -0.00219815923 0.00375955505 0.991382658 0.130924925, 2 0.00644799788 0.00256223162 0.994895339 0.100673817, 3 0 0 0 0, 4 -0.0964515954 0.835708439 -0.53761524 -0.0570808649, 5 0.295707405 -0.398322105 -0.0942964256 0.86313653, 6 0.749185085 -0.240575656 0.61668402 -0.0233648997, 7 0.766552985 -0.0717573166 0.636714876 0.0429144129, 8 -0.0889569148 0.840569079 0.530040562 0.0677298307, 9 -0.273822099 0.397043467 -0.0735384598 0.87290889, 10 -0.645388901 0.318139672 0.691681027 -0.0619480945, 11 -0.687566876 0.135309592 0.71339947 0.00206438312, 12 0.20638667 -0.690199256 0.692881167 -0.0307425894, 13 0.446115345 -0.463711679 -0.507826149 0.572769821, 14 -0.194362998 0.672765315 0.265682518 -0.662587821, 15 0 0 0 0, 16 -0.22602123 0.687488437 0.688361168 -0.0493236855, 17 -0.424620152 0.410571218 -0.522298396 0.615088046, 18 -0.178899243 0.682191312 -0.288541168 0.647575557, 19 0 0 0 0, 20 0.00630988413 0.00466610165 0.993073165 0.117235117, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
2, 1, 2, 1, 1, 72057594037933001, 0 0.0908356309 -0.162182942 1.18600965 2, 1 0.0939401612 0.0774966106 1.24995291 2, 2 0.0959331244 0.304702967 1.302315 2, 3 0.101439752 0.462858409 1.31970727 2, 4 -0.077302292 0.172945946 1.2719537 2, 5 -0.184738532 -0.0264020655 1.17346954 2, 6 -0.23854056 0.156380102 1.09545803 2, 7 -0.250514537 0.230727747 1.0924679 2, 8 0.265537649 0.170274377 1.27629161 2, 9 0.368568599 -0.0356558375 1.19132054 2, 10 0.441628784 0.124705315 1.09058094 2, 11 0.453954905 0.185095429 1.08014977 2, 12 0.00996402465 -0.158130735 1.15845597 2, 13 -0.00370381121 -0.192698047 0.761325598 2, 14 0.0339357182 -0.493100733 0.525953889 1, 15 0.037826404 -0.46838513 0.392790437 1, 16 0.167025268 -0.158212334 1.15484202 2, 17 0.203437045 -0.194838673 0.765710771 2, 18 0.142043754 -0.493310362 0.52596122 1, 19 0.132312775 -0.46880728 0.393135488 1, 20 0.0956543237 0.249458924 1.29100728 2, 21 -0.271142036 0.303359687 1.08025789 2, 22 -0.184249163 0.23345308 1.08851314 2, 23 0.485037118 0.252409816 1.0686456 2, 24 0.402813584 0.187816516 1.06511807 2, 0 -0.0117663592 0.00476776995 0.991426647 0.130046323, 1 -0.0030642089 0.0059089954 0.991491735 0.129999474, 2 0.00631472934 0.00312431296 0.994885921 0.100758821, 3 0 0 0 0, 4 -0.0965204239 0.835490167 -0.537978649 -0.0567356646, 5 0.295326412 -0.395136118 -0.0956670567 0.86457938, 6 0.745699167 -0.235877424 0.622752428 -0.0217709821, 7 0.76169759 -0.0666161478 0.642702937 0.0480840094, 8 -0.0890762061 0.840272009 0.53054446 0.0673129708, 9 -0.273986399 0.397119194 -0.0736601204 0.872812748, 10 -0.66701287 0.319836527 0.670899212 -0.0518903509, 11 0.728070021 -0.129292235 -0.673011661 -0.0158987138, 12 0.203680158 -0.689513803 0.69440794 -0.0297098104, 13 0.446303368 -0.467487603 -0.507426143 0.569901049, 14 -0.195045367 0.672689557 0.265102804 -0.662696421, 15 0 0 0 0, 16 -0.225776494 0.688117504 0.68783313 -0.0490400009, 17 -0.425950766 0.412353516 -0.521453142 0.613691449, 18 -0.180352792 0.68208468 -0.287360907 0.647809446, 19 0 0 0 0, 20 0.0061530252 0.00560538005 0.993112087 0.116872281, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
2, 1, 2, 1, 1, 72057594037933001, 0 0.0914986283 -0.162060335 1.18539941 2, 1 0.0940436944 0.0774200335 1.24991298 2, 2 0.0958583429 0.304263592 1.30268264 2, 3 0.101156391 0.461407781 1.31854689 2, 4 -0.0773488581 0.172873065 1.27222681 2, 5 -0.184726551 -0.0264911875 1.17371368 2, 6 -0.238090992 0.149461597 1.09750938 2, 7 -0.251495391 0.231275752 1.09455013 2, 8 0.26553908 0.17019096 1.27654052 2, 9 0.36857748 -0.0356661081 1.19138217 2, 10 0.441498876 0.124825887 1.09101081 2, 11 0.454451919 0.18609868 1.08163095 2, 12 0.0107642543 -0.158052728 1.15789866 2, 13 -0.00366725121 -0.192686379 0.761323094 2, 14 0.0332401618 -0.493722171 0.526036859 1, 15 0.0370999053 -0.468939781 0.392873913 1, 16 0.167569414 -0.158046991 1.15416133 2, 17 0.202744231 -0.194769368 0.765653133 2, 18 0.141885743 -0.493527353 0.525293291 1, 19 0.132182971 -0.468875945 0.392479658 1, 20 0.0956267193 0.249151006 1.2912246 2, 21 -0.270773083 0.304946244 1.08346152 2, 22 -0.184628412 0.234178349 1.08957624 2, 23 0.488369733 0.25479266 1.07427847 2, 24 0.404728174 0.19137691 1.0596323 2, 0 -0.0120826205 0.00357603212 0.991270483 0.131240323, 1 -0.00318340748 0.00475404412 0.991339028 0.131202951, 2 0.00634512724 0.00272077671 0.994729996 0.102295905, 3 0 0 0 0, 4 -0.0969009623 0.835123777 -0.538403332 -0.0574475899, 5 0.295130551 -0.394210637 -0.0960919708 0.865021527, 6 0.745748222 -0.239952207 0.621190906 -0.0201100223, 7 0.762286425 -0.0659092218 0.641893089 0.0504847541, 8 -0.0894836932 0.839910328 0.530963957 0.0679742917, 9 -0.274163872 0.396870285 -0.0740874186 0.872834027, 10 -0.613023937 0.314036041 0.720962703 -0.076129809, 11 -0.645368278 0.126884118 0.753188074 0.0103908405, 12 0.204673484 -0.689718425 0.693957448 -0.0286399052, 13 0.447059095 -0.467350513 -0.506622493 0.57013613, 14 -0.195459679 0.672926545 0.263956994 -0.662791073, 15 0 0 0 0, 16 -0.226738662 0.687911153 0.687722504 -0.0490461141, 17 -0.426115274 0.414585233 -0.521118701 0.612356186, 18 -0.181264967 0.682089984 -0.287031323 0.647695303, 19 0 0 0 0, 20 0.00616681064 0.00524366228 0.993012667 0.117729492, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
