sep=, 
Hand-Neck Distance (m), Elbow Angle (rad)
0.438496113, 1.13611174
0.438543886, 1.13580239
0.438611448, 1.13635647
0.438593566, 1.13610685
0.438681602, 1.1359098
0.438677758, 1.1353184
0.438675076, 1.13628483
0.438517541, 1.13523889
0.437998801, 1.13290346
0.437511355, 1.12950957
0.436873525, 1.12683105
0.436464995, 1.12417543
0.435901999, 1.12401736
0.436222553, 1.12542927
0.436334014, 1.12585402
0.436418027, 1.12706852
0.436789006, 1.12750649
0.437498122, 1.12985444
0.437600046, 1.12932551
0.437877744, 1.12959206
0.43821159, 1.13004959
0.438675463, 1.13215077
0.439390689, 1.13563848
0.4397614, 1.13706303
0.439963669, 1.13878512
0.440106302, 1.13935506
0.441384822, 1.14589393
0.441331476, 1.14552772
0.44170022, 1.14602625
0.441803336, 1.14635921
0.442304075, 1.14877212
0.442158729, 1.14696205
0.44198525, 1.14479029
0.441697001, 1.14133012
0.441573083, 1.14116251
0.441458046, 1.13999295
0.441536039, 1.14022672
0.4413293, 1.139714
0.441086739, 1.13950121
0.440763712, 1.13723838
0.439970076, 1.13572097
0.439719349, 1.1364671
0.440738052, 1.14029539
0.440511286, 1.1388036
0.439723074, 1.13656557
0.438436776, 1.13271201
0.43803212, 1.13152993
0.438839793, 1.13640749
0.4397811, 1.14135253
0.43985346, 1.14095283
