sep=, 
Ovlp_th, User0-Seq0Gest0, User0-Seq0Gest1, User0-Seq0Gest2, User0-Seq0Gest3, User0-Seq1Gest0, User0-Seq1Gest1, User0-Seq1Gest2, User0-Seq1Gest3, User0-Seq2Gest0, User0-Seq2Gest1, User0-Seq2Gest2, User0-Seq2Gest3, User0-Seq3Gest0, User0-Seq3Gest1, User0-Seq3Gest2, User0-Seq3Gest3, User0-Seq4Gest0, User0-Seq4Gest1, User0-Seq4Gest2, User0-Seq4Gest3, MeanUser0-Gest0, MeanUser0-Gest1, MeanUser0-Gest2, MeanUser0-Gest3, GlobalMeanUser0, User1-Seq0Gest0, User1-Seq0Gest1, User1-Seq0Gest2, User1-Seq0Gest3, User1-Seq1Gest0, User1-Seq1Gest1, User1-Seq1Gest2, User1-Seq1Gest3, User1-Seq2Gest0, User1-Seq2Gest1, User1-Seq2Gest2, User1-Seq2Gest3, User1-Seq3Gest0, User1-Seq3Gest1, User1-Seq3Gest2, User1-Seq3Gest3, User1-Seq4Gest0, User1-Seq4Gest1, User1-Seq4Gest2, User1-Seq4Gest3, MeanUser1-Gest0, MeanUser1-Gest1, MeanUser1-Gest2, MeanUser1-Gest3, GlobalMeanUser1, User2-Seq0Gest0, User2-Seq0Gest1, User2-Seq0Gest2, User2-Seq0Gest3, User2-Seq1Gest0, User2-Seq1Gest1, User2-Seq1Gest2, User2-Seq1Gest3, User2-Seq2Gest0, User2-Seq2Gest1, User2-Seq2Gest2, User2-Seq2Gest3, User2-Seq3Gest0, User2-Seq3Gest1, User2-Seq3Gest2, User2-Seq3Gest3, User2-Seq4Gest0, User2-Seq4Gest1, User2-Seq4Gest2, User2-Seq4Gest3, MeanUser2-Gest0, MeanUser2-Gest1, MeanUser2-Gest2, MeanUser2-Gest3, GlobalMeanUser2, User3-Seq0Gest0, User3-Seq0Gest1, User3-Seq0Gest2, User3-Seq0Gest3, User3-Seq1Gest0, User3-Seq1Gest1, User3-Seq1Gest2, User3-Seq1Gest3, User3-Seq2Gest0, User3-Seq2Gest1, User3-Seq2Gest2, User3-Seq2Gest3, User3-Seq3Gest0, User3-Seq3Gest1, User3-Seq3Gest2, User3-Seq3Gest3, User3-Seq4Gest0, User3-Seq4Gest1, User3-Seq4Gest2, User3-Seq4Gest3, MeanUser3-Gest0, MeanUser3-Gest1, MeanUser3-Gest2, MeanUser3-Gest3, GlobalMeanUser3, User4-Seq0Gest0, User4-Seq0Gest1, User4-Seq0Gest2, User4-Seq0Gest3, User4-Seq1Gest0, User4-Seq1Gest1, User4-Seq1Gest2, User4-Seq1Gest3, User4-Seq2Gest0, User4-Seq2Gest1, User4-Seq2Gest2, User4-Seq2Gest3, User4-Seq3Gest0, User4-Seq3Gest1, User4-Seq3Gest2, User4-Seq3Gest3, User4-Seq4Gest0, User4-Seq4Gest1, User4-Seq4Gest2, User4-Seq4Gest3, MeanUser4-Gest0, MeanUser4-Gest1, MeanUser4-Gest2, MeanUser4-Gest3, GlobalMeanUser4, User5-Seq0Gest0, User5-Seq0Gest1, User5-Seq0Gest2, User5-Seq0Gest3, User5-Seq1Gest0, User5-Seq1Gest1, User5-Seq1Gest2, User5-Seq1Gest3, User5-Seq2Gest0, User5-Seq2Gest1, User5-Seq2Gest2, User5-Seq2Gest3, User5-Seq3Gest0, User5-Seq3Gest1, User5-Seq3Gest2, User5-Seq3Gest3, User5-Seq4Gest0, User5-Seq4Gest1, User5-Seq4Gest2, User5-Seq4Gest3, MeanUser5-Gest0, MeanUser5-Gest1, MeanUser5-Gest2, MeanUser5-Gest3, GlobalMeanUser5, GlobalMeanGesture0, GlobalMeanGesture1, GlobalMeanGesture2, GlobalMeanGesture3, GlobalScore
0.05, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.8, 1, 1, 0.95, 0, 1, 1, 0, 0.666667, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.733333, 1, 1, 0.8, 0.883333, 1, 1, 1, 0.666667, 1, 0.666667, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0.8, 0.933333, 1, 0.933333, 0.916667, 1, 0.666667, 1, 0.666667, 0.666667, 1, 1, 0.666667, 1, 0, 1, 0.666667, 1, 1, 1, 1, 1, 1, 1, 1, 0.933333, 0.733333, 1, 0.8, 0.866667, 1, 1, 1, 1, 0.666667, 0, 1, 1, 1, 1, 0.5, 1, 1, 1, 1, 0, 1, 1, 1, 0.666667, 0.933333, 0.8, 0.9, 0.733333, 0.841667, 1, 1, 1, 1, 0.5, 0.666667, 1, 1, 0.4, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0.78, 0.933333, 1, 0.8, 0.878333, 0.863333, 0.866667, 0.983333, 0.844444, 0.889445
0.1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0.8, 0.8, 1, 0.9, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.8, 1, 1, 0.8, 0.9, 1, 1, 0, 0.666667, 1, 0.666667, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0.8, 0.933333, 0.6, 0.933333, 0.816667, 1, 0.666667, 1, 0.666667, 0.666667, 1, 1, 0.666667, 1, 0, 1, 0.666667, 1, 1, 1, 1, 1, 1, 1, 1, 0.933333, 0.733333, 1, 0.8, 0.866667, 1, 1, 1, 1, 0.666667, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0.666667, 0, 1, 1, 0.666667, 0.666667, 0.933333, 0.8, 0.866667, 0.733333, 0.833333, 1, 1, 0.666667, 1, 0.5, 0.666667, 1, 1, 0.4, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0.78, 0.933333, 0.933333, 0.8, 0.861667, 0.874444, 0.866667, 0.866667, 0.844444, 0.863056
0.15, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0.8, 0.8, 1, 0.9, 0, 1, 1, 0, 0.666667, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.733333, 1, 1, 0.8, 0.883333, 1, 1, 1, 0.666667, 1, 0.666667, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0.8, 0.933333, 1, 0.933333, 0.916667, 1, 0.666667, 1, 1, 0.666667, 1, 1, 1, 1, 0, 1, 0.666667, 1, 1, 1, 0.666667, 1, 1, 1, 1, 0.933333, 0.733333, 1, 0.866667, 0.883333, 1, 1, 1, 1, 0.666667, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0.666667, 0, 1, 1, 0.666667, 0.666667, 0.933333, 0.8, 0.866667, 0.733333, 0.833333, 1, 1, 0.666667, 1, 0.5, 0.666667, 1, 1, 0.4, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0.78, 0.933333, 0.933333, 0.8, 0.861667, 0.863333, 0.866667, 0.933333, 0.855556, 0.879722
0.2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0.6, 0.8, 1, 0.85, 0, 1, 1, 0, 0.666667, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0.733333, 1, 0.8, 0.8, 0.833333, 1, 1, 1, 0.666667, 1, 0.666667, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0.8, 0.933333, 0.8, 0.933333, 0.866667, 1, 0.666667, 1, 0.666667, 0.666667, 1, 1, 0.666667, 1, 0, 1, 0.666667, 1, 1, 1, 1, 1, 1, 1, 1, 0.933333, 0.733333, 1, 0.8, 0.866667, 1, 1, 1, 1, 0.666667, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0.666667, 0.933333, 0.8, 1, 0.733333, 0.866667, 1, 1, 0.666667, 1, 0.5, 0.666667, 1, 1, 0.4, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0.78, 0.933333, 0.933333, 0.8, 0.861667, 0.863333, 0.833333, 0.888889, 0.844444, 0.8575
0.25, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0.6, 0.4, 1, 0.75, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0.8, 1, 0, 0.8, 0.65, 1, 1, 1, 0.666667, 1, 0.666667, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0.8, 0.933333, 0.4, 0.933333, 0.766667, 1, 0.666667, 0.666667, 0.666667, 0.666667, 1, 0.666667, 0.666667, 1, 0, 0.666667, 0.666667, 1, 1, 0, 1, 1, 1, 0.666667, 1, 0.933333, 0.733333, 0.533333, 0.8, 0.75, 1, 1, 0.5, 1, 0.666667, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0.666667, 0.666667, 0.933333, 0.8, 0.833333, 0.733333, 0.825, 1, 1, 1, 1, 0.5, 0.666667, 1, 1, 0.4, 1, 0.666667, 1, 1, 1, 0.666667, 0, 1, 1, 1, 1, 0.78, 0.933333, 0.866667, 0.8, 0.845, 0.874444, 0.833333, 0.505556, 0.844444, 0.764444
0.3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0.4, 0.4, 1, 0.7, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0.8, 1, 0, 0.8, 0.65, 1, 1, 1, 0.666667, 1, 0.666667, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0.8, 0.933333, 0.6, 0.933333, 0.816667, 1, 0.666667, 0.666667, 1, 0.666667, 1, 0.666667, 1, 1, 0, 0.666667, 0.666667, 1, 1, 0, 0.666667, 1, 1, 0.666667, 1, 0.933333, 0.733333, 0.533333, 0.866667, 0.766667, 1, 1, 0.666667, 1, 0.666667, 0, 0.666667, 1, 1, 1, 1, 1, 1, 1, 0.666667, 0, 1, 1, 0, 0.666667, 0.933333, 0.8, 0.6, 0.733333, 0.766667, 1, 1, 1, 1, 0.5, 0.666667, 0.666667, 1, 0.4, 1, 0, 1, 1, 1, 0.666667, 0, 1, 1, 1, 1, 0.78, 0.933333, 0.666667, 0.8, 0.795, 0.874444, 0.8, 0.466667, 0.855556, 0.749167
0.35, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0.2, 0.8, 1, 0.75, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0.8, 0.6, 0.6, 0.8, 0.7, 1, 1, 1, 0.666667, 1, 0.666667, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0.8, 0.733333, 0.6, 0.933333, 0.766667, 1, 1, 0.666667, 0.666667, 0.666667, 0.666667, 1, 0.666667, 1, 0.5, 1, 0.666667, 1, 0, 0, 1, 1, 1, 0.5, 1, 0.933333, 0.633333, 0.633333, 0.8, 0.75, 1, 1, 0.666667, 1, 0.666667, 0, 0.666667, 1, 1, 0, 1, 1, 1, 1, 0.666667, 0, 1, 1, 0, 0.666667, 0.933333, 0.6, 0.6, 0.733333, 0.716667, 1, 1, 1, 1, 0.5, 0.666667, 0.666667, 1, 0.4, 1, 0, 1, 1, 1, 0.666667, 0, 1, 1, 1, 1, 0.78, 0.933333, 0.666667, 0.8, 0.795, 0.874444, 0.616667, 0.65, 0.844444, 0.746389
0.4, 1, 0, 1, 0.666667, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0.666667, 1, 1, 0.2, 0.933333, 0.933333, 0.766667, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0.6, 0.6, 0.6, 0.8, 0.65, 1, 0, 1, 0.666667, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0.666667, 0, 1, 0.8, 0.733333, 0.4, 0.933333, 0.716667, 1, 1, 0.666667, 1, 0.666667, 0.666667, 1, 1, 1, 0.5, 1, 0.666667, 1, 0, 0, 0.666667, 1, 1, 0.5, 1, 0.933333, 0.633333, 0.633333, 0.866667, 0.766667, 1, 1, 0.666667, 1, 0, 1, 0.666667, 1, 1, 0, 1, 1, 1, 0.5, 0.666667, 0, 1, 1, 0, 0.666667, 0.8, 0.7, 0.6, 0.733333, 0.708333, 1, 1, 1, 0.666667, 0.5, 0.666667, 0.666667, 1, 0.4, 1, 0, 1, 1, 1, 0.666667, 0, 1, 0, 0, 0.4, 0.78, 0.733333, 0.466667, 0.613333, 0.648333, 0.818889, 0.6, 0.605556, 0.813333, 0.709444
0.45, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0.2, 0.4, 1, 0.65, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0.4, 0.6, 0.6, 0.8, 0.6, 1, 0, 1, 0.666667, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0.666667, 0, 1, 1, 0.733333, 0.4, 0.933333, 0.766667, 1, 0.666667, 0.666667, 1, 0.666667, 1, 1, 1, 1, 0.5, 0, 1, 1, 1, 0, 0.666667, 1, 1, 0.5, 1, 0.933333, 0.833333, 0.433333, 0.933333, 0.783333, 1, 1, 0.666667, 1, 0, 1, 0.666667, 1, 1, 0, 1, 1, 1, 0.5, 0, 0, 1, 1, 0, 0.666667, 0.8, 0.7, 0.466667, 0.733333, 0.675, 1, 0.666667, 0, 1, 0.5, 1, 0.666667, 1, 0.4, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0.78, 0.933333, 0.333333, 0.8, 0.711667, 0.818889, 0.666667, 0.438889, 0.866667, 0.697778
0.5, 1, 0, 1, 0.666667, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0.4, 0.933333, 0.583333, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0.4, 0.6, 0.4, 0.8, 0.55, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0.8, 0.8, 0.2, 0.4, 0.55, 1, 0, 0, 1, 0.666667, 0, 0.666667, 1, 1, 0.5, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0.933333, 0.3, 0.133333, 0.6, 0.491667, 1, 1, 0.666667, 1, 0, 1, 0.666667, 1, 1, 0, 1, 1, 1, 0, 0, 0.5, 1, 1, 0, 0.666667, 0.8, 0.6, 0.466667, 0.833333, 0.675, 1, 1, 0, 0, 0.5, 1, 0.666667, 1, 0.4, 1, 0, 1, 1, 1, 0.666667, 0, 1, 1, 0, 0.5, 0.78, 1, 0.266667, 0.5, 0.636667, 0.785556, 0.55, 0.311111, 0.677778, 0.581111
